number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:58.930365,0.01623697771117149,0.02985297523991221,514.2600896921823,0.010558189738806033,320,36,0.22683151453559972
1,0 days 00:00:12.677623,0.06493299511445147,0.13047403172044547,350.1027615795273,0.025616059649651968,39,59,0.03339778383942646
2,0 days 00:01:03.576199,0.28714976116091345,0.14577878819641635,0.007094481569328303,0.025058465260036054,387,18,55.329263012285594
3,0 days 00:00:24.629578,0.19700661550782098,0.019367319891719657,0.0443129852117549,0.04467948253502933,66,49,643.7875465496529
4,0 days 00:00:39.714922,0.011062398980813092,0.025610825130857936,496.95349004031453,0.28121158971885085,204,17,0.005992293573461484
5,0 days 00:00:34.385065,0.0684255967879472,0.1169372958360459,128.5254977370843,0.08788858240271184,184,34,0.0011646494505019958
6,0 days 00:00:36.888131,0.01868770043638456,0.2229653519284623,0.034781306671473514,0.0071766880509396514,194,23,0.12491853398765318
7,0 days 00:00:32.011692,0.022932038355254356,0.2652400440558454,0.008366730355564584,0.16862510150680332,181,50,635.2220633276689
8,0 days 00:00:14.579125,0.19678117272071383,0.041668677522507115,107.81281595556636,0.29053895975358246,47,60,15.941445358410853
9,0 days 00:01:17.621784,0.08998615910164136,0.02310457112686402,613.1232350654346,0.26314857356117416,413,48,0.7253156552584992
10,0 days 00:00:09.588241,0.013277734147913561,0.0179931349058228,36.08238855211463,0.005458474941407099,27,32,0.002632053039584119
11,0 days 00:00:21.447629,0.016014975253978443,0.16934416607470676,0.00410100670459003,0.194791275632853,122,7,148.91009822428367
12,0 days 00:00:08.470528,0.12351245909933109,0.31321285026245554,0.32624620880061217,0.11415747620869583,44,7,58.75844465008062
13,0 days 00:00:17.739319,0.13655842010247501,0.17343313700883822,0.004919359577719249,0.0061319883359414315,48,60,95.35405971484549
14,0 days 00:00:27.984134,0.005491480259844492,0.015449312493545496,325.2420263168324,0.013750879426900415,100,23,120.29401123066374
15,0 days 00:01:12.986144,0.04115138047754796,0.15968131289774676,26.114520019667786,0.42035035565399603,437,12,0.07521664300058947
16,0 days 00:00:17.888989,0.021439780402358416,0.26922518575140775,0.9434419039209071,0.025857700045507827,80,37,88.3185693975601
17,0 days 00:00:27.398995,0.21439395633928304,0.35691697337926626,883.0081699573971,0.24262906364273884,157,29,4.1734472363046855
18,0 days 00:00:31.102824,0.22278742001192559,0.011317680869187748,0.42097039145442205,0.10941729147500232,135,21,0.5968406747619506
19,0 days 00:00:07.535145,0.1062824304467413,0.022187012269043127,81.00899582493872,0.1297226107418937,22,14,953.0609810309514
20,0 days 00:01:10.367208,0.03261507316416395,0.034849500053602406,0.0011983100016517217,0.0052018710994873275,344,30,0.025154446863736718
21,0 days 00:00:11.018840,0.42075977141326365,0.01856335364806806,0.024511326941833722,0.007113983333024649,26,46,0.004222373883831679
22,0 days 00:00:18.284361,0.015418234105716638,0.06864136324468673,1.459614404252563,0.011596861837283996,54,44,1.3431281433190976
23,0 days 00:00:16.318964,0.036155888158621585,0.17689737518659682,899.6002461510604,0.12413875955771607,82,22,0.002237062876551183
24,0 days 00:00:07.344909,0.16108110371064396,0.26150075067133793,62.07939192976089,0.04018202012751716,24,17,3.097931534996305
25,0 days 00:00:40.736073,0.028779762835692398,0.0932882482746547,5.4476258461110305,0.4935333847142487,258,47,52.59178067284074
26,0 days 00:00:24.087427,0.13906977370283347,0.028559955852318922,1.4011883828179457,0.009325655245302234,86,11,2.031600297142928
27,0 days 00:01:25.604354,0.009785024386194054,0.023741259730662,2.2796642849845883,0.0518046489671042,487,11,0.3013710274608405
28,0 days 00:00:22.529537,0.05342201563777446,0.05981584432586036,0.02629683299367848,0.043925476770535966,104,56,0.39019545404160566
29,0 days 00:00:19.428874,0.0289140162344981,0.3171887149508373,2.1533077402001877,0.06953997493377498,102,53,0.06790069515064247
30,0 days 00:00:08.721609,0.07164361507337742,0.01322886093589013,0.10105789297864186,0.24504767824146426,28,13,801.1431185785088
31,0 days 00:00:12.327836,0.035879211484655914,0.013413887528279428,0.001736659679011027,0.01666607299801705,32,58,0.4014577799255575
32,0 days 00:00:10.493665,0.05409155610635749,0.2118004614564543,0.03704688789936887,0.026088455167501173,47,21,0.025430779244615478
33,0 days 00:00:08.645588,0.02340866321130337,0.012729362076606595,66.12735031738767,0.022863296476890997,24,30,983.9268387604073
34,0 days 00:00:22.038128,0.0650497786127399,0.14976169730230726,212.26984300473464,0.011201109952007886,96,35,0.0040726942119209235
35,0 days 00:00:30.458768,0.06935365556207194,0.22054070100400044,435.69492280354456,0.15857858698002564,161,62,14.11827186780309
36,0 days 00:00:17.268480,0.09323556860123197,0.06773810034649748,0.07166977378654388,0.16942370887592603,80,51,1.9302919575280313
37,0 days 00:00:46.775152,0.026749191056288292,0.3256822005330995,5.444524473804564,0.05492229303971235,283,18,0.01426953304501298
38,0 days 00:00:39.260452,0.010133686450188344,0.1319397389638842,0.012893012571957869,0.08161203516684896,240,47,51.01833250522581
39,0 days 00:00:12.021218,0.0070361625307781995,0.18202450641410034,26.788134655590824,0.007665780838249859,28,63,271.69310575664593
40,0 days 00:00:07.807540,0.10355636214225392,0.06661923307978831,9.277540112835371,0.04368465990785844,21,44,0.0045815323901787
41,0 days 00:00:07.774853,0.3600373103481965,0.08473659353588069,0.03561183386067304,0.15355220768041616,25,24,0.022040782643120812
