number,duration,params_learning_rate,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:00.116928,0.03832950785524318,89.19918964096753,28,46,0.0015011815654895264
1,0 days 00:00:00.165180,0.01802549831763505,0.002197567370467584,26,12,0.11480950710406097
2,0 days 00:00:00.359380,0.0019353877189745477,0.6191431647031231,42,56,23.257905288094538
3,0 days 00:00:00.324323,0.053147496112831705,0.33283402168721965,67,21,213.82484518516443
4,0 days 00:00:00.049445,0.07279549552821274,648.388484418436,24,54,0.0013379222121907665
5,0 days 00:00:02.745647,0.03457167915850264,6.2178065954269135,169,32,5.604716381203531
6,0 days 00:00:00.551346,0.003231072818259838,132.55303632566435,173,59,4.974618912437834
7,0 days 00:00:00.649258,0.02111179148901319,0.328795162886411,41,35,5.436299780481726
8,0 days 00:00:00.681823,0.083407977565727,0.2616505319073869,23,63,0.7982722515600437
9,0 days 00:00:00.182629,0.037513546382679994,783.1828351058055,200,15,0.8906334180521978
10,0 days 00:00:00.237945,0.01951352506636066,3.0989790557574253,55,8,105.9573870598405
11,0 days 00:00:00.462439,0.008400942080655933,0.020289893519352842,454,2,0.004953235858432458
12,0 days 00:00:01.340064,0.0017338100858691808,7.438779144727,51,53,0.11746587034988829
13,0 days 00:00:01.331160,0.0022553242582805384,0.01158431064911555,193,13,0.11100289278274862
14,0 days 00:00:01.747351,0.002660097105499774,0.20770773084065,148,24,1.7899692978852155
15,0 days 00:00:02.915582,0.005440355658140769,0.44453899670838437,140,43,2.6807970382977593
16,0 days 00:00:01.558196,0.018599291222008024,2.7500458749384844,392,8,84.86705839450781
17,0 days 00:00:00.337027,0.04694493695331687,0.0032310754171875023,60,50,110.98898052572977
18,0 days 00:00:01.351247,0.0010957739482864483,6.251511150002935,415,26,906.7354924070262
19,0 days 00:00:00.038946,0.0010643519455170744,414.0151366490031,20,32,0.0013904712268352662
20,0 days 00:00:00.478815,0.0015083403085091203,0.16633235248367798,20,37,0.8313836088340901
21,0 days 00:00:00.726701,0.0025065137908081157,155.7629248260071,238,37,8.117037052640375
22,0 days 00:00:01.235933,0.013504630207261349,3.2897424177521204,68,39,0.18969387240903016
23,0 days 00:00:00.181972,0.015600692323987038,0.049229738609196466,40,9,3.589643161083656
24,0 days 00:00:04.920741,0.021582167020120648,0.0022810729933331678,320,35,0.13253411806106005
25,0 days 00:00:00.133203,0.011866714064325148,182.75118133055025,51,36,5.161765383559737
26,0 days 00:00:00.155472,0.0038456980977268794,981.8760662504114,202,30,0.003746758131468201
27,0 days 00:00:00.142937,0.005251044614047909,978.9573261566568,169,50,1.2082911432052816
28,0 days 00:00:02.200521,0.001753868709676756,0.17534064437471406,469,15,242.8427660032661
29,0 days 00:00:02.590944,0.03877383017570765,0.04832462238960627,125,42,3.6115159961565855
30,0 days 00:00:02.815078,0.09311994817340219,53.27822677315456,404,49,0.6127866183930566
31,0 days 00:00:00.782466,0.06868736934091006,1.8598126274881508,65,19,0.2321079885340843
32,0 days 00:00:02.119681,0.012591784822369487,0.09636469515201487,242,16,0.24826563264635304
33,0 days 00:00:00.557581,0.05899816040069505,148.17564727946532,167,33,0.6021259590965402
34,0 days 00:00:03.221207,0.0516348780473947,0.2244561723380388,158,43,0.0014610019869450794
35,0 days 00:00:01.400878,0.0010717129111119234,0.004585063195251922,209,38,60.04764740455987
36,0 days 00:00:03.240017,0.0123064518365905,0.08396148391262974,488,58,194.27621519722894
37,0 days 00:00:00.595402,0.0010589085965636916,20.257011738115473,32,54,0.02572482316138012
38,0 days 00:00:00.384226,0.015790704542104964,0.20024298895834566,43,51,12.667659607395779
39,0 days 00:00:00.488581,0.0011562584871287228,0.00748522456564705,143,14,897.3245625391893
40,0 days 00:00:00.112227,0.006231108115756,0.23599488008455144,27,8,16.668203175354186
