model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.5,0.4986336976806185,0.4986336976806185,1.0,0.6924290873201934,0.3785377358490566,0.5,1.0,1.0,0.6987625659943457,0.6783393781266176,0.0,0.0,0.014223934799049931,0 days 00:00:00.903096
1,0.5,0.6536733625006599,0.6627286314141342,0.6537589976006398,0.6223350932299673,0.6896914593759396,0.5910614525139665,0.5890672782874617,0.4454828660436137,0.31485849056603776,0.6918000903943156,0.6963294733367545,0.32046695474491677,0.3602511051475521,0.0035720896076147923,0 days 00:00:05.758947
2,0.5,0.677183842000253,0.6903439821158145,0.677286057051453,0.6397781193610906,0.625694915748667,0.6162011173184357,0.6159618536507365,0.3904465212876428,0.24449685534591195,0.6647375274550023,0.7373559516859312,0.45399792315680165,0.5160973969677753,0.06668094606029107,0 days 00:00:15.966288
3,0.5,0.6681687766569524,0.6882043576258452,0.6683217808584377,0.6121767025329146,0.686461074576245,0.6,0.5964342927403099,0.3364485981308411,0.2165880503144654,0.6902397664052051,0.6981967415534664,0.45423240545338833,0.48506806269089264,0.006627556334163454,0 days 00:00:07.191373
4,0.5,0.6741832667694526,0.6734448160535117,0.6741868834977339,0.6728597206442558,0.6096774505449353,0.6,0.6015170594231576,0.42679127725856697,0.26591549295774647,0.6627294478964603,0.7510520260866462,0.4577965363615047,0.5436315114260821,0.09327713317615771,0 days 00:00:09.703518
5,0.5,0.6966971792857299,0.7140042326497847,0.6968141828845641,0.6538795696050257,0.5757420290496487,0.6268156424581005,0.6259656512961964,0.39667705088265837,0.22130503144654087,0.6336131036544186,0.8303269290335303,0.4767996516263022,0.5629131857965181,0.09986939273845419,0 days 00:00:13.217174
6,0.5,0.6726568695526288,0.6897034960908689,0.6727872567315383,0.6249415224219742,0.6102992295027035,0.6050279329608939,0.6035745337890508,0.34994807892004154,0.21737421383647798,0.6587990544148702,0.8222854469158245,0.4851773691086323,0.5325040131484222,0.08350978813756649,0 days 00:00:00.999087
7,0.5,0.6604092176676768,0.6837692307692308,0.6605905091975474,0.5940653612243534,0.6656443585738057,0.5960893854748603,0.5938830425136415,0.3613707165109034,0.2389937106918239,0.6820549352559522,0.7128654788034208,0.4081633336683081,0.43757716120296425,0.026918551053442652,0 days 00:00:02.029345
8,0.5,0.673438545110064,0.6882331511839709,0.6735537190082644,0.6312905166076321,0.6687935634302418,0.6072625698324022,0.6041800902855363,0.34371754932502596,0.21422955974842767,0.6816420517750033,0.7158186436937753,0.5035942786319633,0.5500178830182552,0.02102398186284915,0 days 00:00:01.580577
9,0.5,0.6783488492840888,0.6821173889193637,0.678385763796321,0.6648399385150037,0.6106175086398175,0.6122905027932961,0.6132410405548561,0.4236760124610592,0.26704225352112676,0.6600984324319391,0.7448191600946708,0.44621646065722037,0.5237517065373243,0.08550649159074741,0 days 00:00:04.041207
10,0.5,0.6183263260187137,0.5826980444149817,0.6177685950413223,0.8224286573548085,0.6638269062108689,0.422562893081761,0.5,0.6240713224368499,0.4512676056338028,0.693078610436744,0.658623193795376,0.37592867756315007,0.5487323943661973,0.05544982224694417,0 days 00:00:00.956636
11,0.5,0.6521349804759351,0.6463280491750243,0.6520927752599307,0.6675800307424982,0.6340520556798181,0.5905027932960893,0.5894707781175671,0.4766355140186916,0.345125786163522,0.6650808564095129,0.7500210327913818,0.3566978193146418,0.4091362693649729,0.058003431036304565,0 days 00:00:07.324681
12,0.5,0.6847261508041982,0.6967898763137199,0.6848173820314583,0.6513399719307625,0.5903423494280841,0.6150837988826816,0.6144990106134196,0.39667705088265837,0.235062893081761,0.6469904001056374,0.8125689934195925,0.4742906910528255,0.5569487971276886,0.0975909930020128,0 days 00:00:02.681410
13,0.5,0.6758223469447746,0.6986654534425235,0.6759864036256998,0.615785604491078,0.646391554913985,0.6122905027932961,0.6070500353693884,0.3406022845275182,0.20754716981132076,0.6720356944658634,0.7278736069681983,0.46369879074129905,0.5045814224926246,0.043575210082988924,0 days 00:00:13.307859
14,0.5,0.7438145697905948,0.7594097519247219,0.7439016262330045,0.7119561585243601,0.5246407450199174,0.6956521739130435,0.6829814469828197,0.49063893016344723,0.2507042253521127,0.5655052957541814,0.7459172074093233,0.41939691213045954,0.5420381029479361,0.08937638053818747,0 days 00:00:14.762845
15,0.5,0.667577223330121,0.6812667974141062,0.6676886163689683,0.6268128049187998,0.6216027277697389,0.6022346368715084,0.6008799544282545,0.3655244029075805,0.23545597484276728,0.6637864451077176,0.7886183057901457,0.4638662780960038,0.5114996997797364,0.07388966627298421,0 days 00:00:01.323941
16,0.5,0.6930001459010435,0.7041373926619828,0.6930818448413756,0.6631023190536657,0.5844625380835825,0.6268156424581005,0.6258507225520178,0.4226375908618899,0.24921383647798742,0.6413439996318723,0.8213439440777937,0.47126921917395237,0.5600896218756414,0.09937259822706845,0 days 00:00:01.254726
17,0.5,0.6798009211466494,0.6956045560747663,0.6799186883497734,0.6367038695448773,0.6124381217552577,0.6162011173184357,0.615502138674022,0.3862928348909657,0.23781446540880502,0.6556210349649453,0.7479909198680457,0.45385053428466154,0.5118202155458954,0.07409574739514391,0 days 00:00:02.332968
18,0.5,0.6826577564195293,0.6806108897742363,0.6826512929885364,0.6850230568736216,0.5956774354284877,0.6153846153846154,0.613298729192769,0.4514115898959881,0.2723380281690141,0.6504935693169074,0.7801022680371783,0.4364020301756965,0.5364783381242153,0.10073198616022039,0 days 00:00:08.823412
19,0.5,0.6865213222192674,0.6893872265012609,0.6865502532657958,0.6759339704604691,0.5932728865236131,0.6251396648044693,0.6251648977633867,0.46625129802699894,0.29025352112676056,0.6430671525612519,0.735447520011183,0.4065085586038254,0.4995662548108916,0.09059823520249755,0 days 00:00:14.950329
20,0.5,0.644042547667208,0.6347207354700586,0.64396161023727,0.6736616988571811,0.689033627886234,0.5888268156424581,0.5888998820731146,0.5067497403946002,0.38325471698113206,0.6906286588683811,0.6939780350619826,0.3018524101430342,0.346652735527392,0.0026008981810247134,0 days 00:00:01.647810
21,0.5,0.6912229183820144,0.7040085898353615,0.6913156491602239,0.6572879770099579,0.5836113613912344,0.6206703910614525,0.6196870440326997,0.3811007268951194,0.22641509433962265,0.6407626992168683,0.8568173727154895,0.5138813519579272,0.5882463766783999,0.09903964135501886,0 days 00:00:08.421737
22,0.5,0.6624506417924599,0.6351669280752856,0.6621900826446281,0.7578025796965849,0.6206889367458963,0.6223463687150838,0.6177182403503612,0.6548165137614679,0.5058823529411764,0.6644730341450559,0.584725737065637,0.23335552924928482,0.3068307498352483,0.10530062018433783,0 days 00:00:02.409924
23,0.5,0.5,0.0,0.5013663023193815,0.0,0.6931471805599453,0.3205065757428154,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,2.220446049250313e-16,0 days 00:00:06.704821
24,0.5,0.6701837480274541,0.6783000281452294,0.6702545987736603,0.6442558310499231,0.6210339178879964,0.6083798882681565,0.60807799164518,0.387331256490135,0.2511792452830189,0.6630323563874831,0.7404129364149142,0.4481526144776069,0.5011344420038784,0.07505184225827144,0 days 00:00:06.746995
25,0.5,0.6711578956907264,0.6879469222263177,0.6712876566249,0.6236717235848426,0.6756563038853666,0.6120401337792643,0.6016076815612186,0.3354101765316719,0.20911949685534592,0.6870950263716243,0.699917482008309,0.5104679596690449,0.5587811363643326,0.019556076259685362,0 days 00:00:08.593256
26,0.5,0.5725242237599172,0.5415467129392278,0.5715809117568649,0.9177304016574216,0.6528338076702757,0.4233490566037736,0.5328058466879868,0.8598285872269837,0.7343288480472596,0.7319753493139666,0.4296922213534678,0.12355666718630809,0.20828121484582218,0.18679586325845277,0 days 00:00:06.678921
27,0.5,0.5,0.0,0.5013663023193815,0.0,0.6931471805599453,0.3205065757428154,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,2.220446049250313e-16,0 days 00:00:01.226806
28,0.5,0.5,0.4986336976806185,0.4986336976806185,1.0,0.7046334016984237,0.3785377358490566,0.5,1.0,1.0,0.8172569256987722,0.537855009063999,0.0,0.0,0.1964198222192769,0 days 00:00:06.214590
