number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:02.277828,0.004984246007458448,0.0063653895789490735,0.29782245013308,0.007344448230816988,39,59,422.5992597839373
1,0 days 00:00:07.691441,0.0012852129878974288,0.0020037753284761354,1.3026792022244469,0.049732891280671064,197,31,0.0034017083639085494
2,0 days 00:00:23.986564,0.9545689881282827,0.004726342266827527,130.91231990746493,0.005457491757680572,496,58,3.873430162635449
3,0 days 00:00:00.749817,0.002504467952816316,0.0033816060231372765,2.2803110175641894,0.010549720090311526,20,12,72.98865974341513
4,0 days 00:00:00.974865,0.17539649801116475,0.08002504152627193,13.964594536779645,0.0016636629428470554,23,22,0.013341228585808051
5,0 days 00:00:07.612948,0.007211417207751325,0.01309808318619418,718.96083813245,0.020768881517982823,266,13,1.4536929057455814
6,0 days 00:00:12.118719,0.4382841490425731,0.02010319968908451,0.0010845924583887975,0.03923748623349253,445,8,14.119001865821037
7,0 days 00:00:03.219796,0.08395269114569401,0.023138831719529924,0.01087049147442652,0.0024259538102732563,62,45,2.6180506027270325
8,0 days 00:00:01.401635,0.44968729165133214,0.003756974496061605,300.83029243775894,0.02109015417107746,36,54,49.0465275061865
9,0 days 00:00:01.493784,0.13526517675281566,0.012450809840282682,0.3434424179221193,0.012996176504974173,37,21,0.013207231257257344
10,0 days 00:00:00.818579,0.008531772481440882,0.0013272846250365685,695.8279780949108,0.0015497125030839594,26,35,2.244641461176699
11,0 days 00:00:01.106629,0.15722954897856373,0.005761500211670148,0.01116846993568596,0.02035724702609257,20,49,54.63454127357494
12,0 days 00:00:18.684530,0.22371686885245137,0.0012051432673837272,0.0010613320721769653,0.00939287212104696,345,60,1.9453613938592327
13,0 days 00:00:01.017509,0.0013782214041326924,0.0013617945180936712,2.224413789628448,0.01623339839935214,30,9,5.917462386990581
14,0 days 00:00:02.940820,0.20431359007864192,0.07018205619468577,342.70390409171097,0.07867201187745243,93,60,0.180745966130948
15,0 days 00:00:13.353848,0.12228073115394786,0.030754722211905075,0.01052838971061544,0.0013196211747908717,386,25,47.63918240396842
16,0 days 00:00:09.332612,0.0011668352972467589,0.0043938297201591,290.8478677496927,0.0023436773496460124,399,4,0.029226775795665308
17,0 days 00:00:00.835960,0.1010977527397697,0.057698755024266794,127.00025388491468,0.09751187276555917,21,18,3.4468618766597188
18,0 days 00:00:03.102581,0.09811978160961103,0.0015448525562389368,0.018444871454342003,0.0030643654593838013,79,33,0.12782494112941953
19,0 days 00:00:03.570969,0.0014726829737491355,0.0781449065739922,0.10623605033130515,0.021977569323578812,84,37,1.3578689723892932
20,0 days 00:00:02.229979,0.007898067136300094,0.001417338893689173,0.016997601931827068,0.04709814279581094,65,21,0.0039910455773909635
21,0 days 00:00:01.090193,0.0013579815859418418,0.02643749349373912,0.0500452954733502,0.00716282714304533,22,35,92.57438279072328
22,0 days 00:00:03.294755,0.7615529388895526,0.0012617844960763848,22.735090356117638,0.05819061508818465,89,23,25.064606627863533
23,0 days 00:00:07.241041,0.320050943848608,0.00289641871490358,0.006783847520749032,0.00729874075964802,151,50,0.003474108102777735
24,0 days 00:00:01.699279,0.4141374277455421,0.06266193567661238,188.29498178481788,0.07872674288834335,43,50,0.03585782710512518
25,0 days 00:00:01.061194,0.006051784283180373,0.04140464542883543,1.2731468943217632,0.0010274162422429878,20,46,0.005192035156222526
26,0 days 00:00:00.715732,0.35763730928494797,0.014039953806884204,43.34483932253152,0.0033607694817891194,22,11,86.36143621550266
27,0 days 00:00:16.760314,0.15306148646156784,0.004010293527340532,8.61040187377711,0.007438816608764868,441,30,132.27913934907897
28,0 days 00:00:02.246742,0.4450386273106521,0.03319923046285861,92.36001161116465,0.09673320607325256,69,15,0.05964242840716388
29,0 days 00:00:10.712184,0.0014653302616785021,0.0017403913058437422,7.4809044261170206,0.003943983002895482,171,61,0.007311037856363847
30,0 days 00:00:02.274996,0.48859007902814555,0.0819957728520618,0.10759961008010771,0.0030676235398141745,49,42,0.019181405336557805
31,0 days 00:00:01.778831,0.0011113214603867725,0.011989676578472563,312.81957074858775,0.0015640926529952436,55,36,18.320847021877114
32,0 days 00:00:02.665300,0.159217193859107,0.028897811997655887,13.374719839530416,0.0803458672635992,65,31,944.8017379770017
33,0 days 00:00:04.529701,0.011017356773839629,0.04147023828782799,472.01770500841116,0.055471117077354366,156,59,0.8909569678754083
34,0 days 00:00:01.099193,0.013213922819919146,0.045671610361862826,0.010676863964378183,0.02650552960466715,28,22,0.3368766487080856
35,0 days 00:00:04.896360,0.23772115476984365,0.015126336759498996,314.68317331429785,0.0023893450667333686,153,37,0.0012497165359320501
36,0 days 00:00:09.197974,0.35893859613834705,0.02209920223927388,575.6685476185265,0.018061267014512355,341,43,2.5157148967877987
37,0 days 00:00:04.023544,0.03886180398397057,0.022295178179130733,0.8834433109298494,0.015314647995982474,109,23,28.512393453414123
38,0 days 00:00:16.251893,0.19895176906105982,0.055839669569132805,13.346075622257553,0.00676228122872795,420,34,0.34691981028703844
39,0 days 00:00:15.174166,0.30722433643164904,0.04418734555913291,66.81444279954793,0.011202049051931336,489,17,0.8351750929577179
40,0 days 00:00:10.716042,0.09105128705693238,0.006353415025331583,0.6253872643858001,0.06316118225909853,209,51,1.7734984911702547
41,0 days 00:00:01.939808,0.03811833965008305,0.0971930364606728,43.75283827551584,0.012109767478900801,54,17,109.84784522767721
42,0 days 00:00:03.402986,0.011504342729004836,0.0047501009565220145,450.1212745157361,0.0031419391235545033,110,39,0.050453192726439236
43,0 days 00:00:01.076823,0.003650421588351081,0.009199577797937076,0.33284515967219286,0.0018767085810713915,37,4,715.2280360811054
44,0 days 00:00:04.915643,0.6030753274464903,0.018977475742472123,94.04600707413695,0.022093244510646554,138,23,592.8685925727134
45,0 days 00:00:10.937806,0.0016538279925925588,0.046866903844396915,323.2210222072658,0.0037117599311276787,401,19,760.9221663329803
46,0 days 00:00:01.095336,0.028373114387819656,0.09322937356564741,0.08233767046455157,0.09877614028745402,25,29,418.804666811781
