model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.658604506825266,0.6681148066377038,0.6586910157291389,0.6269464679542872,0.6665076926132911,0.5972067039106145,0.595547010853271,0.43406022845275183,0.300314465408805,0.6817206277573428,0.7105878471519048,0.34945231635011553,0.3911127143281653,0.025674893782485886,0 days 00:00:01.697442
1,0.5,0.6745454540608609,0.6883512025499855,0.6746534257531325,0.6350330816012831,0.6371348093538283,0.6100558659217877,0.6098269073174631,0.3956386292834891,0.2507042253521127,0.6707258188701846,0.7211626612429246,0.4359025893545037,0.49332889690799453,0.05734019715858296,0 days 00:00:08.613800
2,0.5,0.6710701196328589,0.691142278556964,0.6712210077312717,0.6158524360088218,0.620340568400964,0.6050279329608939,0.6012677807531414,0.33852544132917967,0.2126572327044025,0.6614157922980517,0.7864578145740604,0.47939570562422534,0.5167631277437222,0.0683682123234628,0 days 00:00:01.742859
3,0.5,0.6782736310660791,0.6930513155981974,0.678385763796321,0.6372385216868275,0.6038003733560764,0.6089385474860335,0.6081629389778338,0.37487019730010385,0.22955974842767296,0.6549546266968896,0.7968919954747684,0.4670652865708639,0.5251893991612213,0.08691919243791946,0 days 00:00:02.391492
4,0.5,0.5768695384140967,0.5451976260648391,0.575979738736337,0.9024928156118426,0.6581699148597958,0.3785377358490566,0.5,0.5664190193164933,0.40969014084507044,0.7442965688568335,0.6210777582738731,0.4335809806835067,0.5903098591549296,0.14754843993146372,0 days 00:00:02.554614
5,0.5,0.6920306291355611,0.7090789569790373,0.6921487603305785,0.6488003742564994,0.5789384748279087,0.6212290502793296,0.6201167775978893,0.38317757009345793,0.21737421383647798,0.6375783282457248,0.8597653250134415,0.4967507453187285,0.5787777588863667,0.10146663796382738,0 days 00:00:03.293218
6,0.5,0.6565430243609434,0.6610872873149813,0.6565915755798454,0.6387756465949341,0.6786401735269544,0.5972067039106145,0.595547010853271,0.46002076843198336,0.32822327044025157,0.687594590752151,0.6968738764782152,0.3199075469802031,0.36028135693432217,0.01619038163034625,0 days 00:00:04.468040
7,0.5,0.6678151404238131,0.6808510638297872,0.6679218874966676,0.628750918933369,0.6661018802748135,0.6005586592178771,0.5993608962443284,0.43833580980683506,0.27436619718309857,0.6811323905832333,0.6995237146514435,0.3544957314118029,0.42948183009405677,0.025755237271828824,0 days 00:00:04.937495
8,0.5,0.6755989133448415,0.6914800175669741,0.6757198080511864,0.6313573481253759,0.6153329663291368,0.6111731843575419,0.61005426635486,0.363447559709242,0.22327044025157233,0.6584574986091167,0.7820340853312355,0.47060261950222754,0.522223958189733,0.07306062720591111,0 days 00:00:04.523826
9,0.5,0.6581962326613691,0.6687934618969101,0.6582911223673688,0.6234712290316113,0.6756924083120348,0.5966480446927375,0.5945426335671884,0.43509865005192105,0.30227987421383645,0.6859993726774463,0.7009532124021849,0.3416038589086524,0.3815973785869429,0.017715369381029578,0 days 00:00:11.696434
10,0.5,0.6690192005018161,0.6815231501514496,0.6691215675819782,0.6315578426786073,0.6662773783017758,0.6039106145251396,0.6039505506585917,0.40416047548291234,0.24777464788732395,0.6834317702325895,0.7028985932575256,0.4173449008611737,0.4870037252251943,0.029319152598904163,0 days 00:00:17.431980
11,0.5,0.6575144401276778,0.6701255351571004,0.657624633431085,0.6171890663636971,0.6742688313392771,0.5972067039106145,0.5950298315044673,0.42990654205607476,0.2979559748427673,0.6852278055079712,0.7062536066566856,0.3385522393059324,0.377640712931222,0.018431284697911443,0 days 00:00:02.495187
12,0.5,0.6694653658485881,0.6669535283993115,0.6694548120501199,0.6733275412684622,0.6707023607185351,0.5819397993311036,0.5791122248075891,0.407061266874351,0.26375786163522014,0.6830178050453345,0.7062699209136648,0.4818276220145378,0.5572358061679947,0.021185304566506913,0 days 00:00:00.693541
13,0.5,0.6674443754214867,0.6860361032373564,0.6675886430285257,0.6146494686894339,0.6422087583475924,0.6005586592178771,0.5979209893182477,0.34890965732087226,0.22720125786163523,0.6722323685730391,0.7394174615289041,0.46650252905905604,0.505141654948886,0.052053402273774974,0 days 00:00:02.012302
14,0.5,0.6726116155754261,0.6915170924257094,0.672753932284724,0.6205306422508855,0.6646329830988152,0.6122905027932961,0.6029387134212543,0.3406022845275182,0.2126572327044025,0.6793455024985925,0.7168163009417863,0.49488158644022373,0.5403870926730938,0.02465997223378713,0 days 00:00:02.449036
15,0.5,0.6584812249966223,0.6666666666666666,0.6585577179418821,0.630488538394707,0.6684032560312675,0.5960893854748603,0.5944576862345345,0.43821391484942884,0.30345911949685533,0.682433373164785,0.7092079647404261,0.3499581281613239,0.3930825268743088,0.024087580962230626,0 days 00:00:10.161345
16,0.5,0.6396802175176002,0.6192174913693901,0.6394628099173554,0.7192407939584308,0.6827622655458017,0.4871508379888268,0.5,0.43268945022288263,0.2966760563380282,0.6909157116143446,0.6960513035393255,0.5673105497771174,0.7033239436619718,0.01555621557342357,0 days 00:00:11.506483
17,0.5,0.666840255370581,0.6810200364298725,0.6669554785390562,0.6246741963509991,0.6543967051205484,0.5983240223463687,0.596578871099918,0.4371754932502596,0.2780845070422535,0.6759184523638657,0.7112528432643539,0.35422235621210596,0.4218667837517065,0.03679140586911345,0 days 00:00:11.807404
18,0.5,0.7224274868593,0.7414683839045332,0.7225406558251133,0.6810131658089955,0.5457395160865447,0.6636871508379888,0.6605508710004249,0.4288681204569055,0.22248427672955975,0.6005879026516855,0.7997212569111094,0.4689813419086859,0.5724499658422864,0.09791410334654371,0 days 00:00:06.531947
19,0.5,0.5039849397429135,0.5006364306290614,0.5026326312983205,0.9988638641983559,0.6855031675283725,0.3785377358490566,0.5,0.9949479940564636,0.9826478873239437,0.7264000193303659,0.6222156527499326,0.005052005943536386,0.017352112676056297,0.07886308834904476,0 days 00:00:09.041026
