number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_reg_lambda
0,0 days 00:01:33.942497,0.01,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
1,0 days 00:01:40.460069,0.025,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
2,0 days 00:01:40.163612,0.05,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
3,0 days 00:01:39.616834,0.075,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
4,0 days 00:01:35.647746,0.1,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
5,0 days 00:01:35.415219,0.15,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
6,0 days 00:01:40.503242,0.2,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
7,0 days 00:01:35.733148,0.5,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
8,0 days 00:01:40.198072,0.75,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
9,0 days 00:01:39.823722,1.0,0.15677836497102013,3,10.63466085826956,0.013558246067195023,322,0.9605220853605411
10,0 days 00:00:10.598281,0.01,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
11,0 days 00:00:10.953973,0.025,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
12,0 days 00:00:10.730790,0.05,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
13,0 days 00:00:10.589948,0.075,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
14,0 days 00:00:10.754807,0.1,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
15,0 days 00:00:10.318913,0.15,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
16,0 days 00:00:09.985852,0.2,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
17,0 days 00:00:11.865098,0.5,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
18,0 days 00:00:10.337006,0.75,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
19,0 days 00:00:10.466567,1.0,0.0359465047403875,4,3.3647566592522424,0.37057564948336047,24,6.338760875157755
20,0 days 00:00:57.334121,0.01,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
21,0 days 00:00:56.128672,0.025,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
22,0 days 00:00:55.954821,0.05,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
23,0 days 00:00:57.998851,0.075,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
24,0 days 00:00:55.082511,0.1,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
25,0 days 00:00:57.933672,0.15,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
26,0 days 00:01:03.899276,0.2,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
27,0 days 00:00:59.500640,0.5,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
28,0 days 00:00:54.986446,0.75,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
29,0 days 00:00:54.786121,1.0,0.10217168959646618,4,38.142019565335175,0.0280966097468033,181,0.18828066644741834
30,0 days 00:00:09.625448,0.01,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
31,0 days 00:00:09.453605,0.025,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
32,0 days 00:00:08.987204,0.05,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
33,0 days 00:00:09.918872,0.075,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
34,0 days 00:00:09.308783,0.1,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
35,0 days 00:00:09.134357,0.15,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
36,0 days 00:00:08.794595,0.2,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
37,0 days 00:00:09.716895,0.5,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
38,0 days 00:00:09.031729,0.75,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
39,0 days 00:00:09.160310,1.0,0.05304604879263109,2,58.294469911241826,0.035715242413849144,24,494.0063066360905
40,0 days 00:00:25.697433,0.01,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
41,0 days 00:00:24.769575,0.025,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
42,0 days 00:00:26.798190,0.05,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
43,0 days 00:00:24.394695,0.075,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
44,0 days 00:00:24.792899,0.1,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
45,0 days 00:00:24.544209,0.15,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
46,0 days 00:00:24.585393,0.2,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
47,0 days 00:00:24.330642,0.5,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
48,0 days 00:00:26.378608,0.75,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
49,0 days 00:00:24.024570,1.0,0.011645120338469518,3,5.537576304808889,0.018298200023621623,76,3.7294711740938524
50,0 days 00:00:11.146188,0.01,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
51,0 days 00:00:11.701806,0.025,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
52,0 days 00:00:10.530592,0.05,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
53,0 days 00:00:11.025469,0.075,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
54,0 days 00:00:11.056360,0.1,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
55,0 days 00:00:10.792290,0.15,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
56,0 days 00:00:11.196034,0.2,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
57,0 days 00:00:10.719205,0.5,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
58,0 days 00:00:11.222704,0.75,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
59,0 days 00:00:11.444776,1.0,0.07052020375160925,2,2.1597838292323916,0.17695376830874207,30,118.59511278727389
60,0 days 00:00:15.697930,0.01,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
61,0 days 00:00:16.194824,0.025,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
62,0 days 00:00:16.215632,0.05,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
63,0 days 00:00:15.994638,0.075,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
64,0 days 00:00:15.672447,0.1,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
65,0 days 00:00:15.334643,0.15,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
66,0 days 00:00:16.064249,0.2,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
67,0 days 00:00:15.691872,0.5,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
68,0 days 00:00:16.430722,0.75,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
69,0 days 00:00:15.595735,1.0,0.14709065022281576,3,6.0856358865172435,0.21185654391475128,46,2.6515409051389196
70,0 days 00:02:19.494069,0.01,0.21527972812841914,3,961.9527246318142,0.020626188015182317,489,0.4726889780533061
71,0 days 00:02:30.130346,0.025,0.21527972812841914,3,961.9527246318142,0.020626188015182317,489,0.4726889780533061
72,0 days 00:02:20.342449,0.05,0.21527972812841914,3,961.9527246318142,0.020626188015182317,489,0.4726889780533061
73,0 days 00:02:24.817105,0.075,0.21527972812841914,3,961.9527246318142,0.020626188015182317,489,0.4726889780533061
