acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.7,0.7095238095238094,0.8057142857142857,-0.06929101243871261,-0.02663706992230863,0.03809523809523807,0.6792452830188679,0.7058823529411765,0.6925638179800222,0.5333333333333333,0.5714285714285714,0.5523809523809524,0.6990950226244343,0.7219755826859044,0.7105353026551694
0.7,0.6333333333333333,0.7409523809523809,-0.0919146108429666,-0.06999999999999995,0.09375,0.78,0.85,0.815,0.65625,0.75,0.703125,0.5566666666666666,0.7583333333333333,0.6575
0.67,0.7261904761904763,0.7752380952380952,0.05111577469460693,-0.33000000000000007,-0.3249181860682562,0.35,0.68,0.515,0.22580645161290322,0.5507246376811594,0.38826554464703134,0.675,0.7347368421052631,0.7048684210526316
0.7,0.719047619047619,0.7942857142857143,-0.018437844904914957,-0.027972027972027913,-0.06451612903225812,0.6538461538461539,0.6818181818181818,0.6678321678321678,0.5,0.5645161290322581,0.532258064516129,0.702020202020202,0.7435897435897436,0.7228049728049728
0.71,0.7642857142857142,0.8347619047619047,0.0568852766295988,0.20085470085470092,0.11719939117199396,0.5769230769230769,0.7777777777777778,0.6773504273504274,0.4383561643835616,0.5555555555555556,0.4969558599695586,0.7408424908424909,0.8333333333333333,0.7870879120879121
0.64,0.6761904761904762,0.7780952380952381,-0.09899825644633947,0.125,0.16130416130416125,0.5,0.625,0.5625,0.3783783783783784,0.5396825396825397,0.459030459030459,0.65,0.6791666666666667,0.6645833333333333
0.66,0.680952380952381,0.7471428571428571,-0.09564558501400383,0.24,0.18087318087318088,0.56,0.8,0.68,0.47297297297297297,0.6538461538461539,0.5634095634095634,0.6341666666666668,0.8166666666666667,0.7254166666666667
0.72,0.6571428571428571,0.7719047619047619,-0.016324793619124423,0.12393162393162394,0.2252663622526636,0.7222222222222222,0.8461538461538461,0.7841880341880342,0.5555555555555556,0.7808219178082192,0.6681887366818874,0.6135531135531136,0.75,0.6817765567765568
0.69,0.7404761904761905,0.8123809523809523,-0.019886017047655524,-0.12,-0.06685366993922393,0.58,0.7,0.6399999999999999,0.4492753623188406,0.5161290322580645,0.48270219728845254,0.7373684210526316,0.759090909090909,0.7482296650717704
0.75,0.7357142857142858,0.8123809523809524,-0.012017918328787403,-0.030000000000000027,-0.024777933613838177,0.75,0.78,0.765,0.6129032258064516,0.6376811594202898,0.6252921926133708,0.6931818181818181,0.7584210526315789,0.7258014354066985
