acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.74,0.7285714285714285,0.8285714285714287,-0.20776244111826186,-0.009988901220865598,-0.01904761904761898,0.7547169811320755,0.7647058823529411,0.7597114317425083,0.6142857142857143,0.6333333333333333,0.6238095238095238,0.6515837104072397,0.7891231964483907,0.7203534534278152
0.54,0.5857142857142856,0.7219047619047619,-0.09484902949679852,0.09999999999999998,0.11213235294117646,0.4,0.5,0.45,0.34375,0.45588235294117646,0.3998161764705882,0.575,0.5833333333333333,0.5791666666666666
0.71,0.7166666666666666,0.7511904761904762,0.027919254045435604,-0.06999999999999995,-0.07807386629266011,0.65,0.72,0.685,0.5161290322580645,0.5942028985507246,0.5551659654043946,0.6886363636363637,0.7284210526315789,0.7085287081339713
0.74,0.7476190476190476,0.7999999999999999,-0.05949164014281644,-0.11888111888111885,-0.12903225806451613,0.6538461538461539,0.7727272727272727,0.7132867132867133,0.5,0.6290322580645161,0.564516129032258,0.7435897435897436,0.7474747474747474,0.7455322455322455
0.72,0.6857142857142857,0.8233333333333334,0.057957514594686066,0.08333333333333337,0.0091324200913242,0.75,0.8333333333333334,0.7916666666666667,0.6575342465753424,0.6666666666666666,0.6621004566210045,0.6607142857142857,0.75,0.7053571428571428
0.63,0.5642857142857143,0.7157142857142857,-0.34500827806273004,-0.06439393939393934,-0.10596310596310599,0.7083333333333334,0.7727272727272727,0.740530303030303,0.6507936507936508,0.7567567567567568,0.7037752037752039,0.5196969696969697,0.6208333333333333,0.5702651515151516
0.66,0.6619047619047619,0.7138095238095238,-0.2405638628463188,-0.010000000000000009,0.022869022869022815,0.65,0.66,0.655,0.5540540540540541,0.5769230769230769,0.5654885654885655,0.6583333333333333,0.6633333333333333,0.6608333333333334
0.68,0.6476190476190475,0.7209523809523809,-0.04408500754225131,0.08333333333333337,0.1156773211567732,0.6666666666666666,0.75,0.7083333333333333,0.5555555555555556,0.6712328767123288,0.6133942161339422,0.6369047619047619,0.6666666666666666,0.6517857142857142
0.66,0.7,0.7028571428571428,-0.046762567111888864,0.0,0.04114071996259938,0.6,0.6,0.6,0.45161290322580644,0.4927536231884058,0.47218326320710613,0.6947368421052631,0.7090909090909091,0.701913875598086
0.75,0.6690476190476191,0.7776190476190477,0.09147462105660292,-0.030000000000000027,-0.0406732117812062,0.85,0.88,0.865,0.7419354838709677,0.782608695652174,0.7622720897615709,0.6522727272727272,0.6768421052631579,0.6645574162679426
