fold,trial,model,params,roc,acc,eod,spd,eq_loss
0,0,XtremeFair_grad,"{'min_child_weight': 571.2189364268166, 'n_estimators': 11, 'eta': 0.10897657750668167, 'max_depth': 4, 'l2_weight': 0.2841816721082652, 'fair_weight': 0.022609163494613206, 'multiplier_learning_rate': 0.4468490772948784}",0.5,0.29,0.0,0.0,0.0
0,1,XtremeFair_grad,"{'min_child_weight': 793.6608658672415, 'n_estimators': 98, 'eta': 0.04275256862235077, 'max_depth': 2, 'l2_weight': 16.5999832870561, 'fair_weight': 0.43122555940098967, 'multiplier_learning_rate': 0.15016705901666041}",0.5,0.29,0.0,0.0,0.05453813653698991
0,2,XtremeFair_grad,"{'min_child_weight': 33.7939454942025, 'n_estimators': 18, 'eta': 0.18194754345829103, 'max_depth': 10, 'l2_weight': 9.259914589484492, 'fair_weight': 0.2782657861677291, 'multiplier_learning_rate': 0.12442410359184519}",0.7564351627003398,0.715,0.007838745800671898,0.04340277777777779,0.06911249890192916
0,3,XtremeFair_grad,"{'min_child_weight': 0.05927064146758699, 'n_estimators': 15, 'eta': 0.4968843835515836, 'max_depth': 6, 'l2_weight': 50.384906473700525, 'fair_weight': 0.02137657462127249, 'multiplier_learning_rate': 0.009136583026541639}",0.7782904322486643,0.64,0.12250839865621499,0.05034722222222221,0.03536637025309469
0,4,XtremeFair_grad,"{'min_child_weight': 276.6689057327953, 'n_estimators': 416, 'eta': 0.01126693323931002, 'max_depth': 2, 'l2_weight': 0.0379939643656024, 'fair_weight': 0.012804516099776748, 'multiplier_learning_rate': 0.11176152239495933}",0.5,0.29,0.0,0.0,0.055188490803576906
0,5,XtremeFair_grad,"{'min_child_weight': 71.48169760584335, 'n_estimators': 32, 'eta': 0.46346713022644576, 'max_depth': 6, 'l2_weight': 4.473172525330699, 'fair_weight': 0.5683729228395406, 'multiplier_learning_rate': 0.07369609311265535}",0.7558280718795533,0.69,0.007390817469204891,-0.01041666666666663,0.06922053224876462
1,0,XtremeFair_grad,"{'min_child_weight': 0.057477558483483904, 'n_estimators': 37, 'eta': 0.05776473546232459, 'max_depth': 3, 'l2_weight': 0.9301791239799382, 'fair_weight': 0.4312058476846343, 'multiplier_learning_rate': 0.09938194833566626}",0.7509106362311802,0.72,-0.00246360582306826,0.03211805555555558,0.07598557708926124
1,1,XtremeFair_grad,"{'min_child_weight': 769.3449423886857, 'n_estimators': 10, 'eta': 0.01573149841107425, 'max_depth': 6, 'l2_weight': 0.009126763326792183, 'fair_weight': 0.022054356873226526, 'multiplier_learning_rate': 0.07736734959724618}",0.5,0.29,0.0,0.0,0.0
1,2,XtremeFair_grad,"{'min_child_weight': 689.9858862330381, 'n_estimators': 91, 'eta': 0.21208654259401177, 'max_depth': 6, 'l2_weight': 0.07144611408668441, 'fair_weight': 0.7391151890861627, 'multiplier_learning_rate': 0.008088297840802415}",0.5,0.29,0.0,0.0,0.0
1,3,XtremeFair_grad,"{'min_child_weight': 919.4561624130981, 'n_estimators': 174, 'eta': 0.04807599875707323, 'max_depth': 4, 'l2_weight': 0.0029079521842914325, 'fair_weight': 0.1641111304682389, 'multiplier_learning_rate': 0.15429529446217924}",0.5,0.29,0.0,0.0,0.05372841341278156
1,4,XtremeFair_grad,"{'min_child_weight': 785.9954768313213, 'n_estimators': 181, 'eta': 0.0484803711589005, 'max_depth': 8, 'l2_weight': 0.0011833294037652388, 'fair_weight': 0.2534370062719639, 'multiplier_learning_rate': 0.1467565043716443}",0.5,0.29,0.0,0.0,0.06687190330698711
2,0,XtremeFair_grad,"{'min_child_weight': 185.20533515637663, 'n_estimators': 86, 'eta': 0.03203085663348223, 'max_depth': 9, 'l2_weight': 0.00310980568060902, 'fair_weight': 0.40122263891117627, 'multiplier_learning_rate': 0.011704823684706378}",0.5,0.29,0.0,0.0,-0.030744790416802448
2,1,XtremeFair_grad,"{'min_child_weight': 1.3306673988469957, 'n_estimators': 29, 'eta': 0.026413332967126512, 'max_depth': 9, 'l2_weight': 0.006753265504161602, 'fair_weight': 7.469991611218675, 'multiplier_learning_rate': 0.41780327352425767}",0.6948154443904808,0.685,-0.08264277715565516,-0.08854166666666663,-0.010429393686569144
2,2,XtremeFair_grad,"{'min_child_weight': 136.30012362848376, 'n_estimators': 13, 'eta': 0.011944054017161114, 'max_depth': 10, 'l2_weight': 349.6695261390004, 'fair_weight': 7.6553490643436115, 'multiplier_learning_rate': 0.00912951333051299}",0.5,0.29,0.0,0.0,0.0
2,3,XtremeFair_grad,"{'min_child_weight': 81.88379460698846, 'n_estimators': 30, 'eta': 0.027879015275363798, 'max_depth': 9, 'l2_weight': 0.23043047900454305, 'fair_weight': 0.015194778653899932, 'multiplier_learning_rate': 0.37309582908971095}",0.6048445847498786,0.29,0.0,0.0,-0.036214621083720755
