acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.7,0.6619047619047619,0.774047619047619,0.3459081578665047,0.375,0.4821428571428571,0.625,1.0,0.7857638888888889,0.375,0.8571428571428571,0.6390165441176471,0.3333333333333333,1.0,0.6942708333333334
0.66,0.680952380952381,0.7340476190476192,0.33582200052842337,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,0.6467509920634921,0.3333333333333333,0.6666666666666666,0.5091991341991342,0.3333333333333333,1.0,0.6934647817460317
0.64,0.6571428571428571,0.7045238095238093,0.43658296069898117,0.625,0.5,0.375,1.0,0.621875,0.25,0.75,0.5515005827505827,0.5,1.0,0.6524553571428571
0.61,0.5976190476190476,0.7002380952380952,0.6330033083772231,1.0,0.6,0.0,1.0,0.6289772727272727,0.4,1.0,0.645289408866995,0.0,1.0,0.5682088744588745
0.77,0.7404761904761905,0.8400000000000001,0.23313271933262553,0.5,0.3625,0.5,1.0,0.7885708041958042,0.45,0.8125,0.6721974206349206,0.5,1.0,0.7386306401931402
0.7,0.719047619047619,0.7635714285714286,0.4489453532652893,0.5,0.4153846153846154,0.5,1.0,0.6997481684981685,0.38461538461538464,0.8,0.5906207827260459,0.3333333333333333,1.0,0.7300824175824175
0.68,0.6761904761904762,0.7135714285714285,0.39460766326055363,0.46153846153846156,0.5,0.5384615384615384,1.0,0.7545883940620783,0.5,1.0,0.6401289682539681,0.3333333333333333,1.0,0.7173983636977058
0.55,0.5928571428571429,0.6376190476190476,8.748414577770305,0.7142857142857143,0.6666666666666666,0.0,0.7142857142857143,0.41059981684981683,0.0,0.6666666666666666,0.41039832487200906,0.0,0.6904761904761905,0.4719665750915751
0.67,0.6595238095238095,0.7361904761904762,0.3072911038017987,0.5555555555555556,0.5416666666666667,0.4444444444444444,1.0,0.7035818713450293,0.3333333333333333,0.875,0.610648148148148,0.38888888888888884,1.0,0.7087353801169591
0.72,0.7523809523809524,0.7773809523809524,0.5793801457029186,0.6,0.7391304347826086,0.4,1.0,0.7317460317460317,0.2608695652173913,1.0,0.5847446384131166,0.6388888888888888,1.0,0.7825396825396825
