acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.77,0.7690476190476191,0.8442857142857143,2.2437160332500743,0.5,0.625,0.5,1.0,0.7694444444444444,0.375,1.0,0.5962119222689075,0.5,1.0,0.7663194444444444
0.77,0.6833333333333333,0.7523809523809524,0.7299504885595616,0.2222222222222222,0.5333333333333333,0.7777777777777778,1.0,0.9154513888888889,0.4666666666666667,1.0,0.7881764069264069,0.4166666666666667,1.0,0.7724578373015873
0.72,0.6,0.8314285714285715,1.2307655916245694,0.30000000000000004,0.33333333333333337,0.7,1.0,0.9138888888888889,0.6666666666666666,1.0,0.8408665986790986,0.35,1.0,0.6556051587301588
0.7,0.6714285714285715,0.7338095238095237,0.9030384887747603,1.0,0.6,0.0,1.0,0.6975649350649351,0.4,1.0,0.6891625615763547,0.0,1.0,0.611431277056277
0.71,0.65,0.8128571428571431,1.810495540951832,0.5,0.4375,0.5,1.0,0.7782876845376845,0.5,0.9375,0.690203373015873,0.5,0.875,0.6730724136974138
0.62,0.661904761904762,0.7471428571428572,0.9669595602666944,0.75,0.5277777777777778,0.25,1.0,0.5926115551115552,0.2222222222222222,0.75,0.5146725989653621,0.3333333333333333,1.0,0.6692224442224441
0.64,0.638095238095238,0.7071428571428571,1.6957679037312272,0.5,0.4166666666666667,0.5,1.0,0.6635458839406208,0.3333333333333333,0.75,0.5687003968253967,0.5076923076923077,0.8333333333333333,0.6906271086369771
0.77,0.6738095238095239,0.8057142857142857,2.0693443118900707,0.25,0.4285714285714286,0.75,1.0,0.8981227106227105,0.5714285714285714,1.0,0.8116157112867639,0.5,1.0,0.7110405219780219
0.71,0.6214285714285714,0.7147619047619048,0.8216629778665517,0.4444444444444444,0.4666666666666667,0.5555555555555556,1.0,0.8976608187134503,0.5333333333333333,1.0,0.8238425925925925,0.46842105263157896,1.0,0.6054276315789474
0.75,0.6785714285714286,0.8002380952380953,0.6008058175233926,0.4,0.5,0.6,1.0,0.8672619047619048,0.5,1.0,0.7721417069243156,0.5,1.0,0.7200892857142858
