acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.75,0.7357142857142858,0.8295238095238096,0.6454858800035561,0.5,0.53125,0.5,1.0,0.7658564814814814,0.25,0.78125,0.5919445903361344,0.3333333333333333,1.0,0.7450810185185185
0.66,0.6714285714285715,0.7092857142857143,0.260974444957769,1.0,1.0,0.0,1.0,0.6675843253968254,0.0,1.0,0.5505952380952381,0.0,1.0,0.6220362103174604
0.69,0.6833333333333333,0.7895238095238095,0.45401898915325206,0.625,0.5227272727272727,0.375,1.0,0.6815972222222222,0.25,0.7727272727272727,0.5737543706293706,0.5138888888888888,1.0,0.6875248015873017
0.67,0.6880952380952381,0.7385714285714285,1.160773198884779,1.0,0.8,0.0,1.0,0.611525974025974,0.2,1.0,0.5917077175697866,0.0,1.0,0.6137987012987013
0.72,0.7238095238095238,0.8409523809523809,1.0323367039109896,1.0,0.8125,0.0,1.0,0.6650398212898213,0.0,0.8125,0.5267609126984126,0.0,1.0,0.6619841963591964
0.64,0.6857142857142857,0.7785714285714287,0.6201168359215219,0.75,0.55,0.25,1.0,0.6077901265401265,0.2,0.75,0.5205121176338282,0.3333333333333333,1.0,0.6903533966033966
0.71,0.6595238095238095,0.7128571428571429,2.0832126289597173,0.368421052631579,0.4285714285714286,0.631578947368421,1.0,0.8488191632928475,0.5714285714285714,1.0,0.7180059523809523,0.5157894736842106,1.0,0.7660762483130904
0.78,0.7571428571428571,0.7795238095238096,2.156082327658801,0.5,0.5714285714285714,0.5,1.0,0.7746108058608059,0.42857142857142855,1.0,0.6853973877000192,0.25,1.0,0.7242845695970695
0.69,0.7119047619047619,0.7847619047619049,0.7449671013773262,0.5555555555555556,0.6666666666666667,0.4444444444444444,1.0,0.7598684210526316,0.3333333333333333,1.0,0.6274305555555555,0.5,1.0,0.7650036549707603
0.67,0.7071428571428572,0.7930952380952381,0.5719200629064392,0.75,0.7391304347826086,0.25,1.0,0.6856150793650794,0.2608695652173913,1.0,0.5534946384131167,0.4583333333333333,1.0,0.7438492063492064
