acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.76,0.7238095238095238,0.8266666666666668,0.2543463720549416,0.25,0.34615384615384615,0.75,1.0,0.8380102040816326,0.6538461538461539,1.0,0.7480969551282051,0.5,0.8081632653061225,0.6440051020408163
0.59,0.65,0.7442857142857143,0.14208597998388922,0.07638888888888895,0.11282051282051286,0.4444444444444444,0.5208333333333334,0.4913194444444444,0.3333333333333333,0.4461538461538462,0.3644120247568523,0.6313131313131313,0.75,0.6935206847890671
0.74,0.5952380952380952,0.7471428571428571,1.165074403843755,0.11111111111111116,0.14814814814814814,0.8888888888888888,1.0,0.9600271002710027,0.8518518518518519,1.0,0.9201998050682261,0.4444444444444444,0.7222222222222222,0.559006605691057
0.75,0.6690476190476191,0.7395238095238096,0.9353476778734832,0.30434782608695654,0.4,0.6956521739130435,1.0,0.9120082815734989,0.6,1.0,0.8612068965517241,0.5,1.0,0.7086083074534162
0.74,0.680952380952381,0.7947619047619048,3.548346439637175,0.875,0.7777777777777778,0.0,0.875,0.6348596256684491,0.0,0.7777777777777778,0.5454059829059829,0.0,0.9375,0.582013146167558
0.71,0.7166666666666666,0.769047619047619,0.8259261863657259,0.24868421052631584,0.32575757575757575,0.5263157894736842,0.775,0.6794956140350877,0.42424242424242425,0.75,0.6113053613053613,0.3333333333333333,0.8041666666666667,0.6165335213032582
0.75,0.6880952380952381,0.71,0.730242116116604,0.18604651162790697,0.11594202898550732,0.813953488372093,1.0,0.9118217054263567,0.6666666666666666,0.782608695652174,0.7157236325090922,0.6166666666666667,1.0,0.7767441860465116
0.72,0.7047619047619047,0.7657142857142858,0.7515150736440457,0.3666666666666667,0.45833333333333337,0.4666666666666667,0.8333333333333334,0.6791666666666666,0.375,0.8333333333333334,0.6403917910447761,0.375,0.7587719298245614,0.6056652046783626
0.77,0.75,0.7876190476190477,0.7400896889702777,0.2727272727272727,0.4032258064516129,0.7272727272727273,1.0,0.8536931818181819,0.5967741935483871,1.0,0.7533602150537635,0.5,0.8323863636363636,0.7017834595959596
0.64,0.7238095238095238,0.7576190476190475,0.3543409583748568,0.35,0.35714285714285715,0.25,0.6,0.4538043478260869,0.14285714285714285,0.5,0.3395852534562212,0.625,0.8,0.7065896739130435
