,acc,roc,eq_loss,eod,spd
0,0.61,0.6965333333333334,3.27702560390038,0.631578947368421,0.7096774193548387
1,0.59,0.47535052012663953,,1.0,1.0
2,0.56,0.5062003968253969,,0.75,0.7741935483870968
3,0.73,0.7905815972222223,124.41612948097725,0.5,0.6666666666666667
4,0.28,0.5793650793650793,,0.0,0.0
5,0.71,0.48883815322171487,inf,0.5714285714285714,0.7
6,0.66,0.6777476255088195,inf,0.42276422764227645,0.3866995073891626
7,0.66,0.5930999492643328,inf,0.5617615467239527,0.8064516129032258
8,0.69,0.5456532297231667,,1.0,1.0
9,0.64,0.6622103386809268,2.1554134970747016,0.7666666666666667,0.5238095238095237
