,acc,roc,eq_loss,eod,spd
0,0.55,0.7376,1.0772048112946742,0.4166666666666667,0.55
1,0.61,0.6698326549072818,0.16656419256536603,0.5526315789473684,0.5714285714285714
2,0.76,0.8363095238095238,0.6359558713184126,0.3529411764705882,0.5483870967741935
3,0.61,0.7131076388888888,0.048952041528927515,0.1339285714285714,0.17857142857142855
4,0.72,0.7782738095238095,0.47431461320692403,0.33333333333333337,0.35
5,0.74,0.8061897513952309,0.700253716358638,0.05042016806722682,0.25
6,0.71,0.8186341022161917,0.3137345110040263,0.10162601626016265,0.2142857142857143
7,0.73,0.808726534753932,0.4034117824324588,0.27368421052631586,0.6935483870967742
8,0.69,0.6881981544439049,0.31594933670357617,0.3076923076923077,0.44999999999999996
9,0.77,0.8074866310160428,0.214665816459512,0.23809523809523814,0.33333333333333337
