model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.6971566227920027,0.5395975666475809,0.6726690809218467,0.7916007459237875,0.6448288655782412,0.6235205368987852,0.6697713899746014,0.7199168248802097,0.4126408305314694,0.6635279473994814,0.7256177307360424,0.11014969396679697,0.21979160190096303,0.04666017242986509,0 days 00:02:42.377090
1,0.5,0.7305383477303136,0.6874558335362269,0.7567642939914444,0.6293895059614099,0.5547247879096819,0.7266023836910501,0.6866259694402848,0.5168627450980392,0.17566212469769363,0.5789904555185732,0.7522768427514893,0.22970254768574094,0.32878536076245013,0.0894783020735273,0 days 00:00:56.510817
2,0.5,0.64849419098003,0.4734614410393301,0.5939873166026859,0.8587175765088375,0.6867639563309814,0.17996814723057866,0.5,0.777599437325855,0.4951002184650715,0.7525002752627035,0.6643907345230531,0.22240056267414499,0.5048997815349285,0.07902141924205286,0 days 00:00:09.682788
3,0.5,0.5,0.3703596313982041,0.3703596313982041,1.0,0.74403531898507,0.17996814723057866,0.5,1.0,1.0,0.8677028478602818,0.5210877348890647,0.0,0.0,0.17066426078519858,0 days 00:00:22.427968
4,0.5,0.7276092099882185,0.679161565811285,0.7528177217203431,0.6303844334621846,0.6298452199423472,0.7236239935390715,0.6831792885691613,0.5158823529411765,0.1882852592461511,0.6416963474666286,0.707169361125413,0.2278151260504202,0.31472534629609994,0.0414266410537506,0 days 00:00:28.867043
5,0.5,0.526975780522414,0.3834018331082477,0.4046877627063015,0.9986190623759739,0.6983206120433972,0.17996814723057866,0.5,0.997365814704769,0.9140672034458286,0.7641567655806354,0.6245511308119006,0.002634185295230962,0.08593279655417141,0.08613559571684504,0 days 00:02:14.933584
6,0.5,0.7643448525934935,0.715645997637127,0.783636222687354,0.6899414460700364,0.4495518499043198,0.7626000342624997,0.7153667292058598,0.5003277613897082,0.14711260543856544,0.4781249769076643,0.8627393491175481,0.34914536119265804,0.43550798984025774,0.12367892217738302,0 days 00:00:28.138716
7,0.5,0.7550417801373487,0.6757080165199547,0.7665340739197013,0.7107180331968705,0.6349867128655451,0.7470081495802844,0.7163247351634645,0.5494919698459522,0.18197369197192237,0.6612190870398895,0.6734780516314619,0.3128529681292379,0.4319503586609891,0.039669413419213484,0 days 00:00:37.723210
8,0.5,0.6994271986176509,0.5453667167405145,0.6778620451499949,0.7826001859372707,0.5573154793284588,0.17996814723057866,0.5,0.6351815616010965,0.2912213042992071,0.7606556061624964,0.6158454635594478,0.3648184383989035,0.7087786957007929,0.2655706240824695,0 days 00:00:21.635429
9,0.5,0.7587176571890787,0.7256825546473603,0.7829173827379747,0.6653835907640282,0.4604637525388262,0.7601502655343726,0.6821570397801155,0.4343137254901961,0.1267622249749307,0.4908256699400905,0.8890095945736624,0.3485327464319061,0.3804563860411486,0.13220601512090474,0 days 00:00:12.510146
10,0.5,0.746944824828271,0.711442133384219,0.7724337967535416,0.6486383628821364,0.5384670948523579,0.7501602995521401,0.6932013086011942,0.48180924287118976,0.14678817908334807,0.5606754319643371,0.7571327098386165,0.3011039223949167,0.3728833912211337,0.08951640197704563,0 days 00:00:44.759143
11,0.5,0.7642924915511606,0.7221248549067381,0.7853104955666502,0.6832297630115314,0.44376100400751556,0.7639215878221287,0.6935017943019717,0.46705882352941175,0.15734678228042234,0.4746214140871492,0.8911218553005122,0.3501347205548886,0.38377535251259853,0.11328663403254363,0 days 00:00:09.972194
12,0.5,0.763812756153228,0.7263041699068856,0.7860927625703864,0.6778827072901545,0.443165906738164,0.7639582976432295,0.688109581648935,0.4396337974442113,0.1267622249749307,0.4752234775908855,0.9590007812906359,0.364621237903261,0.3983489621615729,0.1417105927103855,0 days 00:00:33.374970
13,0.5,0.7455815359092157,0.6915603665870474,0.7662562030148993,0.6658429971783204,0.653423357429109,0.742977411223416,0.7121317463358958,0.5209767289413307,0.16699109302188403,0.6588261250331781,0.6979603158931018,0.30081865587926415,0.4029370629822214,0.02134267185721106,0 days 00:00:42.220714
14,0.5,0.7134423830374449,0.6918160272311429,0.748441254969711,0.5784579167414221,0.6807525589977433,0.711622329360515,0.6658777743296447,0.4625490196078431,0.1742464460567451,0.6832633669612095,0.6952812381456018,0.2604735227424303,0.30762149783651527,0.008487023313312636,0 days 00:00:24.476312
15,0.5,0.7670292921203802,0.7091061447924397,0.783394595813613,0.7039112067981276,0.4592963887441318,0.7637551699664717,0.7261528485628574,0.5827450980392157,0.18834424585619064,0.4763991816705453,0.6994744582846648,0.2209096972122182,0.338306455478055,0.03515052225169435,0 days 00:00:19.691500
16,0.5,0.7436395549917713,0.694165676874437,0.7659138982770997,0.6577313478277417,0.5706887976970416,0.7400381782139448,0.7034791216702664,0.5334316617502458,0.17395151300654751,0.584617247506098,0.7017569379237497,0.2615529987806332,0.36799169602526904,0.04769915392739288,0 days 00:00:19.388101
