number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:02:42.377090,0.1492652037858797,0.013110949402241277,0.04830675485423307,0.0028147492519681938,385,32,0.6957556620579729
1,0 days 00:00:56.510817,0.02036207114282753,0.0011370618051936953,0.011201936044439567,0.0036063328733022763,113,51,128.4609849733649
2,0 days 00:00:09.682788,0.0045666400761092294,0.013919305817949791,0.43627713138172264,0.011897012980385924,22,3,0.18556300255369035
3,0 days 00:00:22.427968,0.8792477787691814,0.006854048291532582,0.016892028107901847,0.06594618966128686,41,51,0.013087128522835818
4,0 days 00:00:28.867043,0.022907346037564693,0.09515157445508407,0.011938268470100339,0.001525122270997845,61,18,67.5769501040896
5,0 days 00:02:14.933584,0.011258741515812295,0.0011023547587300459,44.39935255554738,0.0017771622433889502,383,6,0.17081718054858175
6,0 days 00:00:28.138716,0.6991930428310421,0.0024784467658291428,0.5405164684680416,0.09101391669738783,57,51,18.589479617361146
7,0 days 00:00:37.723210,0.11248039546978067,0.0037420072637444016,0.11557523914812452,0.03377604461275247,68,54,319.30267496572725
8,0 days 00:00:21.635429,0.45999248319005276,0.002620878082223234,2.2556649069416914,0.0042527303562121576,56,7,5.062551131014494
9,0 days 00:00:12.510146,0.0014177704902903524,0.030958151558548128,0.006009535338645044,0.04721435803537145,25,14,56.30237875084872
10,0 days 00:00:44.759143,0.006719240177360658,0.05860331343825885,2.2694728922672724,0.07072269328362549,111,22,0.035556784670222726
11,0 days 00:00:09.972194,0.0030864737179497875,0.011619718500589857,0.08400675569106636,0.06014041378125711,21,16,0.0011671623170047894
12,0 days 00:00:33.374970,0.0023087197929994247,0.05938635319118088,83.16549771803186,0.025206505003914505,66,61,0.002052010399611741
13,0 days 00:00:42.220714,0.053660067306872665,0.057493660505918594,0.005294570524051954,0.029237321654061565,101,25,17.337797465956026
14,0 days 00:00:24.476312,0.2335349027851655,0.03524841951120434,0.003254129021325573,0.0023404822274917703,46,60,0.08046861650691135
15,0 days 00:00:19.691500,0.0012806607587011927,0.05834397143567436,0.9442219318053408,0.001345404615780721,38,60,0.039588979394660745
16,0 days 00:00:19.388101,0.001465133211284634,0.019820362584195006,57.347532820108924,0.017446388504228704,38,46,0.08021562773872903
17,0 days 00:02:12.817243,0.002731441677393706,0.0011639042898491602,696.7152709177764,0.02270641727505535,412,3,0.0027848844442052195
18,0 days 00:00:10.131025,0.011586452014713084,0.002061925186561793,3.869644655768448,0.027500954782595934,21,12,30.882027882173734
19,0 days 00:00:36.864569,0.04104614306666381,0.04525512017762667,969.408810877278,0.016151279989205562,76,54,0.06676369490783524
20,0 days 00:00:33.899459,0.004487814021889334,0.006304550597394695,0.005371768061316155,0.01139220794519793,69,50,2.4869847755468752
21,0 days 00:00:13.929142,0.04924308302123468,0.02151723224778723,0.0013578099989075697,0.06874316810281568,29,27,3.4491942266977866
22,0 days 00:01:22.745365,0.055079463159605505,0.0917739880400921,0.03821470238140575,0.0025260957935468653,203,47,0.020279305446347436
23,0 days 00:02:31.452090,0.015957371243797244,0.05874117959353982,0.714163296514898,0.002987145452373646,345,46,610.116498290093
24,0 days 00:01:42.425665,0.004028757321108487,0.008672009190416729,0.0023801643726221035,0.06809248994168855,229,46,202.54044292172665
25,0 days 00:00:54.306151,0.3836795757304371,0.005805757813005156,448.7755851766791,0.007647856223634584,141,17,1.2499885552426633
26,0 days 00:00:17.624481,0.0020393839171433748,0.0016452580134448036,349.58282649384273,0.002719666898788169,34,49,0.005246362997137908
27,0 days 00:01:50.692819,0.008257950403734879,0.007752894360273098,0.30013627207861576,0.0039039369898827324,293,17,2.37661148398384
28,0 days 00:00:13.592548,0.00828073141807407,0.024202759905001068,0.0013039646343217682,0.00916152017535685,30,24,11.2442163095571
29,0 days 00:01:06.844495,0.015070025306619567,0.02479463936882099,44.38098090366886,0.033827850412610876,151,25,0.0028833777252907367
30,0 days 00:01:19.008876,0.0018385885179401456,0.021163151526941645,76.51147911148144,0.008095728563745347,182,49,249.1932681375252
31,0 days 00:01:14.530005,0.013167050708345923,0.00505921328130159,0.5310693236950973,0.05283629879274097,204,16,90.31386914375229
32,0 days 00:01:26.346011,0.4490805953374412,0.06957558033285725,2.3250077330310734,0.04177889730298384,213,28,447.55100171337
33,0 days 00:00:34.176628,0.0012512409034937254,0.0010036972765747733,0.02939756153071162,0.0016201595153874347,81,23,0.39016385887758337
34,0 days 00:01:24.970734,0.0012492143213289222,0.06436685408725328,0.058550804012003646,0.002119816791005113,229,23,0.002032499687419469
35,0 days 00:00:39.312124,0.058040302734498804,0.007060393348238349,0.5498507721748791,0.018461958751372968,86,44,0.5285197691628969
36,0 days 00:03:47.463624,0.1558051164237471,0.001358892973270811,5.1086340111888076,0.0045338534365111085,497,57,3.6742571476537775
37,0 days 00:00:39.465422,0.032427736575501395,0.038653379248000816,0.0014530218472339448,0.011216252062870856,116,4,4.819620891703704
38,0 days 00:00:41.451516,0.01804906029655825,0.003643205168767659,9.156356390857617,0.0016495913879758365,95,26,0.19072066215157918
39,0 days 00:01:11.686982,0.0058668962580160685,0.03604495056966829,112.75822681015684,0.00411157701840343,172,33,21.899758148494225
40,0 days 00:01:26.843545,0.016061882815474333,0.043667494955477004,5.502810704666987,0.008864797839289174,225,19,314.9604344178426
41,0 days 00:01:32.754930,0.7732462443112305,0.017989484603252465,31.67185992139713,0.023258843639535776,283,7,0.004802127917908973
42,0 days 00:00:50.987889,0.02534792070662988,0.0010985372987117367,98.41441309657955,0.07859448157403533,120,27,0.03573562131262271
43,0 days 00:00:28.681480,0.14504905470707305,0.09839781992753367,0.04349000158050643,0.012787143821452893,64,38,0.021336561918668902
44,0 days 00:00:17.288892,0.0013062117955072261,0.008387775049608644,2.5222803310446023,0.0013580460905924126,38,21,0.0174666122347979
45,0 days 00:00:58.707989,0.015979562419996745,0.0010389337553963027,814.0378660216209,0.006374362217750999,178,7,0.01064857272252359
46,0 days 00:00:21.883276,0.41458069001178716,0.0019964133060296025,2.0212015941284465,0.00824992924516385,44,56,0.0027090501084436405
47,0 days 00:00:33.720651,0.002097253141637397,0.08872585691625312,31.549624670645105,0.006816287910280117,75,37,0.1451454834827656
48,0 days 00:00:48.277475,0.1509470010892907,0.0019065765865435218,96.48822567821895,0.003118472507730678,119,22,1.7645038667571564
49,0 days 00:02:26.557909,0.1307253325953125,0.0030601005025619253,2.8920849394716193,0.06594261950545996,352,40,0.0487278205725314
50,0 days 00:00:10.400664,0.8254628227305784,0.07266308437599507,127.99592412132641,0.012522565543800622,20,26,3.179550338315062
51,0 days 00:02:24.556954,0.12767459564278363,0.01584704369807829,0.7960438111015737,0.013784778358118012,297,61,0.0327856795257261
52,0 days 00:01:27.724970,0.09343579938744116,0.09957863886817173,20.909475500486117,0.02275534805970012,257,31,0.012860745110344048
53,0 days 00:00:16.401051,0.015053629621562585,0.011047606489695504,9.823862248541639,0.001471912596065973,35,31,0.023806954376188145
54,0 days 00:02:05.964304,0.09739727105490126,0.001255378197874548,0.016607394294409415,0.014401691008744465,275,48,0.004751997495353663
55,0 days 00:00:35.619625,0.017878664048649132,0.002055883164549159,519.2109679346236,0.0488539789758455,74,43,117.27622225779753
56,0 days 00:00:08.622488,0.004228248649920872,0.004162854950008969,393.42914110176724,0.016571881770650904,20,9,326.6272772027359
57,0 days 00:00:31.262380,0.005178773990058077,0.0011274967003017111,0.021080031776632764,0.0036155289329585535,76,29,112.35427486863522
58,0 days 00:01:22.852334,0.07616498836771525,0.026840172939413084,0.08964260299862181,0.039336288766148565,190,38,17.19501861557853
59,0 days 00:02:17.680368,0.06046679960942792,0.002118594698626284,0.010186930015772639,0.009293386711397214,294,52,0.7025719100215199
60,0 days 00:02:37.067973,0.2681786886812308,0.01170600087988059,18.08003367416053,0.023891476131848742,349,59,0.011198393019962682
61,0 days 00:01:36.217564,0.009399281090464931,0.004111469059407056,17.952697773307342,0.0031520358352720972,204,59,98.67015474087876
62,0 days 00:00:35.244913,0.06671028424434737,0.04553783945066885,0.15304210742560853,0.049226219445611646,98,13,87.8081070294368
63,0 days 00:00:21.116395,0.17642266987701835,0.005316854941079983,0.0013787313575360847,0.040250888074662934,48,40,55.94402495050862
64,0 days 00:01:23.666121,0.02114521140661789,0.003036411124688813,27.6059089214743,0.008330574821731301,253,8,0.00933660295849214
65,0 days 00:01:06.640910,0.012330360636754559,0.004091031936902514,0.0012300598960067785,0.0010192410551942944,174,23,2.982543302156248
66,0 days 00:01:14.425583,0.012159263330617422,0.0014879985552971398,1.6334678264884077,0.0040161749722925615,160,57,44.83544221369678
67,0 days 00:00:17.810836,0.05403033244641394,0.0031692030127406174,0.5593023121877411,0.08233377303350543,41,27,0.0019640688840507838
68,0 days 00:00:55.706202,0.009144513135299698,0.041420058691937545,1.6834439690761618,0.05432861802090926,128,36,0.010677409564604423
69,0 days 00:00:58.799911,0.0024326578127947234,0.0029541669646404897,0.03848861056006505,0.06331335873826512,113,50,0.07622485380447579
70,0 days 00:01:52.800758,0.9936822119648151,0.0029413791203094187,0.29297518020908164,0.01943564644866454,280,31,0.023383956315054227
71,0 days 00:00:11.888294,0.6225572609548884,0.03777431233902579,17.66076809422699,0.012004029300171718,27,20,0.042849047431718086
72,0 days 00:00:28.658535,0.08266762838674134,0.005441058053710496,0.004458316481318322,0.01604765382823923,57,62,0.0036400719663743967
73,0 days 00:00:34.240122,0.017911572691268918,0.0016412594850469817,4.634267190390229,0.02393585664056574,78,34,32.378994525999616
74,0 days 00:00:19.311879,0.006411056700909081,0.056521989769486684,14.347244686750336,0.014470120854221067,55,6,0.0010566196640190186
75,0 days 00:02:29.642849,0.019703864890595373,0.05683516821322398,0.04394924990663565,0.010492338546437177,363,38,406.63546872113375
76,0 days 00:00:13.360997,0.461445435251689,0.023591917780997864,0.0028166937125458868,0.016823502535321604,28,29,15.040532613953841
77,0 days 00:00:17.889307,0.48446953424720385,0.0045180981072294605,285.1000261937039,0.019575620866988545,37,36,0.039977700352763414
78,0 days 00:01:47.071421,0.8145380424561752,0.06989618613742486,0.0010356455860886244,0.0016873948653228167,258,58,1.311787199046443
79,0 days 00:01:15.398885,0.6317428786273942,0.03297103595973262,19.49849722488125,0.0030650050291790767,216,16,601.0556734740222
80,0 days 00:00:17.643962,0.048143822493533765,0.016821978241192227,2.8674374229015984,0.0027317309047765535,34,26,80.87497068809724
81,0 days 00:01:03.878639,0.009054583593481174,0.004960438898240104,0.3458579355653635,0.01780639890930568,176,13,0.0018458060941228176
82,0 days 00:00:44.859527,0.12260546468457954,0.06613170988466378,0.7039788761872187,0.0050364948530581275,95,59,0.9549056762701147
83,0 days 00:00:14.118093,0.00209723519408113,0.0012823580512346276,0.3493418844544635,0.0014823779021151647,30,28,1.1066215602645468
84,0 days 00:00:33.479570,0.3839894950115192,0.014452672356409567,0.13085590663374227,0.07071539460947664,72,48,0.0209823754108595
85,0 days 00:00:36.402614,0.2533853860910901,0.03334540490118165,850.3794975446046,0.002069044259483351,82,37,1.302123021866225
86,0 days 00:01:21.537843,0.21983194548633997,0.029937171998862422,0.36953224201642154,0.049010177563960006,198,34,208.8471371831414
87,0 days 00:01:40.154358,0.05237269784944436,0.0367817752294104,0.005516098625398977,0.01785446576747393,221,62,0.45169351920444945
88,0 days 00:02:05.296410,0.01513459672873155,0.002545746717087692,0.016683282993861327,0.06212802416674457,349,17,73.09850688003954
89,0 days 00:02:37.920751,0.03506442848944151,0.03977576449973723,493.6639238581573,0.004157195626284168,346,54,373.8963525752804
90,0 days 00:00:23.613496,0.007220238795901716,0.009035712151455775,0.0010226472481492407,0.0032521443864154944,58,17,113.0511932770033
91,0 days 00:00:37.623160,0.00266262125130484,0.010870697617238322,6.788888955960503,0.004703601473748166,78,61,0.11138476263895856
92,0 days 00:00:16.958968,0.49752106773800064,0.024933213405224728,0.005643414672324086,0.04903734247485104,33,41,0.0054083207926557885
93,0 days 00:00:20.055190,0.033224014433429726,0.07232153449837653,2.6064426597285726,0.0012256789759632523,39,57,0.002975377554783145
94,0 days 00:00:27.361051,0.016613192157998696,0.004617746950116364,0.016718529070226845,0.011992527078091937,75,7,0.025878890006918745
95,0 days 00:00:24.195861,0.09156559524427799,0.09538649805600286,444.2912621574653,0.025527143093397923,49,56,0.001041016530110923
96,0 days 00:01:22.461633,0.0257713451939752,0.007868972994864248,0.001303575242425164,0.08530555645842838,170,60,93.4187840538788
