number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:29.484348,0.022056090790482617,0.24490651145439163,0.576263196486351,0.011371833602258625,76,20,0.03250642412575137
1,0 days 00:00:31.128962,0.978703501487719,0.011599623251214355,793.8844467350955,0.0017974967441039935,65,42,0.034190107551606945
2,0 days 00:00:28.589013,0.6101025434817733,0.045099371596471406,0.015784649341439937,0.0386016302196392,58,47,17.255779089001575
3,0 days 00:01:17.695171,0.6182709736120493,0.23428793567984757,0.17177253950402116,0.024382083645501314,184,58,166.05817053573105
4,0 days 00:00:15.203524,0.45933984705326747,0.023307404593082486,7.519283915806845,0.10633510698393984,38,4,0.05855173360152082
5,0 days 00:00:15.260716,0.9893585114277642,0.10320759361568303,0.02003782381175722,0.06481806295426704,28,34,1.0127806716242806
6,0 days 00:00:12.798437,0.2648008829693904,0.020890149352282218,0.050843156608869074,0.059138013510255986,24,32,819.002378410154
7,0 days 00:00:37.930520,0.4593847486508043,0.23262224721504984,0.03634250712671735,0.0020494333631236564,90,44,0.0028019685455820693
8,0 days 00:00:16.340405,0.9360704887054445,0.4923935817284893,7.568763865085672,0.12515242810214136,34,22,0.010690384280222372
9,0 days 00:00:12.535265,0.8156766758955257,0.031879040007312655,8.834798361413146,0.002101781430468553,26,11,742.1135709266638
10,0 days 00:02:00.354756,0.7577643552193368,0.20131806915594594,114.0436803969475,0.0011623947754977868,303,58,4.283833628855549
11,0 days 00:00:10.513022,0.6296175638443612,0.10189032108525356,495.01175119396754,0.07840308617842062,28,3,0.0021664891405238436
12,0 days 00:00:58.448295,0.25512394226623614,0.0870881041279489,46.42914643444559,0.10283579314726998,182,4,0.02162828933674376
13,0 days 00:00:38.646049,0.8888175197222291,0.04893798539693538,104.12649407998983,0.001929338394589008,79,55,0.2452024226663173
14,0 days 00:01:44.863397,0.13882379176767293,0.08810013197298236,0.03125334876132468,0.061470471652646345,268,43,0.005675549892965127
