model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.6609702314471475,0.721957130597965,0.7244265640557876,0.4162303664921466,0.5935533969362218,0.639103660622648,0.6284471636535098,0.31039003605375287,0.09529286851884622,0.6235997179472649,0.7692583444160863,0.14500771036961463,0.1927331321653823,0.09043604832212493,0 days 00:00:16.648140
1,0.5,0.7521256173068376,0.7165438582971232,0.7767468364498166,0.6571659245486128,0.5094209924454928,0.753146031668339,0.6780726770402244,0.43970588235294117,0.1312452073379343,0.5354175788227606,0.7944150264363834,0.33313658796852075,0.3724496267366466,0.10696372333137555,0 days 00:01:00.347406
2,0.5,0.7345230519553565,0.7055864973695173,0.7637986563532263,0.621612217492239,0.6660869215126497,0.732116198820391,0.6366364526903421,0.32666666666666666,0.12590068412975053,0.6706914375542183,0.7011546430370795,0.4097947744326914,0.34341166619525804,0.016919695208813312,0 days 00:01:28.386177
3,0.5,0.7490713532694658,0.7078240574191228,0.7727167015515466,0.6578754220286734,0.5531112075400466,0.7505616602628423,0.6916770527210282,0.49,0.15366011915295227,0.5730962140493155,0.746995414710308,0.29558089902627716,0.3660798740047624,0.08002572978967354,0 days 00:00:57.539044
4,0.5,0.7538798465323203,0.7214720519702293,0.7790151087270593,0.6569375805320415,0.49034541498037965,0.7552752012921857,0.670219674422189,0.40558823529411764,0.13499085707544387,0.5183996639699767,0.8177923735040024,0.3546491930105376,0.351803532250591,0.1169609723820827,0 days 00:00:14.616953
5,0.5,0.7309914447025054,0.6975210502821991,0.7597242231947704,0.62017419386407,0.6005916749661225,0.7280952497491495,0.6832053283374746,0.4885294117647059,0.16749247920721996,0.617135154438937,0.7219030809405914,0.2584360410830999,0.3304890466224071,0.05957172505494002,0 days 00:02:45.245104
6,0.5,0.7481470811065791,0.7014930102462618,0.7704856800840056,0.6619910510892554,0.6607321843885451,0.748376202246641,0.6483349214415788,0.3657843137254902,0.14782925370028355,0.6655135840866733,0.6986886721166916,0.3779798586101107,0.33434659303252523,0.018360455736413095,0 days 00:03:30.049572
7,0.5,0.737736540819449,0.6828525704686942,0.7593980269152202,0.6541920155708872,0.6704014938299534,0.7305034140133624,0.6367449977193724,0.3338235294117647,0.13289805686340816,0.6746075874994636,0.7010537010016936,0.4151427237561692,0.3504409783743612,0.014742678114838093,0 days 00:04:00.827193
8,0.5,0.7402222413700095,0.7155393018992583,0.7695574301773843,0.6270816003653504,0.5279087227607541,0.7404713541029343,0.6675307815297631,0.41784313725490196,0.13201203326844807,0.5541591184747044,0.7766386898027858,0.339593170601574,0.36282204131246193,0.10207734161891568,0 days 00:00:51.086047
9,0.5,0.7668484785614404,0.727616642004994,0.7882261265097904,0.6843986669058842,0.43680258534110317,0.7660018110178409,0.6836286014624833,0.41773189118321863,0.11189759924497139,0.4703023869390566,1.0526556163086018,0.39872802611703484,0.4215269645593393,0.14903702235792243,0 days 00:00:28.835978
10,0.5,0.7264627700682186,0.691480992858739,0.7555994511042852,0.6140877384699863,0.5224273848821848,0.7282396417121461,0.6871179323976164,0.494428056374959,0.16474960184038223,0.5528306059334197,0.8159261154742978,0.23639760722381387,0.3263212158127139,0.11754708017171428,0 days 00:01:27.600031
11,0.5,0.7655949818018788,0.72703316964001,0.7873341206342303,0.6817509636661175,0.43841400900666416,0.7650767235261007,0.6798803394804238,0.41609308423467717,0.11145519966967499,0.4716460248382781,1.0372662634246346,0.3963652324253202,0.4192666614319329,0.14773833035793799,0 days 00:03:26.329482
12,0.5,0.7430428183981664,0.6991531115848495,0.7669569209487479,0.650810349420713,0.6419933621672821,0.7412079978463572,0.6680260526120302,0.42549019607843136,0.16362885624963133,0.6493618596265653,0.7085458190041275,0.339015606242497,0.34177654915577405,0.028747489510445368,0 days 00:01:43.691007
13,0.5,0.7448185567670633,0.7038155414881699,0.7692191525541471,0.6507097693181756,0.6606245325570068,0.7429137808668412,0.6609271740420843,0.39705882352941174,0.1591753671916475,0.6653173764804824,0.7014127411715412,0.3752501000400161,0.3447589468692489,0.01830711882677316,0 days 00:00:19.805151
14,0.5,0.7307431468004771,0.7177759576694813,0.7645567606695883,0.6003300114715685,0.49203971755677456,0.7335454345219158,0.688341250107686,0.43559488692232057,0.12670323836489117,0.5243678492909122,0.8654817839926615,0.3103034724214169,0.36915717901451356,0.132767866408999,0 days 00:00:28.405898
15,0.5,0.7437297911902714,0.6891024374269534,0.764518503081246,0.6635514018691588,0.6562468140153486,0.7391449059004919,0.6913249387493552,0.4993444772205834,0.15646198312982953,0.6621196946005404,0.7001989990936115,0.280834260941348,0.37326774659990025,0.021496910816508508,0 days 00:01:01.385391
16,0.5,0.7314205495131434,0.7012835076368396,0.7609383982353184,0.6175754214849972,0.5657063099195735,0.7286972908152027,0.6830531233489749,0.48284313725490197,0.1643956821801451,0.5889242486825649,0.7438664808179526,0.2606542617046819,0.32906993533610535,0.08327622245394328,0 days 00:01:11.284483
17,0.5,0.7445327498877845,0.7095293557572255,0.7705501139170032,0.6441883729401466,0.6698626112933563,0.7474437727906806,0.6345899730143093,0.32098039215686275,0.12322139271128683,0.6730400941782528,0.6994654343340315,0.41331332533013204,0.34665942273620587,0.01300572450442683,0 days 00:01:06.971447
