number,duration,params_learning_rate,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:01.455066,0.05542252381050616,0.014096675490461206,148,26,42.47755522393146
1,0 days 00:00:00.108889,0.02174089491552657,145.88768347823247,32,32,560.8363085538618
2,0 days 00:00:00.195465,0.07098648804104701,180.13404791374114,63,7,0.09684842658652391
3,0 days 00:00:00.173092,0.012448906073921013,65.43911461243262,27,61,0.0012095134371587306
4,0 days 00:00:00.376862,0.04168025253694189,43.34706825857002,342,2,216.44960131849507
5,0 days 00:00:00.060033,0.0466685604551346,837.2127113029547,29,13,0.24166595134399665
6,0 days 00:00:00.345581,0.09229593426634823,53.99839577218062,55,44,2.6113912207749315
7,0 days 00:00:00.038092,0.08535691545826309,653.9642371574523,22,14,16.884486187434902
8,0 days 00:00:05.692786,0.056387635163144996,0.020547199328558897,392,27,0.0019255680226372977
9,0 days 00:00:00.163844,0.37955145781744737,932.7073643145909,183,58,3.69614227083331
10,0 days 00:00:00.348897,0.08992034457995036,1.5843859334916772,22,48,38.653128040939684
11,0 days 00:00:00.535541,0.15739826032647497,3.9662937635441997,25,48,0.0010979545731115313
12,0 days 00:00:05.605741,0.22033160078769645,5.065825815432021,376,30,0.19781727474846947
13,0 days 00:00:08.857123,0.1988553453312059,0.005144283107516334,358,52,0.7388610521229341
14,0 days 00:00:02.200912,0.012346099567207598,0.014929699689641066,68,59,0.01860088673652735
15,0 days 00:00:04.524054,0.320428263205319,0.0567314672673478,168,57,3.3405794162770763
16,0 days 00:00:00.332387,0.024515201495595326,0.6757642397067044,28,52,24.006865200997357
17,0 days 00:00:00.153500,0.4818999994474562,756.898392679193,184,47,0.41817593156805233
18,0 days 00:00:10.317122,0.1156399334005538,4.708623680072109,384,58,0.008971115423327012
19,0 days 00:00:00.391599,0.06451068691320479,424.41614860742726,201,10,0.426441327605603
20,0 days 00:00:02.539216,0.07896546610100962,0.00823069764292121,124,36,0.0014097310059573525
21,0 days 00:00:03.246986,0.028426727795490922,2.4063831081495297,247,25,0.002201373978360588
22,0 days 00:00:01.598019,0.15961244841272348,10.387964539528028,236,18,319.24699064890075
23,0 days 00:00:10.735785,0.19796505733718445,0.008986291702986798,416,51,3.6589877520471106
24,0 days 00:00:06.180616,0.035757498352208816,0.004834974550442851,426,29,13.952617712293597
25,0 days 00:00:02.485767,0.11017636170689517,0.1591031067097203,408,13,0.1224764972202472
26,0 days 00:00:06.837559,0.1586244599256956,0.012460411629798943,364,41,28.64674082266797
27,0 days 00:00:00.652462,0.04303234107434098,0.5523348748714646,25,47,0.008097884654826292
28,0 days 00:00:03.085548,0.013323145834134863,0.10257651852260011,166,41,0.31721803302121343
29,0 days 00:00:00.894591,0.11398817619685331,5.6924405907339874,40,52,0.010924545074071075
30,0 days 00:00:10.931056,0.020181874261310778,0.006369821113063236,491,46,0.005271933373450262
31,0 days 00:00:01.421856,0.13107809098909315,0.011262736107064068,79,42,2.1946641770388116
32,0 days 00:00:00.212488,0.17281382047384639,0.003225841764543924,58,5,0.015157335743520113
33,0 days 00:00:01.341057,0.04441283675612092,125.77089923167473,440,50,0.03419162318340739
34,0 days 00:00:05.789696,0.21350430604349255,0.004465488395469198,243,50,0.0012177310426006954
35,0 days 00:00:00.732955,0.06228645792650803,0.10834573230309613,72,19,15.480260095284704
36,0 days 00:00:00.348503,0.487574682685666,516.6214795932752,350,49,0.0018671287295623786
37,0 days 00:00:00.370330,0.05128212652834609,5.787388850791672,20,58,3.6346950323246747
38,0 days 00:00:00.118166,0.30235835328711486,0.15719798915188765,56,7,0.0012085602352111648
39,0 days 00:00:00.089134,0.0794962272997976,0.30206302236377053,40,4,16.148503256333694
40,0 days 00:00:02.100847,0.2679466551598642,5.453301627640912,97,47,16.570366108582675
41,0 days 00:00:00.107539,0.03671316868997396,352.02996347125594,117,52,0.713508971987166
42,0 days 00:00:01.847767,0.016383966670061673,0.11654719369403133,157,36,35.09879581118407
43,0 days 00:00:01.673653,0.04265920047080342,1.3619409844194372,135,25,0.00415553202062878
44,0 days 00:00:01.756095,0.460635694380716,65.19962442319303,419,59,460.9806199766967
45,0 days 00:00:00.903729,0.21363624489406058,0.2712783446346104,84,18,0.0017638895995727318
46,0 days 00:00:01.931918,0.037080715255154745,0.43340174043252294,49,62,0.00470800002993555
47,0 days 00:00:00.578544,0.06844453875083556,163.18546196485732,255,44,0.16809738783994324
48,0 days 00:00:00.429624,0.06548859385676649,0.4791162604580027,76,44,284.6080882153203
49,0 days 00:00:07.856032,0.05483472416975433,3.1186889651858447,361,52,0.12896769251486234
50,0 days 00:00:00.202616,0.022991890920507716,6.036687230540027,63,5,30.025116896913783
51,0 days 00:00:00.067562,0.03077861974243104,183.2573019533188,40,39,391.387866497725
52,0 days 00:00:01.489154,0.042847178641729836,0.18131133577534955,52,57,0.2716961796811188
53,0 days 00:00:00.512481,0.0539179960679584,0.0015617908583327761,34,23,0.007091274531602466
54,0 days 00:00:00.355645,0.031978950298412454,3.885287050664826,28,21,0.020722033416248942
