number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:01.940684,0.669367929399611,0.026016325533658447,0.009647497547334289,0.008326792936711297,73,48,0.3618749924000361
1,0 days 00:00:02.668522,0.571776785041717,0.05375069228498642,0.13566743949099236,0.009257508366142708,110,37,0.4637122225281334
2,0 days 00:00:04.971058,0.6351072947073034,0.010335604485159555,724.0830531163937,0.1747334204463915,356,21,270.6295897460165
3,0 days 00:00:02.231103,0.515514907825231,0.2246157443687636,146.633605221604,0.018198479878791002,147,11,4.217419206702676
4,0 days 00:00:03.750634,0.4016690492199218,0.2916596196145543,0.32252904912815755,0.1781395452788169,253,4,0.011504286024451211
5,0 days 00:00:00.796912,0.04133383817816605,0.20177957262059015,0.005205823531711852,0.007370924171901104,28,52,0.26227716628899306
6,0 days 00:00:01.150070,0.3970511358488939,0.09277097025536835,29.138015586451846,0.05743662378426991,68,9,0.10931752249280842
7,0 days 00:00:00.587027,0.20480479228809645,0.43616343262868185,472.68300901797744,0.12946766045356223,40,46,24.40723868688552
8,0 days 00:00:02.290635,0.4349873282458586,0.015191365534405497,0.8626384514829105,0.47698528801049733,88,49,0.04278109339422712
9,0 days 00:00:08.535100,0.30755723741007757,0.05288677667380374,0.06426210889477531,0.0011508705210632126,405,30,0.007482772796700043
10,0 days 00:00:00.852685,0.18210157946044736,0.4418318680122081,3.247947318367096,0.001190496592589636,44,21,1.721715326787459
11,0 days 00:00:06.501619,0.25816206178590956,0.49835096117389116,20.23652749918497,0.037014913629762725,394,59,329.3028494485753
12,0 days 00:00:12.687174,0.35003271365707617,0.03115397827483,7.931277246201631,0.005326891735743092,493,42,7.801073134369851
13,0 days 00:00:02.209138,0.8035279263170582,0.0752784351004648,0.025115279653149837,0.23578519821311644,118,21,0.10001311050458392
14,0 days 00:00:00.439390,0.8001382085333762,0.05308800555800532,0.18257001300434272,0.32711159507803506,27,23,628.2288236165447
15,0 days 00:00:04.320975,0.678221292608643,0.046619106221750604,12.279814155257315,0.10468627361693594,213,32,34.46729727447501
16,0 days 00:00:00.397114,0.6327318162867834,0.010007860813934963,254.77850975043265,0.0015905026206110343,26,21,0.2509822681837658
17,0 days 00:00:05.629909,0.1082080411829943,0.012702701032080401,0.0021682941984462532,0.026951709861441055,231,39,0.9585238838016481
18,0 days 00:00:01.151859,0.06656593056910642,0.3150692650641147,38.36386729402508,0.017892551543735712,67,17,37.438452193247066
19,0 days 00:00:08.023337,0.11692082868442263,0.14146877986653605,7.195977535704568,0.007954909857127363,340,34,0.12634992905746378
20,0 days 00:00:01.347447,0.8717427624289104,0.015604441063340899,0.2799066087850782,0.0022728486699386107,68,24,6.3098308270826555
21,0 days 00:00:02.764038,0.8773510548538557,0.3117145340264858,359.551813715199,0.20303745012220673,208,58,19.781009758502275
22,0 days 00:00:00.342215,0.4629468281955632,0.05107295906936604,908.6839189068884,0.039386894948349155,23,27,9.367234889128206
23,0 days 00:00:00.376939,0.6263852637181033,0.40498109803513055,557.3523077868529,0.4144386117872565,26,60,4.399705373206883
24,0 days 00:00:00.449426,0.44983951774620584,0.13374820356627376,2.801852382887653,0.003423729336826281,31,2,168.7757515734446
25,0 days 00:00:06.751138,0.938751794626526,0.014127694596994313,0.35216465783538636,0.020448141609472125,203,59,0.010489407703350394
26,0 days 00:00:02.350244,0.597905768442046,0.06131462941869446,1.182575170936127,0.010700650977573618,106,30,11.887959353109622
27,0 days 00:00:02.002285,0.33039043050385414,0.49465924048426346,60.975572764202965,0.0013409618035764802,137,7,0.004224065309727196
28,0 days 00:00:01.083394,0.2547369296505995,0.03476981039331829,4.617135063831963,0.006730341774656614,56,21,0.01892083371328109
29,0 days 00:00:07.372249,0.04806304828182751,0.14155779447058123,0.8981572126913473,0.005515830503150653,469,33,437.5619643036466
30,0 days 00:00:07.770031,0.5153990179023856,0.01603861920677189,0.014207136848687518,0.030229755109675127,241,58,0.4784791140301707
31,0 days 00:00:10.385070,0.8869367137660148,0.011829204370231496,0.03216512271229645,0.008421719008425104,415,38,0.1292971167992651
32,0 days 00:00:04.027336,0.4444519126324295,0.051870009608124,1.7384139141131612,0.007088663753866289,122,55,0.0014998590054323944
33,0 days 00:00:01.475643,0.6896155165734363,0.45323279098436237,0.002070615645753686,0.12907829244659647,65,32,7.132708877759123
34,0 days 00:00:00.324867,0.020243672357706386,0.26540963998390044,0.027273686025803132,0.001342721604138924,21,16,37.076602384121834
35,0 days 00:00:00.335546,0.03762934643513791,0.03131359774669401,0.11569797794741705,0.49544296407436045,25,30,129.76460795667157
36,0 days 00:00:00.338676,0.2657930053825386,0.40970896684145364,175.4496255178064,0.0054318591258890134,35,22,0.012023018940939555
37,0 days 00:00:00.806799,0.17969101747041877,0.14031942090742253,0.002102048258173242,0.026318731564444326,37,26,12.847945774724522
38,0 days 00:00:00.791584,0.5108700726163972,0.030382945841873163,0.04863758752835441,0.0334026180030641,75,15,881.8465837615587
39,0 days 00:00:01.949808,0.6991467777420721,0.03338386646415351,23.702715244159297,0.01593242126226709,90,63,0.009249469929069646
40,0 days 00:00:04.542665,0.5302856904822413,0.04425172071990748,2.3298722700656564,0.14164668756687335,154,55,7.055225435606455
41,0 days 00:00:00.261334,0.0688188816681073,0.020757058724293866,49.358544419906494,0.001237368722582438,26,6,0.010507209252502347
42,0 days 00:00:01.867990,0.7909843497964908,0.06810517046543013,0.0034796933914159767,0.00377987895153052,114,19,0.013045794656017387
43,0 days 00:00:03.108826,0.5977132128959494,0.03527764640242652,54.31431358610333,0.24841336575742606,193,25,0.009560733069563914
44,0 days 00:00:01.083742,0.3869759559422034,0.028852310687773854,1.530664177706552,0.011479122597667665,43,34,0.13531939669004966
45,0 days 00:00:01.943075,0.9740322432970752,0.19167425248585085,681.6088624806956,0.0011421356102388543,163,6,1.1565905859800856
46,0 days 00:00:08.378796,0.6107453687371489,0.05831215413096717,3.1618188589675347,0.03210711953899381,341,40,10.20729938221948
47,0 days 00:00:00.374172,0.7895996420544787,0.08244050809933923,176.4646849852162,0.007045815642883514,24,7,0.8266479899417
48,0 days 00:00:07.051057,0.09706073945815202,0.07136285376853792,0.009940097688677261,0.02292507130602742,295,38,0.002332664807401971
