number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:01.393151,0.47389285518026386,0.036666793441451434,98.19476217705353,0.0023300659194161475,86,44,3.3054018621576806
1,0 days 00:00:02.929889,0.03897738135619302,0.025196825796599154,964.255622782051,0.11184771831066193,197,39,2.91087327572719
2,0 days 00:00:01.994002,0.7987086919019146,0.03418670172781331,844.1593379026723,0.34801931323574936,130,49,0.10910390476037414
3,0 days 00:00:00.506843,0.2354053895132626,0.03329657834594307,218.79217981006965,0.03476001043939023,31,12,40.18881358533763
4,0 days 00:00:03.758516,0.9443053561620831,0.2948282589816803,326.4268178432346,0.001122317861063373,253,9,634.2481647580188
5,0 days 00:00:01.578753,0.44850107497493197,0.10291522303828217,1.698036831298224,0.016907091905963446,65,51,3.876562592665647
6,0 days 00:00:00.724342,0.0824061965740865,0.03167700817011758,0.7521625403130504,0.019756131335204076,32,37,0.1648533227366599
7,0 days 00:00:00.620419,0.4362782166936344,0.039802372538830746,0.001701015835366559,0.42922884427244407,34,44,55.7243484212627
8,0 days 00:00:01.980620,0.5834430552911704,0.2649119548573944,0.04309471149010291,0.006309824500809588,99,29,0.004816609424299099
9,0 days 00:00:01.230799,0.06752108732977213,0.15016646608623,15.192924210450876,0.0692005449144865,72,10,30.172784799349582
10,0 days 00:00:04.321262,0.3959454611281078,0.11648389117399315,135.29075914547366,0.012981137316068385,274,12,577.1405697818985
11,0 days 00:00:13.977159,0.672283170500494,0.04296865797774599,3.438936936427277,0.00325533627255425,495,56,0.07770392403801137
12,0 days 00:00:05.294902,0.3288541762711798,0.2225841310783446,0.4977207352304724,0.0056854660496750324,226,41,22.061264970170352
13,0 days 00:00:01.508082,0.184939088543377,0.46564688257464487,1.5131371088336663,0.002494922300228279,87,12,77.3947613646338
14,0 days 00:00:09.010634,0.43816300353634646,0.09447491009835456,0.2522790588933437,0.09735747732902879,337,53,7.8537834417887815
15,0 days 00:00:05.153630,0.40308365104511634,0.017921933791381604,2.866403954187732,0.0028932180462453065,327,8,19.406079488151747
16,0 days 00:00:01.371164,0.5867327986808538,0.011657979369177224,0.05413367044951992,0.006824115636221026,80,52,155.82104933120922
17,0 days 00:00:00.622447,0.7965468968389707,0.05905509525121558,12.388158612588246,0.042247818482705465,36,12,33.78168942772252
18,0 days 00:00:01.225948,0.19023238600454725,0.018373700486053902,0.008856366861645685,0.0026973862997933347,77,5,5.573823683675569
19,0 days 00:00:03.352540,0.7274659297851156,0.04129600568967118,0.07673388495841882,0.004552736494105103,171,23,0.7329520903701056
20,0 days 00:00:00.542716,0.4010066090395582,0.02807084997909161,0.04246289842456058,0.07626572255741995,31,10,0.057749443813379354
21,0 days 00:00:00.623719,0.3289265942876944,0.2409887579893842,0.05561686576962005,0.0013047406581231315,29,27,0.022073918626147153
22,0 days 00:00:01.258102,0.17499660512511103,0.04819040586764706,489.3704058503806,0.023146585404743562,84,27,0.5111062071357503
23,0 days 00:00:00.597771,0.8755669490787918,0.03813035059683659,1.1192897514991693,0.13669777648428658,35,10,3.7201355520316803
24,0 days 00:00:02.841887,0.5623200967662446,0.03927960984835874,3.4320520601832736,0.022934274813019438,200,4,0.029214231008622242
25,0 days 00:00:01.402513,0.9611283922000677,0.0600627745634882,0.0031294010820287137,0.003501830134162381,90,7,3.3196638892458665
26,0 days 00:00:03.198592,0.38493668084314653,0.3946622695552519,1.7099854918886734,0.027349693460830955,106,58,2.3591368030942417
27,0 days 00:00:00.422127,0.1987602682489962,0.16687127513163313,25.406403480415488,0.008495560517741347,26,32,269.0595711946881
28,0 days 00:00:06.341821,0.4860004968568552,0.3945510884036991,21.559861836318852,0.01827597266673634,339,17,0.015499816443475225
29,0 days 00:00:00.848881,0.35201002940129067,0.3061186180831087,0.9809754875745962,0.005114916348115505,33,37,0.0364360561919608
30,0 days 00:00:00.427591,0.7548378500433274,0.025454036586890678,0.0017083124415576314,0.002034519677264248,23,22,29.373007126073734
31,0 days 00:00:02.293704,0.9086204611171675,0.08052390486508419,0.005971930761707618,0.09343532325896241,79,63,4.205996852329093
32,0 days 00:00:00.773358,0.2848264654687353,0.09100105774064057,0.49971759277017985,0.0012123984048887132,30,34,2.678876100776197
33,0 days 00:00:00.874561,0.5298245693624983,0.06654428243721211,5.848653553635931,0.0022785761447907072,52,19,334.1187268289228
34,0 days 00:00:02.205510,0.21160125059612428,0.04151550869028236,134.170267497091,0.0030235077515826992,142,48,61.41361981239457
35,0 days 00:00:01.659729,0.9719001205503323,0.02535408094552021,89.74899949142082,0.00187155184911255,99,35,113.56749765753143
36,0 days 00:00:09.043737,0.39234049064825505,0.28651322321096806,23.232058748150504,0.06211198044064705,440,48,0.008052842121530526
37,0 days 00:00:00.696637,0.71855126982345,0.023541539201249753,7.611481852174728,0.31747581537986846,42,10,246.40674138671395
38,0 days 00:00:07.677181,0.6406954011964925,0.3418592488671853,90.3877221814582,0.004790590550222283,495,62,0.9868867517926938
39,0 days 00:00:05.895301,0.566156827276117,0.05281789460261506,0.5696477061100149,0.009974283462862745,385,5,57.07979218330699
40,0 days 00:00:01.010583,0.500094016378309,0.012609928926684801,0.005576376551120036,0.39549568196171203,45,31,6.468747548120965
41,0 days 00:00:02.160320,0.9047939554372588,0.36121455356534166,75.15384486868332,0.004045229389619167,130,42,0.0101325806015856
42,0 days 00:00:00.683076,0.3980829864699601,0.026772900433168424,0.09891359479226546,0.022661060710439208,41,25,873.6526074812128
43,0 days 00:00:00.868424,0.8523230368334866,0.03131567236196855,71.81536538457601,0.0010221383036508461,54,60,0.5072622950290085
44,0 days 00:00:01.328462,0.5523780829871073,0.35598079209842315,0.0019585897731571227,0.009605783312610035,53,48,0.991790950485816
45,0 days 00:00:00.625678,0.8655306073636636,0.11296311347162907,255.3185692786876,0.0523465255352591,42,40,67.65458989156282
46,0 days 00:00:07.621821,0.3315683198286822,0.3890396613120017,0.12626183668816734,0.013411108904958847,419,25,644.3067049251205
47,0 days 00:00:01.486446,0.6197916940335751,0.14762174319863533,0.00146393277559526,0.0029733052453738804,86,13,0.0019345704616258019
48,0 days 00:00:03.440821,0.39670693490400616,0.019461500913382297,0.022682441102604804,0.003024945544089038,211,18,230.516187962584
49,0 days 00:00:06.905314,0.6494691702395107,0.3568836322785101,0.08746159060049612,0.22419522686052,280,40,6.9836279277263
50,0 days 00:00:00.935312,0.6185287751871059,0.10159675451113027,105.81306468655355,0.007956435769550943,55,14,0.07223328783931625
51,0 days 00:00:10.336740,0.18114411375668554,0.11662052618541674,0.015698916399178347,0.35859236054780386,334,62,1.1586096560446437
52,0 days 00:00:02.386554,0.5851729359729286,0.012684118460883615,1.3826125641036269,0.0032208557626077937,142,12,0.12962451160579985
53,0 days 00:00:04.882837,0.9022693680087659,0.05707801707082675,0.006679238741198615,0.31781852726957976,196,41,0.022350288768304877
54,0 days 00:00:02.016803,0.7635204862119421,0.014502505082897353,13.818184189911872,0.02181265040484014,98,31,10.849685253800763
55,0 days 00:00:00.724966,0.1803275960505869,0.14796349502364528,37.29530798460036,0.1348778229480701,39,18,0.001515667349208126
56,0 days 00:00:01.814223,0.46672197962462914,0.01168012619144472,0.27931510322788833,0.013624454248687615,66,42,0.019667352943653002
57,0 days 00:00:02.944710,0.5425402397797114,0.31440004432214685,0.13560868251109395,0.003520442518878347,154,23,147.24642864162107
58,0 days 00:00:03.477142,0.9368064674218853,0.07229458666128759,632.1882511680649,0.04924974585511116,258,17,450.7667162488579
59,0 days 00:00:03.288882,0.8482685357014446,0.3072289629150946,0.0012725871328150636,0.0016949696225254435,127,48,0.25466512381322665
60,0 days 00:00:06.089464,0.9468955692000156,0.09881087961061868,0.03601437792067203,0.003061687980134088,435,3,0.004092813818026976
61,0 days 00:00:00.612672,0.2664430077256876,0.0761951120496916,61.07440514358076,0.0037651685210981145,38,41,468.02371994131545
62,0 days 00:00:04.054477,0.7398339208225894,0.11175587359268058,20.24137268901574,0.05683812211230778,222,14,0.046737794042626776
63,0 days 00:00:00.494485,0.11490012118885785,0.01595611328624941,19.70954313645243,0.001512323400413299,29,38,529.0503708933866
64,0 days 00:00:00.941089,0.9196839543219737,0.01116355495208203,0.024414772598444056,0.007253525597992161,31,51,0.0021834331712956316
65,0 days 00:00:03.207765,0.7960283955803623,0.012063494777192143,0.16831067773748418,0.26481389392750565,172,18,0.021199616197796367
66,0 days 00:00:05.321484,0.6452527939773186,0.014033958904194517,0.3601027885521813,0.0036787122546200523,273,18,0.34850795107755167
