number,duration,params_C,params_Kmin,params_alpha,params_n_iterations
0,0 days 00:00:08.222241,1169.5086873283644,21,0.24474074853561092,27
1,0 days 00:00:14.088857,1.55061683817435,13,0.6815013913243286,60
2,0 days 00:00:04.665853,112.72257664057271,25,0.27940033377535667,14
3,0 days 00:00:35.704417,307.1624099676891,35,0.8984580469170201,119
4,0 days 00:00:02.796073,0.0004197198993075692,11,0.42071385037152387,35
5,0 days 00:01:47.270688,0.04772454537204093,42,0.4806196725496492,340
6,0 days 00:00:22.613468,0.053333500629657006,29,0.7331328550370868,72
7,0 days 00:00:01.357345,0.0010578747951620227,21,0.6949903282983282,13
8,0 days 00:00:04.919533,6204.093247376646,12,0.515158843979232,14
9,0 days 00:00:40.663409,463.6263635503569,33,0.13651075462941478,228
10,0 days 00:00:10.131621,5.006295687194938,17,0.669573054943891,31
11,0 days 00:00:01.863498,0.0006487267448858273,15,0.6061239485473632,17
12,0 days 00:00:21.098706,0.5316184576000182,39,0.73623494432713,68
13,0 days 00:00:13.297751,0.001126057683378316,45,0.5680080085602994,128
14,0 days 00:00:03.596316,251.62746808378697,18,0.6584968181649036,13
15,0 days 00:00:12.316627,5.998484194938313,23,0.30570800228573913,61
16,0 days 00:00:03.339167,0.28520386547652976,30,0.8187679375142359,10
17,0 days 00:00:56.708732,0.04771707534997408,34,0.6687309399200585,187
18,0 days 00:00:08.064324,5.906659939714085,26,0.7780402057511333,24
19,0 days 00:00:02.466069,0.0017263270679985531,20,0.6909423248760531,14
20,0 days 00:00:55.732955,1.0339877942519335,24,0.772077618248776,197
21,0 days 00:00:04.234366,889.4427226878486,37,0.45659443748029893,13
22,0 days 00:00:01.289055,0.0001256814693579033,28,0.2629140217796039,19
23,0 days 00:00:03.460128,0.00014369787739772287,20,0.3878478883710248,43
24,0 days 00:01:06.544036,2.590679541277112,17,0.1755844309080944,393
25,0 days 00:00:08.865294,44.21452591796936,49,0.2943104021208941,35
26,0 days 00:00:00.967336,0.00018262384931230888,31,0.7817585316231002,15
27,0 days 00:00:13.738855,734.1192223430027,25,0.22275746626751103,66
28,0 days 00:00:18.159667,3527.2566109501304,11,0.2542588726137731,91
29,0 days 00:00:08.010746,0.0009961874298854618,37,0.4226052040474514,72
30,0 days 00:00:01.701200,0.0001214303037936527,46,0.5451517491831077,25
31,0 days 00:00:18.053049,0.0066184767313432966,13,0.6559217107337287,77
32,0 days 00:00:20.267521,0.03144738875563864,18,0.31402140562619896,95
33,0 days 00:00:16.649046,32.07546530624496,13,0.14050781305682156,62
34,0 days 00:00:04.443208,3302.451285156049,26,0.1032276720068408,14
35,0 days 00:00:14.556317,0.001135103309010164,38,0.5384239428905236,129
36,0 days 00:00:11.867050,0.11311957235991006,23,0.18053301619548165,36
37,0 days 00:00:03.647087,0.0002924619369180713,32,0.7114589156738015,40
38,0 days 00:00:03.487495,0.021858640886269064,20,0.8517929129879109,10
39,0 days 00:00:33.322662,0.674481611773928,26,0.239914848471485,191
40,0 days 00:00:10.606343,0.0003534287275755383,14,0.28898033872135054,148
41,0 days 00:00:08.872630,0.03812236963008436,27,0.7084565442939456,25
42,0 days 00:02:21.091614,4292.271160112126,36,0.5746136164114511,435
43,0 days 00:00:11.033209,5.028530453562094,22,0.4781091531343894,58
44,0 days 00:01:20.154291,0.00676796389872307,42,0.3018517410053164,285
45,0 days 00:00:06.574493,277.7293862382188,39,0.3613140254217424,25
46,0 days 00:00:10.987781,12.03052902758782,12,0.1849974619038668,36
47,0 days 00:00:03.084035,76.4176508642137,21,0.6343994647970568,11
