number,duration,params_C,params_Kmin,params_alpha,params_n_iterations
0,0 days 00:00:06.654709,38.90653647273473,12,0.4302190319372712,20
1,0 days 00:00:02.758671,0.00042206049431298164,15,0.2858483987113478,28
2,0 days 00:00:06.889231,0.010647661082323172,22,0.4391506251108853,32
3,0 days 00:00:30.837627,1464.3880137987098,42,0.6124811471420182,187
4,0 days 00:00:40.842326,294.9908861123401,39,0.528222027847014,248
5,0 days 00:00:14.166510,1251.6531685634793,31,0.6776201109872936,76
6,0 days 00:00:06.526393,23.009784172288793,10,0.6268292298101261,25
7,0 days 00:00:08.608608,0.017099480472095658,17,0.2973532079762331,47
8,0 days 00:00:03.334968,0.09121348228715923,24,0.6804318280574775,13
9,0 days 00:00:25.094162,0.5700494214340954,10,0.6974676094925386,141
10,0 days 00:00:22.101622,386.9475556800419,35,0.24096765776125909,106
11,0 days 00:00:17.562453,8.07780391518781,29,0.10482143592820839,50
12,0 days 00:00:17.345067,0.06564320680564496,19,0.7964727868447341,100
13,0 days 00:00:20.061352,0.00028597942695887066,42,0.32135168013053117,311
14,0 days 00:00:07.675473,0.16767756678596038,27,0.20913669001661433,28
15,0 days 00:00:15.763440,0.9045059148756125,31,0.10983111360269887,43
16,0 days 00:00:25.887544,0.10657829041869624,21,0.28803481763734934,154
17,0 days 00:00:07.668810,2.79129218902986,34,0.7284574974141206,41
18,0 days 00:00:06.546143,126.05088682170538,41,0.8752343432888383,33
19,0 days 00:00:04.747738,9285.497277690967,47,0.5084336586184303,15
20,0 days 00:00:06.718643,255.96167254942026,25,0.6014344218619099,26
21,0 days 00:00:18.829181,6599.682549024488,20,0.5554895249266034,103
22,0 days 00:00:02.973486,0.0019392067430253495,39,0.598576635456875,28
23,0 days 00:00:01.340212,0.0005496298305728915,20,0.3128244993259307,13
24,0 days 00:00:24.130053,4356.753773807421,11,0.4400524856970103,138
25,0 days 00:00:26.949334,5899.054368809509,22,0.8856845861634952,163
26,0 days 00:00:07.159354,717.709182054813,46,0.10925886509657917,21
27,0 days 00:00:09.791600,0.02266094177460376,49,0.6455705930328477,51
28,0 days 00:00:45.177447,3.010361647405949,16,0.7758031103444774,278
29,0 days 00:00:57.877572,2.4257760754218523,34,0.37323528497317293,322
30,0 days 00:00:14.357487,5646.750826161003,20,0.5931792978440432,83
31,0 days 00:01:06.195246,2.803591515974393,39,0.6258706508977006,412
32,0 days 00:00:16.845347,2342.8389835937282,32,0.3700556157997402,85
33,0 days 00:00:15.491803,2269.3632052932226,29,0.10290894710649515,42
34,0 days 00:00:04.539244,0.0015950811753953746,28,0.7217566913058538,53
35,0 days 00:00:10.945781,1.3493826025763576,15,0.7331122985949966,67
36,0 days 00:00:03.467246,0.4696709984869096,30,0.5088871653240725,10
37,0 days 00:00:07.412974,5.48436112263524,25,0.7443373573544578,37
38,0 days 00:00:44.260621,3149.7984414435805,37,0.839617711317368,279
39,0 days 00:00:18.294766,6346.540086574364,14,0.5759242325073108,104
40,0 days 00:00:27.593310,0.28452088677706827,37,0.882928098730332,148
41,0 days 00:00:04.910213,0.23491670627236255,39,0.30036363920561665,16
42,0 days 00:00:06.932456,94.49953123847841,11,0.3267528252953629,22
43,0 days 00:00:27.417807,0.0032489787256483756,38,0.44907689732274136,248
44,0 days 00:00:16.268911,2.0594468264435655,24,0.7471031317171064,86
45,0 days 00:00:06.374457,49.58368698818872,41,0.2779404192923888,17
46,0 days 00:00:01.226243,0.00016567906517812156,34,0.7981380594378952,23
47,0 days 00:00:04.374179,0.0010478208856788398,28,0.3197780155924573,54
48,0 days 00:00:30.936999,409.48367486033743,13,0.26730578154109497,164
49,0 days 00:00:09.856588,0.0004389280583728038,18,0.26797695487743556,141
50,0 days 00:00:09.210272,1.2248110842333002,24,0.7038417528648478,42
51,0 days 00:00:54.243484,0.25448478708213634,10,0.7090590150066455,315
52,0 days 00:00:04.627397,0.0003066072957869314,25,0.20518525723174738,67
53,0 days 00:00:33.559156,7350.465132962579,12,0.2896366950788356,183
54,0 days 00:00:09.893058,32.12208703234189,44,0.8343757538088158,55
55,0 days 00:01:19.053532,25.96140867457103,46,0.4092498274538032,462
56,0 days 00:00:17.343834,396.7868123520152,11,0.8359740339175908,103
57,0 days 00:00:28.126919,214.01544762761054,41,0.6414067371301472,168
58,0 days 00:00:15.491322,78.3784751372658,22,0.494706067110501,78
59,0 days 00:00:01.073044,0.0001265339472135082,11,0.26784767627090533,12
60,0 days 00:00:01.899667,0.0002061103515301248,48,0.7081313870376611,27
61,0 days 00:00:02.973735,0.00510425457397678,45,0.7559838695895811,16
62,0 days 00:00:03.904426,0.0033679518327531196,45,0.3536347353638527,27
63,0 days 00:00:14.313473,0.0006974378609825928,30,0.25984062713739553,203
64,0 days 00:01:17.541049,6465.996988836098,16,0.3005486939782183,449
65,0 days 00:00:04.201079,26.483210412174028,18,0.6723725765540104,14
66,0 days 00:00:12.708117,2.765098197119399,12,0.6265356801381173,69
67,0 days 00:00:03.789546,1516.0125679686396,29,0.48489363618325665,10
68,0 days 00:00:21.098535,0.01789070609796649,29,0.6961967637720521,120
69,0 days 00:00:06.344718,0.018591640496564168,47,0.2831147418069726,32
70,0 days 00:00:05.498508,12.095014714425853,35,0.10891557977399123,15
71,0 days 00:00:04.978497,120.39659630175632,40,0.2840904662339606,15
72,0 days 00:00:36.563022,7.997560183562135,48,0.758642355047823,224
73,0 days 00:00:08.856679,0.006357126643232673,19,0.5884189330767213,53
74,0 days 00:00:06.235275,1434.8731118576363,45,0.38849006933186125,27
75,0 days 00:00:03.496180,3090.0345171837916,19,0.21739244712957495,10
76,0 days 00:00:10.141891,454.7759297025164,24,0.2548192768391937,34
77,0 days 00:00:58.655673,0.026396993871470893,28,0.7515670104536364,350
78,0 days 00:00:23.789522,80.90831521317331,26,0.13737787635828103,94
