number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:03.824236,0.46200456011256397,0.1607917567652601,0.19354925454579386,0.021284036292550337,142,3,0.007817018376133128
1,0 days 00:00:03.094827,0.7536885097146315,0.3008798180463418,0.53234762466272,0.0022169526552517694,84,20,1.0639521902102287
2,0 days 00:00:03.369093,0.3533560563271731,0.06287142416200912,0.003699722287632649,0.053763636602657684,104,11,0.6404310836396158
3,0 days 00:00:01.515004,0.5849944972930794,0.14998974692031464,0.001399925400185528,0.0020956018226248236,43,16,0.013412165331832341
4,0 days 00:00:13.519585,0.295454288851391,0.49583841864265804,0.006701880786539547,0.0033005805404598427,413,18,0.0035077006144522108
5,0 days 00:00:11.400707,0.14381852191898142,0.11118711298970407,0.0036771082153714122,0.07042091202114671,418,9,14.104087948582325
6,0 days 00:00:00.915018,0.01847918133386583,0.16869571075925022,0.2602432593890297,0.015167238987412096,25,5,7.1812241595989175
7,0 days 00:00:01.335857,0.9919241676271906,0.029882606008918695,0.0036613957243794475,0.0010443393748157035,39,27,0.1360805104621182
8,0 days 00:00:11.143198,0.7832973880134411,0.18435774823837656,57.3418774876633,0.0010195760679253744,308,26,2.277349396495542
9,0 days 00:00:01.929494,0.43091693560954863,0.10376833727725371,22.470577960967212,0.0038111074051311554,64,2,237.5801418568453
10,0 days 00:00:02.447558,0.5347009014431208,0.03073968760892639,250.1575737118118,0.09223586161351598,73,23,0.30603911082182605
11,0 days 00:00:08.769606,0.16578524151538304,0.48798848414131757,0.11227121061888229,0.18598289693300815,193,60,0.0017559354712077594
12,0 days 00:00:01.941256,0.6865348771869173,0.41278099866867257,11.66647989971535,0.0018609122190404814,65,6,375.6369688548014
13,0 days 00:00:04.113777,0.8770230227812489,0.27637591721325644,2.607529566537103,0.4158098841498888,164,15,607.4765301253735
14,0 days 00:00:15.855604,0.845481468933758,0.16138415788061325,0.003168475172082683,0.0024734848666639058,417,35,0.40949977718044406
15,0 days 00:00:09.443210,0.22233278495543948,0.019281409116328765,17.23784581283054,0.0012897107957980905,269,24,34.891444291034425
16,0 days 00:00:18.695284,0.6783752776442676,0.0975836259878446,0.10838771998088399,0.26190844734678415,499,30,279.2315596634421
17,0 days 00:00:21.894959,0.9151140059449209,0.26746116982074314,0.004741255921455172,0.001533222181682339,440,59,3.677482176020844
18,0 days 00:00:16.893927,0.5940212544829795,0.19589190886874602,0.004606957748912462,0.015122561674292349,459,34,0.0018660518345311723
19,0 days 00:00:04.059792,0.7753516076508302,0.3208247219621238,28.968842668810982,0.002160191528638589,145,8,71.55905083999164
20,0 days 00:00:01.326610,0.08050929702604838,0.06759724759550506,0.059197203000076554,0.1264848359083244,46,3,0.068871368944204
21,0 days 00:00:01.607974,0.9656947016456692,0.034241274517735856,96.33877219979838,0.01439362397602725,44,26,0.033691856979746554
22,0 days 00:00:02.243922,0.9235400342369884,0.015490350794008099,198.07774583830013,0.008410444668438231,85,63,310.0463432474132
23,0 days 00:00:00.842778,0.5028905104350913,0.035182754496197836,367.85267060752744,0.003960202367316376,24,50,367.85677824008434
24,0 days 00:00:01.427747,0.8180813604800888,0.2928177553518005,0.37518053759426,0.030246597668959284,26,57,0.0033854382970626203
25,0 days 00:00:02.889921,0.98851487763003,0.01527550042947302,4.8617502063160085,0.007487649613199078,115,3,1.2527422367756131
26,0 days 00:00:01.799896,0.8522994871784586,0.014316023400714698,57.89722450971735,0.07323340558680994,40,26,0.20305698498972802
27,0 days 00:00:13.468059,0.4648379891594809,0.029280378321165118,0.00225316092964941,0.022685802813698364,469,13,0.010310910850561779
28,0 days 00:00:04.235574,0.08986506587483223,0.01681399723122386,0.5938661514648833,0.08169129161861664,90,49,362.5425366280366
29,0 days 00:00:11.466131,0.0699037143887033,0.02748642511726587,0.0061832839018848736,0.3476273030457389,353,20,0.001845067394662387
30,0 days 00:00:01.881045,0.8553643074009059,0.3952909355570415,1.537959504411675,0.0021635963048140775,66,6,74.68095453858759
31,0 days 00:00:09.110718,0.8356158339812851,0.38096695795266206,0.0012183445681226272,0.1728802674244272,207,46,1.2126985605918372
32,0 days 00:00:00.688406,0.08660456304446261,0.29800550806200793,0.005481835852640641,0.04469139433458325,21,4,2.7334633175513137
33,0 days 00:00:03.198279,0.12068910975802637,0.04067120379657855,36.00292196689258,0.0035611247759152476,57,57,0.08217406420352498
34,0 days 00:00:18.257008,0.5506105817530698,0.03383275557160047,1.1597074634118285,0.002440335234940151,469,35,5.409732259019298
35,0 days 00:00:14.544901,0.17443377809095253,0.04889234668288107,0.03166714783674407,0.005789758737333033,475,14,0.005070155734079777
36,0 days 00:00:03.661872,0.08335167619690405,0.0402595882874565,277.99258795034183,0.023394823879130743,108,45,0.017070166178816452
37,0 days 00:00:02.422370,0.7275333425497402,0.11191633591549424,0.08265345670567163,0.0182152187505245,40,63,0.8874879322743812
38,0 days 00:00:04.981657,0.11272557307805026,0.046753214447010236,0.05062709583701987,0.004650461059666101,125,33,90.49380285374103
39,0 days 00:00:03.878325,0.007798166833963897,0.07250945040293594,1.8270180747120868,0.03495969668344095,103,29,0.8890761292439633
40,0 days 00:00:12.543591,0.3327128919469385,0.4273214766230502,0.09945924229064536,0.34377912041622016,271,48,158.06787794197894
41,0 days 00:00:00.738835,0.49713312760475215,0.047040948389496615,0.006773025310311437,0.0010735415671008653,23,4,0.1723096632759795
42,0 days 00:00:00.924843,0.34475926293052256,0.24688040867202218,302.44168476288513,0.004415940769988127,25,42,37.695118062611186
43,0 days 00:00:02.142509,0.051924513289162505,0.3136754576702989,4.681222793209673,0.0539972217256432,38,52,8.321547880516889
44,0 days 00:00:10.156342,0.1821351190372179,0.08524251157670396,5.516830589240732,0.001914898305722196,191,62,0.5501959150431924
45,0 days 00:00:00.879876,0.8081928371022339,0.022187381523211803,35.62128154153213,0.0024600286210408745,24,8,4.901918878429146
46,0 days 00:00:02.073164,0.7385622425333809,0.05536199265161902,0.0031053503157653386,0.0020725364973415974,32,57,2.3663913149864957
47,0 days 00:00:01.629490,0.7282938785613375,0.08251122641508207,0.06277180364165688,0.11738372658820871,47,28,865.4074425261077
48,0 days 00:00:05.573251,0.1423474125213944,0.016669652105680645,30.54797982078624,0.31323680681711535,120,32,0.0602260435348716
49,0 days 00:00:03.970829,0.2727001713801113,0.05690214094700289,0.1133823324477419,0.04908485549747052,103,20,3.1220936223912448
50,0 days 00:00:02.675570,0.49299953593637125,0.03593820041076773,179.2480571510809,0.39889424329769196,93,33,522.8665494538382
51,0 days 00:00:18.091142,0.5375735430132821,0.019276182893934627,0.16508329045155803,0.03452773377922865,324,54,0.23755408640272044
52,0 days 00:00:01.058607,0.06710779205223184,0.046678754057429626,0.07854024504789169,0.03785324864748005,21,26,38.859747990695766
53,0 days 00:00:02.409070,0.010037669411378788,0.2601313869812753,0.008124963722569175,0.04322785623000361,46,45,0.11969628548860399
54,0 days 00:00:07.437690,0.32335018683011996,0.15420906861026504,0.21367190858647445,0.25791073363398204,278,5,0.0014246397980984312
55,0 days 00:00:08.952301,0.504763386991319,0.06541280916584245,0.08227024162838104,0.0016762804162107922,291,13,898.212579240751
56,0 days 00:00:00.915059,0.6909586271094575,0.3329751197464362,481.41590876441484,0.0032555382113676687,29,61,799.2527542395603
57,0 days 00:00:16.171774,0.6776562515704921,0.015135183212409904,0.013276537992951266,0.20012412243838246,480,20,0.003229024574282536
58,0 days 00:00:05.029476,0.3138250816713752,0.012142140433502492,425.16146087793516,0.2751101617750395,165,38,0.038136388328702295
59,0 days 00:00:02.788501,0.8544791632511404,0.06250889321670695,13.852808343957841,0.12082918437105178,58,45,0.021794659106915006
60,0 days 00:00:05.176386,0.507374785402092,0.1515409246753763,46.291736571143225,0.012016451846543673,149,20,0.04400052932709295
61,0 days 00:00:01.049759,0.3449354238968966,0.046088058474138244,0.732844151262365,0.002087341907705671,25,19,0.760949114392462
62,0 days 00:00:08.634018,0.4011756808785573,0.01240366939624122,0.5077707071254429,0.0052531740005562575,169,57,0.24926347677539248
63,0 days 00:00:09.796414,0.15557992073160606,0.1307702608877427,2.6280956461090432,0.00894653315497146,377,4,6.933492517885059
64,0 days 00:00:07.182914,0.1928886908861329,0.3340209846235644,0.26596771652038265,0.022969770559124626,172,44,0.030378988590592904
65,0 days 00:00:03.790138,0.1669979710257087,0.04718747882489257,71.74237518791817,0.003387636222060496,116,10,0.0032443132455495034
