model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.656860886075761,0.6592289321050836,0.656891495601173,0.6456592929225423,0.6337123934880562,0.5888268156424581,0.5875782015150607,0.43821391484942884,0.30424528301886794,0.6662536847880756,0.7516171056783016,0.38544199912906574,0.43930074718083983,0.05707589270359548,0 days 00:00:12.050875
1,0.5,0.6795662823288028,0.6955631898253052,0.6796854172220741,0.635968722849696,0.5990771464942879,0.6145251396648045,0.6136095620715156,0.363447559709242,0.21776729559748428,0.6499941201278316,0.8426283486027987,0.4996348775667437,0.5657202835549755,0.08726036438289508,0 days 00:00:05.836695
2,0.5,0.7412210715755339,0.7554640931024695,0.7413023193814983,0.7114883379001538,0.5238601114299121,0.7078212290502793,0.6847735616781602,0.5028231797919762,0.2562893081761006,0.5656581399699779,0.7638090580433543,0.4107968918926116,0.5388884804259452,0.08311021087467291,0 days 00:00:00.671982
3,0.5,0.6656718920740063,0.675314521287938,0.6657557984537457,0.6349662500835394,0.6640065769336664,0.6039106145251396,0.6004739561471888,0.4215991692627207,0.267688679245283,0.6761443370357841,0.7050309629847508,0.37338290959032594,0.42982715124668,0.019847877165550587,0 days 00:00:05.789967
4,0.5,0.6752888830667658,0.6927164046933806,0.6754198880298588,0.6273474570607499,0.6439460079987405,0.605586592178771,0.6048087685634906,0.33852544132917967,0.20794025157232704,0.6700801304076649,0.7412250414160167,0.5080695407496734,0.5582555594359535,0.04296562310264784,0 days 00:00:09.328912
5,0.5,0.6779599582592861,0.6948629381935768,0.6780858437749934,0.6318920002673261,0.6023111468995698,0.611731843575419,0.6106563930363176,0.3644859813084112,0.22130503144654087,0.6539013181479584,0.8173137304784996,0.4925032660034167,0.5539019826791288,0.08912251389053816,0 days 00:00:03.198584
6,0.5,0.7607790209535799,0.7845243314335818,0.7608970941082378,0.7175700060148366,0.49974080036148477,0.7424749163879598,0.6859207329694632,0.49271916790490344,0.23388364779874213,0.5156678944467179,0.7451170267720765,0.4079976779732327,0.54765556311212,0.04401319461871356,0 days 00:00:01.056403
7,0.5,0.6719611487887026,0.6883040505770786,0.6720874433484404,0.6257435006348994,0.6220270658210524,0.6078212290502794,0.6035239339429873,0.34683281412253375,0.21816037735849056,0.6633556553939867,0.7721014644002656,0.4918768632968211,0.5380500464116019,0.07113456570586418,0 days 00:00:03.796337
8,0.5,0.6776160613483571,0.6909642032332564,0.6777192748600374,0.6398449508788344,0.5982346034012896,0.6078212290502794,0.6053791027012755,0.33852544132917967,0.20754716981132076,0.6578613978118615,0.9061619698593201,0.5449871034736877,0.601756288542308,0.10053994722465887,0 days 00:00:04.659198
9,0.5,0.679647770582525,0.6986199732898056,0.6797853905625166,0.6292855710753191,0.6159306401925946,0.6167597765363129,0.6156445503787652,0.3707165109034268,0.22130503144654087,0.6567037382369932,0.765935683841414,0.4558067865876127,0.5127427035753782,0.06938562905555734,0 days 00:00:01.804071
10,0.5,0.644042547667208,0.6347207354700586,0.64396161023727,0.6736616988571811,0.6743768446354479,0.5888268156424581,0.5888998820731146,0.5067497403946002,0.38325471698113206,0.6825312854946398,0.7001023040466795,0.3018524101430342,0.346652735527392,0.013254093189328242,0 days 00:00:01.232026
11,0.5,0.6950519756642657,0.7143278301886793,0.6951812849906691,0.6477310699725991,0.5855616742066212,0.6491620111731844,0.6374145075576205,0.3956386292834891,0.2248427672955975,0.627410029306527,0.7952190467263728,0.4642180015408837,0.5442755960750796,0.08963129586435259,0 days 00:00:01.775469
12,0.5,0.6975084459468839,0.7129221201822258,0.6976139696081045,0.6588919334358083,0.5761394437750428,0.6638036809815951,0.6301916854593588,0.3935617860851506,0.2165880503144654,0.6140304592097701,0.8506563841491004,0.49676079456001077,0.5902799477371664,0.11553763357033009,0 days 00:00:05.649248
13,0.5,0.7038259322591383,0.7222994222189717,0.7039456145027992,0.6600280692374524,0.5739212666016883,0.6815074496056092,0.6354509646286411,0.3904465212876428,0.22209119496855345,0.6025330061733247,0.8287300644663399,0.49414129233242887,0.5733301396636921,0.06637281814010865,0 days 00:00:12.124935
14,0.5,0.718174674666104,0.7344233955197004,0.7182751266328979,0.6814141549154581,0.550387563563076,0.6851884312007012,0.6469175320840401,0.4335809806835067,0.23113207547169812,0.5894126950359462,0.8198489983404915,0.5001938537535794,0.5599054306169526,0.2666993526230697,0 days 00:00:01.573491
15,0.5,0.7163786015030718,0.7318439767258099,0.716475606504932,0.680879502773508,0.5544057323925621,0.6688963210702341,0.6645283598913767,0.43198338525441327,0.22720125786163523,0.594353867350478,0.8319964197766109,0.4716008441362677,0.5704119910424076,0.08439011464476309,0 days 00:00:01.108477
