model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.6681091435755333,0.6820330109794227,0.6682218075179952,0.6268796364365434,0.6183272847685966,0.6033519553072626,0.6021704043493035,0.3655244029075805,0.23388364779874213,0.6623399187529444,0.7968654099923462,0.4556225504974375,0.4987028110419788,0.0771207086895217,0 days 00:00:03.512677
1,0.5,0.6729396763706519,0.6875364006988934,0.6730538523060517,0.6311568535721446,0.6077255614437742,0.6094972067039106,0.6077594391477283,0.367601246105919,0.23309748427672955,0.6584388457626388,0.8240655825061117,0.4879543094496365,0.5447885361811371,0.09087873628894894,0 days 00:00:02.265143
2,0.5,0.7175806581902802,0.7327023732702374,0.7176752865902426,0.6829512798235647,0.552269145325425,0.6837988826815642,0.6536474164133739,0.45824665676077264,0.2468553459119497,0.6035103980382932,0.7947032365060532,0.4417533432392274,0.5546546394752885,0.09456121497749914,0 days 00:00:01.283170
3,0.5,0.6734509297077025,0.6863862636173437,0.6735537190082644,0.6358350598142084,0.606018919730968,0.6027932960893855,0.6018268673422478,0.3613707165109034,0.23270440251572327,0.659045664988432,0.8229955408385894,0.49490168492278835,0.5437203417609451,0.09131493011840186,0 days 00:00:21.479989
4,0.5,0.7002723101163661,0.7053239785390012,0.7003132498000533,0.6852903829445967,0.5723461943560956,0.6385474860335195,0.637518488537107,0.5046728971962616,0.29559748427672955,0.6242754784515129,0.7179099112158159,0.3748969952768566,0.4920303773891253,0.09514737070581802,0 days 00:00:01.368382
5,0.5,0.6782739353504903,0.6625007657906022,0.6781524926686217,0.7227160328811068,0.5969463351874117,0.6,0.6040742239811316,0.5227340267459138,0.3311549295774648,0.6624229210600189,0.7168907880724187,0.3690222456555199,0.48326299541035794,0.11432134641593594,0 days 00:00:04.226282
6,0.5,0.6935266978587062,0.7005005561735261,0.6935817115435884,0.673394372786206,0.582237998798314,0.6379888268156425,0.634012866185138,0.4701337295690936,0.2784225352112676,0.63587696726188,0.7557812160054508,0.4004755894273222,0.5062827740921908,0.09498459779891022,0 days 00:00:07.983705
7,0.5,0.7128971702815765,0.730962251800131,0.713009864036257,0.671656753324868,0.5547515643080155,0.6631284916201118,0.6499986382107178,0.43198338525441327,0.23349056603773585,0.6089480768641536,0.8052749852222245,0.4629986935986333,0.5653404130173055,0.10020342074833843,0 days 00:00:02.328555
8,0.5,0.722918983920168,0.7372476278804309,0.7230071980805118,0.6906369043640981,0.5472513888117324,0.6726256983240223,0.6608303101611269,0.47518573551263,0.25196540880503143,0.5935427564415098,0.7809244516193801,0.43234114620780006,0.5524671289446033,0.08995794185638428,0 days 00:00:01.428339
9,0.5,0.6508435707824509,0.6101068807565384,0.6503599040255932,0.8278420102920537,0.620880425894105,0.49747899159663866,0.5169590119921246,0.6184249628528975,0.419943661971831,0.7249056915165222,0.6209687506177665,0.3749525205908111,0.5566449667907108,0.16669803289077645,0 days 00:00:15.259947
10,0.5,0.5066376201654121,0.501985997037835,0.5052985870434551,0.9966584241128116,0.8244598391878648,0.3785377358490566,0.5,0.9851411589895989,0.9661971830985916,1.052964437807917,0.34753526789213884,0.014858841010401136,0.033802816901408406,0.32445884197618613,0 days 00:00:08.161799
11,0.5,0.6182454107969482,0.5740520319673524,0.6174686750199947,0.9024928156118426,0.6691558128813556,0.43529411764705883,0.5,0.6885586924219911,0.484056338028169,1.1682059866669172,0.5535186246218232,0.3114413075780089,0.515943661971831,0.5658051104955822,0 days 00:00:19.417932
12,0.5,0.6876729387679595,0.6879327731092437,0.6876832844574781,0.6838869210719776,0.5903822063176309,0.6206703910614525,0.6211523855209771,0.4861812778603269,0.2945352112676056,0.6425217950337624,0.741788604552777,0.39625599812533624,0.5055134979384344,0.09259104480434976,0 days 00:00:17.232932
