number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:03.512677,0.19141276521165726,0.27360577250399676,4.1345846636928885,0.0021550075330111816,122,8,823.3237989519407
1,0 days 00:00:02.265143,0.01450908410313168,0.05018198033131681,491.53227488440496,0.3859124740810255,68,11,0.4389508613715386
2,0 days 00:00:01.283170,0.0011153648922541187,0.04352028174101918,124.66293254547864,0.0015017146431118079,36,8,0.5322828672154988
3,0 days 00:00:21.479989,0.006849137095686373,0.01771121177248674,71.9568866745881,0.0013679904203365008,472,43,0.20370968261605135
4,0 days 00:00:01.368382,0.01147525617529765,0.0742070624472863,0.003050639525319549,0.14298481130327625,48,4,0.523793090936743
5,0 days 00:00:04.226282,0.06840543277634516,0.041118496494760404,51.17936201568935,0.007677570594070167,76,50,0.20251339287600223
6,0 days 00:00:07.983705,0.7618322328255072,0.08130378048143069,778.8035540219191,0.0016034590589001938,318,20,0.04708418341463087
7,0 days 00:00:02.328555,0.08832748258509425,0.08735755760592313,0.03430943386654054,0.08591625298704314,45,44,0.0024761534209747256
8,0 days 00:00:01.428339,0.012278002604217953,0.3579126222149028,5.500103324419839,0.0637994574600508,24,57,14.418355583375433
9,0 days 00:00:15.259947,0.001361578474963625,0.016959951397552617,50.47911600789841,0.1548869989340458,473,12,25.188443380391224
10,0 days 00:00:08.161799,0.09437354550761386,0.02867549301004573,6.621444275448254,0.007632784830039687,161,51,173.3534289840297
11,0 days 00:00:19.417932,0.6657204806523503,0.288724318338843,0.013357414863927178,0.1822735422268004,402,51,364.942720005528
12,0 days 00:00:17.232932,0.012658442384055257,0.010551669063960349,0.1523968858947718,0.01178929916901407,453,30,0.21157036458341216
13,0 days 00:00:03.735026,0.012768651310332021,0.23149221829577515,0.037305033793632265,0.3056745343232111,67,51,46.24155906074681
14,0 days 00:00:10.355001,0.16883579638002147,0.04753194436640431,80.88939068244204,0.0010888955541347365,404,3,86.42917012572079
15,0 days 00:00:02.321509,0.0039781652147827026,0.1663608695548189,0.017561113905788295,0.010029717073113,49,43,3.573768398672378
16,0 days 00:00:12.838044,0.0024165160818671217,0.11442771071438626,683.6392030488861,0.12727683606287485,464,7,0.5498177948762523
17,0 days 00:00:09.425901,0.03222245957754112,0.02800028315602051,0.3134748555999603,0.0017373684818288116,325,8,248.4417624271075
18,0 days 00:00:01.394879,0.3921211899011209,0.09309412897642412,5.127968405685917,0.010952964694928834,38,19,37.92517386177847
19,0 days 00:00:01.694920,0.6255257028857474,0.15148733806943046,3.0248721614930876,0.0018762547573852291,49,16,0.0023769472597712405
20,0 days 00:00:10.521980,0.013926550020981343,0.024395790120097148,0.2281547435085901,0.006786173090909222,287,20,0.30278261531189526
21,0 days 00:00:01.866003,0.01750313771140673,0.026627646376115113,0.02055884825143202,0.30883473792410804,54,15,6.269399225443476
22,0 days 00:00:03.727045,0.005818095977292778,0.16875039428713975,0.0029223399437052684,0.0047126036442156,88,36,54.24505237254177
23,0 days 00:00:02.268531,0.0011582342312758754,0.04484104008412088,4.669032026911067,0.11058040447005849,38,63,5.425530104954831
24,0 days 00:00:01.277651,0.5021536668758939,0.020502880269732217,296.4954963933912,0.004430856782937567,37,47,0.24861647671118997
25,0 days 00:00:02.448159,0.18372957083244357,0.1603006068342667,54.45687257197364,0.014938092567836844,53,40,0.0037503665407780684
26,0 days 00:00:04.006401,0.9041986830067211,0.12858289393834274,0.013059577603671085,0.18353281787089745,138,7,59.873428717378346
27,0 days 00:00:01.910440,0.0019087773506299456,0.14201327025212235,0.6741575137476241,0.4052179447784486,33,52,11.986863788246026
28,0 days 00:00:01.438713,0.0022595462444779694,0.07135015968213061,0.001029172328097076,0.10863054671427828,32,34,1.2128179002345687
29,0 days 00:00:14.057765,0.0013412201336368281,0.017641922486727826,436.4116151379617,0.002155123482441757,482,39,6.717262007685357
30,0 days 00:00:03.013243,0.268304781709074,0.3631492304861192,0.012723798160359151,0.026809616134587752,61,48,4.200405096232621
31,0 days 00:00:07.606194,0.014143143458170547,0.27122562913664416,0.010222856405965867,0.01166435376830174,124,59,196.53052839709133
32,0 days 00:00:04.531914,0.010461346309662984,0.028545525320818263,28.595308340413446,0.018373691599419498,82,49,0.36194355706394676
33,0 days 00:00:02.856394,0.004870107964803468,0.3140980746374839,1.3681758349148994,0.00610685517752268,66,41,0.005660820785358846
34,0 days 00:00:08.740223,0.04598467304692724,0.1661370778817448,0.04607161414330347,0.04623237501968274,232,26,5.572448433513228
35,0 days 00:00:01.007993,0.031546684960038616,0.020353137182580822,0.527476996555505,0.001074177967730054,20,40,74.49385393496367
36,0 days 00:00:02.190739,0.03542840976813797,0.0507022962799413,268.103467472008,0.10764702373147572,64,55,0.27736693228872566
