model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.7672401232160755,0.7158901876723494,0.7853890243006161,0.6972430178380171,0.44074326124552443,0.7645603387092826,0.7238403646621407,0.5763192904656319,0.18654515424998525,0.4716534720396782,0.7617478086823433,0.25381276235549655,0.36439565998196827,0.12949020207368117,0 days 00:01:42.834322
1,0.5,0.766006579872536,0.7236034548493162,0.7867028704265822,0.6861846433212093,0.43905293537176754,0.7650375663835931,0.7059768931118104,0.4916420845624385,0.14068306494425764,0.4718468422797411,0.9288532523651977,0.34696002294723205,0.41993958302016243,0.14694329246147853,0 days 00:01:37.401664
2,0.5,0.7656811366731738,0.7215464379367511,0.7859779898053595,0.6873997596951064,0.4398729607432257,0.7647561244218203,0.7090673096189699,0.5242572062084258,0.16598832065121216,0.4719066795451066,0.8334937921230885,0.3142782079572405,0.39466853873982444,0.13849018497491233,0 days 00:01:38.245622
3,0.5,0.5,0.0,0.6296403686017958,0.0,0.6931471805599462,0.4870338693123503,0.5,0.0,0.0,0.6931471805599453,0.6931471805599454,0.0,0.0,7.771561172376096e-16,0 days 00:01:42.877030
4,0.5,0.7652569747008993,0.725432573945005,0.7867280398925969,0.68244686924043,0.43871480566795457,0.7644673404958273,0.6912631685191499,0.4484074003433149,0.12714563794018757,0.4715977324049601,0.9999034370225647,0.39172865407845386,0.43381912429039743,0.14841536605984396,0 days 00:01:35.028188
5,0.5,0.7663298455777514,0.7195562033879116,0.7858370407956773,0.6910940396774913,0.4401546267822118,0.7650449083478134,0.719285847985428,0.5587583148558758,0.18386126349318704,0.4714290044978329,0.7710536220953232,0.274441631789449,0.370055944854401,0.13137520047777607,0 days 00:01:43.972491
6,0.5,0.7447914390285533,0.5556672206343992,0.6982332041636338,0.9243583261296233,0.5724399252824154,0.6248722752043597,0.7249193622851541,0.9160112105596239,0.4818026308028078,0.6751281559037451,0.27161627028839225,0.01258058924229366,0.19549356850704763,0.1946204678587824,0 days 00:01:43.570656
7,0.5,0.7709701145718973,0.7032376628577035,0.7839583918523418,0.7208766235531416,0.4442713423287239,0.7651648270967426,0.741436467368494,0.642039911308204,0.22184864035863858,0.4716019366688536,0.666190133150973,0.1935609957212744,0.3342238878657884,0.11018108139665783,0 days 00:01:46.639795
8,0.5,0.7695442260359664,0.7093141938846421,0.7849017434385719,0.7103129944055716,0.44220945007536183,0.7649714887056117,0.732758375874776,0.6072727272727273,0.20483100336223678,0.47166745936908905,0.7100023153984292,0.22679423284465294,0.35059150775647685,0.11991879829350499,0 days 00:01:43.437522
9,0.5,0.7142461029434889,0.6979738829618676,0.7504034665402153,0.5747935389516835,0.5579688857553016,0.7141293191926104,0.6755390126166956,0.4482137004260898,0.14832183094437562,0.5870054833321842,0.7540150027736614,0.20124608348747558,0.2908844639581218,0.09365611585276101,0 days 00:01:38.856007
10,0.5,0.7708133426216728,0.6408311630072957,0.7611699573226535,0.808006176161972,0.47633956891558704,0.7324870587623235,0.7549918147338955,0.7949647148579058,0.3231286497964962,0.5133246756111096,0.4450712372746667,0.04076957885958121,0.23277282129484828,0.0657947447279143,0 days 00:00:10.230409
11,0.5,0.7149291202952277,0.6955128833153718,0.7501880159111296,0.5789417885860613,0.5582931350697277,0.7128977078344167,0.6765219422754762,0.45722713864306785,0.15174305432666785,0.5877485922353051,0.7467375091478322,0.19510045906268114,0.29163703462304136,0.09325246075848131,0 days 00:00:10.507143
12,0.5,0.716258255876294,0.6890092623221965,0.7492919829210072,0.5888530062577134,0.5586785184939681,0.7129661306876497,0.6780545934338753,0.4727958046542117,0.1595587801569044,0.5866019462132903,0.7383618707709284,0.18706814092401952,0.29148466835489856,0.09029478508705174,0 days 00:00:11.187171
13,0.5,0.7152609919189211,0.6926156928645295,0.7496544232316185,0.5826116031380992,0.5590494492897131,0.7138556277796784,0.6777582940905711,0.4691904293674205,0.1568748894001062,0.585216373122463,0.7321449612132366,0.18827255582665714,0.29081583930328075,0.08722246702123188,0 days 00:00:10.861571
14,0.5,0.7166859495064226,0.6880871590995417,0.7492899693637259,0.5909380045995009,0.5596547259350882,0.7122134793020869,0.6783827070112115,0.4744346116027532,0.16050256591753673,0.5860677247380334,0.7256772642001399,0.18529594728746962,0.29115668827336305,0.08600758964651478,0 days 00:00:10.775854
15,0.5,0.7198868181953681,0.6781038988504358,0.7483425906629335,0.6101379306595336,0.5621233844938208,0.7146082791652412,0.6814390569101627,0.5001638806948542,0.17227039462042115,0.5832870522359974,0.6981168003069156,0.17463937394033324,0.29245762453797775,0.07459656292864625,0 days 00:00:11.409244
16,0.5,0.5,0.0,0.6296403686017958,0.0,0.6931471805599462,0.4870338693123503,0.5,0.0,0.0,0.6931471805599453,0.6931471805599454,0.0,0.0,7.771561172376096e-16,0 days 00:00:10.660323
17,0.5,0.7183360243702812,0.6851088857493169,0.7494148099151587,0.5984706387652026,0.5607108438106934,0.7146767020184742,0.6808034265648333,0.4803343166175025,0.162685070488999,0.5843007048270817,0.7145360206577324,0.19060072406543738,0.2980060003286541,0.08060258629291306,0 days 00:00:11.453373
18,0.5,0.6872173456755241,0.4921922849998595,0.61844901723303,0.9524446401678872,0.6323211711051057,0.5158591621253406,0.6621152113556859,0.9323077755435125,0.6024892349436678,0.6915725652509151,0.4512091655205225,0.0442828607109893,0.21619020398893574,0.08439050260856829,0 days 00:00:10.720308
19,0.5,0.7237909944130602,0.5513633276473454,0.6888762034780175,0.858451175156171,0.5808828906564198,0.6018520927086856,0.689383667675181,0.7961929323077755,0.46969717631849534,0.6027454204639243,0.5861515946799928,0.13371236314373836,0.2757355982282033,0.03729671926581535,0 days 00:00:08.868069
