number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_reg_lambda
0,0 days 00:00:31.096730,0.01,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
1,0 days 00:00:30.998772,0.025,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
2,0 days 00:00:31.305027,0.05,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
3,0 days 00:00:31.175340,0.075,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
4,0 days 00:00:31.372668,0.1,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
5,0 days 00:00:31.672459,0.15,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
6,0 days 00:00:30.406184,0.2,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
7,0 days 00:00:31.138734,0.5,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
8,0 days 00:00:31.367737,0.75,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
9,0 days 00:00:31.088133,1.0,0.010066319694461628,4,38.40443031248482,0.02076456677111465,999,779.320085436538
10,0 days 00:00:31.058785,0.01,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
11,0 days 00:00:31.934616,0.025,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
12,0 days 00:00:32.052505,0.05,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
13,0 days 00:00:31.626276,0.075,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
14,0 days 00:00:32.281051,0.1,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
15,0 days 00:00:31.539831,0.15,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
16,0 days 00:00:31.580409,0.2,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
17,0 days 00:00:32.167668,0.5,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
18,0 days 00:00:31.756051,0.75,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
19,0 days 00:00:32.196951,1.0,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,999,440.7118138285814
20,0 days 00:00:31.372173,0.01,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
21,0 days 00:00:31.436564,0.025,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
22,0 days 00:00:31.603424,0.05,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
23,0 days 00:00:31.378173,0.075,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
24,0 days 00:00:31.055147,0.1,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
25,0 days 00:00:31.500851,0.15,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
26,0 days 00:00:31.090559,0.2,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
27,0 days 00:00:31.179754,0.5,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
28,0 days 00:00:31.684442,0.75,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
29,0 days 00:00:31.887863,1.0,0.06884114895806301,3,3.548335061857514,0.09939570683133078,999,74.57861503711305
30,0 days 00:00:31.727465,0.01,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
31,0 days 00:00:31.582326,0.025,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
32,0 days 00:00:31.465028,0.05,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
33,0 days 00:00:31.021341,0.075,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
34,0 days 00:00:31.322638,0.1,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
35,0 days 00:00:31.396786,0.15,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
36,0 days 00:00:31.614994,0.2,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
37,0 days 00:00:31.092479,0.5,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
38,0 days 00:00:31.667224,0.75,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
39,0 days 00:00:31.842730,1.0,0.05378162799181009,3,741.6339825160813,0.008157616300787346,999,507.8099281442071
40,0 days 00:00:31.980345,0.01,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
41,0 days 00:00:32.315261,0.025,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
42,0 days 00:00:32.083739,0.05,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
43,0 days 00:00:32.083950,0.075,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
44,0 days 00:00:32.291748,0.1,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
45,0 days 00:00:31.961969,0.15,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
46,0 days 00:00:32.543021,0.2,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
47,0 days 00:00:32.694540,0.5,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
48,0 days 00:00:32.207172,0.75,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
49,0 days 00:00:32.753742,1.0,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,999,261.2783269083929
50,0 days 00:00:31.452936,0.01,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,999,144.32524110183465
51,0 days 00:00:31.538178,0.025,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,999,144.32524110183465
52,0 days 00:00:31.866026,0.05,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,999,144.32524110183465
53,0 days 00:00:31.624096,0.075,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,999,144.32524110183465
54,0 days 00:00:31.595302,0.1,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,999,144.32524110183465
