number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_reg_lambda
0,0 days 00:00:00.836567,0.01,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
1,0 days 00:00:00.839444,0.025,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
2,0 days 00:00:00.811971,0.05,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
3,0 days 00:00:00.817870,0.075,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
4,0 days 00:00:00.781357,0.1,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
5,0 days 00:00:00.863792,0.15,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
6,0 days 00:00:00.797990,0.2,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
7,0 days 00:00:00.793752,0.5,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
8,0 days 00:00:00.749640,0.75,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
9,0 days 00:00:00.758508,1.0,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
10,0 days 00:00:09.921385,0.01,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
11,0 days 00:00:09.822438,0.025,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
12,0 days 00:00:09.778771,0.05,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
13,0 days 00:00:09.933279,0.075,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
14,0 days 00:00:09.947142,0.1,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
15,0 days 00:00:09.880161,0.15,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
16,0 days 00:00:09.900206,0.2,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
17,0 days 00:00:09.847793,0.5,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
18,0 days 00:00:10.028472,0.75,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
19,0 days 00:00:09.950733,1.0,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
20,0 days 00:00:02.543270,0.01,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
21,0 days 00:00:02.495314,0.025,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
22,0 days 00:00:02.532566,0.05,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
23,0 days 00:00:02.663954,0.075,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
24,0 days 00:00:02.469118,0.1,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
25,0 days 00:00:02.528653,0.15,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
26,0 days 00:00:02.561192,0.2,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
27,0 days 00:00:02.510056,0.5,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
28,0 days 00:00:02.581084,0.75,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
29,0 days 00:00:02.364957,1.0,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
30,0 days 00:00:03.567798,0.01,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
31,0 days 00:00:03.609747,0.025,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
32,0 days 00:00:03.513810,0.05,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
33,0 days 00:00:03.561039,0.075,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
34,0 days 00:00:03.669547,0.1,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
35,0 days 00:00:03.558397,0.15,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
36,0 days 00:00:03.529450,0.2,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
37,0 days 00:00:03.538766,0.5,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
38,0 days 00:00:03.665706,0.75,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
39,0 days 00:00:03.533232,1.0,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
40,0 days 00:00:09.424790,0.01,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
41,0 days 00:00:09.326928,0.025,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
42,0 days 00:00:09.451778,0.05,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
43,0 days 00:00:09.324603,0.075,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
44,0 days 00:00:09.281442,0.1,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
45,0 days 00:00:09.400269,0.15,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
46,0 days 00:00:09.316744,0.2,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
47,0 days 00:00:09.351119,0.5,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
48,0 days 00:00:09.142373,0.75,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
49,0 days 00:00:09.059261,1.0,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
50,0 days 00:00:00.927893,0.01,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
51,0 days 00:00:00.990391,0.025,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
52,0 days 00:00:00.976054,0.05,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
53,0 days 00:00:01.001350,0.075,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
54,0 days 00:00:00.991114,0.1,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
55,0 days 00:00:00.947438,0.15,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
56,0 days 00:00:00.945967,0.2,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
57,0 days 00:00:00.921024,0.5,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
58,0 days 00:00:00.962313,0.75,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
59,0 days 00:00:00.898559,1.0,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
60,0 days 00:00:16.489815,0.01,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
61,0 days 00:00:16.830334,0.025,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
62,0 days 00:00:17.086537,0.05,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
63,0 days 00:00:16.852583,0.075,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
64,0 days 00:00:16.762174,0.1,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
65,0 days 00:00:16.666017,0.15,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
66,0 days 00:00:16.801369,0.2,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
67,0 days 00:00:16.729284,0.5,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
68,0 days 00:00:17.075464,0.75,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
69,0 days 00:00:16.736855,1.0,0.29794048667796574,3,961.2722449439165,0.018255596745271368,487,10.2108059703878
70,0 days 00:00:02.395006,0.01,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
71,0 days 00:00:02.275028,0.025,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
72,0 days 00:00:02.314511,0.05,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
73,0 days 00:00:02.401681,0.075,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
74,0 days 00:00:02.329061,0.1,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
75,0 days 00:00:02.320004,0.15,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
76,0 days 00:00:02.266184,0.2,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
77,0 days 00:00:02.234856,0.5,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
78,0 days 00:00:02.141330,0.75,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
79,0 days 00:00:02.207091,1.0,0.010889060731291538,2,2.0613096224060916,0.0014866566542846426,66,29.604055049320795
80,0 days 00:00:01.354743,0.01,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
81,0 days 00:00:01.223496,0.025,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
82,0 days 00:00:01.245535,0.05,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
83,0 days 00:00:01.190301,0.075,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
84,0 days 00:00:01.234165,0.1,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
85,0 days 00:00:01.169662,0.15,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
86,0 days 00:00:01.179568,0.2,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
87,0 days 00:00:01.222693,0.5,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
88,0 days 00:00:01.144316,0.75,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
89,0 days 00:00:01.114578,1.0,0.011920541249870697,3,94.17732470565457,0.0057904561893937015,44,0.1591121707640102
90,0 days 00:00:00.964766,0.01,0.3292210468153801,2,7.585914068656545,0.056315934137632306,30,1.865572188312125
91,0 days 00:00:00.864417,0.025,0.3292210468153801,2,7.585914068656545,0.056315934137632306,30,1.865572188312125
92,0 days 00:00:00.995188,0.05,0.3292210468153801,2,7.585914068656545,0.056315934137632306,30,1.865572188312125
