number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_reg_lambda
0,0 days 00:00:01.241888,0.01,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
1,0 days 00:00:01.252786,0.025,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
2,0 days 00:00:01.456260,0.05,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
3,0 days 00:00:01.218077,0.075,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
4,0 days 00:00:01.466843,0.1,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
5,0 days 00:00:01.386810,0.15,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
6,0 days 00:00:01.577088,0.2,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
7,0 days 00:00:01.425071,0.5,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
8,0 days 00:00:01.391337,0.75,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
9,0 days 00:00:01.363137,1.0,0.3218409046029154,4,623.7125503756845,0.03464296371078968,41,593.4540154557836
10,0 days 00:00:03.549432,0.01,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
11,0 days 00:00:03.581555,0.025,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
12,0 days 00:00:03.596666,0.05,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
13,0 days 00:00:03.633632,0.075,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
14,0 days 00:00:03.657367,0.1,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
15,0 days 00:00:03.577403,0.15,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
16,0 days 00:00:03.637872,0.2,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
17,0 days 00:00:03.545028,0.5,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
18,0 days 00:00:03.601256,0.75,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
19,0 days 00:00:03.597948,1.0,0.4582059888272666,2,77.86480995075287,0.3335130140363566,144,568.5197219694616
20,0 days 00:00:00.907616,0.01,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
21,0 days 00:00:00.943545,0.025,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
22,0 days 00:00:00.904374,0.05,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
23,0 days 00:00:00.990658,0.075,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
24,0 days 00:00:01.002324,0.1,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
25,0 days 00:00:00.951160,0.15,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
26,0 days 00:00:00.994408,0.2,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
27,0 days 00:00:00.934233,0.5,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
28,0 days 00:00:00.953532,0.75,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
29,0 days 00:00:00.900209,1.0,0.18351511827759268,3,261.8952624207879,0.005295695826956238,27,7.842150397599267
30,0 days 00:00:11.252382,0.01,0.08826389111013168,4,79.24962089207452,0.1655412006070267,435,172.51097424338928
31,0 days 00:00:11.128068,0.025,0.08826389111013168,4,79.24962089207452,0.1655412006070267,435,172.51097424338928
