number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_reg_lambda
0,0 days 00:00:25.907120,0.01,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
1,0 days 00:00:25.864669,0.025,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
2,0 days 00:00:25.484960,0.05,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
3,0 days 00:00:24.833086,0.075,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
4,0 days 00:00:25.061958,0.1,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
5,0 days 00:00:25.824252,0.15,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
6,0 days 00:00:24.809993,0.2,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
7,0 days 00:00:25.230591,0.5,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
8,0 days 00:00:25.386681,0.75,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
9,0 days 00:00:25.387394,1.0,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,999,121.74178788224206
10,0 days 00:00:21.966760,0.01,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
11,0 days 00:00:21.728855,0.025,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
12,0 days 00:00:21.590835,0.05,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
13,0 days 00:00:21.787449,0.075,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
14,0 days 00:00:21.649738,0.1,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
15,0 days 00:00:21.648031,0.15,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
16,0 days 00:00:22.202057,0.2,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
17,0 days 00:00:21.408705,0.5,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
18,0 days 00:00:21.604658,0.75,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
19,0 days 00:00:21.761768,1.0,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,999,2.699411413616816
20,0 days 00:00:26.235462,0.01,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
21,0 days 00:00:26.842740,0.025,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
22,0 days 00:00:26.363400,0.05,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
23,0 days 00:00:26.468492,0.075,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
24,0 days 00:00:26.240013,0.1,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
25,0 days 00:00:26.518634,0.15,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
26,0 days 00:00:26.465899,0.2,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
27,0 days 00:00:26.329970,0.5,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
28,0 days 00:00:26.596227,0.75,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
29,0 days 00:00:26.446631,1.0,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,999,5.897264349933916
30,0 days 00:00:25.248465,0.01,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
31,0 days 00:00:25.280093,0.025,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
32,0 days 00:00:25.449697,0.05,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
33,0 days 00:00:25.226974,0.075,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
34,0 days 00:00:25.118854,0.1,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
35,0 days 00:00:25.156977,0.15,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
36,0 days 00:00:25.206834,0.2,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
37,0 days 00:00:24.669242,0.5,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
38,0 days 00:00:25.202138,0.75,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
39,0 days 00:00:25.400893,1.0,0.3241667932274728,2,0.009673369408271877,0.057286207276080796,999,2.9874182104867177
40,0 days 00:00:26.029465,0.01,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
41,0 days 00:00:26.496462,0.025,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
42,0 days 00:00:25.750174,0.05,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
43,0 days 00:00:26.554429,0.075,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
44,0 days 00:00:25.723288,0.1,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
45,0 days 00:00:25.951506,0.15,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
46,0 days 00:00:25.441069,0.2,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
47,0 days 00:00:26.224576,0.5,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
48,0 days 00:00:26.312422,0.75,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
49,0 days 00:00:25.833737,1.0,0.03453783161753511,2,0.03879808685234139,0.1462084338320567,999,299.5777524788067
50,0 days 00:00:23.843691,0.01,0.1574209424939937,3,0.003758956483794702,0.05559366780762954,999,2.0495019543959616
51,0 days 00:00:23.847592,0.025,0.1574209424939937,3,0.003758956483794702,0.05559366780762954,999,2.0495019543959616
52,0 days 00:00:24.094561,0.05,0.1574209424939937,3,0.003758956483794702,0.05559366780762954,999,2.0495019543959616
53,0 days 00:00:24.277134,0.075,0.1574209424939937,3,0.003758956483794702,0.05559366780762954,999,2.0495019543959616
