model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:03.645506
1,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:03.790988
2,0.5,0.5173713151261052,0.7077702702702703,0.706953642384106,0.9905437352245863,0.5326945456497788,0.5909090909090909,0.5,0.9827586206896551,0.9711191335740073,0.6975057618438621,0.23385696507145176,0.017241379310344862,0.028880866425992746,0.2286063375508952,0 days 00:00:03.740202
3,0.5,0.5821023209644345,0.7375,0.7400662251655629,0.9763593380614657,0.5014057018287768,0.6090909090909091,0.5222222222222223,0.9680851063829787,0.9064748201438849,0.6211164065472021,0.3340601083465049,0.03191489361702127,0.0753433616742969,0.1767097851751286,0 days 00:00:03.714037
4,0.5,0.6136841555320455,0.7537037037037037,0.7533112582781457,0.9621749408983451,0.497119708303357,0.6363636363636364,0.558974358974359,0.9468085106382979,0.8561151079136691,0.5962725643113903,0.3957758239173751,0.03780687397708682,0.08024852844996733,0.15424924509844795,0 days 00:00:03.672540
5,0.5,0.5939487742120868,0.7436363636363637,0.7433774834437086,0.966903073286052,0.49801983866828575,0.6181818181818182,0.5367521367521367,0.9574468085106383,0.8920863309352518,0.6062175363009156,0.366781440061309,0.027168576104746323,0.06245912361020278,0.1639042496650286,0 days 00:00:03.755077
6,0.5,0.5994736360905398,0.7463503649635036,0.7466887417218543,0.966903073286052,0.49763900486116536,0.6181818181818182,0.5367521367521367,0.9574468085106383,0.8920863309352518,0.6035372614313558,0.37368346354929155,0.027168576104746323,0.06245912361020278,0.16159664024675496,0 days 00:00:03.558980
7,0.5,0.6049984979689929,0.7490842490842491,0.75,0.966903073286052,0.49742559688157734,0.6272727272727273,0.5478632478632479,0.9574468085106383,0.8848920863309353,0.6009601188265511,0.37971636534756087,0.027168576104746323,0.060562459123610135,0.15894402232656601,0 days 00:00:03.484229
8,0.5,0.5868435144913339,0.740072202166065,0.7400662251655629,0.9692671394799054,0.49968683519185275,0.6181818181818182,0.5367521367521367,0.9655172413793104,0.8992805755395683,0.6139734465995847,0.35070161879522077,0.019098143236074283,0.05526487900588628,0.17105120608239782,0 days 00:00:03.237910
9,0.5,0.6121037576897457,0.7527675276752768,0.7533112582781457,0.9645390070921985,0.4973555988191313,0.6363636363636364,0.558974358974359,0.9574468085106383,0.8776978417266187,0.5983467459024306,0.3887036274590533,0.027168576104746323,0.05866579463701771,0.1561208961549163,0 days 00:00:03.405846
10,0.5,0.8117955148048013,0.8706896551724138,0.8692052980132451,0.9550827423167849,0.36363592537336853,0.8561151079136691,0.778784356625188,0.925531914893617,0.6545454545454545,0.41937349694060594,0.3174867586612795,0.05722670579603817,0.16855923859533972,0.09801384655346101,0 days 00:00:05.803101
11,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:05.928558
12,0.5,0.7960045975209957,0.8586497890295358,0.8625827814569537,0.9621749408983451,0.36470962874243934,0.855595667870036,0.7552304115957884,0.9538461538461539,0.6727272727272727,0.4252520234969791,0.28504839053008185,0.02891246684350124,0.15759763702001972,0.1017079648237949,0 days 00:00:05.756875
13,0.5,0.7888993378002429,0.8535564853556485,0.859271523178808,0.9645390070921985,0.3667668387769593,0.8454545454545455,0.7576575960618077,0.9384615384615385,0.6727272727272727,0.4286985386163758,0.27254916478783325,0.04429708222811668,0.16120774532326876,0.10465733553841916,0 days 00:00:05.695887
14,0.5,0.646023536172825,0.7683823529411765,0.7831125827814569,0.9881796690307328,0.41355368059952136,0.6818181818181818,0.5777777777777777,0.9757281553398058,0.8736462093862816,0.5199923721750365,0.1590090344138471,0.024271844660194164,0.07599407838350258,0.16474113389764566,0 days 00:00:05.693629
15,0.5,0.7845565090187165,0.8503118503118503,0.8576158940397351,0.966903073286052,0.36838555162580355,0.8272727272727273,0.7576575960618077,0.9384615384615385,0.6909090909090909,0.4294703389995934,0.26258118000470027,0.04429708222811668,0.14302592714145057,0.09701706211526023,0 days 00:00:05.650574
16,0.5,0.7592962658203048,0.8336713995943205,0.8443708609271523,0.9716312056737588,0.3737248282001594,0.8181818181818182,0.7280141843971631,0.9611650485436893,0.7363636363636363,0.43618969650517075,0.2424038761511723,0.028196653583970277,0.10536298234139962,0.09659744932506881,0 days 00:00:05.804439
17,0.5,0.8054739234356021,0.864406779661017,0.8692052980132451,0.9645390070921985,0.36328229464544554,0.8545454545454545,0.767127034048954,0.9468085106382979,0.6818181818181818,0.4204782739414763,0.3045381787364203,0.03595011005135729,0.15211683623235972,0.09845813761802924,0 days 00:00:05.573198
18,0.5,0.7561354701357053,0.8309859154929577,0.8443708609271523,0.9763593380614657,0.37664950881087433,0.8129496402877698,0.716903073286052,0.9611650485436893,0.7727272727272727,0.44623465084680847,0.22745701920160713,0.03883495145631066,0.07619359058207986,0.10550422348793331,0 days 00:00:05.786483
19,0.5,0.5556469835299035,0.7246127366609294,0.7317880794701986,0.9952718676122931,0.5166737398309355,0.6272727272727273,0.5222222222222223,0.9902912621359223,0.9458483754512635,0.6865064197512253,0.09816045762758671,0.009708737864077666,0.03976313534010334,0.2598711716782356,0 days 00:00:05.273824
20,0.5,0.6938077139088071,0.7984031936127745,0.7947019867549668,0.9456264775413712,0.4417056445236147,0.7181818181818181,0.6692307692307693,0.9042553191489362,0.7841726618705036,0.5202550271364382,0.35655344983291487,0.06126192223037419,0.07503311430278159,0.12877713923747702,0 days 00:00:01.735146
21,0.5,0.6894648851272809,0.7956349206349206,0.793046357615894,0.9479905437352246,0.44146846406834345,0.7181818181818181,0.6685579196217494,0.9148936170212766,0.8,0.5211897018895015,0.3443331045559616,0.0506236243580338,0.05920577617328515,0.1307392404971785,0 days 00:00:01.731842
22,0.5,0.6567010174627431,0.7762906309751434,0.7781456953642384,0.9598108747044918,0.4465551065436055,0.6909090909090909,0.6289598108747045,0.9468085106382979,0.8628158844765343,0.5393646524434565,0.31345783792884463,0.022422258592471378,0.021799500138850236,0.14552362585296036,0 days 00:00:01.749291
23,0.5,0.6791988297219284,0.7890625,0.7897350993377483,0.9550827423167849,0.44298482965525876,0.7090909090909091,0.6547008547008547,0.9361702127659575,0.8272727272727273,0.5233587729919827,0.33931758260579103,0.02934702861335292,0.035543157203807074,0.1299528872952989,0 days 00:00:01.754769
24,0.5,0.6788004649765553,0.7883495145631068,0.7913907284768212,0.9598108747044918,0.4447333851012863,0.7,0.6401709401709401,0.9468085106382979,0.8345323741007195,0.5326426875966362,0.32493010338617484,0.022422258592471378,0.02828351037581489,0.13824569749900867,0 days 00:00:01.698507
25,0.5,0.6764363987827018,0.7875243664717348,0.7880794701986755,0.9550827423167849,0.4435096725853911,0.7,0.6401709401709401,0.925531914893617,0.8201438848920863,0.5287609401368695,0.33267943312248704,0.04369885433715226,0.042671999584448006,0.13514956210383944,0 days 00:00:01.663062
26,0.5,0.5742003317529355,0.7333333333333333,0.7400662251655629,0.9881796690307328,0.4879805967175606,0.6090909090909091,0.5222222222222223,0.9787234042553191,0.9280575539568345,0.6403503025457276,0.2160519825909828,0.021276595744680882,0.05376062786134728,0.2185509420434879,0 days 00:00:01.791122
27,0.5,0.6531418570327704,0.7735849056603774,0.7798013245033113,0.9692671394799054,0.4493715942172967,0.7,0.6284869976359337,0.9655172413793104,0.8727272727272727,0.5458998290373929,0.29964935472581644,0.019098143236074283,0.012164813603662616,0.14928960730966362,0 days 00:00:01.747127
28,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:01.848713
29,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:01.800154
30,0.5,0.9199025639016235,0.9411764705882353,0.945364238410596,0.983451536643026,0.20899085524571165,0.9363636363636364,0.8895118282510597,0.9538461538461539,0.6,0.24601769412808888,0.17691844542956017,0.0461538461538461,0.1906137184115524,0.06106477918855721,0 days 00:00:05.672117
31,0.5,0.9179238013139506,0.9373601789709173,0.9470198675496688,0.9905437352245863,0.2079898413783372,0.9422382671480144,0.8919390127170792,0.9787234042553191,0.6181818181818182,0.2395040907591857,0.1792868097266579,0.021276595744680882,0.17668997668997666,0.05230654613043145,0 days 00:00:05.566241
32,0.5,0.9112169063385709,0.9330357142857143,0.9420529801324503,0.9881796690307328,0.21499886329701448,0.9314079422382672,0.8754273212088062,0.9787234042553191,0.6272727272727273,0.2457452072157574,0.1646509252945223,0.021276595744680882,0.17056120774532324,0.05108149208205792,0 days 00:00:05.932967
33,0.5,0.9084544753993443,0.9309576837416481,0.9403973509933775,0.9881796690307328,0.2127832054622747,0.927797833935018,0.8730001367427869,0.9846153846153847,0.6363636363636364,0.240403193756137,0.15787517748235932,0.01538461538461533,0.15786019035116505,0.04993549392212712,0 days 00:00:05.547719
34,0.5,0.909636508496271,0.9311111111111111,0.9420529801324503,0.9905437352245863,0.2152443051185025,0.9350180505415162,0.8824695747299329,0.9787234042553191,0.6363636363636364,0.24267980923147536,0.14315296346419523,0.021276595744680882,0.15786019035116505,0.050296506405508035,0 days 00:00:05.671221
35,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:05.686892
36,0.5,0.9060904092054909,0.930648769574944,0.9370860927152318,0.983451536643026,0.21174882910323062,0.9314079422382672,0.8754273212088062,0.9680851063829787,0.6181818181818182,0.24583232290758125,0.17180200306520307,0.03191489361702127,0.1796521168362324,0.059778346824972434,0 days 00:00:05.849890
37,0.5,0.8958243538001385,0.9208791208791208,0.9337748344370861,0.9905437352245863,0.21842518726929785,0.924187725631769,0.8659578832216601,0.9846153846153847,0.6272727272727273,0.23605468266020202,0.13158764231942838,0.01538461538461533,0.17056120774532324,0.030360170931088365,0 days 00:00:05.855818
38,0.5,0.851227094027141,0.8881856540084389,0.9089403973509934,0.9952718676122931,0.24591280239346436,0.8633093525179856,0.7888888888888889,0.9902912621359223,0.6818181818181818,0.2905043032802004,0.09992773234683701,0.009708737864077666,0.13113145846958807,0.07091232808246625,0 days 00:00:05.743529
39,0.5,0.7403314917127072,0.8181818181818182,0.8443708609271523,1.0,0.32363367029452766,0.7841726618705036,0.6666666666666666,1.0,0.8,0.4101803341162091,0.06521305279696801,0.0,0.09208633093525176,0.1380849986730625,0 days 00:00:05.513408
