model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:02.084203
1,0.5,0.7261993391063568,0.8236559139784946,0.7980132450331126,0.9054373522458629,0.5902731676753007,0.7090909090909091,0.6615384615384616,0.8297872340425532,0.6762589928057554,0.6186623967256836,0.5808809511490669,0.1012472487160675,0.1314333148865523,0.04693091001988736,0 days 00:00:04.352875
2,0.5,0.7143528858587046,0.8147368421052632,0.7947019867549668,0.9148936170212766,0.5952821784153475,0.7090909090909091,0.6649572649572649,0.851063829787234,0.6906474820143885,0.6230261387952511,0.586805531725689,0.09721203228173148,0.15550636413945762,0.04574166880052344,0 days 00:00:00.985187
3,0.5,0.6595156929587398,0.7842323651452282,0.7533112582781457,0.8936170212765957,0.6901020820546037,0.6906474820143885,0.6091016548463357,0.8404255319148937,0.7697841726618705,0.6913163577594618,0.6879235697432633,0.090608950843727,0.06354916067146288,0.0018748056087714016,0 days 00:00:03.427915
4,0.5,0.6369917584211695,0.7680311890838206,0.7549668874172185,0.9314420803782506,0.5454933207834569,0.6727272727272727,0.6102564102564103,0.9148936170212766,0.8057553956834532,0.5931772386649419,0.5038703492125172,0.038952536824877315,0.07885998893193136,0.0789213280732236,0 days 00:00:03.545828
5,0.5,0.6879106095633661,0.7983539094650206,0.7798013245033113,0.91725768321513,0.5939603166796449,0.6909090909090909,0.6358974358974359,0.8723404255319149,0.7338129496402878,0.6195974297301152,0.5752214420629878,0.06612111292962353,0.11234089651355839,0.0417153247756572,0 days 00:00:01.847732
6,0.5,0.8646670062562857,0.9048672566371682,0.9056291390728477,0.966903073286052,0.30439467508523377,0.8808664259927798,0.8045261862436757,0.9538461538461539,0.6090909090909091,0.33529955753870494,0.24890524751190723,0.0461538461538461,0.21142191142191136,0.08618341859818932,0 days 00:00:00.376004
7,0.5,0.7660423442132622,0.8463203463203464,0.8294701986754967,0.9243498817966903,0.46719262644588144,0.8129496402877698,0.7265827977574183,0.8923076923076924,0.6272727272727273,0.5039380500460114,0.42863835964444574,0.039731142643763984,0.18861174926156876,0.0874918043233584,0 days 00:00:00.743332
8,0.5,0.6851743009025247,0.8008565310492506,0.7649006622516556,0.8841607565011821,0.64014875379823,0.7338129496402878,0.6534937782031998,0.7872340425531915,0.6546762589928058,0.6527829128618071,0.6248405206795367,0.14380044020542915,0.1792587590577357,0.022097658250353813,0 days 00:00:00.391296
9,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:05.624418
10,0.5,0.6646160678134347,0.7833001988071571,0.7715231788079471,0.9314420803782506,0.5676679282518287,0.6909090909090909,0.6241379310344828,0.9042553191489362,0.7697841726618705,0.6074610667426504,0.5170109935690179,0.044020542920029326,0.11483121195351409,0.06341790878877485,0 days 00:00:01.250229
11,0.5,0.9534370387785223,0.9633867276887872,0.9701986754966887,0.9952718676122931,0.19137852153207968,0.9638989169675091,0.9341925338438397,0.9893617021276596,0.6181818181818182,0.22670825878280637,0.16799102861920312,0.010638297872340385,0.15438135871348868,0.08506579917216983,0 days 00:00:00.562654
12,0.5,0.740024554941682,0.8355555555555556,0.7996688741721855,0.8888888888888888,0.6647581362880317,0.7553956834532374,0.6975177304964539,0.7692307692307693,0.5454545454545454,0.6700047511174726,0.6621023557858544,0.1618037135278514,0.27042993107975066,0.011375341356123392,0 days 00:00:00.776378
13,0.5,1.0,1.0,1.0,1.0,0.07253904857325165,1.0,1.0,1.0,0.5909090909090909,0.07797064653338746,0.057716839160287685,0.0,0.15277321956022316,0.018518899426538615,0 days 00:00:06.343538
14,0.5,0.711192090174105,0.8121085594989561,0.7947019867549668,0.9196217494089834,0.49503178203237636,0.7363636363636363,0.6982905982905983,0.8723404255319149,0.7338129496402878,0.5460119068448356,0.44348229481444024,0.0759354365370506,0.11234089651355839,0.08319404442676137,0 days 00:00:01.754755
15,0.5,0.663460156994893,0.7863070539419087,0.7566225165562914,0.8959810874704491,0.6879328760138448,0.6906474820143885,0.6091016548463357,0.8404255319148937,0.7697841726618705,0.6900357248904766,0.6841759005298249,0.090608950843727,0.06354916067146288,0.003254759573545485,0 days 00:00:00.482264
16,0.5,0.954619071875449,0.9634703196347032,0.9718543046357616,0.9976359338061466,0.17871892610981066,0.9530685920577617,0.9130657732804595,0.9951456310679612,0.5909090909090909,0.1898133780588416,0.13648323563731157,0.004854368932038833,0.19248441089596324,0.02812645946749054,0 days 00:00:00.403002
17,0.5,0.670565416715646,0.7907949790794979,0.7599337748344371,0.8936170212765957,0.6247531263692846,0.6909090909090909,0.6202127659574468,0.8404255319148937,0.762589928057554,0.6566228133172967,0.5685934137363247,0.090608950843727,0.07074340527577938,0.04753098995309846,0 days 00:00:02.391168
18,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:05.391749
19,0.5,0.7403837362694774,0.8280922431865828,0.8178807947019867,0.933806146572104,0.5367761365701199,0.7454545454545455,0.705982905982906,0.9042553191489362,0.7545454545454545,0.57944450435399,0.5232310870688016,0.06126192223037419,0.07878787878787885,0.06943364568027632,0 days 00:00:06.033069
20,0.5,0.6934485325810117,0.8037974683544303,0.7764900662251656,0.900709219858156,0.6655948145623336,0.7,0.647008547008547,0.8617021276595744,0.7194244604316546,0.6713335496633892,0.6596161336065283,0.07675941080196402,0.11390887290167873,0.010391545542877578,0 days 00:00:02.131775
21,0.5,0.6279077361127438,0.7624521072796935,0.7533112582781457,0.9408983451536643,0.6801674723925858,0.6454545454545455,0.5700854700854701,0.9148936170212766,0.8201438848920863,0.6860487339523357,0.6680253581168288,0.06972176759410809,0.10712884238064091,0.010425161629787127,0 days 00:00:00.670856
22,0.5,0.6595156929587398,0.7842323651452282,0.7533112582781457,0.8936170212765957,0.6573502086451076,0.6906474820143885,0.6091016548463357,0.8404255319148937,0.7697841726618705,0.6724489767648045,0.6304561506261029,0.090608950843727,0.06354916067146288,0.02336147917328324,0 days 00:00:00.345205
23,0.5,1.0,1.0,1.0,1.0,0.08806577543257173,1.0,1.0,1.0,0.5909090909090909,0.11474233073546988,0.0900187823632718,0.0,0.15277321956022316,0.042700768950990634,0 days 00:00:00.879812
24,0.5,0.6614683332680277,0.7826961770623743,0.7649006622516556,0.9196217494089834,0.6436632081160849,0.6454545454545455,0.5837606837606838,0.8829787234042553,0.7482014388489209,0.6593830308086306,0.6290001918338198,0.06529713866471021,0.11077292012543805,0.026101060789272656,0 days 00:00:04.771041
25,0.5,0.7333045988271096,0.8286334056399133,0.8013245033112583,0.9030732860520094,0.5427337195106111,0.7769784172661871,0.7006016682619992,0.8461538461538461,0.6272727272727273,0.5639390101442655,0.5043842694103382,0.07617625093353253,0.1922218575648178,0.056511376348508,0 days 00:00:00.975708
26,0.5,0.9834254143646408,0.986013986013986,0.9900662251655629,1.0,0.13679177167458992,0.9819494584837545,0.9647887323943662,1.0,0.5909090909090909,0.16268865441524097,0.12561268752627214,0.0,0.17082376107646857,0.0605354756094138,0 days 00:00:01.038725
27,0.5,0.9337147185977561,0.9519450800915332,0.9536423841059603,0.983451536643026,0.22171024023875946,0.9454545454545454,0.9,0.9680851063829787,0.6090909090909091,0.2651864933712681,0.1979326967828952,0.03191489361702127,0.1857808857808857,0.07516762210009051,0 days 00:00:04.274069
28,0.5,0.8050886198294216,0.8666666666666667,0.8642384105960265,0.9527186761229315,0.36723011244593823,0.8363636363636363,0.7880144947354026,0.9361702127659575,0.6818181818181818,0.4317175636219913,0.308194289226224,0.04658840792369767,0.13869463869463872,0.10374779689908442,0 days 00:00:02.776562
