model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:02.230569
1,0.5,0.8208664759740345,0.875268817204301,0.8774834437086093,0.9621749408983451,0.36708468290487106,0.8545454545454545,0.8009456264775414,0.9384615384615385,0.6636363636363637,0.43287068821415964,0.32065278061275443,0.04429708222811668,0.1568764568764568,0.10536323018570565,0 days 00:00:04.650590
2,0.5,0.8074526860232749,0.867237687366167,0.8675496688741722,0.9574468085106383,0.36417376687434994,0.8181818181818182,0.7948717948717949,0.9230769230769231,0.6818181818181818,0.43451661516120166,0.31815168145635514,0.05968169761273201,0.12587412587412594,0.11079716074052215,0 days 00:00:00.898705
3,0.5,0.713569217507151,0.8152866242038217,0.7913907284768212,0.9078014184397163,0.4381071292951696,0.7,0.670940170940171,0.8307692307692308,0.6909090909090909,0.5229334937235227,0.37116454993736825,0.12068707991038086,0.14663603544469972,0.13725529726386393,0 days 00:00:03.662634
4,0.5,0.6595156929587398,0.7842323651452282,0.7533112582781457,0.8936170212765957,0.6656083093419344,0.6906474820143885,0.6091016548463357,0.8404255319148937,0.7697841726618705,0.6771167648923306,0.6449700733683155,0.090608950843727,0.06354916067146288,0.01776848982521484,0 days 00:00:03.769747
5,0.5,0.7908781003879158,0.8562367864693446,0.8576158940397351,0.9574468085106383,0.38342389900191604,0.8,0.7760683760683761,0.9076923076923077,0.6818181818181818,0.45617107786658934,0.31279580758160186,0.07506631299734745,0.13869463869463872,0.11444305675383121,0 days 00:00:02.073151
6,0.5,0.9668508287292817,0.9724137931034482,0.9801324503311258,1.0,0.12763594068108808,0.9640287769784173,0.9444444444444444,1.0,0.6,0.15233285023349738,0.06217298592160152,0.0,0.1692307692307693,0.04115717916847067,0 days 00:00:00.352127
7,0.5,0.9447513812154695,0.9548532731376975,0.9668874172185431,1.0,0.15489999717060976,0.9454545454545454,0.925,1.0,0.6454545454545455,0.2107004528768017,0.06566994617150657,0.0,0.13659673659673655,0.09098119824145186,0 days 00:00:00.780489
8,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:00.348689
9,0.5,0.6282669174405391,0.7595628415300546,0.7715231788079471,0.9858156028368794,0.4481730487487822,0.6636363636363637,0.5888888888888889,0.9787234042553191,0.8989169675090253,0.5814036053839967,0.2533203709302907,0.021276595744680882,0.02835575976370197,0.19288689318144348,0 days 00:00:05.843228
10,0.5,0.6192090174104985,0.7565055762081785,0.7566225165562914,0.9621749408983451,0.507864280414013,0.6545454545454545,0.5811965811965812,0.9468085106382979,0.8633093525179856,0.5934001489464852,0.3731595484689449,0.03780687397708682,0.059767570558937555,0.1294422935055083,0 days 00:00:01.387225
11,0.5,1.0,1.0,1.0,1.0,0.0641998507768998,1.0,1.0,1.0,0.5909090909090909,0.07670892135080584,0.04819517094815239,0.0,0.15277321956022316,0.022382596986743025,0 days 00:00:00.551712
12,0.5,0.6077478677690268,0.7495495495495496,0.7582781456953642,0.983451536643026,0.5271746213920169,0.6727272727272727,0.5502364066193853,0.9757281553398058,0.9025270758122743,0.5840830697397409,0.40730055929036735,0.024271844660194164,0.05430745656182645,0.08652257362169702,0 days 00:00:00.883496
13,0.5,1.0,1.0,1.0,1.0,0.0025822898220463878,1.0,1.0,1.0,0.5909090909090909,0.003217097013464407,0.0011069407731056724,0.0,0.15277321956022316,0.001207605733872782,0 days 00:00:06.583786
14,0.5,0.663460156994893,0.7863070539419087,0.7566225165562914,0.8959810874704491,0.6567752699817878,0.6906474820143885,0.6091016548463357,0.8404255319148937,0.7697841726618705,0.6723298123966021,0.6290532630057208,0.090608950843727,0.06354916067146288,0.02409242401448264,0 days 00:00:01.698358
15,0.5,0.8962227185455116,0.922566371681416,0.9321192052980133,0.9858156028368794,0.24631776435803623,0.9169675090252708,0.8564884452345138,0.9805825242718447,0.6363636363636364,0.28106814978181943,0.19674476376328726,0.01941747572815533,0.1614702986544142,0.07002321955509691,0 days 00:00:00.552906
16,0.5,1.0,1.0,1.0,1.0,0.04336215098897386,1.0,1.0,1.0,0.5909090909090909,0.06044078352209137,0.008849632904955065,0.0,0.15277321956022316,0.027986690366320587,0 days 00:00:00.462190
17,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:02.759048
18,0.5,0.9467301438031426,0.958904109589041,0.9652317880794702,0.9929078014184397,0.19867618245151217,0.9487179487179487,0.9,0.9893617021276596,0.6181818181818182,0.24082077793411527,0.1680958428010774,0.010638297872340385,0.17668997668997666,0.06690538179906597,0 days 00:00:05.658675
19,0.5,0.6495957577419902,0.7722960151802657,0.7748344370860927,0.9621749408983451,0.49896677754749713,0.6727272727272727,0.6034188034188035,0.9361702127659575,0.8489208633093526,0.5875007776163054,0.4039451823290866,0.048445171849427204,0.05107913669064745,0.13677885698743164,0 days 00:00:06.356164
20,0.5,0.6958125987748651,0.8046218487394958,0.7798013245033113,0.9054373522458629,0.531043406607603,0.7090909090909091,0.6547008547008547,0.8617021276595744,0.7194244604316546,0.5792006842973121,0.4925061026368994,0.09214402618657946,0.1267293857221915,0.07699759727268707,0 days 00:00:02.212192
21,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:00.654187
22,0.5,0.6065788958112927,0.75,0.75,0.9645390070921985,0.5484439316060234,0.6272727272727273,0.5478632478632479,0.9563106796116505,0.8848920863309353,0.612967037647299,0.4589224603079333,0.028304705003734165,0.060562459123610135,0.09940914941258971,0 days 00:00:00.381037
23,0.5,1.0,1.0,1.0,1.0,0.004989394089546237,1.0,1.0,1.0,0.5909090909090909,0.00665499483149449,0.005240465550241783,0.0,0.15277321956022316,0.0027602141734945494,0 days 00:00:00.928862
24,0.5,0.7805859227041783,0.8423153692614771,0.8675496688741722,0.9976359338061466,0.3031690569355175,0.8090909090909091,0.7666666666666666,0.9951456310679612,0.7818181818181819,0.3796199349873472,0.12049316428930466,0.004854368932038833,0.06433566433566429,0.11780476239004856,0 days 00:00:05.049944
25,0.5,0.6839530843880204,0.7943548387096774,0.7831125827814569,0.9314420803782506,0.4978106129040809,0.6909090909090909,0.6358974358974359,0.9148936170212766,0.7697841726618705,0.5696732267294866,0.4075243295709231,0.03338224504768894,0.10201069913300131,0.112609834913529,0 days 00:00:01.107165
26,0.5,1.0,1.0,1.0,1.0,0.03680737496119882,1.0,1.0,1.0,0.5909090909090909,0.04888771736537945,0.036788759382514295,0.0,0.15277321956022316,0.019768477460944282,0 days 00:00:01.099942
27,0.5,1.0,1.0,1.0,1.0,0.00564472607677789,1.0,1.0,1.0,0.5909090909090909,0.006865086967195912,0.004583196940024125,0.0,0.15277321956022316,0.0021982929053300454,0 days 00:00:04.337183
28,0.5,0.9739560884500347,0.9791183294663574,0.9834437086092715,0.9976359338061466,0.14650064275400015,0.9818181818181818,0.9647887323943662,0.9846153846153847,0.5909090909090909,0.18325464352182494,0.14458191343549015,0.01538461538461533,0.17082376107646857,0.06874775751818278,0 days 00:00:02.854717
29,0.5,0.5386740331491713,0.7169491525423729,0.7235099337748344,1.0,0.5596079318431401,0.6090909090909091,0.5111111111111111,1.0,0.9675090252707581,0.8113331463061352,0.08683524767442911,0.0,0.025296730124925393,0.3529794306863808,0 days 00:00:02.339253
30,0.5,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:00.337535
31,0.5,0.5,0.7003311258278145,0.7003311258278145,1.0,0.6209006588356835,0.5909090909090909,0.5,1.0,1.0,0.7855304118521583,0.21539350810541205,0.0,0.0,0.22925767637487937,0 days 00:00:05.675096
32,0.5,0.6152645533743453,0.7546468401486989,0.7533112582781457,0.9598108747044918,0.5300050673801492,0.6090909090909091,0.5290598290598291,0.9563106796116505,0.8705035971223022,0.6067557205503262,0.43065951910001093,0.012920089619118724,0.07495094833224325,0.11659402248868816,0 days 00:00:04.564674
