number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:01.860021,0.07881649212985159,0.3934845343363656,2,0.03547635730051962,217
1,0 days 00:00:03.903459,0.16242949966150969,0.14610188052647008,3,0.1345620713102714,495
2,0 days 00:00:08.693508,0.15578758457237812,0.015666127862559737,5,0.02591090044506857,641
3,0 days 00:00:04.504434,0.0400556392790967,0.03174526577335546,6,0.32705537747627844,518
4,0 days 00:00:02.182062,0.023723143468456828,0.015880149636209658,3,0.028301484561350856,206
5,0 days 00:00:06.758028,0.13873594823588872,0.018112094389562076,5,0.24070113181198424,726
6,0 days 00:00:08.271598,0.2181402678774474,0.027317971874197763,4,0.05705083970679499,906
7,0 days 00:00:04.025361,0.24440029389307827,0.37561165159578275,2,0.019637402512790284,555
8,0 days 00:00:05.728891,0.017079440434574635,0.13568581480341813,2,0.07135228733393707,738
9,0 days 00:00:04.446195,0.3219642766127154,0.22935184312999074,4,0.3288493273663186,556
10,0 days 00:00:06.681449,0.006166831211585708,0.09131185267224727,6,0.014130233517646583,798
11,0 days 00:00:04.395876,0.06403218467668768,0.08113355064627513,6,0.0067745323930780916,289
12,0 days 00:00:02.469643,0.057012683256590306,0.3726734393745099,3,0.02029331857687851,305
13,0 days 00:00:03.381199,0.00971553343804773,0.06607568507800485,5,0.027884439021597388,344
14,0 days 00:00:02.094015,0.007587036460118336,0.06230678326735456,4,0.24534537377672616,227
15,0 days 00:00:05.437199,0.26267405471524385,0.39657994669913343,2,0.11092156808074549,784
16,0 days 00:00:03.622294,0.009305611119761978,0.20730481995328032,3,0.43120538047739243,478
17,0 days 00:00:05.085656,0.0350441620027421,0.01052410159776371,4,0.32517958389526197,584
18,0 days 00:00:02.480759,0.028889373595284977,0.012731336134607887,3,0.02128456269135668,224
19,0 days 00:00:07.687800,0.2932674578186925,0.06253209337576301,6,0.4902136144237493,776
20,0 days 00:00:03.059060,0.008271566647172936,0.02372692324982489,6,0.1132179795313644,309
21,0 days 00:00:07.624644,0.11705866132432037,0.1234251344302935,6,0.012358353061721864,837
22,0 days 00:00:03.117999,0.3631308553769735,0.3401053603934476,3,0.01196825584498585,369
23,0 days 00:00:03.926114,0.03176159856692959,0.1331797937640884,6,0.49842453735747366,441
24,0 days 00:00:03.300314,0.0820943290818894,0.010469839531624465,5,0.4269636720738197,235
25,0 days 00:00:05.685303,0.05056308121166897,0.015582372697192063,4,0.2708964152846675,661
26,0 days 00:00:03.618940,0.14376859355796612,0.20271755687069518,2,0.43974184698364943,474
27,0 days 00:00:04.576727,0.023858095225425247,0.03744145378283951,3,0.09129084573958193,561
28,0 days 00:00:06.742279,0.00594425224001349,0.020966921590211785,6,0.1528479816432393,752
29,0 days 00:00:03.676146,0.014505642802116378,0.14564556651923632,2,0.02340577621553002,457
30,0 days 00:00:04.034524,0.3254761028979562,0.0497717835055608,3,0.15311431275877393,513
31,0 days 00:00:06.522172,0.060185354400032594,0.04255904553960104,6,0.015898907183793776,714
32,0 days 00:00:04.469419,0.007626193247401259,0.010551644220725293,5,0.044007831234107536,359
33,0 days 00:00:04.371592,0.2882868028452031,0.07080721391644139,6,0.3738767176945078,466
34,0 days 00:00:06.090653,0.008674400800129213,0.026839096633378228,6,0.005191532046984457,506
35,0 days 00:00:06.199852,0.00785804137632702,0.07417322921812522,2,0.005103092394974572,769
36,0 days 00:00:05.375696,0.05061980866071655,0.17466828627012346,3,0.11877792557900542,725
37,0 days 00:00:03.508179,0.005104100978115885,0.07048471752693936,5,0.03932467997465126,398
38,0 days 00:00:02.050835,0.2750383949191463,0.07310708917989354,3,0.38047102384844267,237
39,0 days 00:00:03.626659,0.0609456171188319,0.010552286024338725,5,0.0748973027799294,209
40,0 days 00:00:03.806101,0.021895135363998106,0.10463207439263085,5,0.30722308751843186,479
41,0 days 00:00:10.848110,0.09354207442741766,0.03617376114152358,5,0.005628341863209328,535
42,0 days 00:00:03.371869,0.1593382744395639,0.01667280941001085,4,0.07605597434439018,289
