number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators
0,0 days 00:00:00.868658,0.1054164174041551,2,0.004802436990486407,603
1,0 days 00:00:02.971184,0.0736143253856395,5,50.68197179520005,661
2,0 days 00:00:01.445591,0.10171804649221501,5,0.0058963851925206996,296
3,0 days 00:00:02.832156,0.4945136046470548,5,0.32960115713519816,462
4,0 days 00:00:04.163190,0.0632983481889619,6,0.18431209323047396,728
5,0 days 00:00:00.413345,0.031302633314319726,2,20.144151118293934,306
6,0 days 00:00:01.526256,0.10834465430256629,4,0.007737183902549279,422
7,0 days 00:00:01.997536,0.062444511725488566,3,0.002483025839139466,917
8,0 days 00:00:01.131934,0.09408114705742665,5,79.72787155962737,240
9,0 days 00:00:01.781891,0.26325025238559235,6,0.002967812062838193,327
10,0 days 00:00:00.503065,0.344106541662567,2,0.010761307944195015,259
11,0 days 00:00:03.039513,0.12742202726074742,5,98.22458943243431,779
12,0 days 00:00:00.768243,0.054693953082850126,3,0.004204370101644713,420
13,0 days 00:00:00.655481,0.04231687788858139,3,1.1313832214506159,249
14,0 days 00:00:01.623548,0.018025029069552667,4,33.22288394510153,412
15,0 days 00:00:00.980547,0.34174726909506703,3,1.295461084323493,332
16,0 days 00:00:01.543076,0.07364704536171703,5,0.050252326357831674,293
17,0 days 00:00:01.278739,0.35530392803638977,3,0.01853689096188506,522
18,0 days 00:00:02.372094,0.022802951383937592,6,0.08524951153695359,310
19,0 days 00:00:01.033191,0.08699043449996108,4,0.003263408946694589,323
20,0 days 00:00:01.137365,0.07700023993018704,4,88.31335185623252,397
21,0 days 00:00:02.786740,0.01713919349502223,5,1.453934598823467,457
22,0 days 00:00:03.574118,0.1488155329271657,6,0.0029245723535765043,672
23,0 days 00:00:00.893778,0.03022269669400669,2,0.04134782202090567,554
24,0 days 00:00:00.898483,0.08471799369214333,2,0.0032106344078453304,564
25,0 days 00:00:03.760704,0.01019959613271412,6,0.1484736951267883,313
26,0 days 00:00:02.954379,0.22621582515340444,5,4.234891368752851,640
27,0 days 00:00:02.191851,0.3190161309736059,4,67.13011079855906,811
28,0 days 00:00:03.268870,0.03599665573488061,4,32.21479318344813,979
29,0 days 00:00:02.378024,0.06816259487282435,4,0.01400331743137509,792
30,0 days 00:00:01.439047,0.24559577974756946,5,0.5725979697334656,243
31,0 days 00:00:01.845035,0.31546608950237565,5,0.5035918769764156,361
32,0 days 00:00:03.503781,0.011737468217855734,5,6.857656870788886,452
33,0 days 00:00:00.526014,0.13095032466411766,3,0.060499879912102414,205
34,0 days 00:00:00.583150,0.03367646378414842,3,0.6288873481426487,215
35,0 days 00:00:00.864997,0.01906826850969381,3,0.022358574074471345,325
36,0 days 00:00:03.071358,0.2740892048117044,5,21.341198198726367,618
37,0 days 00:00:02.122602,0.019508199811618016,3,3.7233294830493073,692
38,0 days 00:00:01.288795,0.4439777325961465,4,0.10075974470358054,319
39,0 days 00:00:01.352669,0.26796708668094377,5,0.001439556794655724,269
40,0 days 00:00:04.452056,0.24443044999300773,5,5.768383521023034,922
41,0 days 00:00:01.381787,0.017272646110929376,3,0.034922055262700556,448
42,0 days 00:00:03.574679,0.02928024645051923,5,0.06719974524319759,614
43,0 days 00:00:02.045474,0.03648226014074359,6,8.992164640007553,273
44,0 days 00:00:01.444895,0.10109166307548728,2,0.01582924315681454,826
45,0 days 00:00:01.801185,0.024641352372015122,6,0.0010875168269910403,241
46,0 days 00:00:03.060507,0.02836022783947208,5,0.09672972542156591,553
47,0 days 00:00:01.419343,0.2312261186022402,5,0.09969176588469696,292
48,0 days 00:00:01.545843,0.1776498771590165,2,70.45500686589354,911
49,0 days 00:00:00.585487,0.44646087313042854,2,2.1060507743820454,230
50,0 days 00:00:00.760987,0.0554770555615698,2,1.1319518378522928,612
51,0 days 00:00:01.236743,0.329534461466631,4,39.83653229173984,390
52,0 days 00:00:01.684417,0.1263945328456132,3,0.10097195632595074,713
53,0 days 00:00:01.988801,0.12816753205975487,6,0.14561036767587782,369
54,0 days 00:00:01.963961,0.015770625997643263,4,0.23442985941336375,398
55,0 days 00:00:01.915719,0.4872443838309016,4,0.029473868062053155,509
56,0 days 00:00:00.735948,0.019440332999383015,2,19.361557336332645,540
57,0 days 00:00:01.474196,0.01785949234885197,3,0.004354318365543932,541
58,0 days 00:00:01.802878,0.027290476446866992,4,0.001094085033176602,516
59,0 days 00:00:01.522111,0.02562686910984082,2,0.013520466127082067,780
60,0 days 00:00:01.782767,0.011803634244735954,2,0.2988695267473433,983
61,0 days 00:00:02.103242,0.38068128143341945,6,0.719288114999803,371
62,0 days 00:00:03.534560,0.06877954012843716,5,2.0019562982189596,679
63,0 days 00:00:05.596562,0.020258814964482726,6,0.19632987647892847,814
64,0 days 00:00:06.196377,0.07067585239851382,6,0.6868992039432885,970
65,0 days 00:00:03.673691,0.42584056083609856,5,0.002563751284910579,582
66,0 days 00:00:04.101616,0.011427512453650828,6,0.26656194989706034,234
67,0 days 00:00:05.830379,0.01095905945486273,5,0.09837578762699298,954
68,0 days 00:00:01.870901,0.01160357561544481,3,0.3487783095788045,532
