number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:03.354356,0.02146613976500062,0.06025851233364267,5,0.1456806497243156,229
1,0 days 00:00:07.481967,0.06477938949377268,0.06051061609644141,6,0.0076910549048388906,300
2,0 days 00:00:09.444239,0.3677625574747169,0.018482563128649515,3,0.015209209093082876,425
3,0 days 00:00:04.385916,0.3886251891349845,0.2969258256442545,5,0.3012702527443693,312
4,0 days 00:00:04.760843,0.01953826150962509,0.044567490874160356,3,0.07774734753647326,414
5,0 days 00:00:10.255252,0.0465530683141709,0.33808169523041454,6,0.016801015966299605,859
6,0 days 00:00:05.729867,0.011166025958152411,0.013141082975773224,6,0.09677623948303894,404
7,0 days 00:00:08.761365,0.052293521790794315,0.02014918693369663,3,0.2494531484522225,821
8,0 days 00:00:09.216668,0.11356064643600754,0.015278578462394665,3,0.08284692653587963,842
9,0 days 00:00:07.763601,0.006173254448472966,0.07571967199765732,5,0.027092348277289527,627
10,0 days 00:00:03.753816,0.012482453992161534,0.013571701344194843,4,0.28889026780852883,305
11,0 days 00:00:03.734536,0.0841255237975784,0.0300647765925497,5,0.05641276066952509,224
12,0 days 00:00:04.726155,0.43406780785204985,0.012030537431833865,4,0.25912737776659,321
13,0 days 00:00:02.893805,0.09187824228146095,0.21573611036947227,2,0.046878848296986846,228
14,0 days 00:00:04.277250,0.25559262386727993,0.019015165080780563,4,0.01695376563562833,244
15,0 days 00:00:03.438384,0.42433455980968426,0.2947832352658891,4,0.16067963978449604,251
16,0 days 00:00:05.737381,0.020855921512201888,0.3616097720719159,4,0.10174086404392338,510
17,0 days 00:00:05.492621,0.01594379898715352,0.017300806308245115,5,0.20255330722939874,442
18,0 days 00:00:06.357715,0.18376040142177924,0.08441990721476225,2,0.3616148207434519,583
19,0 days 00:00:04.135579,0.23330405178708385,0.04642896610315902,5,0.3154311761663637,318
20,0 days 00:00:11.863901,0.023994666835903997,0.026522455561545703,6,0.00528851507344939,764
21,0 days 00:00:08.956863,0.03270449807875743,0.28109017225716915,3,0.03489900293364982,873
22,0 days 00:00:05.508587,0.02159558679350888,0.05519784453350125,6,0.03161616352830466,439
23,0 days 00:00:08.712766,0.01650028776275668,0.011055644149934324,4,0.014552388187157804,607
24,0 days 00:00:08.362995,0.011542942369070773,0.01313211011688985,6,0.20258116069618629,596
25,0 days 00:00:04.229606,0.017532570549169523,0.011922014341890637,3,0.005388120639102452,306
26,0 days 00:00:03.559547,0.008383680689514164,0.20681284136656233,2,0.10311370198815582,299
27,0 days 00:00:07.228905,0.014731683069728396,0.038130075179346475,5,0.04721036258598981,614
28,0 days 00:00:04.211785,0.07115687697229349,0.03140450182304212,4,0.027479919650067273,324
29,0 days 00:00:23.969341,0.33756080625681056,0.026841808259726072,4,0.005433598419869594,869
30,0 days 00:00:05.942298,0.15684920752353596,0.22276630445619267,3,0.37556277094149276,526
31,0 days 00:00:10.558786,0.0087795988430506,0.2950931214870413,2,0.01987379733899966,929
32,0 days 00:00:05.112646,0.2413593671882122,0.13486599431826254,6,0.47026423641180365,376
