number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators
0,0 days 00:00:02.524225,0.015880149636209658,4,0.00448176461425998,206
1,0 days 00:00:04.854858,0.23010703471004604,4,0.5932229209135701,511
2,0 days 00:00:02.922258,0.19642504971212219,4,0.005078228581348188,252
3,0 days 00:00:04.195699,0.06973271579604334,6,0.6832440468754333,209
4,0 days 00:00:05.506322,0.011828662994287996,4,10.826850934028652,562
5,0 days 00:00:04.151449,0.13586600829380402,4,16.70433914050248,414
6,0 days 00:00:03.395602,0.1339635774193281,4,0.7692982397047483,307
7,0 days 00:00:10.473390,0.3440174585507187,5,10.090275973025772,863
8,0 days 00:00:08.479369,0.024169634234949552,6,19.91030154830411,496
9,0 days 00:00:04.768119,0.08113355064627513,6,0.2993110762163959,289
10,0 days 00:00:03.459142,0.03570784213790817,5,18.720920946591818,250
11,0 days 00:00:06.149606,0.10078760061921394,6,0.02913444265476148,391
12,0 days 00:00:05.219450,0.013634448611329621,6,0.005263099932714137,275
13,0 days 00:00:01.514702,0.13156939006364737,3,16.866294241018224,231
14,0 days 00:00:04.494690,0.1391380415043722,2,17.5890686599274,909
15,0 days 00:00:03.211078,0.20730481995328032,3,0.09898311858663672,478
16,0 days 00:00:02.011069,0.011267430957022283,3,0.44206415805750493,247
17,0 days 00:00:01.977761,0.34654794457013577,3,34.11011366782914,394
18,0 days 00:00:02.433183,0.04437216239801317,3,0.002035353716624194,331
19,0 days 00:00:05.353575,0.49167427372765105,6,16.346113707962726,425
20,0 days 00:00:01.863368,0.02372692324982489,3,17.096250362183905,309
21,0 days 00:00:02.558753,0.08445368575604836,4,0.032868548222672156,246
22,0 days 00:00:03.713379,0.14565092975249225,5,1.6291334996748745,274
23,0 days 00:00:06.340970,0.02098971373834328,3,0.08076590595235046,853
24,0 days 00:00:04.243934,0.1331797937640884,6,81.484693971463,441
25,0 days 00:00:08.034310,0.127807164583563,5,0.021857019360320737,667
26,0 days 00:00:05.162673,0.04930441695545101,3,0.12238581924485152,833
27,0 days 00:00:04.279135,0.011177239884810194,5,0.1918478744426575,237
28,0 days 00:00:02.616577,0.20271755687069518,2,54.684071333208664,474
29,0 days 00:00:06.642600,0.12291515446276192,5,0.2192214112668187,522
30,0 days 00:00:01.991443,0.2502407813543088,2,0.14545496353500273,388
31,0 days 00:00:04.654839,0.20930350975174383,3,0.016546834684174613,658
32,0 days 00:00:04.872825,0.024714037843634094,6,2.6517758317292714,343
33,0 days 00:00:03.155001,0.18296735375465545,3,0.8476677849438736,387
34,0 days 00:00:07.081773,0.04255904553960104,4,0.003502669980977043,714
35,0 days 00:00:02.533614,0.04148773733390714,2,0.001635667276209025,538
36,0 days 00:00:01.048791,0.10592489402730106,2,1.2321359105202547,212
37,0 days 00:00:07.390369,0.3905976921345803,6,0.42902423644198895,447
38,0 days 00:00:13.832940,0.010838835010289889,6,0.15900620059422346,908
39,0 days 00:00:01.301919,0.03500824093687107,2,0.0010985348453661009,242
40,0 days 00:00:02.374416,0.04594560482252093,2,0.707976940287259,473
41,0 days 00:00:03.741052,0.07145459587442533,3,4.526741859414588,605
42,0 days 00:00:05.690579,0.05766066312713462,5,0.13808250126573562,446
43,0 days 00:00:02.587779,0.3964422692206697,3,0.003458971893097006,453
44,0 days 00:00:04.701366,0.04803317121337722,2,0.012180894925677675,915
45,0 days 00:00:07.792944,0.3305903733870184,5,0.520695279807444,525
46,0 days 00:00:03.871764,0.03617376114152358,3,0.006020082193333851,535
47,0 days 00:00:04.000294,0.02449209274202837,4,16.482211825018716,468
48,0 days 00:00:06.125696,0.04545853891340216,4,0.9024191965077184,670
49,0 days 00:00:05.878952,0.017298083489244807,5,0.0055361513764228725,410
50,0 days 00:00:02.842298,0.28376341980766867,6,25.015948905583137,212
51,0 days 00:00:04.003852,0.07375730854264216,5,42.47894082204156,338
52,0 days 00:00:11.565357,0.0257081638745551,5,0.0031214678396085022,915
53,0 days 00:00:02.120861,0.14161703861348257,4,0.04490987717181682,220
54,0 days 00:00:02.864477,0.4157303880198966,4,0.15573410989203035,312
55,0 days 00:00:05.016834,0.380137245444929,4,0.10433144550811206,565
56,0 days 00:00:13.955671,0.21174225661675167,6,2.7387025372709117,940
57,0 days 00:00:03.057103,0.029896370113304326,3,5.3415345409850135,424
58,0 days 00:00:02.246598,0.06031403824252575,4,2.432289283262249,251
59,0 days 00:00:02.756340,0.3629974006852547,3,25.996986027327853,420
60,0 days 00:00:03.623695,0.014304531862994482,2,0.002395082321665831,739
61,0 days 00:00:04.117293,0.2877912235425445,4,6.593578580417337,463
62,0 days 00:00:07.214214,0.23488498532013488,6,29.567929825252175,621
63,0 days 00:00:01.624602,0.01195150868415228,2,19.957296923632907,304
64,0 days 00:00:03.878325,0.03500340354830033,5,0.15033354934163146,326
65,0 days 00:00:06.743290,0.012259491251012292,5,0.22786279689312341,444
66,0 days 00:00:05.921586,0.21477211719647,3,0.007087369265588809,881
67,0 days 00:00:03.151721,0.07407416694243289,6,0.01968048445830067,245
68,0 days 00:00:03.604470,0.09527972946664783,3,0.008112993280894354,524
69,0 days 00:00:02.725081,0.05593123384497415,3,8.920663165540255,372
70,0 days 00:00:05.161516,0.42729430107795463,4,1.312229144432222,566
71,0 days 00:00:03.209058,0.11985939708744481,6,6.378249631912737,226
72,0 days 00:00:04.364441,0.026438997033253916,3,89.2976609711765,679
73,0 days 00:00:01.240878,0.12287713431755606,2,1.1859765712254822,221
74,0 days 00:00:06.116004,0.11820827484515994,5,2.1157596017853093,534
75,0 days 00:00:03.798281,0.0220231564479966,4,0.033273286256491126,354
76,0 days 00:00:03.934362,0.025833377529938688,6,0.11199968686813959,228
77,0 days 00:00:04.564379,0.1458748804141836,6,4.047999513786712,295
78,0 days 00:00:02.664370,0.010051775936184386,4,0.08819756309897775,236
79,0 days 00:00:03.736091,0.05220583023322519,3,5.101133381851856,599
80,0 days 00:00:03.763564,0.16800501935228132,3,0.14463640250993373,601
81,0 days 00:00:06.132213,0.2723486657036893,6,17.664508346940817,461
82,0 days 00:00:01.724270,0.049588701077924666,2,8.039296357547679,336
83,0 days 00:00:03.703218,0.09800668640855152,4,0.12748823660076458,375
84,0 days 00:00:05.980433,0.011717547410064526,3,0.5215049986764032,844
85,0 days 00:00:08.572104,0.0805607214069333,6,0.03173886386167333,625
86,0 days 00:00:01.938980,0.40116908441381094,3,6.097219160990009,284
87,0 days 00:00:01.067859,0.05296403974933249,2,4.358277435612447,217
88,0 days 00:00:05.575980,0.015497096337006801,3,0.20557195735941905,745
89,0 days 00:00:08.482048,0.47271150801486594,6,0.024402804061153898,564
90,0 days 00:00:08.416931,0.33484234568817334,5,2.21090458958401,691
91,0 days 00:00:07.859347,0.016541576544807632,5,2.377572472680905,661
92,0 days 00:00:01.232794,0.18032341156566292,2,0.004590222618218836,235
93,0 days 00:00:04.027390,0.05847863191661845,2,0.04569360816820818,770
94,0 days 00:00:02.392225,0.03629248951096293,3,0.869124656172345,383
95,0 days 00:00:04.675746,0.42702718594092764,2,0.03674746296940392,885
96,0 days 00:00:03.401656,0.06982726170876426,3,0.00494660495291156,446
97,0 days 00:00:01.667589,0.18518525181491324,2,0.0014595424425779104,310
98,0 days 00:00:03.142911,0.275673526655681,3,0.0013165632432844152,466
99,0 days 00:00:03.911099,0.10196967590265209,3,3.3519151669919927,985
