model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.4020548113727251,0.7201008062810499,0.58234369542438,0.7093893182799791,0.7614131232568381,0.16746200037647463,0.3010247586558713,0.6481975967957276,0.3171415088774848,0.6932162152573931,0.6816585594256431,0 days 00:00:39.313645
1,0.43131293871287246,0.6968636033949018,0.5669713694377372,0.6921895119841895,0.7148907482615953,1.0,1.0,0.0,0.0,0.5,0.2232203678474114,0 days 00:00:09.523189
2,1.1703938806810652e-71,0.6074733909157118,0.4770183274955279,0.6080399328680003,0.6052883386885441,0.3629106923558216,0.4140368130927806,0.3734841035725991,0.25685719341709434,0.520511641614476,0.5480841765731083,0 days 00:01:32.381129
3,0.0063493487497327215,0.6383314773407942,0.5644815364575445,0.6725009488888688,0.5065458618083759,0.9073109012750908,0.7621693056949169,0.0,0.0,0.5,0.4870338693123504,0 days 00:01:00.892716
4,4.2199246523067857e-106,0.5466740904060176,0.39755464381214956,0.46563612805016175,0.8592231954026738,0.2854475123382686,0.43486144372220326,0.7145524876617314,0.5651385562777967,0.5,0.17996814723057863,0 days 00:00:44.223034
5,0.40521577241498735,0.7087873103691487,0.5842212910857812,0.7063357586630785,0.7182425122191233,0.22218988374890658,0.2932157427291032,0.5534999046347511,0.2905680410546806,0.6664731641562355,0.6788698905556139,0 days 00:00:37.079490
6,1.1119762343236131e-13,0.5032416504892866,0.402724196642169,0.6205521778132164,0.05079567016250482,0.9124983326663999,0.7411563462196373,0.0,0.0,0.3838926430171703,0.5263503095861579,0 days 00:00:18.503586
7,1.5419346758538084e-41,0.6140565458981231,0.6291784230739086,0.6827398876636392,0.34915703000549114,0.3218305467751673,0.2714057812158498,0.13569321533923306,0.05114139090426473,0.5428323306435751,0.5441669517618885,0 days 00:01:15.996507
8,0.3680997153725609,0.7426776203463652,0.660062723714151,0.754707445228725,0.6962807109110383,0.23696478591436576,0.3639009372857308,0.5769607843137254,0.20462455022709847,0.6988475627832127,0.728205379212452,0 days 00:00:14.409290
9,9.229869734792408e-280,0.5882880068002164,0.5978220971491497,0.6650568276203679,0.2922042265390115,0.5483043002862638,0.43793485981580293,0.13410199556541014,0.05925980320164492,0.5413283927043206,0.6173857712733414,0 days 00:00:14.537907
10,0.04483548552643169,0.5984619049061074,0.47306769947871513,0.6055572167403125,0.571096540588149,1.0,1.0,0.0,0.0,0.4968061157371122,0.4719634859646118,0 days 00:00:28.205447
11,4.193773761681071e-155,0.5217921123041492,0.38178144156334926,0.41924980896375297,0.9172796616159145,0.27439381779817673,0.2984352882457064,0.7256061822018233,0.7015647117542936,0.5,0.17996814723057863,0 days 00:01:04.088060
12,0.36924942387649873,0.7076090101841331,0.5275896795372729,0.6636211612788908,0.8772623727118026,0.06334510205262045,0.24131608228250695,0.8402163225172075,0.47982657936648376,0.6872752332177603,0.6034388575293291,0 days 00:00:35.697539
13,0.9827559994689663,0.6608310182855174,0.5627870097266918,0.6785899461071394,0.5923379708915747,0.9651229718588118,0.814578693619833,0.0,0.0,0.5,0.4870338693123504,0 days 00:01:09.944426
14,8.233754571337514e-145,0.5208824202860789,0.3837063792858434,0.45991863215026774,0.7560089815313185,0.7965709648345319,0.8334836395203259,0.0656262505002001,0.04618542593226138,0.48687608792988435,0.28367677111716616,0 days 00:00:15.936205
15,0.39079728030313415,0.6673323882112507,0.6775282635314257,0.7198487415770382,0.46478609058733344,0.15116668813995032,0.2086505114495369,0.35873484103572606,0.12446174718338932,0.6315874278249781,0.6381799521040027,0 days 00:00:08.442138
16,2.0662557978818425e-23,0.5444582929394918,0.3960889695098032,0.46216072818285514,0.8618654618801411,0.8922786793265656,0.8255385414130244,0.10270774976657326,0.14923024290112896,0.4463291112102439,0.32466473384626715,0 days 00:00:12.607659
17,0.39853370400191584,0.7332542223900778,0.582219015426604,0.7140768796305526,0.8072178456285712,0.10964717516085565,0.2532543937420359,0.7384464110127827,0.3611750132719873,0.7098276629927349,0.6566084852899098,0 days 00:00:29.997968
18,1.2323087303523103e-19,0.5751732648845296,0.41495133472566,0.4959029143221309,0.880905003452344,0.4348507280028049,0.6324649654044341,0.5648780487804878,0.36204533215841783,0.5039342153042926,0.18684008730018287,0 days 00:00:10.395395
19,1.0844962988840835e-304,0.5491576633594678,0.5305901309447584,0.6383943088817005,0.20498768573339204,0.19426176166114334,0.16953437886175063,0.16454842908182044,0.10436230262986756,0.5389230064912627,0.5599153226793274,0 days 00:00:06.351280
20,0.38173317083295033,0.7226558046023865,0.5758976699141337,0.7063317315485161,0.7856148706322411,0.10715102166727064,0.26022692308305473,0.7341855129465749,0.3722055093493777,0.6933453526225134,0.6635798454855241,0 days 00:00:14.744766
21,0.3652988814971083,0.7425400089167642,0.6456970195997707,0.7493544031967235,0.7162580939798731,0.23523742830465522,0.3565213450908601,0.5936274509803922,0.22757034153247213,0.7018698455907519,0.7276473899317197,0 days 00:00:26.446501
22,0.3697857757856865,0.7256607585146448,0.6578283765760563,0.7452054684188643,0.6502802650965297,0.172501645692692,0.3092301149589095,0.5478531628974107,0.19542263906093316,0.6887553813438416,0.7175423998433714,0 days 00:01:33.958139
23,2.8787003267089116e-307,0.6256503289543547,0.44913058011397394,0.5539517571811003,0.9021790543295657,0.1604252518056971,0.3875586732815308,0.8395747481943029,0.6124413267184692,0.5,0.17996814723057863,0 days 00:00:14.584726
24,0.4586106999566712,0.6821218294813937,0.5287596081273398,0.6604840390348214,0.7655749647969641,1.0,1.0,0.0,0.0,0.5,0.2099628384356751,0 days 00:01:05.343566
25,3.9972690153855865e-13,0.6462511748660131,0.49995791664434974,0.62959607034161,0.7104869707991497,0.8420364475784272,0.6590444812340959,0.0,0.0,0.5,0.5478645789297121,0 days 00:01:03.940870
26,0.41132285751747666,0.7285781530254292,0.6514907739280499,0.7445319335083115,0.6670472400276187,0.2903358000033839,0.3898056971378821,0.48197312356604394,0.17023535657405775,0.6889490101432141,0.714148219441771,0 days 00:00:13.186047
27,0.31201177866813845,0.7111360219023358,0.6009046616711491,0.7158377354729393,0.693002343244551,0.9262894803706527,0.7228530872959545,0.0,0.0,0.5,0.4870338693123504,0 days 00:00:10.349478
28,0.36991664318050027,0.7428681892355593,0.5848551922413316,0.7192607828509353,0.8339177852805097,0.350575038274897,0.5462911861190198,0.5958702064896755,0.2175131245207338,0.6875033192072371,0.6012277917956454,0 days 00:00:26.664041
29,0.36073364316074297,0.7357528105568583,0.6008797666338794,0.7258743117409518,0.773852435397672,0.25050039681556,0.41708464320234606,0.605375286791216,0.24302483336282665,0.7009780216291818,0.6695107041594048,0 days 00:00:09.906429
30,1.0749024631424066e-98,0.5647370390270584,0.41548373894437807,0.5165408696755253,0.7506211500926968,0.5592913366213942,0.6149622764410487,0.39388993588760945,0.33621801777722016,0.5020542496290452,0.3028899929766147,0 days 00:00:08.426710
31,0.39523067747430995,0.7093250459373495,0.6664946296980598,0.7394164912354886,0.5932676572447576,0.1569260939380669,0.2676424541263071,0.4863979023271059,0.1760455376629505,0.6754269216804025,0.703352719808416,0 days 00:00:08.956319
32,4.311330691172891e-226,0.5220114474704716,0.4057073723693014,0.5748706037752186,0.3181430194690458,0.48163157691788616,0.3875428419502327,0.017549019607843164,0.007153447961917636,0.48421627865450034,0.4978488044834928,0 days 00:00:56.502315
33,3.6061683209451017e-06,0.6558245030497314,0.502422255478432,0.6323063184420704,0.7465299864624618,0.9419234738059311,0.7781390957725794,0.0,0.0,0.5,0.4474838215258856,0 days 00:02:07.608515
34,0.0003252898279388805,0.6832583542871762,0.5572659922281789,0.682014000263776,0.6880576079333236,0.8770540682088058,0.6729228359560461,0.0,0.0,0.5,0.5806705439616832,0 days 00:01:07.338481
35,inf,0.5,0.0,0.6296403686017958,0.0,0.0,0.0,0.0,0.0,0.5,0.4870338693123504,0 days 00:00:14.780160
36,0.999995955807589,0.5982214709608641,0.4746517160918855,0.607372438629291,0.5629278052334273,1.0,1.0,0.0,0.0,0.5,0.17996814723057863,0 days 00:00:08.046296
37,0.009667411183634756,0.6082954934689038,0.46019393136298115,0.5848799970199352,0.6986049267939957,0.958158974119648,0.970194072587553,0.0,0.0,0.4316216216685307,0.3196940925526104,0 days 00:00:43.515753
38,inf,0.5,0.0,0.6296403686017958,0.0,0.0,0.0,0.0,0.0,0.5,0.4870338693123504,0 days 00:00:11.439658
39,1.0466269790158541e-20,0.6909194675316858,0.5355108808909371,0.6679321874178846,0.7795773460988512,0.5231675221178502,0.6384172463413634,0.4599590618490699,0.2509429999809082,0.5962626457345137,0.5310459641547226,0 days 00:00:28.570174
40,0.37138317303128976,0.7418170259753583,0.6467988391720216,0.7494208505870023,0.7124904177064475,0.2410544217687075,0.36398539933077345,0.591078431372549,0.22482746416563437,0.701214958348173,0.7266488827977778,0 days 00:00:57.153565
41,0.36699489747361624,0.7475099124613225,0.6200055303592774,0.7406205984896307,0.7740807794142432,0.3155773617214831,0.47491237925528706,0.5642412323828253,0.20117383353978646,0.7091562765407746,0.6787711677028327,0 days 00:00:11.027263
42,6.668231348397065e-244,0.6346599199328081,0.468058681376165,0.5885748746308898,0.8124017984809686,0.6968514412416851,0.8226122289127136,0.3031485587583149,0.17738777108728643,0.5,0.2232203678474114,0 days 00:00:17.578627
43,1.7546680979239524e-206,0.5341717399221128,0.40978751703026967,0.5567103306563089,0.44724437702859193,0.7251829701197086,0.7529274998704654,0.24258357575097622,0.16941582438021585,0.5292381646865071,0.28648671662125347,0 days 00:00:49.022096
44,0.10820775804679324,0.7127437753361723,0.6041253546116113,0.7180315061307785,0.6923499317686331,0.816587070713356,0.5712586573994762,0.0,0.0,0.5,0.4870338693123504,0 days 00:00:24.566667
