number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:58.326665,0.002865702770365742,0.01839901694864967,8,141.9072937511469,0.07470102183738715,5000,32,0.0012352483773023736
1,0 days 00:00:08.035716,0.0015779966160708225,0.0974142595251357,19,2.1166654798400164,0.060140210629550994,5000,56,0.0055633608711338775
2,0 days 00:03:58.296695,0.0012205780032038373,0.004540232901463782,2,0.0064021643936555,0.013076148931777968,5000,60,45.286688034108295
3,0 days 00:04:46.541595,0.9969314792110768,0.0010300714857528494,13,52.65894937440376,0.014547377734965328,5000,61,0.006207857192523847
4,0 days 00:04:05.298281,0.027829637321644035,0.004766587227865628,5,56.71121974242084,0.07694776426399152,5000,17,640.7464426294432
5,0 days 00:04:20.682955,0.027933414074037353,0.0017527428043322222,9,125.95132614484368,0.001411058363404974,5000,98,0.005268871290641763
6,0 days 00:00:07.675166,0.014238177612243908,0.19778546751542522,8,9.966581889774208,0.0017295594460753417,5000,85,0.001085814946275774
7,0 days 00:00:14.260302,0.5398719641026357,0.15980156703121892,5,149.00321132852167,0.0021450004924527784,5000,28,0.07888524619928834
8,0 days 00:00:34.466447,0.10856396505526295,0.17811462661664124,10,0.13068999339443402,0.0019774580860072175,5000,29,378.8030269276533
9,0 days 00:04:02.374023,0.00934297181451698,0.008520410496196682,3,0.16784678837446007,0.0012038352203272039,5000,35,0.3061270271746533
10,0 days 00:01:30.737872,0.047257744949596926,0.011398522128354623,6,7.596748810826817,0.0038496372135635782,5000,28,0.19617601404627627
11,0 days 00:00:28.639684,0.002082971490422125,0.03846917666642974,14,0.0023776406891613013,0.010906838802280945,5000,76,5.528005168702704
12,0 days 00:00:17.591803,0.009776327988963891,0.09904293146189272,13,12.857935936034181,0.0028886854147760006,5000,14,1.6592550950008098
13,0 days 00:04:00.412338,0.06567101011486531,0.001925481268588584,2,93.32083942618242,0.005570515948862811,5000,74,0.0025856502997550802
14,0 days 00:00:36.503115,0.03286501181427255,0.04529197974754071,17,3.3883681345859666,0.06043739736001844,5000,81,74.96815256880097
15,0 days 00:02:18.521566,0.07697791275344404,0.008374677839663816,12,0.044876718938616805,0.00417587045954441,5000,23,1.643089505261485
16,0 days 00:00:28.222974,0.3029291243451441,0.043001391660876326,11,0.0014652726910483096,0.004638835315165033,5000,63,5.782607254399157
17,0 days 00:02:12.698825,0.2995585452204015,0.014723535610190219,4,1.224682647305359,0.012178828946914334,5000,59,0.0026761145392205483
18,0 days 00:03:19.099012,0.3049675738936733,0.020644914341182985,11,0.007162025505639825,0.018383234945374232,5000,17,435.81314647987676
19,0 days 00:04:05.956901,0.06481610435372177,0.003359695578063877,3,0.0013104712387251223,0.0013569463229666043,5000,79,0.02272235715132104
20,0 days 00:01:23.825080,0.006735822940350037,0.00997471595426578,13,0.0020314018821929684,0.03876695445976316,5000,54,2.910932984347975
21,0 days 00:00:12.496254,0.007536161980257423,0.18663009454291568,10,0.019390756798561868,0.03145728773505685,5000,95,55.92561139559006
22,0 days 00:01:11.950184,0.0013528962854305962,0.0597499991351934,17,0.11984544017984027,0.0012605806552033888,5000,94,285.9096042038081
23,0 days 00:00:37.340191,0.019884956667695495,0.07654444035585824,17,53.84010990914045,0.035197311523226485,5000,13,4.309202594934719
24,0 days 00:03:01.267787,0.39453230899208797,0.004707930216040235,9,3.151520604699529,0.0016627995591385063,5000,48,0.015129678841062233
25,0 days 00:02:24.448319,0.9575453789048124,0.020860086473484595,5,6.539466534399186,0.03997787884111669,5000,22,276.64218297741184
26,0 days 00:01:16.961166,0.0051044304527064046,0.13920262246203108,5,15.447277139612918,0.14454523391763288,5000,42,232.62463011046046
27,0 days 00:01:01.703500,0.13272392966304458,0.014907634144313484,9,0.0010989800135014572,0.08503579896548229,5000,49,4.234549407304341
28,0 days 00:00:18.105068,0.21906835103236655,0.12351257514060694,9,10.229688586253005,0.14708904740260278,5000,41,17.864198413892602
29,0 days 00:00:21.905023,0.17489638973385804,0.09090249468998493,12,36.95113040537416,0.008320746450828627,5000,35,30.180197341050757
30,0 days 00:00:32.224829,0.006650663268212027,0.02402582579936209,19,0.0011507580464120747,0.1134911624730829,5000,50,1.5341867288017268
31,0 days 00:04:33.157242,0.01188251988705785,0.001964095414564353,11,7.48841081034365,0.012205478638060891,5000,32,2.063355990253442
32,0 days 00:03:50.430223,0.2984693174700434,0.0032042324067109236,14,0.02321743479025302,0.005514510217286415,5000,61,0.001251763233598594
33,0 days 00:04:10.363739,0.19661162851445066,0.0022983304958185784,7,0.003985258715405079,0.12158161588332503,5000,10,0.24028952299300343
34,0 days 00:04:10.591586,0.5444324612992394,0.0029947282232638877,14,363.20854397241243,0.009794794264486548,5000,54,107.01131670056039
35,0 days 00:04:20.488670,0.4819759619006063,0.002609721250064813,14,0.04676409778469941,0.004058434598624936,5000,19,2.9420805972196744
36,0 days 00:00:41.010138,0.026037278392214324,0.03417688072228799,10,0.18834923480206692,0.024921228517995928,5000,16,0.03813107187233437
37,0 days 00:01:04.152107,0.6702424112485666,0.0158883211562721,17,0.008019535335216403,0.17442875243611403,5000,73,52.4154290060927
38,0 days 00:03:11.986850,0.026530212147486576,0.012385784943520887,13,6.8531329355818995,0.008230395640580956,5000,51,252.9041556982007
39,0 days 00:04:10.709599,0.013917835985414254,0.0018516573118885105,10,486.0799389278608,0.18269640678113908,5000,66,13.280420318044975
40,0 days 00:00:16.074582,0.03215181492269641,0.0837653636005359,7,0.14029346734689116,0.01736745316175827,5000,15,0.7640870516217465
41,0 days 00:00:10.738263,0.07134507386192568,0.13225710061735826,8,0.016925192552858032,0.03616873129379451,5000,39,0.8328172694454687
42,0 days 00:04:08.812431,0.05378772446822216,0.001850057018725818,4,0.01655208259543687,0.06736918979733936,5000,48,4.6142036188286
43,0 days 00:00:16.679195,0.1977674681968965,0.06783447571408993,13,0.0010979895943037741,0.13099360315486455,5000,34,0.003214725219400149
44,0 days 00:00:09.303737,0.025835968518428676,0.13758694771600724,7,33.275758878684584,0.16810405469522285,5000,56,0.0017884164669367468
45,0 days 00:03:13.782305,0.012261639902161536,0.011934599840093619,15,731.6963363589375,0.14608617688621364,5000,60,0.582134800939384
46,0 days 00:00:41.001222,0.016792775572771645,0.10236743872060709,2,0.04559775484714492,0.08313166456050368,5000,17,0.10957720751717966
47,0 days 00:00:32.431662,0.003340218625504437,0.07103248628303983,6,159.15948486046253,0.08366034455675272,5000,12,195.6929648388817
48,0 days 00:04:14.182249,0.0014838811604478473,0.002341656651169103,18,0.00531431756153472,0.05692336133549665,5000,16,20.08775356468938
49,0 days 00:00:33.949562,0.002063096069943215,0.10910823135803316,19,631.5755872147353,0.010781611335206144,5000,20,26.11124237787867
50,0 days 00:04:07.511706,0.01995500792455078,0.003201298958121659,4,0.16025071510060665,0.0638347021602143,5000,65,127.38943173726021
51,0 days 00:04:17.650338,0.0014031873167837403,0.0013760956660756338,5,5.321492236940001,0.036929315093420276,5000,37,0.03070776110529213
52,0 days 00:04:08.346051,0.19341903031379137,0.0011348845667460477,16,0.0012038467909730648,0.01628685317811506,5000,11,0.0036975149900420464
53,0 days 00:04:22.404933,0.04629755238821358,0.0012906140549266106,8,1.3742485163124307,0.009572354231272041,5000,24,11.156425222122593
54,0 days 00:01:10.171837,0.0014483927812328676,0.012086512647523615,13,12.315342770738187,0.007508401226731374,5000,36,1.7045946844962163
55,0 days 00:02:12.793343,0.6004573231904214,0.019749152392307526,5,0.2889281274059462,0.1443044345714376,5000,49,24.1871871719034
56,0 days 00:04:10.400091,0.1165736059934718,0.001128644976297436,4,0.23748043345278333,0.0014135823064461044,5000,35,0.05197592713030031
57,0 days 00:00:58.567996,0.07306382831258144,0.040298597907137405,15,371.53130376243246,0.04712686364787596,5000,14,479.6800931829701
58,0 days 00:03:57.934787,0.005887119113739063,0.008015927102817365,12,0.0012773683792784167,0.059889573864636815,5000,20,80.31705906428004
59,0 days 00:00:10.963053,0.003702517540598594,0.0890932433960501,10,0.5921100994615357,0.12611640060949558,5000,24,0.03596122496431385
60,0 days 00:00:37.106628,0.0010962523844308856,0.038365078016421125,12,0.601518923502019,0.033478159709806284,5000,37,11.291037518897888
61,0 days 00:04:11.162204,0.0016596803707953451,0.001607340111211405,4,0.5777076832320475,0.043233335696505025,5000,70,0.002437537790936712
62,0 days 00:04:17.348584,0.052055180095937674,0.0010278884463924519,15,275.0633112479966,0.0010510295313828106,5000,27,0.6986497508383244
63,0 days 00:03:26.233271,0.1475482316791291,0.023836863725703285,2,0.012668858086356028,0.003100069158179751,5000,44,12.833215404454812
64,0 days 00:01:05.895149,0.007918335447854086,0.013908818879863487,11,0.06373138120274245,0.012831092965219544,5000,25,0.037805824207984104
65,0 days 00:04:40.964743,0.0015255993075833682,0.0012111482885538483,17,0.04624969421109049,0.010032229190434906,5000,36,0.050305080782679715
66,0 days 00:02:28.818449,0.0010692482953353385,0.004754988556663021,13,36.834257267555486,0.16634815846508008,5000,71,0.001556297203706819
67,0 days 00:02:37.281224,0.005180054265171015,0.003798312512380148,17,0.04915542787677068,0.04475486950162118,5000,83,0.04045496913735704
68,0 days 00:02:27.513657,0.14696616829247866,0.016917193352554045,3,0.013066092272533377,0.008353390534985286,5000,42,0.754002175838537
69,0 days 00:04:19.156473,0.03808614979562785,0.0026098129427395513,11,0.0042264178658950515,0.002813968670706522,5000,16,1.0061129587912603
70,0 days 00:00:26.421514,0.006760623429731213,0.07836074907528548,18,0.004104200164070259,0.0030333612179871475,5000,30,22.517282220788093
71,0 days 00:04:04.807789,0.1541575817409746,0.024145740819075837,2,305.8583718975591,0.01336299009865053,5000,17,68.33835395161849
72,0 days 00:04:39.448183,0.6681247282158217,0.008950300594165985,10,0.0893839973115533,0.0022518643056836174,5000,99,453.89662036687974
73,0 days 00:00:06.117698,0.5384919165502076,0.1891050182979566,13,0.01039991747161897,0.004708209582943753,5000,38,0.004144053935102073
74,0 days 00:00:22.968663,0.001083677552619422,0.058292471019147175,16,0.001021005319097612,0.001115403045371821,5000,72,9.645589816074525
75,0 days 00:01:29.208902,0.23985620733149773,0.03191226434102654,4,872.3127508203631,0.019862200891240547,5000,16,32.04937993882478
76,0 days 00:04:03.411960,0.09691056528342377,0.002222891306749132,2,86.9003350457117,0.159747182894601,5000,15,26.710573551626595
77,0 days 00:04:15.495769,0.007397677262711897,0.003307528086287499,5,17.335662909470216,0.17684376020949868,5000,90,0.9866314857231869
78,0 days 00:02:10.713023,0.30230986744059307,0.053684898897518894,15,0.0038818226874035265,0.005192550610742998,5000,10,522.6751095675236
79,0 days 00:01:01.448990,0.001027942460710741,0.08093353678686599,9,0.003212361020378142,0.013954283332079678,5000,16,237.5605919476719
80,0 days 00:04:48.442631,0.45952840581406096,0.0014226265612284326,19,0.01659659377409391,0.0010041131277424395,5000,85,0.3702937102037439
81,0 days 00:01:26.781080,0.002107996207511531,0.021471405709937903,6,0.14237123862161497,0.0050572310382977995,5000,12,3.6549820226577037
82,0 days 00:03:28.490889,0.03921046941603506,0.005129404695609887,18,0.0034774124246324486,0.0015224028335866235,5000,26,0.9793128615427162
83,0 days 00:01:24.396991,0.06024942013628268,0.04698319936552214,5,124.87505269369183,0.02796341731364105,5000,16,512.4231671977726
84,0 days 00:04:40.563239,0.003301657246800471,0.0010400251210900373,14,2.0336373105245555,0.06627534660295493,5000,32,0.017477891670111795
85,0 days 00:03:15.625859,0.0013545406084989578,0.004884347674764325,8,0.003533310733478327,0.15905720931780948,5000,23,1.9611415106942507
86,0 days 00:04:42.036177,0.0037176714008938924,0.0025195748348133184,8,0.4607508547624026,0.11768767877666379,5000,40,317.7394239991946
87,0 days 00:04:12.883277,0.15718140171700515,0.0020549697212264803,14,0.002086471473592049,0.001535334213569707,5000,12,247.26815322895968
88,0 days 00:04:29.398462,0.007828808223931217,0.023846300153727143,8,0.021124257541753514,0.003366863691895418,5000,27,841.2539958255361
89,0 days 00:01:16.051948,0.4049267365424766,0.01108384488072954,12,0.030921988811199203,0.044812878601847725,5000,46,0.19144881681933373
90,0 days 00:02:08.260454,0.1300146726422833,0.005433522567947853,15,114.67824833864982,0.0014369524126235734,5000,49,0.016200572713150667
91,0 days 00:00:23.669867,0.26014496251168867,0.045023006752117165,19,0.4046780475827575,0.001873390007775784,5000,20,0.05924780163459602
92,0 days 00:04:03.694599,0.018351836936161166,0.0032018189668883367,3,0.17391002107131387,0.08344431731617157,5000,22,0.07491639709582876
93,0 days 00:00:32.617070,0.7812965067448079,0.06969256260184578,13,6.116802850720987,0.17791211966363266,5000,29,286.89888335785616
94,0 days 00:01:14.716958,0.07810394218819514,0.023226355746992982,7,113.28388588575534,0.00515811245217166,5000,98,8.31378242894499
95,0 days 00:04:05.867978,0.002041591797347753,0.006816220214183835,4,2.9501536048435653,0.013376615868533259,5000,13,3.4856840821562147
96,0 days 00:04:44.520257,0.40309622947010093,0.001598859608104558,13,0.0014310276783466188,0.01924683485056363,5000,66,906.6344107301003
97,0 days 00:01:22.410700,0.004772011949438373,0.016844993674655015,14,0.01221374456417561,0.16685052472356432,5000,12,1.0744261745475907
98,0 days 00:00:35.155347,0.2370646802432223,0.04469002065985317,7,0.4429663517783768,0.002014161679375176,5000,94,7.529179705523198
99,0 days 00:00:25.558821,0.023541637757675534,0.049270384504627715,12,0.1497611214667915,0.007248492460188305,5000,31,0.2472171021811141
100,0 days 00:04:12.922637,0.7258615456769559,0.0022692725746957894,8,0.39613680234201404,0.017415179077213617,5000,15,6.6847264942982365
101,0 days 00:04:02.150329,0.016136090418259183,0.0023718984461338645,3,1.2626755970840686,0.013641552242925285,5000,14,0.03248481682872715
102,0 days 00:04:00.285704,0.05045946819415414,0.0020156665066114274,2,0.0028468755552309593,0.06856893293512369,5000,10,95.46576644909122
103,0 days 00:04:14.621949,0.009635414538182346,0.00902411182264247,18,0.8389668380900002,0.0012488907614680272,5000,17,124.3163391257951
104,0 days 00:04:06.851306,0.0033273792184626352,0.0022095711831444497,4,4.1482147134176355,0.0015805594190701564,5000,14,0.002886641920840967
105,0 days 00:04:12.989469,0.006367089724946206,0.010353938510512462,13,1.2614779164668595,0.001217985412787999,5000,12,136.10576732157494
106,0 days 00:00:15.751492,0.0045138277568347734,0.04795015395360102,16,0.4849684839086942,0.18131214881003163,5000,73,0.0053368073718959895
107,0 days 00:04:02.308957,0.0019013588937350633,0.011325890791198672,3,0.0011929116355758002,0.07548276152672055,5000,24,143.32600287836075
108,0 days 00:00:24.088514,0.05373158686313881,0.06602499480679817,8,0.8288115313758354,0.1320378249954879,5000,22,5.776972733845622
109,0 days 00:04:34.055514,0.004459664225104624,0.001035568256313245,7,0.07484662888316383,0.001009879415304248,5000,69,41.97263114998167
110,0 days 00:01:56.960963,0.03192550972252063,0.023123917118592987,8,0.001331428897670159,0.021732600958164122,5000,17,44.15462212106391
111,0 days 00:02:06.909168,0.38139894623986864,0.014400415150169084,19,254.33301382326235,0.0019933824720741538,5000,48,3.3456738588475012
112,0 days 00:04:26.254231,0.0012807541611167372,0.017739853772916803,16,2.9248188474284746,0.01201448544099418,5000,27,496.43993549354366
113,0 days 00:04:08.346619,0.29416844414467225,0.008136622651442497,9,3.861315404586423,0.04715323082549334,5000,10,24.27329240760048
114,0 days 00:00:19.145936,0.4026386751225208,0.1778797795399105,3,0.2831216566505082,0.06057095048357669,5000,20,0.0074176969895704305
115,0 days 00:01:21.275085,0.1826594966611797,0.019165235215722984,12,516.093188629252,0.026208121889484924,5000,32,1.8182842296056514
116,0 days 00:03:51.835901,0.031375523185270815,0.010732797490935348,4,4.609521018713153,0.0593779231151978,5000,12,18.44689865366547
117,0 days 00:01:09.717386,0.5228908194041575,0.0538627893386102,9,1.9311522077896381,0.01455193217128078,5000,22,165.81070126724208
118,0 days 00:02:35.373304,0.0029546363980612876,0.0054797664624289125,12,14.591555299999316,0.015404859589653583,5000,29,0.009085402208946967
119,0 days 00:02:51.296559,0.22114615561352874,0.005146453725657076,12,0.19360923511166708,0.09721785153032687,5000,22,0.1638460884578651
120,0 days 00:00:22.531724,0.7672321639513486,0.0805530158026858,11,0.7510108255716884,0.026262725735422918,5000,77,164.5180672081196
121,0 days 00:00:44.260833,0.07426359042922817,0.030525296361530948,6,0.12486785489043485,0.05335335198217535,5000,96,0.009425910332373357
122,0 days 00:00:31.203838,0.0015874890415150241,0.11273706483633385,3,846.7140479965444,0.006182484003080293,5000,61,65.04469475647386
123,0 days 00:00:45.145163,0.005307509435154844,0.016254098229406443,12,0.5509780319907945,0.026231467351904392,5000,44,0.1540867846292602
124,0 days 00:00:37.408455,0.009558193923943636,0.11845610578658994,16,822.0107898393147,0.013971595462826595,5000,32,385.66672993343957
125,0 days 00:04:01.554820,0.15409759249460744,0.0028795942972201917,2,0.012610762933371964,0.0062905940700158655,5000,43,47.45525625101324
126,0 days 00:04:15.539945,0.4533077018603402,0.009712887086402255,15,0.00665193963102418,0.019716247661250297,5000,15,482.4689701831291
127,0 days 00:04:39.499890,0.050535919508241274,0.0010149050820886926,13,2.649318656706412,0.015367385994422035,5000,43,0.0010508231697113433
128,0 days 00:01:04.236265,0.0017415290683606911,0.11782082765261877,3,0.09934013805973298,0.09327273469643163,5000,64,56.99162375847416
129,0 days 00:02:43.223906,0.13669500564870585,0.00851332381152582,4,565.9161964417776,0.0032748299000162013,5000,42,3.0325877746149734
130,0 days 00:04:14.236730,0.09604456716172605,0.001826461148878717,12,2.6922560033595184,0.1283800824745829,5000,14,0.012913092523835115
131,0 days 00:04:16.184502,0.6424224335559615,0.0031185687984961368,9,0.02623856174076148,0.07327553967822203,5000,18,0.2987382817508608
132,0 days 00:04:02.841714,0.001007622012688101,0.009808015064214725,3,60.21034071492975,0.045989624342975946,5000,25,202.22770504674241
133,0 days 00:01:19.947017,0.0020470542304693784,0.05705418700081058,8,0.0324764815605115,0.06327850231790556,5000,55,228.49638326453518
134,0 days 00:01:21.453801,0.03213588406310995,0.06091260726236192,6,0.05901950492417325,0.051407097497755176,5000,34,86.02000944316863
135,0 days 00:02:17.127981,0.19025514603247878,0.013158754307534992,19,564.5222868180065,0.04455228529928365,5000,12,0.07123047910281279
136,0 days 00:04:26.682929,0.05484666936805835,0.012105321927546996,13,0.5627262755812978,0.06302457428974692,5000,25,827.9009357224606
137,0 days 00:02:45.721434,0.010837009885632583,0.0051561844398273155,18,0.05089565758727162,0.003341326673339726,5000,31,0.2476181251632884
138,0 days 00:00:10.583093,0.0018919424001628102,0.11838329879468698,19,0.5756918503970527,0.00215279408570135,5000,74,14.56876338681677
139,0 days 00:00:19.663507,0.04293866909352958,0.08172145221156833,6,0.0010785310315573533,0.006627932437539042,5000,20,0.04746319794906228
140,0 days 00:04:10.817282,0.015460264163482243,0.0021322631022425687,8,4.599395483935301,0.0015189992788614223,5000,10,58.80690649755186
141,0 days 00:00:29.962077,0.038372767504928774,0.13682663123115024,11,0.1487857323290357,0.04416309953723764,5000,45,133.85336728503037
142,0 days 00:00:52.218468,0.004302544302900758,0.07506490376738961,4,45.65920351737666,0.17717643367068892,5000,10,0.029242993550579695
143,0 days 00:04:15.712450,0.050032768014373834,0.0028340405866850646,16,0.03192999144117425,0.0191801489427747,5000,14,0.7079121290802786
144,0 days 00:01:08.748870,0.0019905563405781114,0.02305277202345427,12,0.24271743521083644,0.010271481367635778,5000,13,0.5933757903977461
145,0 days 00:04:15.288080,0.5047704603225899,0.0031568809341995492,14,15.966218175524913,0.014871159135247152,5000,14,28.410921714727987
146,0 days 00:01:10.010456,0.9461355365729877,0.052162499806794355,2,16.384045609330325,0.006125590018565085,5000,27,0.004549234724865973
147,0 days 00:00:33.708318,0.16080501722307547,0.01870018720633572,16,0.003597197879101913,0.009063758468480903,5000,89,0.28227612763377935
148,0 days 00:01:53.431908,0.12833471592687512,0.014767645227067545,11,346.52267139279434,0.004280524581269852,5000,18,0.008210336316544085
149,0 days 00:03:56.593328,0.7638582844629216,0.0032462066879417463,9,0.004282042029749362,0.00951664405382469,5000,47,51.03274182405927
150,0 days 00:02:18.197052,0.01584999286177357,0.023361193114684882,11,20.832769149817985,0.06806334008100813,5000,26,160.12996223340932
151,0 days 00:00:19.378658,0.052936760498529245,0.19286862082916767,2,712.2100718455466,0.0027009898652658156,5000,63,0.01866761711598543
152,0 days 00:00:15.869667,0.06381085875884637,0.050387228713164756,13,0.019468642675543487,0.008598722895429097,5000,91,1.9417231897496325
