model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5103820818906796,0.642541077231717,0.6696886085928262,0.649584487534626,0.7141656158049601,0.6410388100459598,0.6375112714156899,0.5839212228101117,0.6081708449396471,0.46753832281334534,0.6528022001978107,0.676589076179999,0.28273824596944375,0.3067807433345146,0.07111565549179655,0 days 00:00:27.022202
1,0.5278556559037773,0.6523471827543748,0.6702482400889218,0.6629732225300092,0.7604035308953342,0.6573585336628491,0.6501352569882777,0.5973544973544973,0.6564531104921077,0.5018034265103697,0.6698536152141964,0.6022797223263763,0.24051658647758922,0.2919708925557781,0.04571092604108595,0 days 00:00:00.982318
2,0.5410827141754652,0.6449369127846124,0.6723454833597464,0.6516620498614959,0.7133249264396805,0.672653722103486,0.6420198376916141,0.5894326866549089,0.6248839368616528,0.4792605951307484,0.6850942482701575,0.5968828684218694,0.24178272980501392,0.2678211169315084,0.03837152001208288,0 days 00:00:15.746029
3,0.5059033541475372,0.6666214683136946,0.7005506141465481,0.6694367497691598,0.6952501050861707,0.6168602026128811,0.6650135256988278,0.623206937095826,0.5598885793871866,0.3931469792605951,0.6256682050332675,0.6339883070207858,0.2885962690976619,0.342261581050689,0.0649057913000175,0 days 00:00:03.022703
4,0.4916301012495447,0.667402108438597,0.6888370283936212,0.6749769159741459,0.7444304329550231,0.6134770130405586,0.6708746618575293,0.6135802469135803,0.6258124419684308,0.45130748422001804,0.6198327626294994,0.6232182271554442,0.252975436819448,0.31912053134418433,0.06098977716953047,0 days 00:00:04.535438
5,0.5500063182812408,0.6413090992678512,0.6841870824053452,0.641735918744229,0.6456494325346784,0.6561398630281581,0.6280432822362488,0.6121399176954733,0.5468895078922934,0.4174932371505861,0.6681003683822403,0.5970353654109597,0.2834135224107369,0.279004817324122,0.04546255605149985,0 days 00:00:06.632139
6,0.5706019219485378,0.6674573149982986,0.714548802946593,0.6659741458910434,0.6523749474569147,0.6169023269397044,0.6580732700135685,0.6384883900331714,0.5441039925719592,0.38097385031559966,0.625385199546237,0.6049516036854182,0.26801721954925295,0.2805047489061902,0.05545303050925232,0 days 00:00:00.088370
7,0.5367832990019007,0.6845474579477753,0.7085346215780999,0.6899815327793167,0.7398066414459857,0.5841367745665641,0.6803426510369702,0.6437186608038262,0.6258124419684308,0.4418394950405771,0.5940242736726946,0.6042648445507839,0.2254179830874976,0.2962880490571162,0.09207079125488271,0 days 00:00:08.963857
8,0.5547403903291636,0.6766442030852395,0.7139130434782609,0.6779778393351801,0.6902059688944935,0.5942720823292882,0.6677186654643823,0.6407795263442104,0.5598885793871866,0.3904418394950406,0.6016199029286178,0.6142401212320505,0.2544290939908894,0.31308597597307336,0.07954759430891589,0 days 00:00:00.228907
9,0.5320804256163358,0.690241159040736,0.7124,0.695983379501385,0.7486338797814208,0.5735734516816634,0.6839495040577096,0.6424400215999383,0.6146703806870938,0.42741208295761945,0.5872500773464642,0.5920634941266482,0.2667613866507138,0.3419230595118514,0.10727715762998802,0 days 00:02:20.681495
10,0.4795801477617748,0.6384554689684251,0.6729166666666667,0.6424284395198523,0.6788566624632199,0.6455119769733845,0.6235347159603246,0.5839212228101117,0.5301764159702879,0.40577096483318303,0.6585929120849285,0.6787282945102229,0.360732674938803,0.3685481013146769,0.06764496487376614,0 days 00:00:00.188644
