model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.8188903178188931,0.6559236638559748,0.674671669793621,0.6657433056325023,0.7557797393862967,0.8029669246175872,0.6344647519582245,0.5,0.552460538532962,0.38683498647430115,0.9525119227978408,0.233319486850351,0.44753946146703805,0.6131650135256989,0.18933581195039983,0 days 00:00:02.358606
1,0.5800657964317675,0.6650020758957829,0.6900119379228015,0.6712834718374885,0.7288776796973518,0.6346031252557444,0.6600541027953111,0.6055849500293945,0.5728876508820798,0.41073038773669973,0.6434942988323015,0.5369996431632751,0.3543850763906474,0.40249918424773606,0.05493110230785592,0 days 00:00:07.253543
2,0.6704569484012121,0.5718308367700224,0.6231397023523764,0.5692520775623269,0.5456073980664145,0.7113736477706845,0.5144274120829576,0.5,0.0,0.0,0.7507653145065567,0.4075143594161912,1.0,0.9895561357702349,0.1005609398055125,0 days 00:00:01.671094
3,0.7710971069055383,0.589678697822537,0.6512738853503185,0.582409972299169,0.5157629255989912,0.7556849573497649,0.5144274120829576,0.5,0.0,0.0,0.7625603701469866,0.3364579328483306,1.0,1.0,0.030105215201344904,0 days 00:00:00.513775
4,0.5514857274424871,0.6384554689684251,0.6729166666666667,0.6424284395198523,0.6788566624632199,0.6527445579514036,0.6235347159603246,0.5839212228101117,0.5301764159702879,0.40577096483318303,0.6628667667381255,0.5980964235124377,0.360732674938803,0.3685481013146769,0.06435766749145189,0 days 00:00:05.752848
5,inf,0.5,0.0,0.45083102493074795,0.0,0.6931471805599453,0.35797665369649806,0.5,0.0,0.0,0.6931471805599453,0.6931471805599454,0.0,0.0,0.0,0 days 00:00:00.418877
6,0.640531709597393,0.5967089787819561,0.6683908045977012,0.5861034164358264,0.48886086591004624,0.6700050552039384,0.5144274120829576,0.5,0.0,0.0,0.690982864728154,0.4914993508870028,0.9454545454545454,0.8715953307392996,0.059376888278192985,0 days 00:00:03.680297
7,0.5999179385298022,0.6839253349036533,0.6995806328631338,0.6925207756232687,0.7713324926439681,0.5933123542703789,0.6830477908025248,0.6227072310405644,0.6304549675023212,0.4436429215509468,0.602236772173278,0.4963525220907489,0.30781663743595034,0.4049210471174605,0.06545241816102287,0 days 00:00:00.629244
8,inf,0.5,0.0,0.45083102493074795,0.0,0.6931471805599453,0.35797665369649806,0.5,0.0,0.0,0.6931471805599453,0.6931471805599454,0.0,0.0,0.0,0 days 00:00:00.850639
9,0.6328493659271633,0.6788728047321384,0.7053317053317053,0.6837488457987073,0.7284573350147121,0.610655994556305,0.6740306582506763,0.6181657848324515,0.5710306406685237,0.39495040577096485,0.6305085059791952,0.4770411785145579,0.37958664328209357,0.46927935924208997,0.030426704841785557,0 days 00:00:07.993954
10,0.8334227068871123,0.6813764706414098,0.6986933128362798,0.6895198522622346,0.7641866330390921,0.7838127946536647,0.678990081154193,0.61005291005291,0.6035283194057567,0.42155094679891797,0.8807265529810986,0.20324929643391537,0.36616865029121304,0.4609555806162256,0.11903065314087513,0 days 00:00:01.515876
