model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.5577355832016082,0.6258315693901175,0.682063882063882,0.6215966774342409,0.5829483410331794,0.5931725649859068,0.6468929728919612,0.29032258064516125,0.19878603945371776,0.5519170643409578,0.5742793791574279,0 days 00:00:01.086506
1,0.6911872245452203,0.5,0.0,0.4506229810798339,0.0,0.0,0.0,0.0,0.0,0.5,0.33098591549295775,0 days 00:00:00.470490
2,inf,0.5,0.0,0.4506229810798339,0.0,0.0,0.0,0.0,0.0,0.5,0.33098591549295775,0 days 00:00:00.311609
3,0.43830983476699487,0.629999335497161,0.6990343347639485,0.6218274111675127,0.5472490550188996,0.8214285714285714,0.7376093294460642,0.0,0.0,0.5,0.3641975308641976,0 days 00:00:00.489093
4,inf,0.5,0.0,0.4506229810798339,0.0,0.0,0.0,0.0,0.0,0.5,0.33098591549295775,0 days 00:00:00.090766
5,4.258899732750638e-43,0.606739693163126,0.6207541290121533,0.6294416243654822,0.8366232675346493,0.3445674044265594,0.35608892386385993,0.6197183098591549,0.5217391304347826,0.5421612394957983,0.5850253807106599,0 days 00:00:00.315393
6,5.641859901736395e-80,0.5876886763340002,0.6265900697578991,0.5929856945085371,0.6413271734565309,0.990625,0.9851563038335209,0.0071428571428571175,0.013574660633484115,0.4912257495590828,0.3619909502262444,0 days 00:00:00.701975
7,0.9999992360736967,0.6299000901702396,0.6652806652806653,0.6340562990309183,0.6719865602687947,0.6882488479262672,0.7423904311345175,0.29032258064516125,0.19878603945371776,0.5510141093474427,0.5940819423368741,0 days 00:00:00.089220
8,inf,0.5,0.0,0.4506229810798339,0.0,0.0,0.0,0.0,0.0,0.5,0.33098591549295775,0 days 00:00:00.239410
9,0.6030144243991628,0.5,0.0,0.4506229810798339,0.0,0.0,0.0,0.0,0.0,0.5,0.33098591549295775,0 days 00:00:00.117498
10,0.2282169851129728,0.6037279254414911,0.6531468531468532,0.6022150438394093,0.5884082318353633,1.0,1.0,0.0,0.0,0.5,0.4314720812182742,0 days 00:00:01.514324
11,0.1489762775249579,0.5842855185907034,0.6875477463712758,0.5639132441162898,0.377992440151197,0.7214285714285714,0.5985915492957746,0.0,0.0,0.5,0.34985422740524785,0 days 00:00:00.073094
12,0.980835838768535,0.5473145375802161,0.5969101123595506,0.5461467466543609,0.5354892902141957,1.0,1.0,0.0,0.0,0.5,0.33098591549295775,0 days 00:00:00.046241
13,inf,0.5,0.0,0.4506229810798339,0.0,0.0,0.0,0.0,0.0,0.5,0.33098591549295775,0 days 00:00:00.727891
