number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators
0,0 days 00:00:00.085270,0.029501145580792858,6,1141.0213499931458,73
1,0 days 00:00:00.053484,0.08345752054703497,3,7801.61969917921,49
2,0 days 00:00:00.387289,0.18544661995018188,3,5483.888775089009,414
3,0 days 00:00:00.102406,0.18541857632893757,8,9510.07151122847,110
4,0 days 00:00:02.242624,0.044182329004193145,5,1.0912446259009934,321
5,0 days 00:00:00.090551,0.05759873174382567,5,5695.32150277827,69
6,0 days 00:00:00.770568,0.043951608332989674,5,6.479038215959676,112
7,0 days 00:00:00.046950,0.30029473024007325,9,3552.076482479953,28
8,0 days 00:00:00.069464,0.10936513504681919,8,1943.9774825142874,37
9,0 days 00:00:00.126114,0.11986385495570161,5,1518.212283578271,111
10,0 days 00:00:01.143397,0.0030916629899084007,6,54.88521816928932,191
11,0 days 00:00:00.072859,0.003035204294511548,3,3.697841060938219,21
12,0 days 00:00:00.048326,0.10971300306698172,8,6578.679364690745,23
13,0 days 00:00:00.390592,0.38492846280007087,6,9567.553024397,420
14,0 days 00:00:00.168772,0.23481350526286088,4,76.81921975467642,44
15,0 days 00:00:00.091538,0.12509601945854432,2,3572.466268093427,61
16,0 days 00:00:00.075729,0.004806241133734455,7,6356.0892733643095,61
17,0 days 00:00:01.625499,0.023341772479706008,8,113.85315909242509,397
18,0 days 00:00:00.097280,0.036132194572689603,2,6.783219322457349,46
19,0 days 00:00:00.250956,0.28733351347652064,2,648.4157618444109,279
20,0 days 00:00:00.062904,0.0639828579336859,7,8120.099253543897,53
21,0 days 00:00:00.388778,0.021535696666698727,3,903.1585032403681,363
22,0 days 00:00:00.153715,0.0034220909608223184,9,1680.9997353278811,179
23,0 days 00:00:00.131146,0.0017197553746254887,8,453.93641425904,77
24,0 days 00:00:00.073699,0.0806713170326293,5,5740.464006666852,68
25,0 days 00:00:00.307712,0.007532646754740354,4,19.550503698315406,54
26,0 days 00:00:00.038404,0.01153803127321946,2,259.5544097498717,20
27,0 days 00:00:00.069824,0.0011391981992708259,7,1542.0815182901208,56
28,0 days 00:00:00.375214,0.0572743158744199,9,24.450912931486766,28
29,0 days 00:00:00.028014,0.03600607154229915,2,2418.8841894049,20
30,0 days 00:00:00.057598,0.15297882684760536,6,2418.9704700812654,56
31,0 days 00:00:00.059384,0.003337295137833954,2,33.888671473287715,31
32,0 days 00:00:00.646298,0.0018971948372946649,9,146.36330430863816,198
33,0 days 00:00:01.763191,0.021468736292604155,7,12.483392263786621,116
34,0 days 00:00:00.035496,0.020704036740656403,3,555.8180492208503,61
35,0 days 00:00:01.690978,0.2389154549756427,7,9.606867880718804,194
36,0 days 00:00:00.340059,0.00974859040411007,4,18.414529854457236,49
37,0 days 00:00:04.987673,0.0014210843514047037,8,13.71819232800048,345
38,0 days 00:00:00.529629,0.0022950954634737876,6,90.17040179947313,107
39,0 days 00:00:00.157524,0.005339420119684342,2,1.561044789312615,52
40,0 days 00:00:00.047447,0.0025037571230888582,4,546.74795507808,50
41,0 days 00:00:02.833881,0.07791767479489298,8,2.0155611042226482,220
42,0 days 00:00:01.405847,0.05341178700995498,6,54.74902324871874,242
43,0 days 00:00:00.411370,0.057623965885521565,8,6050.017090943026,415
44,0 days 00:00:02.739566,0.001259926166149201,8,1.2675668505460127,166
45,0 days 00:00:00.024569,0.015468963876761813,5,4290.194320510187,22
46,0 days 00:00:00.341071,0.00390853471046409,4,799.4524110942339,337
47,0 days 00:00:00.133094,0.04600946987895312,2,15.533575787160148,60
48,0 days 00:00:00.221742,0.06064004811176891,4,1913.8780519214006,257
49,0 days 00:00:01.026409,0.14299788972749627,9,2.876659192672739,72
50,0 days 00:00:00.459448,0.1358594505491585,9,45.8806080493381,49
51,0 days 00:00:00.102706,0.025407655680853944,5,2997.3817473811923,129
52,0 days 00:00:01.878209,0.008939668403092186,4,43.93663627413192,497
53,0 days 00:00:00.055488,0.0023086905876277372,7,5454.385852775384,44
54,0 days 00:00:00.350716,0.04894347240370262,7,11.500195572470188,21
55,0 days 00:00:00.115476,0.07962483234567781,9,6121.871853754349,121
56,0 days 00:00:00.977067,0.0031708965482768374,7,2.81986076057078,61
57,0 days 00:00:00.063229,0.2618058780079859,3,7774.445367762356,62
58,0 days 00:00:00.059293,0.011578123755534677,8,3397.544911344484,46
59,0 days 00:00:00.391093,0.035525099952600954,5,2614.260288246099,476
60,0 days 00:00:01.981474,0.3006118990402949,5,62.447927760506865,464
61,0 days 00:00:00.079498,0.008761878219984075,4,9674.84421639549,77
62,0 days 00:00:00.022329,0.016980970768853392,2,1328.9227119329976,20
63,0 days 00:00:00.026645,0.3312575971867263,9,1776.7091253864403,33
64,0 days 00:00:01.483670,0.02069846367430459,5,50.143560521760314,232
65,0 days 00:00:00.695372,0.0038156088465138116,2,1.9565998489804992,400
66,0 days 00:00:02.442557,0.0035164104953785726,7,2.7089004712372913,175
67,0 days 00:00:00.568363,0.0012872820734041231,8,15.615195506284328,38
68,0 days 00:00:00.918175,0.00996710139468616,5,61.71327672137929,153
69,0 days 00:00:04.001214,0.0038047564230770277,8,1.4636913325623473,212
70,0 days 00:00:00.280865,0.2935557238253785,9,1965.70228322324,288
71,0 days 00:00:00.037301,0.14795700561769723,7,2630.0907931906686,36
72,0 days 00:00:01.492357,0.012845881526088938,6,19.613465878611173,143
73,0 days 00:00:00.039854,0.20181780825730344,7,3787.353064461485,27
74,0 days 00:00:00.423293,0.007724229268807458,9,9.928727645195954,28
75,0 days 00:00:00.400200,0.014857065851276162,5,221.06633900471448,135
76,0 days 00:00:00.234343,0.004896261014469297,6,241.81542938142897,123
77,0 days 00:00:00.376165,0.0055088209857891745,7,3049.676444804808,434
78,0 days 00:00:00.393880,0.3364748392883513,2,977.5227218579221,472
79,0 days 00:00:00.020105,0.019532733529235985,5,2362.4578825094727,20
80,0 days 00:00:00.808282,0.13265537504943475,4,23.079992695742547,244
81,0 days 00:00:00.228728,0.01850978086009718,5,2580.8464655846037,264
82,0 days 00:00:00.036087,0.025381884600193746,2,1041.618676626463,22
83,0 days 00:00:00.871281,0.17081738308424455,4,197.01562201357007,410
84,0 days 00:00:05.208302,0.0012184001663475212,8,2.20052418488944,352
85,0 days 00:00:01.300096,0.047426751055281754,5,3.359509965776066,248
86,0 days 00:00:00.083221,0.01841907306292813,3,1.547559778233287,24
87,0 days 00:00:00.025544,0.007988782922713418,6,3989.1491486757604,21
88,0 days 00:00:00.310006,0.3727174198096073,8,4317.015587707814,416
89,0 days 00:00:00.166963,0.0014384782320886358,2,9177.899068649771,221
90,0 days 00:00:00.213341,0.24581861103706137,2,2.8359408349765145,99
91,0 days 00:00:00.470920,0.057277399178873145,7,16.534336207345252,40
92,0 days 00:00:02.090183,0.01698608661422928,7,45.34228796844654,270
93,0 days 00:00:01.249352,0.13395832392355148,9,3.5786768140522534,108
94,0 days 00:00:00.106297,0.21790594524094914,4,777.6438113394166,141
95,0 days 00:00:00.927587,0.18813153807548907,4,148.35202377409664,340
96,0 days 00:00:00.652463,0.006164279848085326,5,64.8293869168448,132
97,0 days 00:00:00.260790,0.009577387179339886,5,2.625193485528559,27
98,0 days 00:00:00.092928,0.4193193622109696,8,2043.0355178965904,123
99,0 days 00:00:00.199465,0.0025354206238874066,4,748.790660287731,175
100,0 days 00:00:00.052465,0.07296777688218638,2,5769.493816669962,36
101,0 days 00:00:00.140423,0.007498129827298375,9,4397.113162582413,110
102,0 days 00:00:00.092160,0.0036101515877664317,2,2953.9105687835176,70
103,0 days 00:00:00.223224,0.4696967015649052,4,22.11194529844551,58
104,0 days 00:00:01.759242,0.2670496434697171,7,3.3949487077674902,201
105,0 days 00:00:00.038861,0.027642520851125518,8,5189.5115389460925,29
106,0 days 00:00:00.609013,0.06907879513395894,8,146.45753536350165,208
107,0 days 00:00:00.926981,0.05486369091328331,7,13.712300886952658,85
108,0 days 00:00:01.505666,0.0022377633022530796,9,108.70524995535246,360
109,0 days 00:00:00.501333,0.0016464808615825036,5,2.086651661697549,61
110,0 days 00:00:00.094027,0.009563979070257708,5,3851.916670016817,122
111,0 days 00:00:00.369412,0.22265535270777415,9,8.83563410701447,26
112,0 days 00:00:00.091478,0.005073902636837138,6,2834.7442561444595,117
113,0 days 00:00:00.105810,0.2486450482052938,9,714.6837246325841,122
114,0 days 00:00:00.071620,0.018221386809746023,2,1368.2199455875548,113
115,0 days 00:00:00.275319,0.47120010863982953,4,4041.4163559892095,282
116,0 days 00:00:00.558079,0.0017406766629373366,9,4.869531853249081,41
117,0 days 00:00:00.045361,0.0013669946535302194,5,4827.01888066226,55
118,0 days 00:00:00.208551,0.0020847719116772337,2,6262.927995010718,258
119,0 days 00:00:00.083484,0.27185197520966203,2,3830.8777872971464,108
120,0 days 00:00:04.062106,0.01745067484109063,8,2.7661449427958797,297
121,0 days 00:00:00.411718,0.004161071967151052,8,2203.053027859189,418
122,0 days 00:00:00.274947,0.04893384187534127,6,1.1176369516253868,21
123,0 days 00:00:00.680203,0.01520289028537924,5,2.448644679161356,59
124,0 days 00:00:02.230352,0.23107373323390018,7,8.346558496218357,219
125,0 days 00:00:00.123100,0.4617784585393636,5,3172.5754897660795,147
126,0 days 00:00:00.072719,0.07455375674242934,2,104.22610321056636,35
127,0 days 00:00:00.926460,0.0033727587903787243,6,1.0650218321312548,62
128,0 days 00:00:00.136263,0.007876393846253405,5,2949.7518479555965,177
129,0 days 00:00:00.209176,0.02221858118257759,5,975.6865426630591,219
130,0 days 00:00:01.400953,0.3899520943767529,5,65.0177190308256,302
131,0 days 00:00:00.142508,0.0363172068129236,4,126.66715558054374,41
132,0 days 00:00:00.154821,0.001731488269109427,3,5733.529265422791,156
133,0 days 00:00:00.064745,0.08557867799809324,7,2628.732980196814,66
134,0 days 00:00:01.037733,0.0058321453448793355,9,21.70400355303658,74
135,0 days 00:00:00.113284,0.009996303782010557,5,124.82125026965886,32
136,0 days 00:00:00.052693,0.08995910392612382,4,1319.1432180009049,56
137,0 days 00:00:01.333746,0.01975278397465542,3,1.76222627691001,380
138,0 days 00:00:00.326712,0.2944735239387867,9,4937.825251000353,297
139,0 days 00:00:00.353889,0.0014023024548806906,9,5115.140872837189,275
140,0 days 00:00:00.217255,0.06291405259778429,8,154.8921773472945,81
141,0 days 00:00:03.996091,0.03033218194947085,8,1.171238735557999,316
