model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,1.3087499789643952e-31,0.6228542200788514,0.605228458407384,0.6227836288494867,0.7043164987657615,0.44438168518991156,0.4803279025358704,0.4727393617021276,0.40610820244328094,0.5346921506580189,0.528692879914984,0 days 00:00:04.597192
1,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:02.978629
2,6.620543971018725e-32,0.5347957044401104,0.5898633454419651,0.5350619917344354,0.22750016678897858,0.5169886846619616,0.3978184196166598,0.014540167211922972,0.011282805984792699,0.5050076401670475,0.33357861172430714,0 days 00:00:01.680508
3,0.9999228491783885,0.5155193173406529,0.622492080253432,0.515897880282629,0.0786576823003536,0.3807531380753138,0.21731448763250882,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.108443
4,0.5108471121734718,0.6096771687404818,0.6457833466631121,0.6097853619517397,0.48482220294882916,1.0,1.0,0.0,0.0,0.5,0.42226148409893993,0 days 00:00:02.527166
5,0.0055768139379163825,0.5136401037528531,0.5075335799104536,0.513331555792561,0.8697044499299487,0.9132275132275132,0.9222614840989399,0.08677248677248683,0.07773851590106007,0.47070154095701544,0.3815251929187471,0 days 00:00:01.736168
6,2.5893003788960427e-79,0.5015272383008723,0.5004001163974975,0.5011665111318491,0.9178063913536594,1.0,1.0,0.0,0.0,0.5,0.3710247349823321,0 days 00:00:01.459823
7,0.9993197798564758,0.5623130844293031,0.6741363211951448,0.5625916544460738,0.2408432850757222,0.5107079119571684,0.3492764287466274,0.0,0.0,0.5,0.4079227369454903,0 days 00:00:01.932006
8,0.14738532628472503,0.48317421231558266,0.48922925710541404,0.48290227969604055,0.796984455267196,0.6944444444444444,0.7153024911032029,0.3055555555555556,0.2846975088967971,0.5,0.3815251929187471,0 days 00:00:02.212951
9,8.167891590943627e-292,0.5710469929030206,0.5859469973255531,0.5711238501533129,0.4823537260657816,0.6530408103707799,0.5838209653920561,0.17334807851810896,0.12080536912751683,0.5319511325129302,0.49238827958749387,0 days 00:00:00.918848
10,0.6649163289855992,0.5557720394667489,0.5977699530516432,0.5559592054392748,0.3397825071719261,0.8916228918993642,0.8321554770318021,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.590711
11,8.047187725623206e-309,0.5976673514401181,0.6505564715581204,0.5978202906279163,0.4211755287210621,0.5879298447744166,0.5959895535677205,0.21832242712671035,0.14695869269178397,0.55761833249957,0.5356032083810771,0 days 00:00:00.847695
12,0.0003848620036512564,0.5912450371253494,0.5860609124225957,0.5912211705105986,0.618787110547735,1.0,1.0,0.0,0.0,0.48754381376743294,0.4875444839857651,0 days 00:00:01.844721
13,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:04.223890
14,0.00015261273460257763,0.5393917155408916,0.5862422997946611,0.5396280495933875,0.2666622189605711,0.809847227042512,0.7488210253689732,0.0033176665745092704,0.001964314945162915,0.5016588332872546,0.3541819965661026,0 days 00:00:02.074672
15,0.09641827914733413,0.5202476332571736,0.5473419314249764,0.5204972670310625,0.23217025818933884,0.6108786610878661,0.4363957597173145,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:04.682647
16,0.9999999999999982,0.5439550908761663,0.5577109602327837,0.544060791894414,0.4219761158182667,1.0,1.0,0.0,0.0,0.5,0.4079227369454903,0 days 00:00:01.878483
17,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.158939
18,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.654020
19,1.7114654708934905e-55,0.5641329760150229,0.567657466383581,0.5641581122516998,0.5351257588898526,0.9991076740035693,0.9986382206082615,0.0008923259964307428,0.001361779391738538,0.49816494735566774,0.3710247349823321,0 days 00:00:01.719165
20,0.9589978193722696,0.5130980901145689,0.6707317073170732,0.513498200239968,0.05137100540396291,0.22903033908387865,0.13027689514298685,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:03.884195
21,0.00031447849795743297,0.5780379493302303,0.5881774144716924,0.578089588054926,0.518446861031423,1.0,1.0,0.0,0.0,0.5,0.5040104763463742,0 days 00:00:01.801785
22,0.9676308181981091,0.5022842147733735,0.5550161812297735,0.5026996400479936,0.022883447861765296,0.36401673640167365,0.2314487632508834,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.953563
23,1.0002456251577266e-44,0.528630432880216,0.5181515295746614,0.5283962138381549,0.7989192074187738,0.8274601063829787,0.8537521815008726,0.17253989361702127,0.14624781849912738,0.4371958637469586,0.3710247349823321,0 days 00:00:04.289165
24,0.9999999999957117,0.5843689123827892,0.6708620922993639,0.5845887215037995,0.33070918673694044,0.8389676481279534,0.7652685798381162,0.0,0.0,0.5,0.4079227369454903,0 days 00:00:05.490845
25,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.202498
26,1.35763200701243e-16,0.5924355782985444,0.5890092879256966,0.5924210105319291,0.6092467809727133,0.734375,0.7928446771378709,0.265625,0.20715532286212912,0.5,0.42226148409893993,0 days 00:00:04.702164
