model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.5439783558473076,0.6116745064706903,0.5866064006650041,0.6115517930942541,0.7532857428781106,0.43575252825698985,0.5902178847026782,0.5642474717430102,0.4097821152973218,0.5,0.3710247349823321,0 days 00:00:01.661691
1,0.5187345718558806,0.6324878937194636,0.6061223395700424,0.6323823490201307,0.7542864767496164,0.3872694824509221,0.5502723558783478,0.6127305175490779,0.4497276441216522,0.5,0.42226148409893993,0 days 00:00:02.078667
2,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:00.587202
3,0.999998986763403,0.5742021782785008,0.7207869634340223,0.5744900679909345,0.2419774501300954,0.47546346782988,0.4152563159185676,0.0,0.0,0.5,0.4750436300174521,0 days 00:00:02.266635
4,0.8733903690780277,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.174376
5,0.9993812236467151,0.623283972460035,0.5996752368064953,0.6231835755232635,0.7391420374941624,0.6888756692444973,0.8216068996822514,0.3111243307555027,0.17839310031774858,0.5,0.3710247349823321,0 days 00:00:02.843390
6,0.9857889248421493,0.6075978083783808,0.5969590925546036,0.6075523263564858,0.6600840616452065,1.0,1.0,0.0,0.0,0.5,0.42226148409893993,0 days 00:00:01.040118
7,0.9999985297709484,0.6073701089312538,0.5791893227879387,0.6072190374616718,0.7817065848288746,0.8132064247471743,0.903994552882433,0.1867935752528257,0.09600544711756698,0.5,0.3710247349823321,0 days 00:00:00.829308
8,0.6710662087079707,0.6503554843537498,0.6589640308105434,0.650379949340088,0.6221228901194209,0.3216608102104285,0.35934064314940917,0.4391534391534391,0.31566548881036516,0.5981659829974436,0.6030818278427205,0 days 00:00:00.881140
9,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:04.496704
10,0.9998987278047742,0.6114668794634103,0.5933591339951764,0.6113851486468471,0.7057842417773034,0.593694229625223,0.7195869269178393,0.406305770374777,0.2804130730821607,0.5,0.4385551629367883,0 days 00:00:00.370188
11,1.0,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:03.218630
12,0.7488874280713939,0.685167968775948,0.6879875195007801,0.6851753099586722,0.6766962439122023,0.38919872430431623,0.4168317063596552,0.520523497917906,0.32694053563322734,0.6495413406522113,0.6528795811518324,0 days 00:00:00.627261
13,0.8869358559527676,0.6504580415248238,0.6580758426966292,0.6504799360085322,0.6251918073253719,0.42878746840014437,0.537223585437522,0.5503791982665223,0.3738084430322288,0.569875304136253,0.5800711743772242,0 days 00:00:12.704037
14,0.5936165795751559,0.6621962310600645,0.667819112155995,0.6622117051059858,0.644339182066849,0.49863080092087725,0.5367713910058234,0.3301587301587301,0.21279937180997255,0.5932940966648832,0.6105207226354942,0 days 00:00:00.570509
15,0.9465615695961161,0.6029027636139519,0.5760428019419399,0.6027529662711638,0.7757688971912736,0.47828673408685307,0.640036314117113,0.5217132659131469,0.35996368588288696,0.5,0.37141735374950924,0 days 00:00:01.192312
16,0.9999999999999993,0.618082957805421,0.6396489008382097,0.6181509132115718,0.5396624191073454,1.0,1.0,0.0,0.0,0.5,0.49043570669500536,0 days 00:00:03.852784
17,0.9129346504453775,0.6740161832963221,0.6853340923646196,0.6740434608718837,0.6425378610981386,0.692063492063492,0.8217510797016098,0.30793650793650795,0.17824892029839023,0.5,0.5124555160142349,0 days 00:00:00.598904
18,0.9999999999604041,0.5836908971340888,0.5673123617331247,0.5835888548193574,0.7014477283341117,0.9901844140392624,0.9930776214253291,0.009815585960737616,0.006922378574670929,0.49497354497354507,0.3816254416961131,0 days 00:00:00.304729
19,0.5237387362989085,0.6558417009414408,0.6569716555577998,0.655845887215038,0.6510107412102208,0.4283623217645587,0.5093729357173546,0.44259369422962525,0.29244212437585104,0.6010035507825165,0.6009564293304994,0 days 00:00:00.577981
20,0.4996530933687112,0.6710017938118545,0.6890185362971716,0.6710438608185575,0.6224564680765895,0.48282240801324766,0.5466821980757347,0.3481481481481481,0.20926580290537888,0.6036991177836248,0.6030818278427205,0 days 00:00:02.206847
21,0.9553504785426243,0.6436672318719153,0.637012945602959,0.6436475136648447,0.6664220428314097,0.4212687553704806,0.5833823336989514,0.5648423557406306,0.3845891965501589,0.5186030008110301,0.5302491103202847,0 days 00:00:00.690937
22,0.9767851914652506,0.627514607393185,0.6276189838677287,0.6275163311558459,0.6255253852825405,0.4799557644456732,0.64593735814798,0.5200442355543268,0.35406264185201997,0.5,0.49043570669500536,0 days 00:00:00.721775
23,0.5651298614053163,0.665894267628873,0.7051970585805172,0.6659778696173844,0.5694175728867836,0.4258734197665495,0.4482813611823978,0.31640211640211646,0.1982724774244209,0.5939064264906961,0.6057385759829969,0 days 00:00:02.722548
24,0.9999999999999998,0.6029909090620279,0.5733874820831343,0.6028196240501267,0.8006538127960504,0.7070196311719215,0.8336359509759419,0.29298036882807854,0.1663640490240581,0.49992110189629035,0.38790734197094623,0 days 00:00:00.876723
25,0.9231574228644865,0.670254723593839,0.6541394335511983,0.6702106385815224,0.7211288278070586,0.3823038535263402,0.5952340952082489,0.6038072575847709,0.38697231048570124,0.5040044606650447,0.5160142348754448,0 days 00:00:02.357476
26,0.5311930501671353,0.698097970257554,0.7019132566215021,0.6981069190774564,0.6877710320901995,0.22954607820940565,0.35619145928508716,0.5687091017251636,0.33745583038869253,0.6598947983239132,0.6583421891604676,0 days 00:00:05.539569
27,0.999999998678339,0.5036784551095046,0.5014517506404782,0.5032662311691775,0.9793848822469812,0.1597222222222222,0.2775800711743772,0.8402777777777778,0.7224199288256228,0.5,0.3710247349823321,0 days 00:00:02.427564
28,0.7992167008648008,0.5973861351138021,0.5741639009446005,0.5972536995067325,0.7502168256721596,0.6658909574468085,0.756544502617801,0.3341090425531915,0.24345549738219896,0.5,0.3710247349823321,0 days 00:00:00.348631
29,0.9867095344211712,0.6201174945320652,0.6036504360884885,0.6200506599120117,0.6972446460737874,0.7001784651992862,0.8301180208806174,0.29982153480071383,0.16988197911938263,0.5,0.3710247349823321,0 days 00:00:01.200384
30,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.888197
31,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:00.369980
32,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:00.441509
33,0.9999999999999996,0.5990574617634461,0.5794623655913979,0.598953472870284,0.7190606444726132,0.9425936942296252,0.9735587834770767,0.057406305770374755,0.026441216522923305,0.5,0.38987043580683156,0 days 00:00:03.699095
34,0.5050276562837747,0.6429093600819533,0.6337129270429233,0.6428809492067724,0.6756955100406965,0.275794660527485,0.3235872008015317,0.5322751322751322,0.4083235178641539,0.59488938120582,0.5945802337938364,0 days 00:00:00.739955
35,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.814745
36,1.0,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:02.818670
37,0.9136299561486102,0.6337932088148914,0.6300630648202328,0.6337821623783495,0.6465407965841617,0.6097074468085106,0.7158813263525305,0.39029255319148937,0.28411867364746946,0.5,0.49043570669500536,0 days 00:00:01.435324
38,0.6656046650695697,0.6363784524235521,0.6787215411558669,0.6364818024263431,0.5171125492027486,0.3406357284219879,0.3594749829041828,0.33439153439153446,0.23360816647035731,0.5758854078993896,0.5791710945802337,0 days 00:00:00.366627
39,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:03.930526
40,0.6130598844815147,0.6217716368627036,0.6484394099910358,0.6218504199440075,0.5308559610380946,0.3933992598221322,0.365161148420172,0.24656084656084654,0.1645072634471928,0.557824205197496,0.563230605738576,0 days 00:00:00.757293
41,0.8863071946129344,0.6501069326741487,0.6519591256682683,0.6501133182242368,0.6427380078724398,0.42904735418413564,0.5854217488180304,0.4907792980368828,0.3146845211075806,0.5193502395620212,0.5116896918172157,0 days 00:00:00.441307
42,0.6639347069154573,0.6940458211923953,0.6914507942785578,0.6940407945607252,0.6998465541397024,0.24323319452706726,0.2178414755627347,0.6317668054729327,0.4122787108488425,0.6594249769412353,0.66195462478185,0 days 00:00:01.778919
43,0.9845596002130133,0.617807633245621,0.5971294507314381,0.6177176376483136,0.7216625525385283,0.5707911957168352,0.7236722650930549,0.42920880428316477,0.27632773490694507,0.5,0.3710247349823321,0 days 00:00:05.717329
44,0.5542665200679536,0.662777089923664,0.676496159976815,0.6628116251166511,0.6229234772166256,0.34277061342128684,0.3981188939959791,0.4556811421772755,0.289151157512483,0.6019355888277447,0.604144527098831,0 days 00:00:02.136656
45,0.5075543365628192,0.693595158816321,0.716064107342527,0.6936408478869484,0.6408699713122957,0.4681541361521017,0.5600798173516591,0.39589530041641874,0.21867907399001363,0.6311197409086946,0.6370882040382572,0 days 00:00:03.114502
46,0.550227281165912,0.6479982001230917,0.6417184198732313,0.647980269297427,0.6686903729401561,0.293784078516903,0.3608859836833534,0.5142857142857142,0.3710247349823321,0.5992840818069562,0.5988310308182784,0 days 00:00:08.180409
47,0.9999999999999254,0.5914502092299143,0.57447854100688,0.5913544860685241,0.7019147374741477,1.0,1.0,0.0,0.0,0.5,0.3710247349823321,0 days 00:00:00.323200
48,0.999999999999962,0.6275117481535522,0.6393394709922549,0.6275496600453273,0.583761425045033,1.0,1.0,0.0,0.0,0.5,0.49043570669500536,0 days 00:00:00.433052
49,0.9865419540376641,0.5422934394313406,0.5270968021868356,0.5420610585255299,0.810461004736807,0.5703703703703704,0.6827640361209266,0.4296296296296296,0.3172359638790734,0.5,0.3815251929187471,0 days 00:00:03.228360
50,0.6205108693263737,0.6405121620212687,0.630756783669405,0.6404812691641114,0.6761625191807326,0.49405116002379534,0.6822514752610077,0.5059488399762047,0.3177485247389923,0.5,0.4711425206124853,0 days 00:00:01.570973
51,0.6602188188449998,0.662140374802994,0.6635211647344298,0.6621450473270231,0.6567482820735205,0.35016772423821796,0.4927387919740631,0.6151100535395598,0.4182932364956877,0.5556315896188159,0.5530035335689046,0 days 00:00:00.595295
52,0.9040611684080009,0.6086636404936492,0.6140289285212751,0.6086855085988535,0.5834278470878644,0.5965103598691385,0.6804022565611969,0.4034896401308615,0.3195977434388031,0.5,0.49043570669500536,0 days 00:00:00.718260
53,0.9999956194900069,0.5013966374764294,0.5002676122298789,0.5009665377949607,0.9977316698912536,0.011303191489361653,0.01919720767888311,0.9886968085106383,0.9808027923211169,0.5,0.3710247349823321,0 days 00:00:04.648201
54,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:02.616557
55,0.5327384042441191,0.6867100808991529,0.6723840078973347,0.6866751099853353,0.7270665154446594,0.4327781082688875,0.655943880024486,0.5672218917311125,0.33874262369496144,0.5052137643378519,0.4381625441696113,0 days 00:00:01.052997
56,0.6948733608020413,0.7522137879466587,0.7269940494079461,0.7521663778162911,0.80692507839082,0.31618084473527663,0.6252837040399455,0.6838191552647234,0.3747162959600545,0.5,0.46819787985865724,0 days 00:00:05.862012
57,1.0,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:00.289975
58,0.9999999999999984,0.5794747028051451,0.5889630351653296,0.5795227303026264,0.5240509707118554,1.0,1.0,0.0,0.0,0.5,0.4079227369454903,0 days 00:00:01.832809
59,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:01.555613
60,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:03.171652
61,0.5822272258389719,0.6675158319564217,0.6950299447771642,0.6675776563124917,0.5961705250517045,0.4259920634920635,0.44006645575569314,0.3587301587301588,0.21323195642305948,0.5910379882289994,0.6025504782146652,0 days 00:00:00.339056
62,0.6351953926710432,0.6399546680552752,0.627723860098883,0.6399146780429276,0.6861031423043565,0.3063967852700248,0.4335843114138145,0.582010582010582,0.4213572401270994,0.5328376773837862,0.5260361317747078,0 days 00:00:03.604901
63,0.8807515574786754,0.6585044328322732,0.6610088940186027,0.6585121983735502,0.649542998198679,0.25988994646044017,0.33978657379212757,0.6151100535395598,0.41466182478438496,0.5839571097718578,0.558303886925795,0 days 00:00:01.443597
64,0.9832912399693208,0.6149433682824836,0.5943909815782238,0.614851353152913,0.7211288278070586,0.9288702928870293,0.9346289752650176,0.07112970711297073,0.06537102473498235,0.5,0.3710247349823321,0 days 00:00:00.621032
65,inf,0.5,0.0,0.5004332755632582,0.0,0.0,0.0,0.0,0.0,0.5,0.32523914643119944,0 days 00:00:00.766038
66,0.9693856827855952,0.6688121649960331,0.6455163669893961,0.6687441674443407,0.747281339649076,0.4749949596648738,0.6704405025175957,0.5208209399167162,0.31888334089877435,0.5038270478507705,0.45759717314487625,0 days 00:00:01.923447
67,1.5620285684696805e-161,0.5177579575671509,0.5096877136995669,0.5174310091987735,0.8950563746747615,0.3307888040712468,0.4233505028207015,0.6692111959287532,0.5766494971792985,0.5,0.3710247349823321,0 days 00:00:00.688846
68,0.850167527191904,0.63438827723303,0.6557923285548237,0.6344487401679776,0.5646140503035559,0.4765118946082386,0.615918709139589,0.4747340425531915,0.31978798586572443,0.5152475775483897,0.5069075451647184,0 days 00:00:09.007414
69,0.91843096995127,0.6297048138331747,0.6441736028537456,0.6297493667510998,0.5782907465474681,1.0,1.0,0.0,0.0,0.5,0.49043570669500536,0 days 00:00:04.207044
70,0.5587278227895803,0.6770425873634893,0.7091454272863568,0.6771097187041728,0.5995730202148242,0.30515772042489603,0.3825963235407912,0.4582010582010583,0.2791647753064004,0.6202244347612909,0.6227417640807651,0 days 00:00:08.541481
71,0.999999999999996,0.6139888443444385,0.6328423349699945,0.6140514598053592,0.5417306024417906,0.9967497291440953,0.9968119022316685,0.0,0.0,0.49993899387340324,0.49043570669500536,0 days 00:00:01.295050
72,0.999999999999996,0.56802483437349,0.5460718191760846,0.5678242900946541,0.7994529321502435,0.8872694824509221,0.9096686336813437,0.11273051754907792,0.09033136631865635,0.5,0.3710247349823321,0 days 00:00:02.091657
73,0.9993441186522863,0.5925633776457714,0.5654318645354077,0.5923876816424477,0.795316565481353,0.4655792092894664,0.5624488459649697,0.5344207907105336,0.4375511540350303,0.5,0.42226148409893993,0 days 00:00:00.297413
74,0.8784163221273934,0.6387506971201681,0.6375447434707676,0.6387481669110785,0.6416705584095003,0.34272486772486777,0.4096976835492737,0.5322751322751322,0.4083235178641539,0.5452381866339104,0.4946996466431095,0 days 00:00:01.915723
75,0.8389343592442707,0.5301126164959643,0.5456306719690017,0.5302626316491135,0.35699512976182535,1.0,1.0,0.0,0.0,0.5,0.3710247349823321,0 days 00:00:00.658642
76,0.9999996124311433,0.6155136566238041,0.5885858118867827,0.6153846153846154,0.7644272466475416,0.7709696609161214,0.8697231048570131,0.2290303390838786,0.1302768951429869,0.5,0.524956369982548,0 days 00:00:02.018973
77,0.9999999999999971,0.6107111737640792,0.585360814091637,0.6105852552992934,0.756021082126893,0.8420582986317668,0.921130276895143,0.15794170136823316,0.07886972310485696,0.5,0.41185708676874755,0 days 00:00:04.583078
78,0.9986160121289522,0.610186228919967,0.5837023464142108,0.610051993067591,0.7650944025618787,0.5,0.6327734906945075,0.5,0.3672265093054925,0.49835919386481187,0.37141735374950924,0 days 00:00:01.871568
79,0.9999999999886329,0.6294467602360057,0.6123729305837932,0.6293827489668045,0.7033157648942557,0.7709696609161214,0.8697231048570131,0.2290303390838786,0.1302768951429869,0.5,0.49043570669500536,0 days 00:00:00.949214
