model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.5295819953376869,0.6504665037188888,0.6682861200388669,0.6505132648980136,0.5965041030088731,0.3143664929924472,0.35061375933769634,0.4264550264550264,0.30427954456223005,0.5959637668797739,0.5977683315621679,0 days 00:00:02.199629
1,0.5031400042392424,0.679769753230291,0.6974900924702774,0.6798093587521664,0.6340649809860565,0.5096005492952058,0.5653285560383119,0.3322751322751323,0.19748723989006678,0.6071488020926223,0.6323060573857598,0 days 00:00:01.495209
2,0.5015224439516801,0.6802039821987784,0.6974888352002343,0.6802426343154246,0.635599439589032,0.532630558584757,0.5871063303492574,0.33650793650793653,0.204161758932077,0.6052077759942929,0.6211477151965994,0 days 00:00:00.924806
3,0.48581972274397567,0.6864240702922403,0.6940137662518251,0.6864418077589655,0.6659550336913737,0.48993093420574335,0.5717889981807797,0.3904761904761904,0.23125245386729487,0.6189365940151751,0.6301806588735388,0 days 00:00:01.353912
4,0.5028184446111257,0.6907670820073248,0.7102473498233216,0.6908078922810292,0.6436720261525118,0.5055131467345209,0.5768505734574113,0.3650793650793651,0.21122889674126422,0.6223024790440521,0.6296493092454836,0 days 00:00:01.332634
5,0.4937137154752548,0.711511703098867,0.7250888415067519,0.7115384615384616,0.6806324638067917,0.4740821519447474,0.573066525913272,0.4190476190476191,0.22654102866116999,0.6437745385881892,0.6578108395324124,0 days 00:00:00.746104
6,0.5093608704019261,0.6701603975671625,0.6921104238950068,0.6702106385815224,0.6121822669957969,0.4924835413385032,0.5336339077007881,0.3312169312169313,0.20808794660384766,0.5978806254087153,0.6158342189160467,0 days 00:00:03.008102
7,0.5221611924624341,0.6644753049783405,0.6954899158329363,0.6645447273696841,0.5843618653679364,0.4758673613635446,0.5051816143478325,0.3227513227513228,0.20808794660384766,0.5911509422745378,0.6062699256110521,0 days 00:00:00.787861
8,0.49298550840594163,0.7226750699430664,0.7380595416577426,0.7227036395147314,0.6897057842417773,0.4854557938527404,0.5749351485667682,0.4105820105820106,0.2163329407145662,0.6544170976755246,0.6737513283740701,0 days 00:00:03.891882
9,0.5110033199441246,0.7031901316376599,0.7290176891230711,0.7032395680575924,0.6461405030355594,0.5267741023466214,0.5918212223877635,0.3470899470899471,0.19159795838241067,0.6236073955175079,0.6503719447396387,0 days 00:00:06.579351
10,0.5169498151680296,0.6543492644967059,0.7202630575676706,0.6544794027463005,0.5041697244646074,0.4674744537339957,0.48356504774261544,0.27407407407407414,0.16961130742049468,0.5830420307948397,0.587260034904014,0 days 00:00:02.183915
11,0.4760287968611686,0.7319646528666477,0.7340160344943745,0.7319690707905613,0.7268663686703583,0.4499616301143019,0.5600069683330863,0.4624338624338624,0.2508833922261484,0.656046916711488,0.691817215727949,0 days 00:00:00.744125
12,0.5180909637599123,0.6954811883693064,0.7261978361669242,0.6955405945873884,0.6269264127026486,0.5361121208449453,0.5813288541858967,0.3195767195767196,0.17903415783274435,0.6117234409369241,0.6402763018065888,0 days 00:00:01.359546
13,0.5030298487567609,0.677703418293184,0.6951863809803346,0.6777429676043194,0.6320635132430449,0.4918696231673331,0.5488351009844936,0.3587301587301588,0.2218296034550451,0.6088282504012841,0.6158342189160467,0 days 00:00:01.908667
14,0.485216205083845,0.7278535572551184,0.7362880886426593,0.7278696173843487,0.7093201681232905,0.4851488347671554,0.5823385691169372,0.42433862433862435,0.22536317235963876,0.656478269522724,0.6859723698193412,0 days 00:00:02.571817
15,0.48648021144390824,0.6429093600819533,0.6337129270429233,0.6428809492067724,0.6756955100406965,0.275794660527485,0.3235872008015317,0.5322751322751322,0.4083235178641539,0.59488938120582,0.5945802337938364,0 days 00:00:09.573820
16,0.48421373431119025,0.7733479587772736,0.7832583881010031,0.7733635515264632,0.7553539262125559,0.3916232481117977,0.5274334779869144,0.5280423280423281,0.25206124852767964,0.715488896674348,0.7546247818499128,0 days 00:00:00.583850
17,0.5013160800227079,0.6957018408015806,0.7145577035735208,0.6957405679242767,0.6510107412102208,0.5270729835615331,0.5893164359923071,0.34497354497354493,0.1982724774244209,0.6166191070685453,0.638682252922423,0 days 00:00:01.352387
18,0.47761937405562477,0.6896374513026724,0.6910032972209138,0.68964138114918,0.6851024084328508,0.5096167050365523,0.6075970431386619,0.4042328042328043,0.23714173537495098,0.6062460216030041,0.6301806588735388,0 days 00:00:04.031023
19,0.49892431465158554,0.6828089516727851,0.697681138481543,0.682842287694974,0.644339182066849,0.5001575184781292,0.5664942784265088,0.3682539682539683,0.22379269729093054,0.6148385946138755,0.6216790648246546,0 days 00:00:00.521543
20,0.4989989495146047,0.6840729088777657,0.7003271537622683,0.6841087854952673,0.6426712922810061,0.510246778949069,0.5690987362529262,0.35343915343915344,0.21358460934432666,0.6111765055585281,0.6275239107332625,0 days 00:00:01.613196
21,0.4920191236352067,0.7017790246758157,0.7150484054669703,0.701806425809892,0.6701581159516979,0.5268225695706612,0.6033397729744816,0.3724867724867724,0.21319199057714955,0.6266304024730991,0.6450584484590861,0 days 00:00:01.088840
22,0.5172268036052462,0.6555770624287537,0.6690877396862289,0.6556125849886681,0.6145840282874108,0.3253927864614887,0.367779779873478,0.44232804232804235,0.3121319199057715,0.601861590655669,0.6036131774707758,0 days 00:00:00.660366
23,0.4910204283339293,0.7050164059704389,0.7161163134549039,0.705039328089588,0.6785642804723464,0.49077911062643886,0.5788050002123435,0.40634920634920635,0.22889674126423243,0.6374781856371439,0.6599362380446334,0 days 00:00:01.853371
24,0.48342827030049257,0.6851642719812712,0.6896339377352035,0.6851753099586722,0.6724264460604443,0.49422028353326064,0.5808590983982368,0.4,0.24303101688260698,0.6081206998360119,0.620616365568544,0 days 00:00:06.051711
25,0.4972974533852188,0.7458671423979317,0.7660958161716888,0.7459005465937875,0.7073187003802789,0.4824669817036229,0.5759665312001914,0.43174603174603177,0.21358460934432666,0.6734260745496701,0.7120085015940489,0 days 00:00:03.474511
26,0.519181170924973,0.6910451791631322,0.7230061588836049,0.6911078522863618,0.6187203949563013,0.5112807463952502,0.5745546637129255,0.3396825396825397,0.18924224577934823,0.6195915819511325,0.6296493092454836,0 days 00:00:10.813947
27,0.50948484687965,0.6703569630716204,0.6940639269406392,0.6704106119184109,0.6084461938755087,0.45837069348519727,0.4979168670929137,0.34497354497354493,0.21829603455045155,0.6007015040722906,0.6163655685441021,0 days 00:00:01.747571
28,0.5148715438511,0.7135504276007312,0.7438987187309335,0.7136048526863085,0.6507438788444859,0.5241245607657821,0.5876029540878721,0.3555555555555556,0.19042010208087945,0.6312734082397004,0.6647183846971307,0 days 00:00:01.629118
29,0.4899638872647774,0.7185149340396522,0.7301955818207401,0.7185375283295561,0.6924411234905598,0.49134456157356926,0.583471356597512,0.4010582010582011,0.215155084413035,0.6441651822208625,0.6625929861849097,0 days 00:00:00.618209
30,0.4979625362513318,0.7036068874750574,0.7198384654215043,0.7036395147313691,0.6659550336913737,0.49905085019588835,0.5922034406577967,0.3915343915343915,0.21476246564585788,0.6285505394171761,0.6514346439957492,0 days 00:00:00.534802
31,0.517229253408096,0.685418051159595,0.7132759680393362,0.6854752699640048,0.6193875508706385,0.5248677248677248,0.5799975905514951,0.3322751322751323,0.19434628975265023,0.6096456809939956,0.6248671625929861,0 days 00:00:05.909650
32,0.5045499340796008,0.6667226673297793,0.7091152815013405,0.6668110918544194,0.5646807658949896,0.5479785128640091,0.5715237855036137,0.2677248677248677,0.1652925009815469,0.5814279769335948,0.6179596174282678,0 days 00:00:04.773030
33,0.4889081305942507,0.6884195307439019,0.6981383912890762,0.6884415411278496,0.6630195476682901,0.49056100811826003,0.566735223277006,0.38730158730158726,0.23360816647035731,0.6191726250100745,0.6354941551540914,0 days 00:00:01.830085
34,0.5190764827799954,0.6624895486127056,0.6859611561400826,0.6625449940007999,0.5985055707518847,0.420323922613999,0.46072555601491083,0.36084656084656086,0.23439340400471143,0.6005231555793353,0.6025504782146652,0 days 00:00:01.583399
35,0.5182176510865268,0.663497329499064,0.6832684242061114,0.663544860685242,0.6086463406498098,0.4590250010097338,0.5068890292956003,0.3544973544973544,0.22968197879858654,0.5992212115807621,0.6046758767268863,0 days 00:00:01.229401
36,0.49398005337114886,0.6884117905800473,0.701940287821293,0.6884415411278496,0.6540796584161719,0.5112565127832304,0.5916140791529836,0.3746031746031746,0.2163329407145662,0.6197775058349823,0.6216790648246546,0 days 00:00:00.540908
37,0.5051505346727968,0.6886642123415757,0.7096103896103896,0.6887081722437008,0.637934485289212,0.5351346984934771,0.5952984552661618,0.3470899470899471,0.204554377699254,0.6133077700493431,0.6296493092454836,0 days 00:00:00.698658
38,0.4950293467965661,0.7390709897214667,0.7568323649666452,0.7391014531395814,0.7039162052171593,0.46951007714366494,0.5666910211641449,0.4359788359788359,0.22261484098939932,0.6696123892753106,0.7045696068012752,0 days 00:00:00.653642
39,0.5049183383063216,0.6708725792854153,0.6869107651830739,0.6709105452606319,0.627059843885516,0.48073023950886545,0.5370088690239394,0.36296296296296293,0.23046721633294065,0.6053266749895964,0.6089266737513284,0 days 00:00:00.581528
40,0.49077245368591693,0.713780495306948,0.7261551504874947,0.713804826023197,0.6857028487557543,0.5073791348600509,0.5941674012017775,0.3904761904761904,0.2108362779740871,0.6427436506017556,0.6604675876726886,0 days 00:00:01.642441
41,0.5092971448169402,0.6850940040012026,0.7077834433113377,0.6851419810691908,0.6297284675428648,0.5052546548729755,0.5718973366926939,0.3566137566137566,0.20808794660384766,0.6180696748112479,0.6232731137088204,0 days 00:00:04.307821
42,0.505836544592667,0.700394950525046,0.7232681003050823,0.7004399413411545,0.6484755487357395,0.5129205541419282,0.5825465790598123,0.3576719576719577,0.1986650961915979,0.6264015219071399,0.6509032943676939,0 days 00:00:00.974666
43,0.5169578194141373,0.6719835816106414,0.6993418505613628,0.6720437275029996,0.6025752218293415,0.49532695181550146,0.5345664856113456,0.3291005291005291,0.20691009030231644,0.597134534213186,0.61211477151966,0 days 00:00:00.538058
44,0.5110550250160718,0.66643605021749,0.6838105076741441,0.6664778029596053,0.6182533858162652,0.44202916111313056,0.4856425470470822,0.36931216931216926,0.24185316058107575,0.6013227513227514,0.6083953241232731,0 days 00:00:02.339567
45,0.4856218123427885,0.6780965781833084,0.6832336564240049,0.6781095853886149,0.6630862632597238,0.4887434872167697,0.5621208693775562,0.38730158730158726,0.24067530427954453,0.6126077559620442,0.6200850159404888,0 days 00:00:01.520873
46,0.5140435387589776,0.775379636264285,0.8112880102618275,0.7754299426743101,0.7173260390953365,0.4374005412173351,0.5341227310665451,0.46772486772486777,0.21201413427561833,0.7032756673206111,0.7523910733262487,0 days 00:00:01.444816
