model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.5059500596429388,0.6687247415781674,0.6917470199681117,0.6687774963338221,0.6078457535526053,0.4761177753544166,0.5247510164319188,0.34285714285714286,0.2167255594817432,0.6002675227394328,0.6179596174282678,0 days 00:00:01.202420
1,0.5324458242177321,0.6461721857211884,0.6613307760401298,0.6462138381549126,0.5981052772032824,0.33267902580879677,0.36797998944349536,0.4190476190476191,0.30310168826069894,0.5870190260032966,0.5887353878852285,0 days 00:00:02.006567
2,0.49458080796123355,0.6429093600819533,0.6337129270429233,0.6428809492067724,0.6756955100406965,0.275794660527485,0.3235872008015317,0.5322751322751322,0.4083235178641539,0.59488938120582,0.5945802337938364,0 days 00:00:10.414963
3,0.5417060874933792,0.6472943361928618,0.6672992257476849,0.6473470203972803,0.5864967642938155,0.3408538309301668,0.37505146079315926,0.4010582010582011,0.28621908127208484,0.5887791657299214,0.5908607863974495,0 days 00:00:08.300155
4,0.5099171874221952,0.6688427501957424,0.6999446246341271,0.6689108118917477,0.5902995530055374,0.47782220606648085,0.5077366698128172,0.31534391534391537,0.1986650961915979,0.5927531062362523,0.6174282678002125,0 days 00:00:01.194266
5,0.49410619072450535,0.6737507649910078,0.6844980489535296,0.6737768297560325,0.6436720261525118,0.5124035704188377,0.5702297903173105,0.3407407407407408,0.20730270906949355,0.6033607597296299,0.6025504782146652,0 days 00:00:01.320670
6,0.49513906012667275,0.7172071640415092,0.7333381160771935,0.7172377016397814,0.681966775635466,0.47722444363665734,0.5696820308010723,0.41481481481481475,0.22575579112681587,0.6485083170085415,0.6710945802337939,0 days 00:00:07.331402
7,0.5049673944829973,0.6695522748428213,0.6956220132572838,0.6696107185708572,0.6021082126893055,0.5419847328244275,0.5725993702498979,0.2857142857142857,0.17353749509226546,0.5891742464776173,0.6147715196599363,0 days 00:00:09.686978
8,0.5111449805895678,0.6713978707040286,0.691355262176475,0.6714438074923343,0.6183868169991327,0.4937679227755563,0.5304912241471809,0.3375661375661376,0.215155084413035,0.5973099102312586,0.6009564293304994,0 days 00:00:01.507659
9,0.5013502142772849,0.6869724955587921,0.7035044350734332,0.6870083988801493,0.645540062712656,0.5158608990670059,0.5811173774106402,0.3587301587301588,0.21358460934432666,0.615382557517389,0.626461211477152,0 days 00:00:06.894728
