number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:19.125593,0.031207198770106425,0.05198657849887136,2,1533.5192657991581,0.13613154324231244,976
1,0 days 00:00:24.150016,0.1468588598920085,0.08459126528049378,4,750.1954443620125,0.0026202255463349477,1214
2,0 days 00:00:27.856278,0.00012046852412030328,0.0013869861245357324,4,1368.0095279726925,0.0002100335467060991,1419
3,0 days 00:00:20.020125,0.007013219779945793,0.09062263471261954,3,3600.091192911609,0.09037817298961123,1099
4,0 days 00:00:05.941362,0.0002652347535167728,0.011878085823766316,4,2762.264801799498,0.06398769104153229,291
5,0 days 00:00:03.409125,0.029548945587266843,0.013704648392849027,4,3535.6346291488144,0.00011735535410272082,163
6,0 days 00:00:02.788205,0.028330473395339312,0.06385530021358926,4,278.38304217345404,0.004616911142215351,118
7,0 days 00:00:00.822099,0.0006942729492430148,0.02155427556544752,3,2484.633816898241,0.03024609859289819,26
8,0 days 00:00:02.369944,0.898452977392254,0.01381635682257479,2,427.42183240368456,0.004191542192338879,106
9,0 days 00:00:07.360659,0.004544376997725275,0.09785863088320504,2,2021.0666418758256,0.014198645479973127,372
10,0 days 00:00:00.990981,0.00035705227567182956,0.001662456469364364,2,308.21316414429486,0.026775862206120257,41
11,0 days 00:00:07.690685,0.04950379839402111,0.0010644941307299915,3,7927.606898335424,0.0201320974870729,422
12,0 days 00:00:03.251576,0.09058458887563645,0.08985084719406063,2,8972.612866432515,0.017270520827506873,173
13,0 days 00:00:34.614275,0.05683877786139424,0.005234665413927017,2,764.5780792982158,0.0060091181879051315,1820
14,0 days 00:00:00.639599,0.0011522798403028728,0.024262985503685806,4,673.7922153052584,0.01246929166586855,26
15,0 days 00:00:05.880160,0.04673492174823726,0.07220917699605245,4,154.12781495004137,0.0015079154793233975,283
16,0 days 00:00:01.556273,0.00012034559120185,0.002324784621061444,2,2708.035842715767,0.014773852304194575,75
17,0 days 00:00:00.857454,0.0014252982378157796,0.013779606376650108,2,549.0554231068159,0.0400961881311203,39
18,0 days 00:00:05.480650,0.00078041665750001,0.015278610607077093,2,314.41719363595286,0.013084063236522319,284
19,0 days 00:00:03.070959,0.11697547414781277,0.09060284954063963,2,2291.4539764797732,0.0002690465194391388,158
20,0 days 00:00:22.622647,0.058901500750508644,0.01453937524243156,3,620.8854487201754,0.1826049959068651,1156
21,0 days 00:00:04.570315,0.029869933681455362,0.0028911195271157197,2,2086.108170931791,0.002888083012851373,233
22,0 days 00:00:10.705935,0.09923830745409461,0.003766881938105624,3,871.493953956585,0.0026206876868755612,540
23,0 days 00:00:01.607277,0.01982900833837049,0.0138016122330459,2,186.6156786239552,0.015332769970661596,78
24,0 days 00:00:01.717024,0.00024492871739277826,0.002770290867710172,2,8668.092367314233,0.0003330664951615421,87
25,0 days 00:00:05.302469,0.002565940873589712,0.007867782466151765,4,331.6514154635067,0.00023350870427851417,237
26,0 days 00:00:00.860961,0.02898933527712396,0.054481883691107354,4,9947.043407265592,0.00039907680929697866,39
27,0 days 00:00:15.203830,0.00018908974745983066,0.01374679566339485,3,4966.111413793927,0.0032074419328757863,823
28,0 days 00:00:02.871106,0.00011654989723692226,0.0012623396689517095,3,557.9322962866403,0.0022488429843149967,138
29,0 days 00:00:29.056644,0.009082298001985845,0.0316226672015639,3,3387.063961742069,0.0018007131973223664,1546
30,0 days 00:00:00.556164,0.0024066155737282493,0.038671890799231286,3,251.18462329986755,0.0006734272785043342,21
31,0 days 00:00:05.905258,0.00015903042772973157,0.03692227822814609,2,1646.287693470853,0.007072651787107583,312
32,0 days 00:00:27.889122,0.022889689707357597,0.016901759275038963,2,299.07880915878127,0.009578327267738135,1477
33,0 days 00:00:04.866901,0.0007498898838820215,0.0026593836708988347,3,8491.404616855605,0.0006649834161417448,256
34,0 days 00:00:03.626028,0.0001706540664192174,0.0028498976022508942,2,3013.7109085330344,0.0008726839656341776,191
35,0 days 00:00:23.123587,0.014790917001166604,0.08970337292168751,4,945.5302088334945,0.019261854793256386,1156
36,0 days 00:00:09.725499,0.38608699421557946,0.008079671227395432,4,136.30106929389274,0.009655847694423297,456
37,0 days 00:00:03.477145,0.0008258045898070718,0.06498844927024876,3,868.9491569053229,0.0003217912404673618,163
38,0 days 00:00:01.917831,0.0017678315596197408,0.010950208469145125,2,1956.9025402714785,0.00010004715962803269,89
39,0 days 00:00:08.460242,0.1428754825266485,0.008170705253806993,3,5897.600077135445,0.006139230969040713,457
40,0 days 00:00:01.356355,0.00012666332145532842,0.002670692917716908,2,2895.4202906357527,0.008256745474036877,64
41,0 days 00:00:07.484378,0.16994996341746754,0.0026900569447101527,2,2889.9102350904172,0.0004894443967100166,392
42,0 days 00:00:01.524335,0.007121980823387985,0.0022377818578784995,2,2237.1478751999935,0.04034866320271972,71
43,0 days 00:00:00.968258,0.5777338060732952,0.009464824407587842,4,232.57320214622393,0.002067287365844946,38
44,0 days 00:00:00.721715,0.08448410854289158,0.00272208063148025,4,3118.8068570767778,0.05908396256894886,30
45,0 days 00:00:01.531181,0.0001163371762563662,0.0030314999110705094,4,8392.140711648057,0.00023495477955264797,76
46,0 days 00:00:19.080553,0.0005327516481775014,0.09303767924291412,4,104.3470431178343,0.040013459804909036,927
47,0 days 00:00:35.341477,0.7019086882635832,0.056625296703939565,3,935.9554809691527,0.0017817214954482469,1803
48,0 days 00:00:03.639210,0.06826413634996317,0.026984993321507323,2,5724.525358588729,0.006284773505177001,193
49,0 days 00:00:21.097689,0.0024486914889045052,0.017208910813775583,4,385.51436827286204,0.00011193418456635566,997
50,0 days 00:00:33.780442,0.001196513865889784,0.03214690844485979,3,3637.921321551065,0.0001035079778061326,1866
51,0 days 00:00:01.645105,0.8371411610408394,0.006342561443203474,2,718.5345643177279,0.0002794515940151719,78
