model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.5557185799843141,0.6862966137342834,0.6833652765844954,0.6862836576912823,0.6910378934705608,0.600547048225484,0.5886287625418061,0.5847950599606229,0.38959881129271917,0.2211830985915493,0.7630399251542535,0.7612643910182694,0.577288605925824,0.6617600452211597,0.2044803677099073,0 days 00:00:06.397063
1,0.7818012049233282,0.6417132260684142,0.6830918712587837,0.6420287923220475,0.5262313707144289,0.7697822247882444,0.4890756302521008,0.5,0.0950965824665676,0.04698591549295775,1.0180369894651886,0.40724267447086676,0.9049034175334324,0.9530140845070423,0.3602118279154648,0 days 00:00:11.642623
2,0.6991968230748796,0.6804771632661551,0.6897452184346108,0.6805518528392429,0.6531444229098443,0.6650153777374169,0.5317725752508361,0.5270941471272597,0.3352154531946508,0.18264788732394366,0.9700543222910704,0.5460537732903595,0.6581620302490578,0.7839072966225447,0.36725414749976404,0 days 00:00:02.251637
3,0.6710488080292477,0.6718964161670795,0.6829878484631879,0.6719874700079979,0.6385751520417029,0.6513468582009022,0.5083612040133779,0.5033783783783784,0.2582466567607727,0.13859154929577464,1.0511180386653656,0.6437271865315549,0.7417533432392274,0.8580639690988742,0.4467719055201558,0 days 00:00:01.002908
4,0.5194999634071944,0.7062682921850857,0.7174266525273948,0.7063449746734204,0.6782062420637572,0.565149664593675,0.6525139664804469,0.6406864507413581,0.4306092124814265,0.23774647887323944,0.6278672674316185,0.7844363920818038,0.47082447927484594,0.5735053477219871,0.10791568622895709,0 days 00:00:02.231043
5,0.5109981912355956,0.7067322015330293,0.7128159094047783,0.7067781924820048,0.6899017576689167,0.568894469738249,0.646927374301676,0.6372166116503797,0.4439821693907875,0.2459718309859155,0.626393690164969,0.7974248658614448,0.47178843992820896,0.5818411256628911,0.09972337257980413,0 days 00:00:06.806230
6,0.5847096956675554,0.6640964339932596,0.6748997709049256,0.6641895494534791,0.6300207177705006,0.6406391061070276,0.5719063545150501,0.5685072489708252,0.3049034175334324,0.17825352112676057,0.7117147715328362,0.670841045137048,0.6023813506784881,0.6612113618163833,0.12353428575538461,0 days 00:00:01.258618
7,0.6201545065269661,0.6801598568148615,0.6823929299796057,0.6801852839242869,0.6708547751119428,0.6261756114695295,0.5250836120401338,0.520337390370503,0.35958395245170877,0.20202816901408452,0.8274566618957456,0.642173684960382,0.6337935309919998,0.7712159781431062,0.25406116726405026,0 days 00:00:04.208378
8,0.5785061733423775,0.6557023309540735,0.679575555727674,0.6558917621967475,0.58637973668382,0.6455849994673191,0.5888268156424581,0.5874058083987928,0.3894080996884735,0.26690251572327045,0.6737885269899839,0.6432158476172084,0.3976886745050749,0.43475359728208757,0.07052123638028718,0 days 00:00:02.314201
9,0.5101123805278542,0.6804937367718182,0.6873388614033865,0.6805518528392429,0.6592260910245271,0.5957363132378274,0.6106145251396649,0.6115783214407068,0.40083073727933544,0.24842767295597484,0.6547507558089423,0.7987386098679538,0.4826818075235319,0.557466140974858,0.10164853495904647,0 days 00:00:01.335329
10,0.5231447076945968,0.6770821288279341,0.7012046355596219,0.6772527326046388,0.6146494686894339,0.6001453863065618,0.605586592178771,0.5993988189185834,0.32087227414330216,0.19732704402515724,0.6569848446734473,0.8577231622731221,0.5425685860717515,0.5881089033689003,0.0985952051300909,0 days 00:00:03.228395
