number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:00.940996,0.9622810393778817,0.010320886422114147,24.355641031198406,0.1670220674517424,28,7,0.021286205421355647
1,0 days 00:00:05.226310,0.5487146988185682,0.07632034934139101,0.0868962586815896,0.0018390752830456246,126,35,1.7517477385495586
2,0 days 00:00:15.040654,0.014692147172980681,0.14223096102036153,0.24213184428828535,0.14253275515268726,451,22,211.28347124322744
3,0 days 00:00:06.146160,0.759065212295841,0.02489189105165015,0.02461292086687995,0.024738678453686054,170,29,373.67562150317326
4,0 days 00:00:08.827570,0.38804705871862893,0.4504088967552099,0.006038392401333694,0.011666696492253709,237,32,1.0332114945938577
5,0 days 00:00:12.258851,0.34825117571626774,0.4028037052029363,426.88035824001764,0.007997452301854188,422,18,0.0026918551474514373
6,0 days 00:00:00.958209,0.1964502945492806,0.011240645299879348,2.248330712149261,0.16737539072780508,25,9,45.63141415628068
7,0 days 00:00:01.711770,0.5740652332108326,0.23143421362282973,0.3114254823560207,0.008136205888118132,45,18,0.04406758809384992
8,0 days 00:00:01.476118,0.4453286997378383,0.17796789484064182,19.163770286531474,0.017966455457847596,28,38,4.576349486359877
9,0 days 00:00:03.594605,0.0880230387044911,0.26710189952549407,1.5077449110672958,0.015242808981931926,78,39,0.10198541867211812
10,0 days 00:00:00.990235,0.3349479780154268,0.01927310502305665,1.4545519769659396,0.00130344306982709,23,25,16.183259415216977
11,0 days 00:00:06.402629,0.3779593509052184,0.12811184642274945,60.47601543943683,0.0011815549654304236,172,22,0.0013371346973260784
12,0 days 00:00:02.674823,0.005181227981209716,0.1450759612667875,23.29663275364924,0.029302116724804036,89,11,42.06909051940191
13,0 days 00:00:12.134766,0.559190649425401,0.4915415910781014,614.7483872760962,0.0020053926713102855,451,13,0.7171380595633832
14,0 days 00:00:13.975014,0.48496998319540846,0.02587148869331676,0.3352578578166369,0.005300642103373152,473,12,48.42867345641468
15,0 days 00:00:01.244612,0.2727078340934122,0.052653730183205884,481.8635238664181,0.001042029123380047,38,53,3.455861146840435
16,0 days 00:00:01.214262,0.08434166349106195,0.06564407268489045,0.0020432849341365474,0.07883554344689667,23,55,67.48171214064318
17,0 days 00:00:02.336762,0.07917942785824564,0.16473862966913205,20.956277938740218,0.13974734240230507,85,2,0.010994674594473985
18,0 days 00:00:08.239688,0.34465512157235645,0.04418942901324204,14.965528214168032,0.02091363552991228,195,44,0.47308261723385575
19,0 days 00:00:14.217236,0.010675145659602186,0.1654643536534657,225.4873736762654,0.0336691377538086,461,15,0.6609768860105968
20,0 days 00:00:01.472300,0.19514909406680186,0.0967562176913004,0.09574626969177881,0.00460860723479337,29,45,0.301491678190426
21,0 days 00:00:08.252697,0.7110204236398516,0.06870259321209603,0.15248698850621406,0.2209269665104806,204,32,0.13306003649523146
22,0 days 00:00:02.229127,0.0342255766146031,0.12382128316902737,99.51848022385144,0.0010806288103287491,76,7,0.36828331038203205
23,0 days 00:00:05.840395,0.5109111872872792,0.1977068736554729,5.40748757967582,0.4923453810419272,127,54,201.18884253039275
24,0 days 00:00:06.769979,0.9798998450915863,0.06589120457739492,0.0013339921321853993,0.0030147989332133863,268,60,847.2556231206706
25,0 days 00:00:06.908209,0.8140983969557769,0.3439142567080105,11.418992559066172,0.48656022375451813,187,45,422.5224906783036
26,0 days 00:00:06.421939,0.9485248541811768,0.02102373065056837,0.005309258730995169,0.0017380652153922197,201,16,0.19229327620670972
27,0 days 00:00:01.168209,0.04653723984929415,0.012829530335150498,19.06343089617585,0.128487759946778,39,2,17.583880853534758
28,0 days 00:00:05.261545,0.1038625459470926,0.3898365592767497,0.1318890163926449,0.04003609785719969,107,57,662.7674365752287
29,0 days 00:00:15.042145,0.42630956746278625,0.07076825087934233,28.027145072172477,0.2639587217123906,357,39,1.593150867516929
30,0 days 00:00:10.011992,0.8922955688192769,0.02626617805138216,11.972062523545318,0.0012333233874312,247,34,2.432630200022618
31,0 days 00:00:05.311383,0.7196048097430832,0.012901378492199259,0.021675467426637535,0.009741750384897399,102,57,0.04471333531911207
32,0 days 00:00:04.050942,0.058226785154422506,0.010596692279283134,8.015276647838665,0.05380558497682397,124,16,30.34538337648565
33,0 days 00:00:02.062100,0.5532503419336425,0.02509193131521504,0.001771592239828758,0.007822465060078995,45,39,0.5942435962766615
