model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.48248044668642204,0.6553021836271132,0.6567376848961868,0.6553252466009064,0.64686226024193,0.6632961023135444,0.593854748603352,0.5921353760668386,0.4485981308411215,0.3051267605633803,0.6777491106033079,0.7377954494112341,0.4098248082269789,0.48907684391786665,0.021063473797279908,0 days 00:00:05.223185
1,0.48254404717226557,0.6552687678682414,0.6567143923457963,0.6552919221540923,0.6467954287241863,0.663306257894443,0.5955307262569832,0.5937693629949432,0.44963655244029077,0.3055774647887324,0.6777528217732156,0.7377112689309764,0.40842796368874146,0.48813904763211513,0.021089376679902627,0 days 00:00:05.211454
2,0.4903343284200457,0.654954366555705,0.6581149677596378,0.6549920021327647,0.6411815812337098,0.680981270065281,0.5949720670391061,0.5929948431972176,0.4485981308411215,0.3028732394366197,0.6864753159986283,0.7154526428341793,0.4033731953237531,0.48329334604803686,0.009247253130920674,0 days 00:00:05.219791
3,0.4825397870730222,0.655235898488677,0.65662732329399,0.655258597707278,0.6469290917596738,0.6637064973581035,0.593854748603352,0.5921353760668386,0.4485981308411215,0.3055774647887324,0.6779343442463791,0.7372916493750591,0.4098248082269789,0.48862613969251456,0.020820748596668937,0 days 00:00:34.756326
4,0.48360781167037586,0.65507355498165,0.6559605111907498,0.6550919754732072,0.648332553632293,0.6667063951045881,0.593854748603352,0.5921641082528832,0.45067497403946,0.30726760563380284,0.6793540047701759,0.7333170642046039,0.4081063879677085,0.48766663693804324,0.018653317091359423,0 days 00:00:25.302746
5,0.48260940098257743,0.6551990223275239,0.657008773719649,0.6552252732604639,0.6455924614047985,0.6633047527344585,0.5966480446927375,0.5948586876136795,0.4454828660436137,0.30456338028169017,0.6777433099113268,0.7380006502238814,0.4115063812682142,0.48769185595795916,0.02111964337436867,0 days 00:00:05.707909
6,0.4826454708124297,0.6551646959364728,0.6570922951265995,0.6551919488136497,0.6451914722983358,0.6632957762325142,0.5944134078212291,0.5925938418180727,0.446521287642783,0.30388732394366197,0.6777441660813383,0.7378103790013942,0.4104679596690449,0.48812436626578765,0.021123607527280597,0 days 00:00:06.059238
7,0.4839043471854516,0.6552315274542164,0.6571389682863754,0.655258597707278,0.6453251353338234,0.6665322949393303,0.5955307262569832,0.5937406308088985,0.446521287642783,0.30433802816901406,0.6792634914404422,0.7336558502385131,0.4104679596690449,0.48767366204043555,0.018805781784526188,0 days 00:00:04.803576
8,0.4823189480644439,0.6553020015006774,0.6567589576547231,0.6553252466009064,0.6467954287241863,0.6632774844742311,0.593854748603352,0.5921353760668386,0.4475597092419522,0.30501408450704226,0.6777334548401363,0.7380604189182963,0.4108632298261482,0.4891895199742047,0.02111718076886615,0 days 00:00:16.174063
9,0.4876428020113825,0.6549567341993712,0.6578334702821145,0.6549920021327647,0.6420503909643788,0.6750812122921951,0.593854748603352,0.5918767863924367,0.4454828660436137,0.3023098591549296,0.6834581461031219,0.722863785118899,0.4086389977556694,0.485561548541125,0.012910189069270217,0 days 00:00:05.618183
10,0.4828042675718277,0.6550945861428834,0.6574314180428552,0.6551252999200213,0.6438548419434605,0.6632367759660508,0.5960893854748603,0.594256560932222,0.4444444444444444,0.3019718309859155,0.677733601566177,0.7380487411812676,0.4121863799283154,0.4900398592235341,0.021121658329535165,0 days 00:00:05.325495
11,0.48799623085552196,0.6552910739145259,0.6580459770114943,0.6553252466009064,0.6427855376595603,0.676020611223231,0.5944134078212291,0.5924501808878495,0.4454828660436137,0.3028732394366197,0.6839418214752724,0.7217763438465653,0.40971426657287374,0.48597235238023373,0.012354144994393024,0 days 00:00:05.908395
12,0.4824783456746872,0.6552368091208565,0.6565211496746204,0.655258597707278,0.6472632493483927,0.6632645415294963,0.5944134078212291,0.5926800383762068,0.4475597092419522,0.30602816901408453,0.6777433526284069,0.7376397930813845,0.4112216527652163,0.48866252752756184,0.02108016780403721,0 days 00:00:05.246632
13,0.48453123981713897,0.6551356512120614,0.656557432661646,0.6551586243668355,0.6467285972064426,0.6685652228469088,0.5949720670391061,0.5931959684995303,0.4485981308411215,0.3055774647887324,0.6802491400196817,0.7310498460625519,0.40946638528791074,0.48813904763211513,0.017371976791623722,0 days 00:00:05.011152
14,0.48222257772948035,0.6553713827885232,0.6565081945008804,0.6553918954945348,0.6478647330080867,0.6633168367653777,0.5932960893854748,0.5915907137574703,0.44963655244029077,0.3068169014084507,0.6777606274413716,0.7379613945139515,0.40878638662780964,0.48714315704259653,0.021127685861813128,0 days 00:00:05.805475
15,0.4824833140383146,0.6552684036153698,0.656756940202267,0.6552919221540923,0.6466617656886988,0.6633078000329632,0.593854748603352,0.5921066438807939,0.4475597092419522,0.30535211267605633,0.6777458755785889,0.7378650187849507,0.4108632298261482,0.4886079457749909,0.02107210090077527,0 days 00:00:05.964838
