model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.4869826551605009,0.6768995870549593,0.6828878861506421,0.6769528125833111,0.6574216400454455,0.6008617790814215,0.6094972067039106,0.6020543953110871,0.3790238836967809,0.23938679245283018,0.6537998616089774,0.8556642564896505,0.5310119585971258,0.6052308402797564,0.0947542889168228,0 days 00:00:31.764805
1,0.4960370332201586,0.6775902948997912,0.6897912332305043,0.6776859504132231,0.6425850431063289,0.6003178058568506,0.611731843575419,0.6098898584828578,0.3655244029075805,0.22680817610062892,0.6536861540024869,0.8586573653180242,0.5366261347268281,0.604901517031373,0.09520355228240285,0 days 00:00:32.653821
2,0.4740873322198827,0.6713993775762424,0.6729478750084729,0.6714209544121568,0.6635033081601284,0.6092071939099802,0.6145251396648045,0.6109942695907007,0.4143302180685358,0.24803459119496854,0.660305024210626,0.8582211454023185,0.4573543697450843,0.5525012100714708,0.08481962752748207,0 days 00:01:22.453168
3,0.5217694573871116,0.6692855115510694,0.6976106541323933,0.6694881364969342,0.5951346655082537,0.611206364529848,0.6072625698324022,0.6034833403289961,0.36967808930425755,0.2016509433962264,0.6675133897323348,0.8387527240678514,0.44680936589287507,0.5311790614746943,0.08834661231365193,0 days 00:00:30.186185
4,0.5131316298665859,0.6779649622941641,0.6994584837545126,0.6781191682218075,0.621533115017042,0.6001577175501869,0.6106145251396649,0.6087051028362416,0.36863966770508827,0.20361635220125787,0.6583241823705726,0.8489545286719503,0.5062707265601447,0.595701718914183,0.09532657589818572,0 days 00:00:22.171046
5,0.48116526236424234,0.6767119102049151,0.7072383949645948,0.6769194881364969,0.6007485129987302,0.6022526757909442,0.6078212290502794,0.6046026463592573,0.4215991692627207,0.2460691823899371,0.6721335991319316,0.860313412217959,0.38019294543261983,0.46557231785360886,0.09460379754960091,0 days 00:00:15.544832
6,0.47627513444948444,0.67698525533249,0.6951021012133768,0.677119434817382,0.6278821092027,0.5999659393553275,0.5994413407821229,0.5978118566488777,0.43094496365524404,0.2543238993710692,0.6683727129957775,0.8568952218667093,0.40633102200783844,0.5013994323386239,0.09592926457729711,0 days 00:00:34.473010
7,0.486162516525523,0.6628008775917786,0.6642929806714141,0.6628232471340976,0.6546147163002072,0.621829660952281,0.6050279329608939,0.5997178372607337,0.42471443406022846,0.2895774647887324,0.6604318053285801,0.7691944567525859,0.455572304291026,0.5267888284406879,0.0728296653254008,0 days 00:00:49.853345
8,0.5151357419829424,0.6783829757802713,0.7024906695102445,0.6785523860303919,0.6163870881507719,0.5987713962237083,0.6083798882681565,0.6069861685754832,0.37694704049844235,0.20911949685534592,0.6627572518054983,0.8633685438256232,0.49079489498542866,0.5802131870219068,0.09874153527801077,0 days 00:00:29.389300
9,0.5099562922713664,0.6799974955394015,0.7017979387647634,0.6801519594774726,0.6234712290316113,0.5959330091595764,0.6089385474860335,0.6076170274429853,0.36656282450674976,0.20872641509433962,0.6652891768424449,0.8574233769134672,0.5155160285398452,0.5996028591384903,0.10221798764047263,0 days 00:00:43.186839
10,0.5048586977511436,0.6748542960749954,0.6924497635933806,0.6749866702212743,0.6264118158123371,0.6036348984352451,0.6145251396648045,0.6087160419388337,0.3572170301142264,0.22209119496855345,0.6545244383015522,0.8423391301780445,0.5291628982011858,0.5920831839890696,0.09234604058905305,0 days 00:00:44.193197
11,0.5099318707429171,0.6723949117694035,0.6939515215585592,0.6725539856038389,0.6141816480652276,0.6060622018873509,0.6162011173184357,0.6047653108072694,0.34994807892004154,0.21973270440251572,0.655203515137891,0.8311346928546445,0.5242454694670552,0.5810466428941233,0.09006766675390343,0 days 00:00:39.968720
