model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.504750133763349,0.6602547602298474,0.6674323261430948,0.6602503849769014,0.6390829112236737,0.39761011865438595,0.4592542653980945,0.397955458196422,0.2530165385511298,0.6112165611812106,0.6217948717948718,0 days 00:00:42.828024
1,0.499242156336931,0.6548040737434879,0.6656212802657182,0.6547973788239372,0.6224073580378565,0.37353088346690716,0.434164745508564,0.3927224047705975,0.24966224085720945,0.6100569642694115,0.6228193302586725,0 days 00:00:40.258220
2,0.47446236108450274,0.6447694504835916,0.629956948098541,0.6447813131212127,0.7021727539322847,0.36787673570097384,0.4389420658532028,0.45783132530120474,0.3135802469135802,0.5961016645547366,0.5948717948717949,0 days 00:00:14.126014
3,0.4935971692002041,0.6863109041116664,0.6967036677499684,0.6863054883373664,0.6601039722740603,0.46214377507166904,0.5362315046922188,0.3694984646878199,0.19978165938864634,0.6276855266594055,0.6551282051282051,0 days 00:00:23.711943
4,0.5051367142116184,0.6663170515697674,0.6785492050095485,0.6663100213987161,0.6322980538523061,0.4134162971451245,0.46610650000312115,0.3859072654253377,0.24146284649429306,0.6141205193357704,0.6205128205128205,0 days 00:00:23.279670
5,0.49293885889533917,0.6829950362416791,0.6943950965056941,0.6829890206587604,0.6538856304985338,0.45245636590890487,0.5188572376373206,0.3776867963152508,0.20845823015769582,0.6257509778901635,0.6617204732303991,0 days 00:00:09.836842
6,0.49537809579708647,0.681068332170812,0.6920478556134239,0.6810624695851583,0.6526992801919488,0.4464081401645785,0.5136634375477457,0.384446878422782,0.2091750293236022,0.6260191997664715,0.6346153846153846,0 days 00:00:08.545080
7,0.4899352439205633,0.6762912802968677,0.6857050616209539,0.6762860895012965,0.6511730205278592,0.45510646508674846,0.5243574445047126,0.37665814774248507,0.20526521569138534,0.621866211552402,0.6423076923076924,0 days 00:00:12.570928
8,0.515128502256098,0.6607700134862755,0.6774390423247743,0.6607603543787373,0.614029592108771,0.4215646364625596,0.4695698741382715,0.360472191797493,0.2243652457488936,0.6101639226778295,0.6192307692307693,0 days 00:00:07.779051
9,0.4992038099617588,0.6760246640581666,0.6920091573094953,0.6760161057003247,0.6346107704612104,0.4470404056479117,0.4970683406614961,0.3624193744675672,0.21355695317959467,0.6205967645284696,0.6512265222912907,0 days 00:00:12.248506
10,0.5025495795834158,0.6086382697010437,0.76813262721621,0.6085768187242099,0.3112769928019195,0.268947354814138,0.21162384890194152,0.18096628940002435,0.10058234334963889,0.5600580719623041,0.5511093502377179,0 days 00:00:18.187777
11,0.5083249117387724,0.6675662609579432,0.6849124716019792,0.6675566132698705,0.620881098373767,0.4477612476900621,0.4971854007097196,0.36363636363636365,0.22119729792685772,0.6123458346325573,0.6217948717948718,0 days 00:00:30.421073
12,0.5043517360785188,0.6689074714429191,0.6889942522308948,0.6688965328746942,0.6159757398027192,0.4214068531994124,0.4704909458340192,0.36363636363636365,0.22226880969019336,0.6145250054896794,0.6294871794871795,0 days 00:00:23.675736
13,0.48873982771059676,0.6814134902320108,0.6895224439510264,0.6814091154530728,0.6602439349506798,0.44239476631704727,0.5170751812248555,0.3915054156018012,0.218232764238238,0.6275043762997213,0.6583784506383263,0 days 00:00:19.848601
14,0.5093213114508665,0.6626326530645983,0.6722967250141163,0.6626269090521235,0.6348373766995468,0.3922954295402374,0.4517571656158203,0.3961299744432274,0.2506405776846028,0.614865558237809,0.632051282051282,0 days 00:00:13.881544
15,0.5063170940503965,0.6651817734920681,0.6933581868380415,0.665166756661267,0.5925153292455345,0.40266768965102323,0.4498973137297999,0.35682122429110374,0.21700442580945722,0.6132687039329915,0.6268965978210013,0 days 00:00:22.868160
16,0.49678034192300285,0.6908819932708588,0.7043708401401065,0.6908752141538175,0.658077845907758,0.44608557848183994,0.521056377600867,0.3885630498533724,0.20461358008601593,0.6322436898450191,0.6680034757034957,0 days 00:00:08.479548
17,0.500655475954314,0.6897458142345726,0.7040409830192735,0.689738615683059,0.6549120234604106,0.4605367265213399,0.5376327032559133,0.368474923234391,0.1925036390101892,0.6320199491716507,0.6678029543479714,0 days 00:00:09.770652
18,0.5022764186115287,0.6637691062457756,0.6793552812071331,0.6637601743895366,0.6205478539056252,0.4013840199031924,0.4527813014067904,0.381404405500791,0.23927323549965063,0.6151436278711684,0.6307692307692307,0 days 00:00:24.966079
19,0.5039417648299398,0.667939326693535,0.6916368889226793,0.6679265910712024,0.6063116502266063,0.4354303552222624,0.4888702933269202,0.35487404162102965,0.2116468669927789,0.6160315256414327,0.6256410256410256,0 days 00:00:17.006325
20,0.5063548783380475,0.6658699088538496,0.6902380315592405,0.6658567152637508,0.6020261263663024,0.41027997748227035,0.457496130578956,0.3601070950468541,0.22021896109946426,0.6133264943833304,0.6301717799612325,0 days 00:01:21.634209
21,0.5011556597144347,0.6757538874296605,0.6901243999827023,0.6757461218993527,0.6381764862703279,0.4439366260422533,0.5029002839440112,0.3694779116465863,0.20937052000521306,0.6224276635527618,0.6307692307692307,0 days 00:00:20.327437
22,0.505578240558776,0.6659015140402411,0.6801678605021344,0.6658933797305495,0.6265395894428153,0.450185559977603,0.5070481779470434,0.3668005354752343,0.22520382017237361,0.6112312662955861,0.6192307692307693,0 days 00:00:10.903349
23,0.49357322834516626,0.6823650774565393,0.6937331011735395,0.6823590584564926,0.6532391362303386,0.4528612389488783,0.5114519326742768,0.3778751369112815,0.20982666492897173,0.6261733776343847,0.6512820512820513,0 days 00:00:30.721401
24,0.5010903756648232,0.6771920956120396,0.6949986435259526,0.677182702371191,0.6317382031458277,0.44414029341018796,0.4865660119897788,0.37081659973226233,0.21928721174004195,0.6227573336825564,0.6377247510193169,0 days 00:00:06.190794
25,0.5036519349404543,0.5668949283360458,0.8283181788447701,0.5668126579071923,0.16878832311383632,0.22368888582474636,0.15738886946171082,0.07164790174002045,0.037456324248777095,0.5228369378829972,0.49306656101426305,0 days 00:00:09.941883
26,0.4896699878762754,0.6736619084297653,0.6838174625002644,0.6736562472918292,0.6462676619568115,0.43914704288782336,0.4971708462327724,0.3748326639892905,0.22473794549266246,0.6215950759559978,0.6410256410256411,0 days 00:00:21.655895
27,0.49921098127976643,0.6804989580289957,0.6926128688233203,0.6804925037831063,0.649266862170088,0.44060381510077473,0.5072377018897407,0.38408178167214313,0.208197575915548,0.6249544406156868,0.6384615384615384,0 days 00:00:06.251926
28,0.5044444358928063,0.6714422357703372,0.6882645595551653,0.6714330473504923,0.6269794721407624,0.4206044910055994,0.47498295680605784,0.37045150298162344,0.22506405776846028,0.6177816089787345,0.6346153846153846,0 days 00:00:55.391269
29,0.5205530850658405,0.6638068803810234,0.6882513284635764,0.66379350572299,0.5990869101572914,0.41971898389224965,0.4669661997735022,0.34878909577704764,0.2121593291404612,0.6093238948855909,0.617948717948718,0 days 00:00:12.460256
30,0.5076842174624955,0.6675383064447249,0.689002299956406,0.6675266150697625,0.6109637430018662,0.41401258067698343,0.46310837631503643,0.363514664719484,0.22212904728628002,0.6144986764500999,0.6230769230769231,0 days 00:00:30.462822
31,0.49685950268021634,0.6684863421841816,0.6797958109971988,0.6684798912065276,0.6372700613169822,0.45278648021772694,0.4996437722043996,0.36667883655835465,0.22329373398555785,0.6161594665883561,0.6319096317091104,0 days 00:00:06.147182
32,0.5297923117366203,0.648487782340308,0.6645332742774887,0.6484777580011866,0.5999800053319115,0.38482871391959833,0.4349704984366257,0.36789582572715096,0.23498718844630795,0.5998998215363793,0.6089743589743589,0 days 00:00:18.822833
33,0.4968572601714199,0.6850349538869006,0.696641624595515,0.685028898266104,0.6557318048520394,0.444554258342899,0.5169346521923295,0.3879222108495395,0.20708979538641992,0.6305283717214047,0.6623888777488136,0 days 00:00:07.191710
34,0.49494349011355515,0.6885912426935565,0.7000805835948766,0.688585351545574,0.6600839776059717,0.4495692918566323,0.5369911288219872,0.39259530791788855,0.20560407569141192,0.6329467066669214,0.6672640382317802,0 days 00:01:06.681426
35,0.49578181918651293,0.6663713129716325,0.6742637822749477,0.6663666846655867,0.6439749400159958,0.3958488458291503,0.45765747829066705,0.40197152245345014,0.2532028884230142,0.6161104352398564,0.632051282051282,0 days 00:00:29.036653
36,0.49627168743087197,0.6816755217762517,0.6938029950887368,0.6816690998540088,0.6505998400426553,0.44590642932884794,0.5091833766098456,0.3823779968358282,0.20741561318910462,0.6283493245048706,0.6461538461538462,0 days 00:00:14.158250
37,0.5115789105466171,0.6679684755968065,0.683216813709103,0.6679599224046557,0.6265795787789923,0.4201712044447134,0.4746380189878429,0.37276378240233665,0.2284649429303518,0.6168997052108302,0.6269230769230769,0 days 00:00:04.564216
38,0.5005727436371807,0.671636733993713,0.6842594645628741,0.6716297022178669,0.6376099706744868,0.42525992048546757,0.4840665602842821,0.3797006206644761,0.23126019100861872,0.6196805216735279,0.6294871794871795,0 days 00:00:15.416174
39,0.4983258028318608,0.670957809349228,0.6855229956112762,0.6709497430154191,0.6319248200479872,0.437457938755123,0.4947778011043661,0.37276378240233665,0.22525040764034476,0.6195038718774968,0.6346153846153846,0 days 00:00:07.120395
40,0.5020962639753147,0.6679517624017364,0.6831068271458768,0.6679432567379291,0.6267928552386031,0.45104815421708705,0.5050445225720882,0.36631373980771564,0.22203587235033773,0.6161041856021654,0.6256410256410256,0 days 00:00:10.806193
41,0.498832701068532,0.6675728390577174,0.6784082848631011,0.6675666126699065,0.6374433484404158,0.4454635176573789,0.49507654570680715,0.37166849215041986,0.22706731889121823,0.6171446325486398,0.6282051282051282,0 days 00:00:08.282637
42,0.5018028103933261,0.6777014044704519,0.6941940557149306,0.677692671773027,0.635443881631565,0.44541247688329405,0.4873044105160936,0.3658269441401971,0.214388114166558,0.622376032456572,0.6461538461538462,0 days 00:00:13.027256
43,0.4983299321740619,0.6557871710991441,0.650803170119879,0.6557906525608463,0.672633964276193,0.40634733255045397,0.4770243289745468,0.4267981014968967,0.27849988353133015,0.599465752297828,0.6228703436326885,0 days 00:00:09.908356
44,0.5168498290717253,0.6611365396952434,0.6841596296324498,0.6611236659133786,0.5988403092508664,0.4102839563645584,0.45860995874479293,0.3559693318729463,0.21863498718844632,0.6112576127963765,0.6264955551099526,0 days 00:00:06.506082
45,0.49416566442631427,0.6617294420812574,0.6657970222647179,0.6617269630488838,0.6497334044254865,0.4099928119433424,0.4727046719213913,0.40586588779359856,0.25860703470766366,0.6128885463530908,0.6256410256410256,0 days 00:00:14.828616
46,0.49445175160383675,0.675724978230967,0.685734204670291,0.67571945683259,0.6490069314849374,0.4434365082754734,0.48982609019065687,0.37994401849823545,0.2276163169555585,0.6233204392008085,0.6384615384615384,0 days 00:00:08.945696
47,0.493290967060098,0.679754571992873,0.689671899495933,0.6797492150470972,0.6538323113836311,0.4523589794428747,0.5077462609817573,0.3805525130826335,0.2185585820409227,0.6250057502135541,0.6410256410256411,0 days 00:00:08.483749
48,0.528155076899857,0.649562252601456,0.6620236720554272,0.6495543600717291,0.6113703012529992,0.3822008679725907,0.43850766344135517,0.37653644882560544,0.24132308409037972,0.6015617225388274,0.6102564102564103,0 days 00:00:47.124017
49,0.500610926895338,0.6548266789872983,0.6644099211907692,0.6548207107573546,0.6259464142895228,0.38078603231209146,0.4417482193763785,0.3880978459291713,0.24607500582343356,0.6082335273189992,0.617948717948718,0 days 00:00:47.145931
50,0.5047901044428628,0.6653010995331656,0.6920486740049231,0.665286749461699,0.5958611037056785,0.4081147795033778,0.4547556178474027,0.3588901058780577,0.2187281621243885,0.6135483138085941,0.6269230769230769,0 days 00:00:33.489688
51,0.5299884577184635,0.655855150766465,0.6884561779467803,0.6558373164276811,0.5695547853905625,0.3921612451651435,0.4338863377486294,0.3402701715954728,0.20903796878639647,0.6063141316914562,0.6209477976071118,0 days 00:00:23.747317
52,0.507537064017478,0.6446475841250106,0.6785884675495599,0.6446279889873274,0.5498267128765663,0.4649769607246574,0.48368058738320685,0.27467445539734703,0.16864663405543912,0.5858955006455334,0.6025641025641025,0 days 00:00:28.034092
53,0.49657868981972403,0.6671313638396992,0.6752305113160101,0.6671266390683226,0.6442681951479605,0.4022628040775037,0.46144601192547186,0.39856395278082024,0.2510598648963429,0.6179275027229473,0.6346153846153846,0 days 00:00:08.396359
54,0.5004037521925458,0.6698815495694189,0.6850201724087888,0.6698731409448766,0.6291922154092242,0.4233420992226225,0.4802754968645451,0.3741024704880127,0.22799906825064054,0.6183616217174362,0.6358974358974359,0 days 00:00:11.155940
55,0.5112410606320396,0.6607003531316824,0.6718656482457891,0.6606936917118307,0.628465742468675,0.4142480207461666,0.47020153186691227,0.37154679323354023,0.23172606568832987,0.6119808972597844,0.6217948717948718,0 days 00:00:14.317866
56,0.4932633645772402,0.6774716531427365,0.6877961082910321,0.6774660187055443,0.650206611570248,0.43878768280670755,0.491467955345682,0.3839600827552635,0.22832518052643835,0.6257594705132588,0.6410256410256411,0 days 00:00:13.957544
57,0.4983517883142354,0.6811531324869797,0.6950822259851334,0.6811457979187915,0.6456611570247934,0.45121651416301906,0.5114580379261603,0.3733504398826979,0.20031278509057737,0.6265492222513241,0.65,0 days 00:00:06.641731
58,0.5027981281626697,0.6531936171575137,0.6687508714764829,0.6531841422847963,0.6073447080778459,0.3753576020456394,0.4329334630423062,0.37811853474504076,0.2384346610761705,0.6096319792553526,0.61994519082949,0 days 00:00:07.042926
59,0.49399063905512003,0.6702954380967611,0.6802459646425826,0.6702897826130432,0.6429285523860304,0.4251764728146249,0.48362457071685233,0.390531824266764,0.2394595853715351,0.6141205193357704,0.6205128205128205,0 days 00:00:27.137400
60,0.5103073073400419,0.6734326902380945,0.6916163036357078,0.6734229279576559,0.6261930151959477,0.4289937585057184,0.48796242907977927,0.3703298040647438,0.22031213603540645,0.6215326556555603,0.6384615384615384,0 days 00:00:06.110152
61,0.5012707008380949,0.6537763252108932,0.6683343057176196,0.6537674406202294,0.6107837909890695,0.38186787668593136,0.4393376957338956,0.3779968358281611,0.2395527603074773,0.6081181691886219,0.6176057750150391,0 days 00:00:11.592532
62,0.49313792672200935,0.6759647103613764,0.6855069817098868,0.675959442433454,0.6504732071447614,0.4501353295228472,0.5205781903287363,0.3793355239138372,0.20656848690212437,0.6223745856284162,0.6423076923076924,0 days 00:00:59.205627
63,0.4936298867961323,0.678037858775761,0.6875754597781834,0.6780326513742508,0.6528392428685684,0.46336408923066486,0.5215846247728907,0.36745138178096215,0.20524017467248912,0.6242012862160148,0.6448717948717949,0 days 00:00:14.391782
