number,duration,params_a,params_b,params_gamma,params_n_estimators
0,0 days 00:00:07.975106,0.6424870384644795,0.5494343511669278,0.7151893663724195,85
1,0 days 00:00:06.946021,0.49382849013642327,0.892855270774259,0.6458941130666561,52
2,0 days 00:00:07.783614,0.8125525342743981,0.5336059705553754,0.3834415188257777,433
3,0 days 00:00:07.693320,0.16393245237809825,0.09625800670452529,0.925596638292661,92
4,0 days 00:00:06.112982,0.8003410758548655,0.8713120267643509,0.832619845547938,10
5,0 days 00:00:07.953963,0.5153314260276387,0.7827238845235909,0.7991585642167236,459
6,0 days 00:00:07.973323,0.22901795866814179,0.945222227879088,0.6399210213275238,15
7,0 days 00:00:07.936907,0.3381000508941643,0.7764913525398744,0.4146619399905236,77
8,0 days 00:00:07.730834,0.11691082039271963,0.6214591421051183,0.5684339488686485,59
9,0 days 00:00:07.954046,0.9493732706631618,0.6850020961124486,0.6169339968747569,109
10,0 days 00:00:06.778951,0.7278680763345383,0.06962321691297713,0.43703195379934145,40
11,0 days 00:00:05.901494,0.2893443049664568,0.1376370346783048,0.6706378696181594,135
12,0 days 00:00:08.870154,0.6131770933760917,0.44421549832769713,0.3637107709426226,34
13,0 days 00:00:08.714580,0.2879890804853512,0.1696964227061463,0.10204481074802807,477
14,0 days 00:00:09.012163,0.5196796955706757,0.2519813360815867,0.2532916025397821,128
15,0 days 00:00:08.581597,0.6906966305187461,0.14680112183512767,0.11037514116430513,18
16,0 days 00:00:09.348140,0.8388939068631416,0.10613026303513065,0.3687251706609641,21
17,0 days 00:00:09.279514,0.9788135185120562,0.47396468963122457,0.09609840789396307,265
18,0 days 00:00:09.315694,0.7653372214584715,0.04879591433177747,0.604845519745046,456
19,0 days 00:00:09.299657,0.36652617776993046,0.1275404417647016,0.1201965612131689,30
