number,duration,params_a,params_b,params_gamma,params_n_estimators
0,0 days 00:00:55.620199,0.763850678065183,0.5350743020577028,0.2016639691579547,221
1,0 days 00:00:49.501607,0.1521076235732292,0.9621623359693907,0.6363254223345833,58
2,0 days 00:01:04.240895,0.6675570486613852,0.727825863582785,0.8738780945787651,16
3,0 days 00:01:03.523960,0.2624509012038039,0.9097846799693766,0.269402712923565,135
4,0 days 00:01:09.052519,0.2682509104659109,0.3981710467512739,0.552899738315814,43
5,0 days 00:01:02.900872,0.19726263253807264,0.5856620212853408,0.955434322006872,179
6,0 days 00:01:08.929451,0.3055249705848665,0.954073406688902,0.8402116046040542,24
7,0 days 00:01:08.848064,0.27122704889017346,0.5558697745786285,0.10356458553500958,11
8,0 days 00:00:57.903382,0.7203218240652046,0.18924039104295862,0.5413722858824777,38
9,0 days 00:01:08.917967,0.5985329946457163,0.8604310217460168,0.7924130837821745,268
10,0 days 00:01:26.529922,0.7400156233650517,0.10138563426420125,0.9367026019171679,122
11,0 days 00:01:20.236067,0.3115917230295683,0.47207091457862477,0.5509087565556894,80
12,0 days 00:01:19.902939,0.40537156312805445,0.5768969432610052,0.2854014672229275,11
13,0 days 00:01:20.022574,0.11177293260253889,0.4801389551387665,0.9785125328843296,25
14,0 days 00:01:19.265636,0.7611704541762427,0.6102962564316172,0.07743988230276244,20
15,0 days 00:01:15.786160,0.6732146994339688,0.0606611627765868,0.32732755853411066,25
16,0 days 00:01:27.670493,0.21211680892664797,0.842202083002005,0.7083596257035272,294
17,0 days 00:01:18.211126,0.8660053875672014,0.5897522366468289,0.6127413851823196,52
18,0 days 00:01:27.694776,0.9830697721535537,0.7874249248246048,0.156806227226715,39
19,0 days 00:01:23.935345,0.2776716144974803,0.5100660144801037,0.6347266403149089,47
20,0 days 00:01:14.107216,0.8940157666479333,0.8938251808432649,0.6552060118810661,373
21,0 days 00:01:39.421730,0.23332673600793266,0.7003661001316648,0.6307915739797824,18
22,0 days 00:01:39.547150,0.15604849014701416,0.8479692629829267,0.8165349118940188,43
23,0 days 00:01:37.761895,0.8023593504195952,0.44163451061867603,0.513776969862799,12
24,0 days 00:01:25.632593,0.6424490799125019,0.41247918364995273,0.11698323264161847,15
25,0 days 00:01:24.500872,0.14890939298992517,0.18042622346186257,0.7175058593361029,181
26,0 days 00:01:43.939882,0.6148964915172268,0.36347882759225275,0.4746682451421629,98
27,0 days 00:01:39.008260,0.42189101281633923,0.18475820715409821,0.003161386020466783,18
28,0 days 00:01:46.414712,0.8150047350908761,0.9171913209155733,0.6188084565541022,115
29,0 days 00:01:38.793149,0.38955214308405295,0.4248674874861938,0.6155950309996916,120
30,0 days 00:01:37.226273,0.9472572050466477,0.8322109621818837,0.5855245778052794,252
31,0 days 00:01:33.836077,0.6499945416686488,0.5921128450711439,0.7382453175096845,28
32,0 days 00:01:45.766556,0.4938930227169108,0.5337047307723268,0.9082809974219545,366
33,0 days 00:01:46.236551,0.6874256701555277,0.8208790894466481,0.5304348845959299,301
34,0 days 00:01:44.458756,0.4458102969468851,0.6293467926795101,0.8360785684195947,29
35,0 days 00:01:45.988748,0.7637995656612815,0.7389452451157428,0.6555399074093038,12
36,0 days 00:01:31.178867,0.126265408326141,0.729805651589226,0.4036401614879992,67
37,0 days 00:01:27.323416,0.7429491163358404,0.04494228932833915,0.7193323406695952,131
38,0 days 00:01:28.186948,0.25533108809982286,0.9072732621068706,0.8556512172412744,24
39,0 days 00:01:20.494450,0.11271563414053176,0.6051458159965866,0.27617983063442697,479
40,0 days 00:01:22.373143,0.4825601876526655,0.3551799954722126,0.637957717556667,193
41,0 days 00:01:25.025302,0.7087903267966539,0.16758358920411515,0.5308345906512753,17
42,0 days 00:01:37.253900,0.9028471398468051,0.16851825212036267,0.6220541155670154,92
43,0 days 00:01:37.366799,0.7460360929655625,0.20800638567523455,0.1820270088088074,222
