number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_reg_lambda
0,0 days 00:00:00.633772,0.01,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
1,0 days 00:00:00.590872,0.025,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
2,0 days 00:00:00.590374,0.05,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
3,0 days 00:00:00.569218,0.075,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
4,0 days 00:00:00.555980,0.1,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
5,0 days 00:00:00.599205,0.15,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
6,0 days 00:00:00.627007,0.2,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
7,0 days 00:00:00.564454,0.5,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
8,0 days 00:00:00.567592,0.75,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
9,0 days 00:00:00.532114,1.0,0.010066319694461628,4,38.40443031248482,0.02076456677111465,41,779.320085436538
10,0 days 00:00:07.968687,0.01,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
11,0 days 00:00:07.918913,0.025,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
12,0 days 00:00:08.222076,0.05,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
13,0 days 00:00:08.245591,0.075,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
14,0 days 00:00:08.275359,0.1,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
15,0 days 00:00:08.176851,0.15,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
16,0 days 00:00:08.090616,0.2,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
17,0 days 00:00:08.195853,0.5,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
18,0 days 00:00:08.243899,0.75,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
19,0 days 00:00:08.071322,1.0,0.36240500043428436,4,549.1227353511106,0.0022529792573104564,311,440.7118138285814
20,0 days 00:00:02.196393,0.01,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
21,0 days 00:00:02.274975,0.025,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
22,0 days 00:00:02.154087,0.05,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
23,0 days 00:00:02.095775,0.075,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
24,0 days 00:00:02.099382,0.1,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
25,0 days 00:00:02.094680,0.15,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
26,0 days 00:00:02.078235,0.2,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
27,0 days 00:00:02.186593,0.5,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
28,0 days 00:00:02.070312,0.75,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
29,0 days 00:00:01.909648,1.0,0.06884114895806301,3,3.548335061857514,0.09939570683133078,111,74.57861503711305
30,0 days 00:00:01.466817,0.01,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
31,0 days 00:00:01.482813,0.025,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
32,0 days 00:00:01.482149,0.05,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
33,0 days 00:00:01.444600,0.075,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
34,0 days 00:00:01.474891,0.1,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
35,0 days 00:00:01.404725,0.15,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
36,0 days 00:00:01.529906,0.2,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
37,0 days 00:00:01.437911,0.5,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
38,0 days 00:00:01.453168,0.75,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
39,0 days 00:00:01.454098,1.0,0.05378162799181009,3,741.6339825160813,0.008157616300787346,105,507.8099281442071
40,0 days 00:00:05.339760,0.01,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
41,0 days 00:00:05.326596,0.025,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
42,0 days 00:00:05.478709,0.05,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
43,0 days 00:00:05.424773,0.075,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
44,0 days 00:00:05.491450,0.1,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
45,0 days 00:00:05.545702,0.15,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
46,0 days 00:00:05.388296,0.2,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
47,0 days 00:00:05.520910,0.5,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
48,0 days 00:00:05.314016,0.75,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
49,0 days 00:00:05.273082,1.0,0.010680220594721677,3,150.64021525053633,0.0017326925042074608,285,261.2783269083929
50,0 days 00:00:00.629934,0.01,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
51,0 days 00:00:00.639156,0.025,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
52,0 days 00:00:00.614914,0.05,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
53,0 days 00:00:00.581279,0.075,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
54,0 days 00:00:00.563986,0.1,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
55,0 days 00:00:00.603105,0.15,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
56,0 days 00:00:00.568541,0.2,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
57,0 days 00:00:00.588111,0.5,0.06676314896134611,3,1.4793979852330392,0.45604113335671403,27,144.32524110183465
