model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.6036403171109403,0.6120858836309357,0.7233729787518375,0.6127699280191948,0.36175900554701595,0.6869629053685095,0.48255915863277826,0.5,0.0,0.0,0.751122798640946,0.6059916611569566,0.7121863799283155,0.6169020944958598,0.11496323122671626,0 days 00:00:01.300710
1,inf,0.5,0.0,0.5013663023193815,0.0,0.6931471805599453,0.3205065757428154,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,2.220446049250313e-16,0 days 00:00:01.386825
2,0.5065244413273537,0.6575112662413748,0.6578415521422797,0.6575246600906425,0.6526097707678942,0.6657998903967147,0.6072625698324022,0.6035268896021879,0.4714434060228453,0.34276729559748426,0.6814106298055126,0.6896766745820854,0.32712290222088236,0.3683871125856623,0.028873946100913206,0 days 00:00:01.363928
3,0.501878384209952,0.658335446111042,0.6726992966002344,0.6584577446014396,0.6135801644055336,0.6652341078088386,0.6011173184357542,0.598813735484,0.4257528556593977,0.29127358490566035,0.6778700349487596,0.6965495928856918,0.3387632733728604,0.37750381402273714,0.023388054546073733,0 days 00:00:01.224084
4,0.4996419782477303,0.6597185187070613,0.6674179461896041,0.6597907224740069,0.6332954621399453,0.6648439575174752,0.6,0.598097929283844,0.4454828660436137,0.3113207547169811,0.6764934523830317,0.7039036360322447,0.33552071818577694,0.3747484123555956,0.02000746425052813,0 days 00:00:01.309732
5,0.5499480937981986,0.6524385230549968,0.6660080497621661,0.6525593175153293,0.6082336429860322,0.6715709172325874,0.6016759776536312,0.5997554684621311,0.4279346210995542,0.2908169014084507,0.6997096803419467,0.6407054811163944,0.35808688427678986,0.4105956655667076,0.05774477060129657,0 days 00:00:01.170938
6,0.5022132798370645,0.6569112307089513,0.6654854712969526,0.6569914689416155,0.6275479516139811,0.6654195366799631,0.6011173184357542,0.5994458435769823,0.45067497403946,0.31407232704402516,0.6787264331655234,0.6942354833800698,0.32638595786018154,0.3693178336963548,0.024947715864151565,0 days 00:00:01.303609
7,0.5065065653366144,0.6578013581168322,0.6554098794861608,0.657791255665156,0.6614983626278153,0.6663015666820882,0.6100558659217877,0.6037061995936954,0.4755970924195223,0.3466981132075472,0.6850104911154228,0.6828091821094215,0.3616788932435602,0.4121913168947422,0.03347864776647713,0 days 00:00:01.280284
8,0.4997614399990907,0.6595326808898085,0.6697647815828984,0.659624100239936,0.6260776582236183,0.6650608415538222,0.5994413407821229,0.5974670704163418,0.43613707165109034,0.3018867924528302,0.6770941934624058,0.6990288798781754,0.3412822831876194,0.3802856381365512,0.021867061314269853,0 days 00:00:01.026883
9,0.49983698060822435,0.659812391558422,0.6683178826693086,0.6598906958144495,0.6311568535721446,0.6649284946311024,0.6,0.598097929283844,0.4423676012461059,0.30974842767295596,0.6765895334168274,0.7017577317055333,0.33863598298328473,0.37632073939962074,0.020574602902454497,0 days 00:00:01.109632
10,inf,0.5,0.0,0.5013663023193815,0.0,0.6931471805599453,0.3205065757428154,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,2.220446049250313e-16,0 days 00:00:07.369840
11,0.5091353757473788,0.6873480518590367,0.7068058949862993,0.6874833377765929,0.6378400053465214,0.5890475717896118,0.6290502793296089,0.6155179989793124,0.34994807892004154,0.20636792452830188,0.6446683726994247,0.8724039769935532,0.5321307741265534,0.5922195084965398,0.09898231893873155,0 days 00:00:07.925697
12,0.5312455707117767,0.6873296570890151,0.7099466205548455,0.6874833377765929,0.6310900220544009,0.5907675596867523,0.6340782122905028,0.6175475516304402,0.35958395245170877,0.20202816901408452,0.6478434248664539,0.8382454125228967,0.5203443629604776,0.5938802576785605,0.10125427699323886,0 days 00:00:07.968739
13,0.8015167670441987,0.6575358355417829,0.6717948717948717,0.6576579578778993,0.6128450177103522,0.792449078140602,0.5374301675977654,0.5474106054246367,0.21634472511144132,0.11752112676056338,1.1471566903927861,0.44352608731508864,0.7306751424382275,0.7696297112282634,0.4354607334609565,0 days 00:00:07.345763
14,0.5467101580694773,0.6853291692122723,0.7137883008356546,0.6855171954145561,0.6165207511862595,0.5920652187329208,0.6335195530726258,0.6071869809123529,0.3364485981308411,0.18929577464788733,0.6500930404112422,0.8327000951335254,0.5341607208655748,0.5944353505347721,0.10215061280541016,0 days 00:00:07.356485
15,0.5507964625936167,0.6848672721393395,0.7065437373510232,0.6850173287123433,0.6299538862527568,0.5945333804145357,0.6240223463687151,0.622478244337595,0.3453194650817236,0.19323943661971832,0.6706925006651977,0.8191991193676853,0.5324583126960541,0.6012077138917283,0.12221437701806048,0 days 00:00:07.482001
16,0.5381551141491513,0.6833800587588745,0.687409948542024,0.6834177552652626,0.6695849762748112,0.5980472914568217,0.5852842809364549,0.5816851619831752,0.3812778603268945,0.22140845070422535,0.705038966270021,0.7956086855349869,0.559119490666483,0.6381233218710255,0.15370665320040378,0 days 00:00:07.495578
17,0.6505576493877858,0.6707382519509129,0.6759656652360515,0.6707877899226873,0.6526097707678942,0.6496176698717929,0.5050167224080268,0.5000671201002327,0.32659732540861813,0.18692957746478872,0.9748190281827666,0.6371330587095623,0.6667801580350905,0.8063814593245089,0.38124429353782086,0 days 00:00:07.653462
18,0.48194820627729174,0.6872116746954441,0.6867340788856894,0.6872167422020794,0.6853572144623404,0.5894789849888689,0.6212290502793296,0.6119328147639747,0.4174454828660436,0.2503930817610063,0.6452224041219823,0.8575093714689757,0.49259035942786317,0.5878923541863877,0.09988699961760972,0 days 00:00:07.265182
19,0.5244782245656784,0.6868634756027313,0.7093573844419391,0.6870167955211943,0.630755864465682,0.5896526746785813,0.6262569832402235,0.613393865233763,0.35202492211838005,0.2055211267605634,0.6465727280459326,0.8454379761310497,0.5347134291361002,0.5972065887776734,0.10187509629322111,0 days 00:00:06.599786
20,0.5199845669499168,0.6792211016486063,0.7025940533980582,0.6793854972007465,0.6190603488605226,0.5959154191497718,0.611731843575419,0.6042323069314149,0.3229491173416407,0.19339622641509435,0.6515740499699194,0.8675345991791775,0.5372659364218002,0.5859510702239704,0.09783523919026693,0 days 00:00:02.621032
21,0.49791375628848167,0.6796627138344817,0.6861694726589675,0.6797187416688883,0.6591592595067834,0.5959986653967336,0.6122905027932961,0.611833163438668,0.37590861889927313,0.23270440251572327,0.6515553551679283,0.8558162037141579,0.5205071517100459,0.5895069954384902,0.09772661760795731,0 days 00:00:02.558526
22,0.5130269390870681,0.6794892606148673,0.686971116861319,0.6795521194348174,0.6564859987970327,0.5968350101366683,0.6145251396648045,0.6147588495133018,0.3894080996884735,0.24371069182389937,0.6548635675344134,0.8095204432020177,0.5041402874083007,0.5748475156773184,0.10140973051553881,0 days 00:00:02.626788
23,0.5025262286075067,0.6805409941398154,0.6853971318257033,0.680585177286057,0.6643721178907973,0.5961811815428997,0.6150837988826816,0.6130440348182283,0.3904465212876428,0.2425314465408805,0.6529888088349067,0.8278725807982709,0.5142129769202425,0.5896653386515209,0.09945777796307675,0 days 00:00:02.561111
24,0.5153228914583801,0.6802086578154551,0.6849249000964586,0.6802519328179152,0.6643721178907973,0.59742048861003,0.6139664804469274,0.6142053687180661,0.40083073727933544,0.25,0.6566538234048017,0.8030375327142547,0.5031119150504137,0.5807355090112031,0.10299620432862633,0 days 00:00:02.640048
25,0.5609342383775654,0.6798450823652369,0.6939558450959102,0.6799520127965876,0.6407137606095035,0.6023727567567236,0.6153846153846154,0.6129631286916055,0.3786032689450223,0.22140845070422535,0.6738958400642503,0.7648586831532462,0.5167372328470924,0.5976368488573918,0.11777681730716771,0 days 00:00:02.591380
26,0.5329199231350404,0.6805667605883812,0.6864988558352403,0.6806185017328712,0.6616320256633028,0.5994007643601814,0.617877094972067,0.61289342092362,0.40832095096582466,0.24270422535211267,0.6627698193964356,0.7851824823516245,0.501356468389014,0.5946070264744826,0.10821100135818362,0 days 00:00:02.550319
