number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_reg_lambda
0,0 days 00:00:02.539679,0.01,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
1,0 days 00:00:02.484645,0.025,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
2,0 days 00:00:02.508730,0.05,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
3,0 days 00:00:02.583015,0.075,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
4,0 days 00:00:02.534737,0.1,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
5,0 days 00:00:02.559988,0.15,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
6,0 days 00:00:02.512732,0.2,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
7,0 days 00:00:02.450862,0.5,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
8,0 days 00:00:02.551345,0.75,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
9,0 days 00:00:02.434984,1.0,0.05542252381050616,2,0.005835496346821343,0.0025501436894261906,148,121.74178788224206
10,0 days 00:00:03.378721,0.01,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
11,0 days 00:00:03.351805,0.025,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
12,0 days 00:00:03.428330,0.05,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
13,0 days 00:00:03.366186,0.075,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
14,0 days 00:00:03.301279,0.1,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
15,0 days 00:00:03.348418,0.15,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
16,0 days 00:00:03.332334,0.2,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
17,0 days 00:00:03.452496,0.5,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
18,0 days 00:00:03.304304,0.75,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
19,0 days 00:00:03.161571,1.0,0.018613263319053386,4,0.006224078136444948,0.06992717140104311,275,2.699411413616816
20,0 days 00:00:01.020228,0.01,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,65,5.897264349933916
21,0 days 00:00:01.102903,0.025,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,65,5.897264349933916
22,0 days 00:00:01.222082,0.05,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,65,5.897264349933916
23,0 days 00:00:01.265121,0.075,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,65,5.897264349933916
24,0 days 00:00:01.296195,0.1,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,65,5.897264349933916
25,0 days 00:00:01.397785,0.15,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,65,5.897264349933916
26,0 days 00:00:01.406138,0.2,0.08983705087172453,2,0.7092643118312728,0.006090706114196333,65,5.897264349933916
