model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,inf,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:01.940987
1,0.651209640553594,0.8623943680367802,0.9421052631578948,0.8559602649006622,0.8463356973995272,0.37160810851971904,0.8090909090909091,0.8247863247863247,0.7384615384615385,0.4727272727272727,0.44476378450803,0.31123142199269654,0.19257294429708216,0.2708624708624709,0.11779286611290418,0 days 00:00:04.465624
2,0.6633271827144274,0.8663388320729334,0.9447368421052632,0.859271523178808,0.8486997635933806,0.37163781586657385,0.8129496402877698,0.8401709401709402,0.7446808510638298,0.4909090909090909,0.44223930438401293,0.29998036357518054,0.1863536316947909,0.2655011655011655,0.11047919719490995,0 days 00:00:00.965739
3,0.5388347914556059,0.5,0.0,0.2996688741721854,0.0,0.6639617118676102,0.2563176895306859,0.5,0.0,0.0,0.6807099308126149,0.6220519995955142,0.0,0.0,0.026034299467297073,0 days 00:00:03.426114
4,0.6706257836422965,0.7760145239867822,0.8859416445623343,0.7814569536423841,0.789598108747045,0.44123005091346984,0.697841726618705,0.7244680851063829,0.648936170212766,0.5,0.5251642602242069,0.37260872486212104,0.21514149969014662,0.2111913357400722,0.13487566558803132,0 days 00:00:03.718831
5,inf,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:01.885895
6,0.7312612613749372,0.8012094614892311,0.8843373493975903,0.8278145695364238,0.8676122931442081,0.4504794958835496,0.7985611510791367,0.7905982905982907,0.776595744680851,0.5755395683453237,0.5882986494229517,0.22648583114320442,0.18892149669845937,0.232152739346984,0.1914864911603288,0 days 00:00:00.347397
7,0.930450444684398,0.9578059898384337,0.9806763285024155,0.9586092715231788,0.9598108747044918,0.36235729847050496,0.9422382671480144,0.94270477232326,0.941747572815534,0.6,0.5326814055035186,0.025852002335473252,0.058252427184465994,0.14358974358974363,0.25018908751576097,0 days 00:00:00.785000
8,inf,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:00.371077
9,inf,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:05.780437
10,inf,0.5,0.0,0.2996688741721854,0.0,0.6931471805599453,0.2563176895306859,0.5,0.0,0.0,0.6931471805599454,0.6931471805599454,0.0,0.0,1.1102230246251565e-16,0 days 00:00:01.120887
11,0.8500947499442015,0.9432101667907475,0.9710843373493976,0.9470198675496688,0.9527186761229315,0.24390719818268516,0.9314079422382672,0.925,0.9368932038834952,0.5818181818181818,0.2991845904345195,0.051002484261831176,0.06310679611650483,0.20023310023310026,0.07964676395444065,0 days 00:00:00.556462
12,0.7152348128650651,0.7752700390528062,0.9037900874635568,0.7582781456953642,0.7328605200945626,0.5635475971333324,0.7122302158273381,0.7293144208037825,0.6808510638297872,0.5323741007194245,0.6558638873894811,0.33895634205566394,0.1499181669394436,0.1727541044087807,0.13553022927505654,0 days 00:00:00.858979
13,0.9918653009654772,0.9988179669030732,1.0,0.9983443708609272,0.9976359338061466,0.010494522531014896,0.9963898916967509,0.9975728155339806,0.9951456310679612,0.5909090909090909,0.014479082730498069,0.0011241902083191403,0.004854368932038833,0.15268065268065267,0.006375192283929682,0 days 00:00:06.390540
