number,duration,params_C,params_a,params_b,params_gamma,params_n_estimators
0,0 days 00:00:00.526057,156.00276223864793,0.895114185559553,0.7530290546312828,0.2901533456153813,402
1,0 days 00:00:00.688667,0.007988682879305853,0.7846345996114547,0.7104159020984084,0.26252136650479485,418
2,0 days 00:00:00.653383,0.0016449400762132223,0.8473200174282125,0.41683834753994253,0.13383373840298074,59
3,0 days 00:00:00.572006,0.0009739066804230792,0.3291488704226697,0.5594412509935319,0.20766315069522445,22
4,0 days 00:00:00.587259,3.5732564882707627,0.4593832308578911,0.9574517746788959,0.0996076596354536,190
5,0 days 00:00:00.541372,0.0698805547513561,0.9466119566561114,0.6018589249115045,0.9509283394691499,44
6,0 days 00:00:00.628205,0.00039065344886891055,0.3348523005138835,0.9355634392015556,0.6183245589993801,47
7,0 days 00:00:00.750619,0.001258799611400894,0.7212088314979465,0.7410078699651768,0.7816443304467329,38
8,0 days 00:00:00.544385,0.001178160350178512,0.49306129601486004,0.5934623952636886,0.6013602349087688,19
9,0 days 00:00:00.488083,644.8438579696445,0.8275645263447465,0.38751165795586573,0.5989069970054471,24
10,0 days 00:00:00.828216,35.173042374014564,0.9433026039591137,0.6332582662024339,0.7033719399867665,10
11,0 days 00:00:00.909705,100.42034835221493,0.5081707740190335,0.5668639316995807,0.3075884808042567,70
12,0 days 00:00:00.780072,9.951537593090897,0.4909939011777523,0.2057083273128917,0.5966414255852075,35
13,0 days 00:00:00.719007,0.001021004882932868,0.24309351334840978,0.04682937592636398,0.898869412584124,187
14,0 days 00:00:00.710165,0.00015087382794147476,0.7274392150421567,0.19869303960251447,0.4374003126285849,26
15,0 days 00:00:00.665686,6.445243233514833,0.9901143275949773,0.8263388082676448,0.11134890688969157,50
16,0 days 00:00:00.754655,62.595629960807734,0.7031091957676496,0.0978302900258031,0.8904209082827601,15
17,0 days 00:00:00.518019,0.0006092064250264639,0.8524078175147976,0.819558117844541,0.0518172575426048,199
18,0 days 00:00:00.851562,1.581219254230651,0.6215809037887691,0.5117000402703376,0.7345269315185257,33
19,0 days 00:00:00.824540,89.34681580435172,0.6523894180413223,0.9849469649213825,0.6077939854139843,422
20,0 days 00:00:00.733506,296.7503373539755,0.9590529282898332,0.4974543059024734,0.3675845451313454,13
21,0 days 00:00:00.701527,0.02950572678243934,0.4310389500299817,0.42761438431378884,0.8221695326136056,18
22,0 days 00:00:00.661028,1027.2750895576255,0.11190506079335251,0.06609857937594346,0.7884871662533501,497
23,0 days 00:00:00.795666,2.444860153312835,0.6928372272238866,0.8920797774569511,0.01620829195506912,76
24,0 days 00:00:00.658371,192.37462498004808,0.3092631205856718,0.9677801400291308,0.5104565986765212,10
25,0 days 00:00:00.609206,0.004507543824951187,0.5702002991461218,0.05666998316133216,0.1489725090971198,157
26,0 days 00:00:00.587804,211.7130571185016,0.9597054246848935,0.5730612918388465,0.29150225965739207,14
27,0 days 00:00:00.594673,0.0010882580889297827,0.4258969659873916,0.5153885070986042,0.4674461618959539,296
28,0 days 00:00:00.681353,21.859414520806126,0.17662836399377974,0.27575813611704475,0.4629832287082032,374
29,0 days 00:00:00.761851,0.1465163194406467,0.701832479439459,0.3002284677319681,0.4049377201310571,67
30,0 days 00:00:00.694053,0.01773996081565557,0.6195514265298743,0.6185778344444312,0.9338387698158399,246
31,0 days 00:00:00.703523,2756.6956269455554,0.7661841303563118,0.48824116310514126,0.30789966637205,248
32,0 days 00:00:00.771928,1.7073931652703414,0.5084958771139217,0.5991900933193194,0.6659960375700584,440
33,0 days 00:00:00.779844,3061.0794245104307,0.22409758749731462,0.6442013805644782,0.12494906626554558,97
34,0 days 00:00:00.578495,1037.0894553731737,0.2991514553113894,0.10875491255044972,0.6043273753517372,26
35,0 days 00:00:00.803409,7756.685969001798,0.8952367705405251,0.42635068303360446,0.6779636928249044,36
36,0 days 00:00:00.594437,0.8147639481309888,0.461339488638821,0.33667286450851475,0.09999516132469244,117
37,0 days 00:00:00.615160,523.572653633224,0.9136102809085637,0.684535146845465,0.6932865314940545,129
38,0 days 00:00:00.788408,0.11249416119768131,0.12577526105169415,0.28014051972439136,0.13210055508364638,209
39,0 days 00:00:00.723813,1.195791426540818,0.681474008355122,0.23757488985868608,0.7259789268399965,454
40,0 days 00:00:00.766032,0.4395680733840932,0.5250310123058672,0.4132213876076894,0.2922971040888479,48
41,0 days 00:00:00.623070,0.0292410234198976,0.5030278146549654,0.3145645327613053,0.11624970341770968,148
42,0 days 00:00:00.657103,0.0017379290079203896,0.8278116663244325,0.3298508692322238,0.40595208644302216,102
43,0 days 00:00:00.709467,0.07734603414570813,0.6804710998323367,0.4233218651431731,0.0027063500006171415,26
44,0 days 00:00:00.605005,0.0008551773533135139,0.8501128556435331,0.28215901224266865,0.17308006713922075,322
45,0 days 00:00:00.697298,0.12967996213290453,0.3542797974558586,0.11054342017196338,0.23416919459099328,18
46,0 days 00:00:00.633897,0.015801523315350178,0.799715697319381,0.822273749162539,0.45001691617135664,29
47,0 days 00:00:00.811338,349.54622733818326,0.8821462194052634,0.8277261572503171,0.8346679817183711,110
48,0 days 00:00:00.637860,2998.5001080744805,0.936480224271612,0.9234563524395876,0.5568376626816863,12
49,0 days 00:00:00.598306,5807.00119419429,0.13371848323719016,0.5636475279674157,0.8135002750879567,498
50,0 days 00:00:00.555261,0.00016066037737824844,0.337699583315591,0.31124324610805076,0.9717383074693583,40
51,0 days 00:00:00.722036,0.001319137861577215,0.7098703433198676,0.43237025163431747,0.039628793281451635,16
52,0 days 00:00:00.796207,48.415768822354764,0.8958978103194849,0.21682722877974506,0.2670685419916713,41
53,0 days 00:00:00.739811,186.8350751576494,0.6197233902321091,0.5804601316673716,0.3821924120365464,460
54,0 days 00:00:00.750859,0.10254728300709112,0.10971217174631326,0.2633632959905542,0.6109524515980466,195
55,0 days 00:00:00.640296,4.069418987001153,0.47849269099803915,0.7069742682251059,0.4209704994244985,113
56,0 days 00:00:00.693026,17.707866609199694,0.5438553303942456,0.08598911170651677,0.9989703098882504,26
57,0 days 00:00:00.628276,0.0002450381484354835,0.3988804341952381,0.34123983949859243,0.6673770354687762,71
58,0 days 00:00:00.708909,0.011859880300888796,0.9126512236544541,0.6731328033432846,0.8834330918929927,100
59,0 days 00:00:00.660961,0.00032659879182073414,0.9297186216246628,0.3819918769760832,0.6187725388453016,51
