model,thresh,bal_acc,precision,acc,recall,logloss,min_acc,min_bal_acc,min_tpr,min_pr,max_logloss,max_logloss_tpr,eod,spd,eq_loss,duration
0,0.7242205055549815,0.7094484280918982,0.875,0.6771523178807947,0.6288416075650118,0.5504694815463106,0.6618705035971223,0.6931623931623931,0.5425531914893617,0.39568345323741005,0.6663284181873452,0.33828618279399686,0.16434336023477625,0.1940601365061797,0.16589313204500467,0 days 00:00:05.692058
1,0.7952777267951632,0.7326646030066742,0.8703170028818443,0.7251655629139073,0.7139479905437353,0.49562876451762006,0.6546762589928058,0.661048817174894,0.5531914893617021,0.38181818181818183,0.5495750297894741,0.3173219242492106,0.2477793844247056,0.33659337052838856,0.17483997993940098,0 days 00:00:47.116561
2,0.7010872923700464,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6080796071887614,0.539568345323741,0.6479905437352246,0.3404255319148936,0.2446043165467626,0.7010360127935693,0.3563868654529626,0.3100599049783103,0.3066777347352887,0.12999396260051632,0 days 00:00:39.767043
3,0.6753218471200945,0.7349764246437575,0.8534704370179949,0.7549668874172185,0.7848699763593381,0.4754356102395948,0.7050359712230215,0.6620060166826199,0.6702127659574468,0.43636363636363634,0.5062197576686828,0.32022412462145083,0.1890105350134269,0.33980964883491965,0.125376755786419,0 days 00:00:33.643805
4,0.6973498356871858,0.7728667894413751,0.8867924528301887,0.7748344370860927,0.7777777777777778,0.4669596402602435,0.7435897435897436,0.7293103448275862,0.7076923076923077,0.4818181818181818,0.5583367671542642,0.3434177329865764,0.12240477968633301,0.21854282901214306,0.12256233846377823,0 days 00:00:01.759968
5,0.7301814105922165,0.692873842456539,0.8580645161290322,0.6672185430463576,0.6288416075650118,0.5515861505714925,0.6353790613718412,0.6461538461538461,0.574468085106383,0.41007194244604317,0.6813004322658858,0.33973855146408766,0.1669112252384446,0.19249216011805936,0.1940794351732344,0 days 00:00:05.213890
6,0.813767614287867,0.7378302835573318,0.889937106918239,0.7102649006622517,0.6690307328605201,0.4838047520049364,0.6258992805755396,0.6957814850266648,0.48936170212765956,0.35454545454545455,0.5186643490400524,0.3224442981017307,0.2824829580665152,0.31693468985887757,0.13134834712313181,0 days 00:00:06.817491
7,0.7031047311007557,0.7012264409701814,0.8988326848249028,0.6390728476821192,0.5460992907801419,0.6021975635603054,0.539568345323741,0.6479905437352246,0.3404255319148936,0.2446043165467626,0.6952471481657452,0.3568410108254694,0.3100599049783103,0.3066777347352887,0.13077928724371257,0 days 00:00:09.025115
8,0.700838480189805,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6088871270634072,0.5467625899280576,0.6533096926713948,0.35106382978723405,0.2517985611510791,0.7018221605598263,0.356328064301344,0.2994216071059699,0.2994834901309722,0.12987168500405344,0 days 00:00:10.216223
9,0.7036460047948722,0.7090631244857176,0.8787878787878788,0.6721854304635762,0.6170212765957447,0.5870699929510604,0.60431654676259,0.6784869976359338,0.46808510638297873,0.32727272727272727,0.6797838114191692,0.35826426593901145,0.2406527576946912,0.2720052510666229,0.13180687684115888,0 days 00:00:08.766153
10,0.8293879530297174,0.7318939957943131,0.8768768768768769,0.7152317880794702,0.6903073286052009,0.5042092622846088,0.6330935251798561,0.6702789552851087,0.5,0.34545454545454546,0.5646329972308022,0.31613756922104463,0.2912621359223301,0.35851657367902856,0.18895563056908138,0 days 00:00:03.242837
11,0.8317793912359464,0.7303135979520134,0.8746268656716418,0.7152317880794702,0.6926713947990544,0.5101137512794198,0.6402877697841727,0.663236701763982,0.5106382978723404,0.34545454545454546,0.5767693180661057,0.31510972142105154,0.2806238380499897,0.3621266819822776,0.2035423514322376,0 days 00:01:23.334606
12,0.7034068545971026,0.7012264409701814,0.8988326848249028,0.6390728476821192,0.5460992907801419,0.6012815272203659,0.539568345323741,0.6479905437352246,0.3404255319148936,0.2446043165467626,0.6943318390716775,0.3569256293591204,0.3100599049783103,0.3066777347352887,0.13087928587610054,0 days 00:00:13.030576
13,0.7107911163730318,0.7571150555751472,0.886039886039886,0.7483443708609272,0.735224586288416,0.44297100039270043,0.6834532374100719,0.7138297872340426,0.6276595744680851,0.43636363636363634,0.48901222905883956,0.33226691856959406,0.17331129931832268,0.24233672464719397,0.08204352774360846,0 days 00:00:24.669409
14,0.8241944019017692,0.7287332001097135,0.8724035608308606,0.7152317880794702,0.6950354609929078,0.5049253908451675,0.6330935251798561,0.663236701763982,0.5106382978723404,0.35454545454545455,0.5668028452085253,0.3156968390812165,0.2806238380499897,0.3530357728913685,0.1926978219161269,0 days 00:00:32.849590
15,0.8335245227598265,0.7291315648550867,0.874251497005988,0.7135761589403974,0.6903073286052009,0.5112876959552617,0.6402877697841727,0.6608095172979624,0.5106382978723404,0.34545454545454546,0.5792139575620951,0.3148122996688367,0.27576946911795086,0.35851657367902856,0.20658668704163125,0 days 00:01:16.799113
16,0.8331750182112875,0.7303135979520134,0.8746268656716418,0.7152317880794702,0.6926713947990544,0.5115109481544001,0.6402877697841727,0.663236701763982,0.5106382978723404,0.34545454545454546,0.5796419967234052,0.3150509059482673,0.2806238380499897,0.3621266819822776,0.20660592505040537,0 days 00:00:01.997274
17,0.8340972721851099,0.7299282943458328,0.8780487804878049,0.7102649006622517,0.6808510638297872,0.5039328229972116,0.6402877697841727,0.6605702174210311,0.5106382978723404,0.34545454545454546,0.5652713751111789,0.31569713863527976,0.26120636232183436,0.3440761404660322,0.19211615090618406,0 days 00:00:07.259802
18,0.6998715976391594,0.7653892872536343,0.888268156424581,0.7599337748344371,0.75177304964539,0.43833089521653007,0.6762589928057554,0.7027186761229314,0.6276595744680851,0.45454545454545453,0.49374001054611405,0.3338791113549993,0.18787440611443917,0.23137512307187397,0.08995486876171455,0 days 00:00:01.754070
19,0.804656345247515,0.7386270130480781,0.8942307692307693,0.706953642384106,0.6595744680851063,0.4735828183079243,0.6258992805755396,0.6977300697388213,0.48936170212765956,0.3597122302158273,0.4909820674779415,0.3283904587920834,0.258211113406321,0.2864971560657611,0.08824881566998805,0 days 00:01:22.175997
20,0.7295848667445838,0.750793464205948,0.8774373259052924,0.7483443708609272,0.7446808510638298,0.4940518274895111,0.7363636363636363,0.7122931765349378,0.6914893617021277,0.5035971223021583,0.6240866445737199,0.33314272186153826,0.08520966742408587,0.16427291379892484,0.18233919596854498,0 days 00:01:31.389373
21,0.671767148993598,0.7408996512675836,0.859375,0.7566225165562914,0.7801418439716312,0.4714977303784258,0.7050359712230215,0.6782784083139615,0.6702127659574468,0.44545454545454544,0.5004351159511171,0.319634077242782,0.17930179714934924,0.31266819822776504,0.12426791535040249,0 days 00:00:06.307581
22,0.8579320316747174,0.7283740187819182,0.8870967741935484,0.6970198675496688,0.6501182033096927,0.506300976025208,0.6115107913669064,0.6860727471625871,0.46808510638297873,0.32727272727272727,0.5700023185750872,0.3162071617365208,0.2843420780830407,0.3297669839186085,0.195732890085057,0 days 00:00:15.172008
23,0.8072122584723619,0.7413894439873046,0.8971061093247589,0.7086092715231788,0.6595744680851063,0.4754957099388862,0.6258992805755396,0.7002364066193854,0.48936170212765956,0.34545454545454546,0.4966580535174086,0.3267990793736067,0.2679198512703987,0.3043649491302921,0.09849891973939895,0 days 00:00:15.613581
24,0.7575163142789803,0.6996199208494964,0.8817204301075269,0.652317880794702,0.5815602836879432,0.5440577201349608,0.6245487364620939,0.6783467797073703,0.5,0.3597122302158273,0.6817921281933855,0.3322796811931546,0.18965517241379315,0.20439033388673677,0.20446401731858427,0 days 00:00:16.901400
25,0.7294872167710512,0.6885440748142053,0.858085808580858,0.6589403973509934,0.6146572104018913,0.5533877941944197,0.6245487364620939,0.6495726495726496,0.5531914893617021,0.39568345323741005,0.6812155011139643,0.34146259684784674,0.18818782098312548,0.20688064932669248,0.19149786066011942,0 days 00:00:32.487541
26,0.7202107563674318,0.6890077452555412,0.892,0.6241721854304636,0.5271867612293144,0.5777075733141231,0.6064981949458483,0.6726495726495727,0.4574468085106383,0.33093525179856115,0.6825935640840695,0.3483928893076131,0.18048422597212038,0.1947057738424645,0.15064771138065092,0 days 00:00:14.240720
27,0.7039210230729335,0.7012264409701814,0.8988326848249028,0.6390728476821192,0.5460992907801419,0.5997357884976838,0.539568345323741,0.6479905437352246,0.3404255319148936,0.2446043165467626,0.6927887722863688,0.35704929611296243,0.3052055360462715,0.3066777347352887,0.1310477528438111,0 days 00:00:03.050981
28,0.6020014129639069,0.7724292412784243,0.8712871287128713,0.7963576158940397,0.8321513002364066,0.4271660780059121,0.6762589928057554,0.6737588652482269,0.6808510638297872,0.5454545454545454,0.516232734952177,0.35211326690834066,0.21570066030814383,0.20183787331801772,0.1293745976413025,0 days 00:00:03.086292
29,0.6552507832139454,0.7298238052322923,0.8431372549019608,0.7632450331125827,0.8132387706855791,0.5089923292121783,0.7050359712230215,0.6554423629153563,0.6808510638297872,0.45454545454545453,0.5721612159394844,0.3222369256375729,0.20749845073331963,0.35411880538234325,0.21236318642524366,0 days 00:00:06.276130
30,0.7099985406908307,0.7067121194310568,0.8842105263157894,0.6622516556291391,0.5957446808510638,0.5683654805314456,0.6115107913669064,0.6862068965517241,0.46808510638297873,0.34532374100719426,0.6642093388403683,0.3604176467004157,0.20432868672046955,0.2315993359158826,0.13941654696831773,0 days 00:00:04.108687
31,0.7005706265959518,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6097597391217089,0.5467625899280576,0.6533096926713948,0.35106382978723405,0.2517985611510791,0.7026686600474225,0.35626760481960323,0.2994216071059699,0.2994834901309722,0.12973472745400838,0 days 00:00:49.486087
32,0.8329590000657273,0.7303135979520134,0.8746268656716418,0.7152317880794702,0.6926713947990544,0.5109570618434736,0.6402877697841727,0.663236701763982,0.5106382978723404,0.34545454545454546,0.578414921824946,0.3150971857278448,0.2806238380499897,0.3621266819822776,0.20588359051345312,0 days 00:00:03.678362
33,0.7007562872424058,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.609134692607406,0.5467625899280576,0.6533096926713948,0.35106382978723405,0.2517985611510791,0.7020598004744206,0.3563182690213998,0.2994216071059699,0.2994834901309722,0.12982938915042952,0 days 00:00:02.833888
34,0.7052134725132575,0.703988871909408,0.90234375,0.640728476821192,0.5460992907801419,0.5953585173593713,0.539568345323741,0.6479905437352246,0.3404255319148936,0.2446043165467626,0.6883617800931551,0.35744639004521517,0.3052055360462715,0.3066777347352887,0.1314293121107748,0 days 00:00:27.086980
35,0.7005242762942052,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6098708278547758,0.5467625899280576,0.6533096926713948,0.35106382978723405,0.2517985611510791,0.7027696355195274,0.3562781252783066,0.2994216071059699,0.2994834901309722,0.12970779732503057,0 days 00:00:19.709045
36,0.8265687163502112,0.7378172224181393,0.8841463414634146,0.7168874172185431,0.6855791962174941,0.497621709905845,0.6402877697841727,0.6795090933953234,0.5106382978723404,0.34545454545454546,0.5518801102373708,0.31690039070153914,0.27091510018591203,0.3440761404660322,0.17575271477004262,0 days 00:00:01.816516
37,0.7009617813670016,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6085001353705775,0.5467625899280576,0.6533096926713948,0.35106382978723405,0.2517985611510791,0.7014469941701673,0.35635228469465846,0.2994216071059699,0.2994834901309722,0.12993252385632126,0 days 00:00:21.330853
38,0.7125271569614385,0.7366090670428275,0.8731988472622478,0.7284768211920529,0.7163120567375887,0.4684297187640924,0.6618705035971223,0.6986872692465472,0.574468085106383,0.39090909090909093,0.49342662244667385,0.3402145705612508,0.23135715761206355,0.3130620282244831,0.0597898450490294,0 days 00:00:05.218654
39,0.8315382675596923,0.7303135979520134,0.8746268656716418,0.7152317880794702,0.6926713947990544,0.5100742119344095,0.6402877697841727,0.663236701763982,0.5106382978723404,0.34545454545454546,0.5768224718423196,0.31538506085689033,0.2806238380499897,0.3621266819822776,0.2033303469229949,0 days 00:00:07.753270
40,0.8329022001745768,0.7303135979520134,0.8746268656716418,0.7152317880794702,0.6926713947990544,0.5112737873892458,0.6402877697841727,0.663236701763982,0.5106382978723404,0.34545454545454546,0.5792657690862623,0.31476103947754275,0.2806238380499897,0.3621266819822776,0.20693468463851566,0 days 00:00:02.534426
41,0.7063555614767076,0.7642072541567075,0.8879551820728291,0.7582781456953642,0.7494089834515366,0.44323658254556997,0.6762589928057554,0.7085106382978723,0.6170212765957447,0.44545454545454544,0.4877733844620967,0.32686669377832767,0.19851270398677956,0.24768624876928125,0.09631566149432008,0 days 00:00:29.088413
42,0.7011911696335872,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6077508513754862,0.539568345323741,0.6479905437352246,0.3404255319148936,0.2446043165467626,0.700717891208516,0.35640394021010735,0.3100599049783103,0.3066777347352887,0.1300461991365549,0 days 00:00:00.550148
43,0.8291405427850217,0.7303135979520134,0.8746268656716418,0.7152317880794702,0.6926713947990544,0.5078027957290661,0.6402877697841727,0.663236701763982,0.5106382978723404,0.34545454545454546,0.5720537268333329,0.31563062328865216,0.2806238380499897,0.3621266819822776,0.19768007988487601,0 days 00:00:02.136912
44,0.8196650666302158,0.7374319188119587,0.8878504672897196,0.7119205298013245,0.6737588652482269,0.4868241091160429,0.6330935251798561,0.6887392315055381,0.5,0.35454545454545455,0.5280298781562924,0.3196953439811321,0.27184466019417475,0.3205447981621267,0.14627553678346022,0 days 00:00:24.653477
45,0.7647726112029722,0.7310972663035671,0.8731563421828908,0.7185430463576159,0.6997635933806147,0.5282262375149069,0.7,0.6950635853958704,0.5957446808510638,0.4244604316546763,0.6871304311785901,0.3066008642522691,0.1973587674247983,0.2165652093709648,0.22940938013319812,0 days 00:00:51.625764
46,0.7036116133277429,0.7102451575826443,0.8791946308724832,0.6738410596026491,0.6193853427895981,0.5844777310717502,0.60431654676259,0.6784869976359338,0.46808510638297873,0.32727272727272727,0.6770370877440445,0.3585602788640483,0.24550712662673002,0.275615359369872,0.13181412783571556,0 days 00:00:03.088707
47,0.7015703719656002,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6064852340433736,0.539568345323741,0.6479905437352246,0.3404255319148936,0.2446043165467626,0.6994800807803273,0.3564993260088775,0.3100599049783103,0.3066777347352887,0.13022842608436103,0 days 00:01:19.374441
48,0.8049373969219756,0.7291054425767016,0.864406779661017,0.7268211920529801,0.723404255319149,0.5108290479815963,0.6618705035971223,0.6566730479967182,0.5531914893617021,0.37272727272727274,0.5783202692807483,0.31496040252481133,0.2671968601528609,0.3673449294387922,0.20551124403824922,0 days 00:00:18.577238
49,0.589862605277188,0.7337421469900605,0.8387850467289719,0.7798013245033113,0.8486997635933806,0.4808589788487493,0.7553956834532374,0.6578695473813756,0.7659574468085106,0.5636363636363636,0.5198634690192302,0.3192645178395893,0.12724643668663504,0.24863800459468333,0.14307279575257315,0 days 00:00:04.552280
50,0.8436297786968878,0.7299413554850254,0.8836477987421384,0.7036423841059603,0.6643026004728132,0.5070064470582738,0.6258992805755396,0.6768426090523725,0.48936170212765956,0.32727272727272727,0.5680338732136181,0.3237337479352552,0.2727742202024375,0.34420741713160485,0.20989436819761825,0 days 00:00:01.841156
51,0.8186475223322751,0.7346694878727322,0.8850931677018633,0.7102649006622517,0.6737588652482269,0.4884009596767249,0.6258992805755396,0.6841241624504307,0.48936170212765956,0.35454545454545455,0.5298285915355521,0.32017903491689514,0.287337326998554,0.3277650147686249,0.14526090394595925,0 days 00:01:03.699662
52,0.7755399539253013,0.7137912568734245,0.8803986710963455,0.6788079470198676,0.6264775413711584,0.5305176664115349,0.6474820143884892,0.691200601668262,0.5106382978723404,0.3669064748201439,0.6846899035797898,0.3147151113285255,0.247982391782832,0.2612986533849843,0.2230625312856528,0 days 00:01:01.263637
53,0.7005165715351289,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6099230280850365,0.5467625899280576,0.6533096926713948,0.35106382978723405,0.2517985611510791,0.7028243528075069,0.35626315300306016,0.2994216071059699,0.2994834901309722,0.12970525860926974,0 days 00:01:05.019328
54,0.8087478847957934,0.7386270130480781,0.8942307692307693,0.706953642384106,0.6595744680851063,0.4719435943954497,0.6258992805755396,0.6977300697388213,0.48936170212765956,0.3597122302158273,0.4941276754195173,0.32408245078117026,0.258211113406321,0.2864971560657611,0.10332744157670709,0 days 00:00:03.997776
55,0.7525783156712612,0.768576205216619,0.9041916167664671,0.7466887417218543,0.7139479905437353,0.43301925683496206,0.6690647482014388,0.7147754137115839,0.5851063829787234,0.44545454545454544,0.49949242737629057,0.33636949385413606,0.1818839082834125,0.1935346242205448,0.09020188513792876,0 days 00:00:14.963868
56,0.7589064700681762,0.7015856222979768,0.8802816901408451,0.6572847682119205,0.5910165484633569,0.5407072925345162,0.631768953068592,0.678586079584302,0.5106382978723404,0.3669064748201439,0.682389758833288,0.32857418211516004,0.17901687454145276,0.19719608928242022,0.2092861862654845,0 days 00:00:01.127778
57,0.8318232726012111,0.7303135979520134,0.8746268656716418,0.7152317880794702,0.6926713947990544,0.5108763707244441,0.6402877697841727,0.663236701763982,0.5106382978723404,0.34545454545454546,0.5782841961814165,0.31511466801138793,0.2806238380499897,0.3621266819822776,0.20523218915582436,0 days 00:00:02.881263
58,0.815636213755933,0.7342711231273591,0.8830769230769231,0.7119205298013245,0.6784869976359338,0.4896490563071115,0.6330935251798561,0.6792697935183919,0.5106382978723404,0.35454545454545455,0.5375993722146671,0.3170740717835822,0.25635199338979553,0.3205447981621267,0.16326076866200329,0 days 00:00:25.022140
59,0.8463163175240827,0.7299413554850254,0.8836477987421384,0.7036423841059603,0.6643026004728132,0.5085409910876538,0.6187050359712231,0.6792697935183919,0.4787234042553192,0.32727272727272727,0.5711054921476912,0.32317362521621434,0.28826688700681674,0.347817525434854,0.21231874090660824,0 days 00:00:37.967001
60,0.8328271521981989,0.7314956310489401,0.875,0.7168874172185431,0.6950354609929078,0.5115658507323286,0.6402877697841727,0.6656638862300013,0.5106382978723404,0.34545454545454546,0.5797276352253362,0.3154513463987597,0.2854782069820285,0.36573679028552675,0.20617760243618793,0 days 00:00:39.866436
61,0.8394977881471969,0.7291446259942792,0.8796296296296297,0.706953642384106,0.6737588652482269,0.504337256127131,0.6330935251798561,0.6651852864761384,0.5,0.34545454545454546,0.5661789810728497,0.3156907536406593,0.2669902912621359,0.336855923859534,0.19293833433450736,0 days 00:00:09.271501
62,0.8406075042366205,0.7291446259942792,0.8796296296296297,0.706953642384106,0.6737588652482269,0.5049747961069553,0.6330935251798561,0.6651852864761384,0.5,0.34545454545454546,0.5672608079125672,0.31550677598729676,0.2669902912621359,0.336855923859534,0.19443215172396067,0 days 00:00:02.181790
63,0.7049507755464723,0.7028068388124813,0.9019607843137255,0.6390728476821192,0.5437352245862884,0.5966164873911234,0.539568345323741,0.6479905437352246,0.3404255319148936,0.2446043165467626,0.6896417128494827,0.3573279640202845,0.30035116711423265,0.3066777347352887,0.13133279835528744,0 days 00:00:11.610267
64,0.7005556717184749,0.7024084740671082,0.8992248062015504,0.640728476821192,0.5484633569739953,0.6098116892927784,0.5467625899280576,0.6533096926713948,0.35106382978723405,0.2517985611510791,0.7027194005218322,0.3562628976639325,0.2994216071059699,0.2994834901309722,0.12972703746472114,0 days 00:00:03.089017
65,0.7736441381370689,0.7122108590311247,0.8778877887788779,0.6788079470198676,0.6288416075650118,0.5306770355548536,0.6474820143884892,0.691200601668262,0.5106382978723404,0.3669064748201439,0.6845027874968118,0.3151368939452415,0.26522377109317685,0.2741191662054972,0.2226886402869862,0 days 00:00:42.153304
66,0.8321209069061045,0.7303135979520134,0.8746268656716418,0.7152317880794702,0.6926713947990544,0.5092190774715669,0.6402877697841727,0.663236701763982,0.5106382978723404,0.34545454545454546,0.5748872256651452,0.31536424901000437,0.2806238380499897,0.3621266819822776,0.20115714924921146,0 days 00:01:01.254443
